Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Petach Einayim on Arakhin,Talmud,24,10125,0.0023703703703703703,2,1,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petach Einayim on Temurah,Talmud,11,3433,0.003204194581998252,1,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petach Einayim on Keritot,Talmud,17,2603,0.006530925854782943,3,2,0,0,0,0,2,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petach Einayim on Meilah,Talmud,3,1226,0.0024469820554649264,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petach Einayim on Tamid,Talmud,3,2889,0.0010384215991692627,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petach Einayim on Niddah,Talmud,56,8391,0.006673817185079252,2,1,0,0,0,0,2,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Berakhot,Talmud,470,13416,0.035032796660703636,24,3,7,9,4,4,13,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Shabbat,Talmud,1161,33211,0.03495829694980579,47,4,7,9,5,5,34,1145,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Eruvin,Talmud,706,21528,0.032794500185804536,35,4,6,6,1,1,27,697,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Pesachim,Talmud,1266,34363,0.036841952099642056,49,4,10,15,1,1,36,1248,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Rosh Hashanah,Talmud,371,12764,0.029066123472265747,7,3,1,1,0,0,5,367,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Yoma,Talmud,913,27981,0.03262928415710661,25,3,10,11,0,0,14,901,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Sukkah,Talmud,490,15457,0.0317008475124539,16,3,2,3,2,2,12,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Beitzah,Talmud,259,9232,0.028054592720970536,5,1,0,0,0,0,5,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Taanit,Talmud,315,9205,0.034220532319391636,17,4,4,4,2,2,10,308,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Megillah,Talmud,426,12945,0.03290845886442642,14,2,5,8,0,0,9,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Moed Katan,Talmud,412,9660,0.04265010351966874,14,2,2,2,0,0,12,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Chagigah,Talmud,293,7330,0.03997271487039564,18,1,0,0,0,0,18,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Yevamot,Talmud,957,27261,0.0351050951909321,20,4,4,4,2,2,11,948,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Ketubot,Talmud,1249,30412,0.04106931474417993,22,3,9,12,2,2,11,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Nedarim,Talmud,522,21380,0.02441534144059869,20,4,6,8,1,1,12,512,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Nazir,Talmud,453,13733,0.032986237530037134,12,2,4,4,0,0,8,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Sotah,Talmud,566,13837,0.040904820409048206,17,3,7,9,0,0,9,556,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Gittin,Talmud,1205,27557,0.04372754653989912,20,3,8,8,1,1,11,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Kiddushin,Talmud,1167,30397,0.038391946573675034,17,3,4,4,0,0,12,1162,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Bava Kamma,Talmud,648,21683,0.029885163492136695,36,3,2,2,0,0,32,643,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Bava Metzia,Talmud,1130,29380,0.038461538461538464,18,3,2,2,0,0,14,1126,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Bava Batra,Talmud,2205,44309,0.04976415626622131,27,4,8,14,2,2,16,2188,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Sanhedrin,Talmud,1206,24284,0.04966232910558392,19,2,9,12,0,0,10,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Makkot,Talmud,197,5300,0.03716981132075472,10,2,5,5,0,0,5,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Shevuot,Talmud,551,13090,0.04209320091673033,15,2,2,2,0,0,13,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Avodah Zarah,Talmud,833,16194,0.05143880449549216,19,4,3,3,1,1,13,827,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Horayot,Talmud,105,4681,0.022431104464857937,6,1,0,0,0,0,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Zevachim,Talmud,636,17976,0.035380507343124167,13,4,6,7,1,1,5,627,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Menachot,Talmud,24,18893,0.0012703117556767056,16,3,5,5,1,1,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Chullin,Talmud,1601,39942,0.0400831205247609,17,4,2,3,3,3,11,1593,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Bekhorot,Talmud,851,18216,0.04671717171717172,13,2,4,6,0,0,9,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Arakhin,Talmud,381,11033,0.03453276534034261,11,2,7,9,0,0,4,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Temurah,Talmud,354,10300,0.034368932038834954,6,2,1,1,0,0,5,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Keritot,Talmud,340,10215,0.033284385707293196,8,3,1,1,0,0,6,338,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Meilah,Talmud,273,5817,0.04693140794223827,6,2,2,2,0,0,4,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashash on Niddah,Talmud,1015,24100,0.04211618257261411,16,2,6,6,0,0,10,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Berakhot,Talmud,815,52720,0.015459028831562974,1,1,0,0,0,0,1,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Beitzah,Talmud,439,56163,0.007816534017057493,1,1,0,0,0,0,1,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Ketubot,Talmud,1516,1051570,0.001441653907966184,14,2,0,0,0,0,13,1515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Nedarim,Talmud,778,213455,0.003644796327094704,3,2,1,1,0,0,2,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Nazir,Talmud,745,74190,0.010041784607089904,2,1,0,0,0,0,2,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Sotah,Talmud,100,7790,0.012836970474967908,7,3,1,1,1,1,5,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Bava Kamma,Talmud,1830,496230,0.0036878060576748684,6,2,0,0,0,0,5,1829,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Shita Mekubetzet on Bava Metzia,Talmud,2595,680304,0.0038144711775911946,8,1,0,0,0,0,8,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shita Mekubetzet on Bava Batra,Talmud,1240,445883,0.0027809986027724763,3,1,0,0,0,0,3,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abraham Cohen Footnotes to the English Translation of Masechet Berakhot,Talmud,3023,50348,0.06004210693572734,15,3,4,7,0,0,10,3015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahevukha Ad Mavet,Talmud,9,29668,0.00030335715248752866,8,3,2,2,0,0,4,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beur Reuven on Bava Kamma,Talmud,4399,143903,0.030569202865819337,10,1,0,0,0,0,10,4399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daf Shevui to Avodah Zarah,Talmud,1880,134654,0.013961709269683781,23,3,13,61,5,6,5,1812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daf Shevui to Ketubot,Talmud,2916,275379,0.01058904273746364,27,3,9,64,14,25,4,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daf Shevui to Kiddushin,Talmud,2567,145934,0.01759014348952266,23,3,12,140,9,12,2,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daf Shevui to Megillah,Talmud,1055,80305,0.013137413610609551,28,3,20,172,2,2,6,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daf Shevui to Sukkah,Talmud,1333,135759,0.009818870203817057,35,3,16,76,11,20,8,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rereading the Rabbis; A Woman's Voice,Talmud,512,124233,0.004121288224545813,83,5,18,93,31,208,23,175,1,1,0,0,0,0,0,0,0,0,10,35,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Berakhot,Talmud,1963,309087,0.0063509626739397,75,5,17,99,10,31,34,1678,2,3,12,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Sukkah,Talmud,2534,166841,0.015188113233557699,38,4,9,20,1,1,24,2488,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Yevamot,Talmud,3457,294756,0.011728344800445115,50,4,11,73,1,1,31,3324,0,0,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Nedarim,Talmud,652,53814,0.012115806295759467,28,3,5,9,0,0,20,633,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Kiddushin,Talmud,5678,468773,0.012112472348023456,60,4,12,78,8,14,35,5481,0,0,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Bava Kamma,Talmud,4736,353587,0.013394157590635402,43,4,6,37,3,5,30,4631,0,0,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Bava Metzia,Talmud,4338,429797,0.010093136992580218,63,5,12,56,8,46,33,4155,1,1,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reshimot Shiurim on Shevuot,Talmud,2634,196927,0.0133755147846664,41,5,9,30,1,1,27,2577,1,1,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Berakhot,Talmud,3501,170578,0.020524334908370363,38,2,34,749,0,0,4,2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Shabbat,Talmud,4467,301876,0.014797466509427712,38,3,35,711,2,2,1,3754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Eruvin,Talmud,3864,179113,0.021572973486011626,28,2,27,213,0,0,1,3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Pesachim,Talmud,4197,215877,0.01944162648174655,34,2,30,678,0,0,4,3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Rosh Hashanah,Talmud,1397,59773,0.023371756478677664,35,3,33,373,0,0,1,1023,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Steinsaltz on Yoma,Talmud,3097,152724,0.02027841072784893,34,2,31,830,0,0,3,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Sukkah,Talmud,1626,91329,0.01780376441218014,29,2,26,263,0,0,3,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Beitzah,Talmud,1202,73264,0.01640642061585499,16,2,13,50,0,0,3,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Taanit,Talmud,1235,57911,0.02132582756298458,39,3,33,338,1,1,5,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Megillah,Talmud,1898,69455,0.02732704628896408,38,2,33,685,0,0,5,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Moed Katan,Talmud,1225,54442,0.02250101024943977,31,2,30,200,0,0,1,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Chagigah,Talmud,1047,45115,0.023207358971517232,29,2,28,315,0,0,1,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Yevamot,Talmud,4334,244596,0.017719014211189064,34,2,31,464,0,0,3,3870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Ketubot,Talmud,3366,208287,0.016160394071641535,33,2,29,330,0,0,4,3036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Nedarim,Talmud,1793,92419,0.019400772568411256,29,2,28,294,0,0,1,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Nazir,Talmud,1563,85471,0.018286904330123668,18,2,17,266,0,0,1,1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Sotah,Talmud,2568,83869,0.030619179911528693,36,2,35,941,0,0,1,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Gittin,Talmud,3232,168630,0.019166221905947932,31,2,30,247,0,0,1,2985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Kiddushin,Talmud,2845,155091,0.01834406896596192,31,2,30,441,0,0,1,2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Bava Kamma,Talmud,4806,239553,0.02006236615696735,28,2,27,501,0,0,1,4305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Bava Metzia,Talmud,3955,221545,0.017851903676453992,27,2,26,305,0,0,1,3650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Bava Batra,Talmud,4423,234801,0.01883722812083424,39,2,35,613,0,0,4,3810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Sanhedrin,Talmud,6001,245846,0.024409589743172554,41,3,38,1838,1,1,2,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Makkot,Talmud,1018,47794,0.0212997447378332,25,2,24,309,0,0,1,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Shevuot,Talmud,1869,83792,0.022305232003055186,27,2,25,315,0,0,2,1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Avodah Zarah,Talmud,2561,119486,0.0214334733776342,34,2,33,434,0,0,1,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Horayot,Talmud,628,28107,0.022343188529547798,21,2,20,179,0,0,1,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Zevachim,Talmud,4889,199568,0.024497915497474546,32,2,27,1076,0,0,5,3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Menachot,Talmud,4409,252383,0.017469480907985085,30,2,26,614,0,0,4,3795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Chullin,Talmud,4989,281626,0.017714983701788898,37,2,33,602,0,0,4,4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Bekhorot,Talmud,2351,117451,0.020016858094013674,24,2,22,402,0,0,2,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Arakhin,Talmud,1458,68394,0.021317659443810862,28,2,25,282,0,0,3,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Temurah,Talmud,1362,86850,0.015682210708117445,19,3,16,217,1,1,2,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Keritot,Talmud,1406,64543,0.02178392699440683,20,2,19,201,0,0,1,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Meilah,Talmud,552,33131,0.016661133077782136,7,2,5,41,0,0,2,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Tamid,Talmud,229,16369,0.013989858879589468,14,3,12,28,0,0,1,200,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinsaltz on Niddah,Talmud,2894,183669,0.015756605632959293,30,2,26,235,0,0,4,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Binyan Yehoshua on Avot D'Rabbi Natan,Talmud,2168,60758,0.03568254386253662,44,4,27,254,1,1,15,1912,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commentary of Chida on Tractate Gerim,Talmud,8,477,0.016771488469601678,2,1,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gra's Nuschah on Avot D'Rabbi Natan,Talmud,628,3044,0.20630749014454666,11,2,10,34,0,0,1,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gra's Nuschah on Tractate Derekh Eretz Rabbah,Talmud,92,676,0.13609467455621302,8,2,4,4,0,0,4,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gra's Nuschah on Tractate Kallah,Talmud,40,294,0.1360544217687075,4,2,1,1,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gra's Nuschah on Tractate Derekh Eretz Zuta,Talmud,79,252,0.3134920634920635,4,1,0,0,0,0,4,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gra's Nuschah on Tractate Soferim,Talmud,344,2672,0.12874251497005987,27,3,21,47,0,0,5,296,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gra's Nuschah on Tractate Semachot,Talmud,261,1935,0.13488372093023257,5,2,2,2,0,0,3,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot on Tractate Tzitzit,Talmud,10,142,0.07042253521126761,1,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot on Tractate Avadim,Talmud,18,252,0.07142857142857142,1,1,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot on Tractate Tefillin,Talmud,16,220,0.07272727272727272,1,1,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot on Tractate Mezuzah,Talmud,8,98,0.08163265306122448,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot on Tractate Kutim,Talmud,21,327,0.06422018348623854,1,1,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Tractate Gerim,Talmud,25,58,0.43103448275862066,1,1,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Avot D'Rabbi Natan,Talmud,295,1415,0.20848056537102475,1,1,0,0,0,0,1,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Tractate Derekh Eretz Rabbah,Talmud,75,294,0.25510204081632654,1,1,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Tractate Kallah,Talmud,26,101,0.25742574257425743,1,1,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Tractate Derekh Eretz Zuta,Talmud,57,177,0.3220338983050847,1,1,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Tractate Soferim,Talmud,175,656,0.26676829268292684,4,2,1,1,0,0,3,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot R' Yeshaya Berlin on Tractate Semachot,Talmud,156,391,0.3989769820971867,1,1,0,0,0,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot Ya'avetz on Avot D'Rabbi Natan,Talmud,55,1403,0.039201710620099785,2,2,1,1,0,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot Ya'avetz on Tractate Derekh Eretz Rabbah,Talmud,8,63,0.12698412698412698,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot Ya'avetz on Tractate Derekh Eretz Zuta,Talmud,5,70,0.07142857142857142,2,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot Ya'avetz on Tractate Soferim,Talmud,12,127,0.09448818897637795,2,2,1,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot Ya'avetz on Tractate Semachot,Talmud,6,90,0.06666666666666667,1,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haggahot and Marei Mekomot on Tractate Kallah Rabbati,Talmud,821,1731,0.47429231658001153,53,3,29,229,1,2,23,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kisse Rahamim on Avot D'Rabbi Natan,Talmud,736,54888,0.013409124034397318,8,3,5,5,0,0,2,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Kisse Rahamim on Tractate Kallah,Talmud,132,9646,0.0136844287787684,2,1,0,0,0,0,2,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kisse Rahamim on Tractate Soferim,Talmud,910,89994,0.010111785230126452,3,2,2,2,0,0,1,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lev Hakhamim on Tractate Semachot,Talmud,30,1140,0.02631578947368421,1,1,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorat HaShas on Tractate Tzitzit,Talmud,22,111,0.1981981981981982,1,1,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorat HaShas on Tractate Avadim,Talmud,43,203,0.21182266009852216,1,1,0,0,0,0,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorat HaShas on Tractate Tefillin,Talmud,36,164,0.21951219512195122,1,1,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorat HaShas on Tractate Mezuzah,Talmud,26,112,0.23214285714285715,1,1,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesorat HaShas on Tractate Sefer Torah,Talmud,35,116,0.3017241379310345,1,1,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
