Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Lamentations,Tanakh,7206,1840,3.916304347826087,625,14,197,2607,40,79,132,335,50,1081,36,91,19,297,20,215,44,255,4,8,47,511,17,299,4,4,1,2,14,1420
Ecclesiastes,Tanakh,14059,2994,4.6957247828991315,788,14,197,4884,65,308,189,835,50,1775,50,233,34,877,12,44,59,938,28,43,57,1371,24,648,8,21,2,9,13,2073
Esther,Tanakh,9414,3155,2.983835182250396,526,14,151,4951,51,104,100,743,50,886,28,84,14,112,16,225,37,168,13,23,34,333,14,141,6,9,3,3,9,1632
Daniel,Tanakh,13643,6148,2.219095640858816,698,14,213,5125,63,125,152,507,61,1419,30,77,22,429,18,206,42,351,9,11,44,352,19,221,6,17,5,11,14,4792
Ezra,Tanakh,5508,4094,1.3453834880312652,440,14,120,2253,48,73,112,285,50,281,27,41,7,18,9,21,21,80,12,17,10,11,9,45,4,8,1,1,10,2374
Nehemiah,Tanakh,7131,5586,1.2765843179377014,572,14,146,2726,87,150,137,352,49,307,32,73,9,54,10,241,31,108,9,15,32,166,13,71,2,6,3,3,12,2859
I Chronicles,Tanakh,13756,11417,1.20486993080494,582,14,153,5891,49,89,150,481,57,865,29,71,15,153,17,300,35,144,11,18,38,242,14,137,2,3,3,4,9,5357
II Chronicles,Tanakh,12826,13686,0.9371620634224755,559,14,156,6023,64,94,132,492,55,685,39,79,11,65,7,41,18,105,23,45,23,82,13,95,5,8,3,3,10,5009
Aramaic Targum to Psalms,Tanakh,4432,24786,0.17881061889776487,3,2,2,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1902
Aramaic Targum to Proverbs,Tanakh,2252,7703,0.2923536284564455,2,2,1,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1337
Aramaic Targum to Job,Tanakh,2268,10327,0.219618475840031,2,2,1,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1198
Aramaic Targum to Song of Songs,Tanakh,363,5621,0.06457925636007827,9,2,8,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,239
Aramaic Targum to Ruth,Tanakh,179,2139,0.08368396446937822,2,2,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,94
Aramaic Targum to Lamentations,Tanakh,376,2895,0.1298791018998273,2,2,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,222
Aramaic Targum to Ecclesiastes,Tanakh,471,7010,0.06718972895863053,2,2,1,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248
Aramaic Targum to Esther,Tanakh,453,7046,0.06429179676412149,3,3,1,167,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285
Targum Sheni on Esther,Tanakh,165,15582,0.01058914131690412,2,2,1,164,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onkelos Genesis,Tanakh,3694,21697,0.17025395215928468,27,9,14,2420,3,5,0,0,3,18,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2,1246
Onkelos Exodus,Tanakh,2713,17335,0.1565041822901644,15,6,9,1835,0,0,1,1,2,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,872
Onkelos Leviticus,Tanakh,1664,12288,0.13541666666666666,8,3,6,1143,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,520
Onkelos Numbers,Tanakh,2224,17020,0.13066980023501762,12,4,9,1787,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,435
Onkelos Deuteronomy,Tanakh,2218,15081,0.1470724753000464,14,5,8,1662,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,549
Tafsir Rasag,Tanakh,5943,82490,0.07204509637531822,5,1,5,5943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Targum Jerusalem,Tanakh,1445,19633,0.07360057046808945,9,5,5,875,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,567
Targum of I Chronicles,Tanakh,1233,13208,0.09335251362810418,5,3,1,943,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,285
Targum of II Chronicles,Tanakh,1117,16671,0.06700257932937437,3,3,1,822,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,294
Targum Jonathan on Genesis,Tanakh,2401,27751,0.08651940470613671,6,5,2,1523,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,875
Targum Jonathan on Exodus,Tanakh,1892,22315,0.08478601837329151,9,5,3,1213,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,676
