Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
3a.6		שבת	21.12			א"ח	320.1	א"ח	320	http://www.sefaria.org/Beitzah.3a.6	sefaria.org/Mishneh_Torah,_Sabbath.21.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.320.1	sefaria.org/Tur,_Orach_Chaim.320		Beitzah.3a.6	Mishneh_Torah,_Sabbath.21.12		Shulchan_Arukh,_Orach_Chayim.320.1	Tur,_Orach_Chaim.320
3a.6		שבת	21.15							http://www.sefaria.org/Beitzah.3a.6	sefaria.org/Mishneh_Torah,_Sabbath.21.15					Beitzah.3a.6	Mishneh_Torah,_Sabbath.21.15			
3a.19		שבת	21.12			א"ח	320.1	א"ח	320	http://www.sefaria.org/Beitzah.3a.19	sefaria.org/Mishneh_Torah,_Sabbath.21.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.320.1	sefaria.org/Tur,_Orach_Chaim.320		Beitzah.3a.19	Mishneh_Torah,_Sabbath.21.12		Shulchan_Arukh,_Orach_Chayim.320.1	Tur,_Orach_Chaim.320
3a.19		שבת	21.15							http://www.sefaria.org/Beitzah.3a.19	sefaria.org/Mishneh_Torah,_Sabbath.21.15					Beitzah.3a.19	Mishneh_Torah,_Sabbath.21.15			
3a.24		שביתת יום טוב	1.24	לאוין	65	א"ח	513.5	א"ח	513	http://www.sefaria.org/Beitzah.3a.24	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.24	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.5	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.3a.24	Mishneh_Torah,_Rest_on_a_Holiday.1.24	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.513.5	Tur,_Orach_Chaim.513
3b.7		שביתת יום טוב	1.20	לאוין	75	א"ח	322.1	א"ח	322	http://www.sefaria.org/Beitzah.3b.7	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.20	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.322.1	sefaria.org/Tur,_Orach_Chaim.322		Beitzah.3b.7	Mishneh_Torah,_Rest_on_a_Holiday.1.20	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.322.1	Tur,_Orach_Chaim.322
3b.7						א"ח	513.1	א"ח	513	http://www.sefaria.org/Beitzah.3b.7			sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.1	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.3b.7			Shulchan_Arukh,_Orach_Chayim.513.1	Tur,_Orach_Chaim.513
3b.8		שבת	25.23	לאוין	75	א"ח	310.6	א"ח	310	http://www.sefaria.org/Beitzah.3b.8	sefaria.org/Mishneh_Torah,_Sabbath.25.23	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.310.6	sefaria.org/Tur,_Orach_Chaim.310		Beitzah.3b.8	Mishneh_Torah,_Sabbath.25.23	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.310.6	Tur,_Orach_Chaim.310
3b.8						א"ח	322.1	א"ח	322	http://www.sefaria.org/Beitzah.3b.8			sefaria.org/Shulchan_Arukh,_Orach_Chayim.322.1	sefaria.org/Tur,_Orach_Chaim.322		Beitzah.3b.8			Shulchan_Arukh,_Orach_Chayim.322.1	Tur,_Orach_Chaim.322
3b.8						א"ח	513.4	א"ח	513	http://www.sefaria.org/Beitzah.3b.8			sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.4	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.3b.8			Shulchan_Arukh,_Orach_Chayim.513.4	Tur,_Orach_Chaim.513
3b.8		שביתת יום טוב	2.6			א"ח	513.2	א"ח	513	http://www.sefaria.org/Beitzah.3b.8	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.2.6		sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.2	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.3b.8	Mishneh_Torah,_Rest_on_a_Holiday.2.6		Shulchan_Arukh,_Orach_Chayim.513.2	Tur,_Orach_Chaim.513
3b.8						י"ד	102.1	י"ד	102	http://www.sefaria.org/Beitzah.3b.8			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.102.1	sefaria.org/Tur,_Yoreh_Deah.102		Beitzah.3b.8			Shulchan_Arukh,_Yoreh_De'ah.102.1	Tur,_Yoreh_Deah.102
3b.9		שביתת יום טוב	1.20	לאוין	75	א"ח	513.1	א"ח	513	http://www.sefaria.org/Beitzah.3b.9	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.20	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.1	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.3b.9	Mishneh_Torah,_Rest_on_a_Holiday.1.20	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.513.1	Tur,_Orach_Chaim.513
3b.9						י"ד	102.1	י"ד	102	http://www.sefaria.org/Beitzah.3b.9			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.102.1	sefaria.org/Tur,_Yoreh_Deah.102		Beitzah.3b.9			Shulchan_Arukh,_Yoreh_De'ah.102.1	Tur,_Yoreh_Deah.102
3b.15		מאכלות אסורות	1.20	לאוין	75	י"ד	102.1	י"ד	102	http://www.sefaria.org/Beitzah.3b.15	sefaria.org/Mishneh_Torah,_Forbidden_Foods.1.20	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.102.1	sefaria.org/Tur,_Yoreh_Deah.102		Beitzah.3b.15	Mishneh_Torah,_Forbidden_Foods.1.20	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Yoreh_De'ah.102.1	Tur,_Yoreh_Deah.102
3b.15		מאכלות אסורות	15.9	לאוין	148				0	http://www.sefaria.org/Beitzah.3b.15	sefaria.org/Mishneh_Torah,_Forbidden_Foods.15.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.148				Beitzah.3b.15	Mishneh_Torah,_Forbidden_Foods.15.9	Sefer_Mitzvot_Gadol,_Volume_One.148		
3b.15		מאכלות אסורות	15.10						0	http://www.sefaria.org/Beitzah.3b.15	sefaria.org/Mishneh_Torah,_Forbidden_Foods.15.10					Beitzah.3b.15	Mishneh_Torah,_Forbidden_Foods.15.10			
3b.22		מאכלות אסורות	16.8						0	http://www.sefaria.org/Beitzah.3b.22	sefaria.org/Mishneh_Torah,_Forbidden_Foods.16.8					Beitzah.3b.22	Mishneh_Torah,_Forbidden_Foods.16.8			
3b.27		מאכלות אסורות	16.3			י"ד	110.1	י"ד	110	http://www.sefaria.org/Beitzah.3b.27	sefaria.org/Mishneh_Torah,_Forbidden_Foods.16.3		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.110.1	sefaria.org/Tur,_Yoreh_Deah.110		Beitzah.3b.27	Mishneh_Torah,_Forbidden_Foods.16.3		Shulchan_Arukh,_Yoreh_De'ah.110.1	Tur,_Yoreh_Deah.110
3b.27		מאכלות אסורות	16.9						0	http://www.sefaria.org/Beitzah.3b.27	sefaria.org/Mishneh_Torah,_Forbidden_Foods.16.9					Beitzah.3b.27	Mishneh_Torah,_Forbidden_Foods.16.9			
4a.4		תרומות	14.6						0	http://www.sefaria.org/Beitzah.4a.4	sefaria.org/Mishneh_Torah,_Heave_Offerings.14.6					Beitzah.4a.4	Mishneh_Torah,_Heave_Offerings.14.6			
4a.4		תרומות	14.6						0	http://www.sefaria.org/Beitzah.4a.4	sefaria.org/Mishneh_Torah,_Heave_Offerings.14.6					Beitzah.4a.4	Mishneh_Torah,_Heave_Offerings.14.6			
4a.15		תרומות	14.6						0	http://www.sefaria.org/Beitzah.4a.15	sefaria.org/Mishneh_Torah,_Heave_Offerings.14.6					Beitzah.4a.15	Mishneh_Torah,_Heave_Offerings.14.6			
4a.4		תרומות	14.7						0	http://www.sefaria.org/Beitzah.4a.4	sefaria.org/Mishneh_Torah,_Heave_Offerings.14.7					Beitzah.4a.4	Mishneh_Torah,_Heave_Offerings.14.7			
4a.4		תרומות	14.7						0	http://www.sefaria.org/Beitzah.4a.4	sefaria.org/Mishneh_Torah,_Heave_Offerings.14.7					Beitzah.4a.4	Mishneh_Torah,_Heave_Offerings.14.7			
4a.15		תרומות	14.7						0	http://www.sefaria.org/Beitzah.4a.15	sefaria.org/Mishneh_Torah,_Heave_Offerings.14.7					Beitzah.4a.15	Mishneh_Torah,_Heave_Offerings.14.7			
4a.17		שביתת יום טוב	1.20			א"ח	513.2	א"ח	513	http://www.sefaria.org/Beitzah.4a.17	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.20		sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.2	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.4a.17	Mishneh_Torah,_Rest_on_a_Holiday.1.20		Shulchan_Arukh,_Orach_Chayim.513.2	Tur,_Orach_Chaim.513
4a.17		שביתת יום טוב	2.6			י"ד	102.1	י"ד	102	http://www.sefaria.org/Beitzah.4a.17	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.2.6		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.102.1	sefaria.org/Tur,_Yoreh_Deah.102		Beitzah.4a.17	Mishneh_Torah,_Rest_on_a_Holiday.2.6		Shulchan_Arukh,_Yoreh_De'ah.102.1	Tur,_Yoreh_Deah.102
4a.40		שביתת יום טוב	1.19	לאוין	65	א"ח	322.5	א"ח	322	http://www.sefaria.org/Beitzah.4a.40	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.322.5	sefaria.org/Tur,_Orach_Chaim.322		Beitzah.4a.40	Mishneh_Torah,_Rest_on_a_Holiday.1.19	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.322.5	Tur,_Orach_Chaim.322
4a.40				לאוין	75	א"ח	513.5	א"ח	513	http://www.sefaria.org/Beitzah.4a.40		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.5	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.4a.40		Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.513.5	Tur,_Orach_Chaim.513
4a.45		עירובין	8.8	עשין דרבנן א	1	א"ח	416.2	א"ח	416	http://www.sefaria.org/Beitzah.4a.45	sefaria.org/Mishneh_Torah,_Eruvin.8.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Eruvin.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.416.2	sefaria.org/Tur,_Orach_Chaim.416	there is a problem with the SMAG link 	Beitzah.4a.45	Mishneh_Torah,_Eruvin.8.8	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Eruvin.1	Shulchan_Arukh,_Orach_Chayim.416.2	Tur,_Orach_Chaim.416
4b.5		שביתת יום טוב	2.11	לאוין	65	א"ח	507.2	א"ח	507	http://www.sefaria.org/Beitzah.4b.5	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.2.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.507.2	sefaria.org/Tur,_Orach_Chaim.507		Beitzah.4b.5	Mishneh_Torah,_Rest_on_a_Holiday.2.11	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.507.2	Tur,_Orach_Chaim.507
4b.5				לאוין	75				0	http://www.sefaria.org/Beitzah.4b.5		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75				Beitzah.4b.5		Sefer_Mitzvot_Gadol,_Volume_One.75		
4b.11		שביתת יום טוב	2.11	לאוין	65	א"ח	507.2	א"ח	507	http://www.sefaria.org/Beitzah.4b.11	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.2.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.507.2	sefaria.org/Tur,_Orach_Chaim.507		Beitzah.4b.11	Mishneh_Torah,_Rest_on_a_Holiday.2.11	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.507.2	Tur,_Orach_Chaim.507
4b.11				לאוין	75				0	http://www.sefaria.org/Beitzah.4b.11		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75				Beitzah.4b.11		Sefer_Mitzvot_Gadol,_Volume_One.75		
4b.15		מאכלות אסורות	15.25	לאוין	141	י"ד	99.5	י"ד	99	http://www.sefaria.org/Beitzah.4b.15	sefaria.org/Mishneh_Torah,_Forbidden_Foods.15.25	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.141	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.99.5	sefaria.org/Tur,_Yoreh_Deah.99		Beitzah.4b.15	Mishneh_Torah,_Forbidden_Foods.15.25	Sefer_Mitzvot_Gadol,_Volume_One.141	Shulchan_Arukh,_Yoreh_De'ah.99.5	Tur,_Yoreh_Deah.99
4b.15		מאכלות אסורות	16.12						0	http://www.sefaria.org/Beitzah.4b.15	sefaria.org/Mishneh_Torah,_Forbidden_Foods.16.12					Beitzah.4b.15	Mishneh_Torah,_Forbidden_Foods.16.12			
4b.16		מאכלות אסורות	15.26			י"ד	99.6	י"ד	99	http://www.sefaria.org/Beitzah.4b.16	sefaria.org/Mishneh_Torah,_Forbidden_Foods.15.26		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.99.6	sefaria.org/Tur,_Yoreh_Deah.99		Beitzah.4b.16	Mishneh_Torah,_Forbidden_Foods.15.26		Shulchan_Arukh,_Yoreh_De'ah.99.6	Tur,_Yoreh_Deah.99
4b.19		שביתת יום טוב	2.11			י"ד	102.4	י"ד	102	http://www.sefaria.org/Beitzah.4b.19	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.2.11		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.102.4	sefaria.org/Tur,_Yoreh_Deah.102		Beitzah.4b.19	Mishneh_Torah,_Rest_on_a_Holiday.2.11		Shulchan_Arukh,_Yoreh_De'ah.102.4	Tur,_Yoreh_Deah.102
4b.19								א"ח	513	http://www.sefaria.org/Beitzah.4b.19				sefaria.org/Tur,_Orach_Chaim.513		Beitzah.4b.19				Tur,_Orach_Chaim.513
4b.21		שביתת יום טוב	1.24	לאוין	75	א"ח	513.5	א"ח	513	http://www.sefaria.org/Beitzah.4b.21	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.24	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.5	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.4b.21	Mishneh_Torah,_Rest_on_a_Holiday.1.24	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.513.5	Tur,_Orach_Chaim.513
4b.31		קידוש החודש	3.8						0	http://www.sefaria.org/Beitzah.4b.31	sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.3.8					Beitzah.4b.31	Mishneh_Torah,_Sanctification_of_the_New_Month.3.8			
4b.36		שביתת יום טוב	5.35						0	http://www.sefaria.org/Beitzah.4b.36	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.5.35					Beitzah.4b.36	Mishneh_Torah,_Rest_on_a_Holiday.5.35			
4b.36		שביתת יום טוב	1.21						0	http://www.sefaria.org/Beitzah.4b.36	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.21					Beitzah.4b.36	Mishneh_Torah,_Rest_on_a_Holiday.1.21			
4b.38		שביתת יום טוב	1.24	לאוין	45	א"ח	513.5	א"ח	513	http://www.sefaria.org/Beitzah.4b.38	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.24	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.45	sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.5	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.4b.38	Mishneh_Torah,_Rest_on_a_Holiday.1.24	Sefer_Mitzvot_Gadol,_Volume_One.45	Shulchan_Arukh,_Orach_Chayim.513.5	Tur,_Orach_Chaim.513
4b.38						א"ח	600.1	א"ח	600	http://www.sefaria.org/Beitzah.4b.38			sefaria.org/Shulchan_Arukh,_Orach_Chayim.600.1	sefaria.org/Tur,_Orach_Chaim.600		Beitzah.4b.38			Shulchan_Arukh,_Orach_Chayim.600.1	Tur,_Orach_Chaim.600
4b.40		קידוש החודש	3.5						0	http://www.sefaria.org/Beitzah.4b.40	sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.3.5					Beitzah.4b.40	Mishneh_Torah,_Sanctification_of_the_New_Month.3.5			
5a.3		קידוש החודש	3.6						0	http://www.sefaria.org/Beitzah.5a.3	sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.3.6					Beitzah.5a.3	Mishneh_Torah,_Sanctification_of_the_New_Month.3.6			
5a.7		קידוש החודש	3.6						0	http://www.sefaria.org/Beitzah.5a.7	sefaria.org/Mishneh_Torah,_Sanctification_of_the_New_Month.3.6					Beitzah.5a.7	Mishneh_Torah,_Sanctification_of_the_New_Month.3.6			
5a.17		ממרים	2.2						0	http://www.sefaria.org/Beitzah.5a.17	sefaria.org/Mishneh_Torah,_Rebels.2.2					Beitzah.5a.17	Mishneh_Torah,_Rebels.2.2			
5a.22		מעשר שני ונטע רבעי	9.5	עשין	137				0	http://www.sefaria.org/Beitzah.5a.22	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.137				Beitzah.5a.22	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.5	Sefer_Mitzvot_Gadol,_Volume_Two.137		
5a.22		ממרים	2.2						0	http://www.sefaria.org/Beitzah.5a.22	sefaria.org/Mishneh_Torah,_Rebels.2.2					Beitzah.5a.22	Mishneh_Torah,_Rebels.2.2			
5a.28		מעשר שני ונטע רבעי	9.5	עשין	137				0	http://www.sefaria.org/Beitzah.5a.28	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.137				Beitzah.5a.28	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.5	Sefer_Mitzvot_Gadol,_Volume_Two.137		
5a.28		ממרים	2.2						0	http://www.sefaria.org/Beitzah.5a.28	sefaria.org/Mishneh_Torah,_Rebels.2.2					Beitzah.5a.28	Mishneh_Torah,_Rebels.2.2			
