Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
3b.32		מגילה וחנוכה	1.1			א"ח	687.2	א"ח	687	http://www.sefaria.org/Megillah.3b.32	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.687.2	sefaria.org/Tur,_Orach_Chaim.687		Megillah.3b.32	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.1		Shulchan_Arukh,_Orach_Chayim.687.2	Tur,_Orach_Chaim.687
3b.36		מגילה וחנוכה	1.10			א"ח	688.2	א"ח	688	http://www.sefaria.org/Megillah.3b.36	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.2	sefaria.org/Tur,_Orach_Chaim.688		Megillah.3b.36	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		Shulchan_Arukh,_Orach_Chayim.688.2	Tur,_Orach_Chaim.688
3b.38		מגילה וחנוכה	1.10			א"ח	688.2	א"ח	688	http://www.sefaria.org/Megillah.3b.38	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.2	sefaria.org/Tur,_Orach_Chaim.688		Megillah.3b.38	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		Shulchan_Arukh,_Orach_Chayim.688.2	Tur,_Orach_Chaim.688
3b.44						א"ח	688.1	א"ח	688	http://www.sefaria.org/Megillah.3b.44			sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.1	sefaria.org/Tur,_Orach_Chaim.688		Megillah.3b.44			Shulchan_Arukh,_Orach_Chayim.688.1	Tur,_Orach_Chaim.688
3b.45		שמיטה ויובל	12.14	עשין	154				0	http://www.sefaria.org/Megillah.3b.45	sefaria.org/Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.12.14	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.154				Megillah.3b.45	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.12.14	Sefer_Mitzvot_Gadol,_Volume_Two.154		
3b.47		מגילה וחנוכה	1.8						0	http://www.sefaria.org/Megillah.3b.47	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.8					Megillah.3b.47	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.8			
3b.57		שמיטה ויובל	12.15			א"ח	688.1	א"ח	688	http://www.sefaria.org/Megillah.3b.57	sefaria.org/Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.12.15		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.1	sefaria.org/Tur,_Orach_Chaim.688		Megillah.3b.57	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.12.15		Shulchan_Arukh,_Orach_Chayim.688.1	Tur,_Orach_Chaim.688
3b.57		מגילה וחנוכה	1.4						0	http://www.sefaria.org/Megillah.3b.57	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4					Megillah.3b.57	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4			
4a.9		מגילה וחנוכה	1.1	עשין דרבנן ד	1	א"ח	689.1	א"ח	689	http://www.sefaria.org/Megillah.4a.9	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.689.1	sefaria.org/Tur,_Orach_Chaim.689		Megillah.4a.9	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.1	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.689.1	Tur,_Orach_Chaim.689
4a.11		מגילה וחנוכה	1.13					א"ח	688	http://www.sefaria.org/Megillah.4a.11	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.13			sefaria.org/Tur,_Orach_Chaim.688		Megillah.4a.11	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.13			Tur,_Orach_Chaim.688
