Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
24b.37		תפילה וברכת כהנים	8.12			א"ח	53.12	א"ח	53	http://www.sefaria.org/Megillah.24b.37	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.53.12	sefaria.org/Tur,_Orach_Chaim.53		Megillah.24b.37	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.12		Shulchan_Arukh,_Orach_Chayim.53.12	Tur,_Orach_Chaim.53
24b.49		תפילה וברכת כהנים	15.2			א"ח	128.30	א"ח	128	http://www.sefaria.org/Megillah.24b.49	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.128.30	sefaria.org/Tur,_Orach_Chaim.128		Megillah.24b.49	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.2		Shulchan_Arukh,_Orach_Chayim.128.30	Tur,_Orach_Chaim.128
24b.51		תפילה וברכת כהנים	15.2			א"ח	128.30	א"ח	128	http://www.sefaria.org/Megillah.24b.51	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.128.30	sefaria.org/Tur,_Orach_Chaim.128		Megillah.24b.51	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.2		Shulchan_Arukh,_Orach_Chayim.128.30	Tur,_Orach_Chaim.128
24b.57		תפילה וברכת כהנים	15.2			א"ח	128.32	א"ח	128	http://www.sefaria.org/Megillah.24b.57	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.128.32	sefaria.org/Tur,_Orach_Chaim.128		Megillah.24b.57	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.2		Shulchan_Arukh,_Orach_Chayim.128.32	Tur,_Orach_Chaim.128
24b.58		תפילה וברכת כהנים	10.5			א"ח	53.18	א"ח	53	http://www.sefaria.org/Megillah.24b.58	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.10.5		sefaria.org/Shulchan_Arukh,_Orach_Chayim.53.18	sefaria.org/Tur,_Orach_Chaim.53		Megillah.24b.58	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.10.5		Shulchan_Arukh,_Orach_Chayim.53.18	Tur,_Orach_Chaim.53
24b.60		תפילין ומזוזה וספר תורה	4.3						0	http://www.sefaria.org/Megillah.24b.60	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.4.3					Megillah.24b.60	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.4.3			
24b.62		תפילין ומזוזה וספר תורה	3.15			א"ח	32.48	א"ח	32	http://www.sefaria.org/Megillah.24b.62	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.3.15		sefaria.org/Shulchan_Arukh,_Orach_Chayim.32.48	sefaria.org/Tur,_Orach_Chaim.32		Megillah.24b.62	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.3.15		Shulchan_Arukh,_Orach_Chayim.32.48	Tur,_Orach_Chaim.32
24b.66		תפילין ומזוזה וספר תורה	3.1			א"ח	32.39	א"ח	32	http://www.sefaria.org/Megillah.24b.66	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.3.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.32.39	sefaria.org/Tur,_Orach_Chaim.32		Megillah.24b.66	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.3.1		Shulchan_Arukh,_Orach_Chayim.32.39	Tur,_Orach_Chaim.32
25a.1		תפילה וברכת כהנים	9.7						0	http://www.sefaria.org/Megillah.25a.1	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.9.7					Megillah.25a.1	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.9.7			
25a.1		תפילה וברכת כהנים	9.4			א"ח	121.2	א"ח	121	http://www.sefaria.org/Megillah.25a.1	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.9.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.121.2	sefaria.org/Tur,_Orach_Chaim.121		Megillah.25a.1	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.9.4		Shulchan_Arukh,_Orach_Chayim.121.2	Tur,_Orach_Chaim.121
25a.6		ברכות	10.3	עשין	27	א"ח	121.2	א"ח	121	http://www.sefaria.org/Megillah.25a.6	sefaria.org/Mishneh_Torah,_Blessings.10.3	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.27	sefaria.org/Shulchan_Arukh,_Orach_Chayim.121.2	sefaria.org/Tur,_Orach_Chaim.121		Megillah.25a.6	Mishneh_Torah,_Blessings.10.3	Sefer_Mitzvot_Gadol,_Volume_Two.27	Shulchan_Arukh,_Orach_Chayim.121.2	Tur,_Orach_Chaim.121
25a.6						א"ח	222.3	א"ח	222	http://www.sefaria.org/Megillah.25a.6			sefaria.org/Shulchan_Arukh,_Orach_Chayim.222.3	sefaria.org/Tur,_Orach_Chaim.222						
25a.20		תפילה וברכת כהנים	9.7			א"ח	113.9	א"ח	113	http://www.sefaria.org/Megillah.25a.20	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.9.7		sefaria.org/Shulchan_Arukh,_Orach_Chayim.113.9	sefaria.org/Tur,_Orach_Chaim.113		Megillah.25a.20	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.9.7		Shulchan_Arukh,_Orach_Chayim.113.9	Tur,_Orach_Chaim.113
25a.27		תשובה	5.1						0	http://www.sefaria.org/Megillah.25a.27	sefaria.org/Mishneh_Torah,_Repentance.5.1					Megillah.25a.27	Mishneh_Torah,_Repentance.5.1			
25a.27		תשובה	5.2						0	http://www.sefaria.org/Megillah.25a.27	sefaria.org/Mishneh_Torah,_Repentance.5.2					Megillah.25a.27	Mishneh_Torah,_Repentance.5.2			
25a.31		קריאת שמע	2.11	עשין	18	א"ח	61.9	א"ח	61	http://www.sefaria.org/Megillah.25a.31	sefaria.org/Mishneh_Torah,_Reading_the_Shema.2.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.61.9	sefaria.org/Tur,_Orach_Chaim.61		Megillah.25a.31	Mishneh_Torah,_Reading_the_Shema.2.11	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.61.9	Tur,_Orach_Chaim.61
25a.46		תפילה וברכת כהנים	12.12	עשין	19				0	http://www.sefaria.org/Megillah.25a.46	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.12	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19				Megillah.25a.46	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.12	Sefer_Mitzvot_Gadol,_Volume_Two.19		
25b.46		תפילה וברכת כהנים	12.12	עשין	19				0	http://www.sefaria.org/Megillah.25b.46	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.12	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19				Megillah.25b.46	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.12	Sefer_Mitzvot_Gadol,_Volume_Two.19		
25b.52						י"ד	147.5	י"ד	147	http://www.sefaria.org/Megillah.25b.52			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.147.5	sefaria.org/Tur,_Yoreh_Deah.147		Megillah.25b.52			Shulchan_Arukh,_Yoreh_De'ah.147.5	Tur,_Yoreh_Deah.147
25b.61		תפילה וברכת כהנים	11.14			א"ח	153.2	א"ח	153	http://www.sefaria.org/Megillah.25b.61	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.2	sefaria.org/Tur,_Orach_Chaim.153		Megillah.25b.61	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.14		Shulchan_Arukh,_Orach_Chayim.153.2	Tur,_Orach_Chaim.153
26a.6		תפילה וברכת כהנים	11.21			א"ח	154.1	א"ח	154	http://www.sefaria.org/Megillah.26a.6	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.21		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.1	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26a.6	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.21		Shulchan_Arukh,_Orach_Chayim.154.1	Tur,_Orach_Chaim.154
26a.12		תפילה וברכת כהנים	11.16			א"ח	153.7	א"ח	153	http://www.sefaria.org/Megillah.26a.12	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.16		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.7	sefaria.org/Tur,_Orach_Chaim.153		Megillah.26a.12	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.16		Shulchan_Arukh,_Orach_Chayim.153.7	Tur,_Orach_Chaim.153
26a.14		תפילה וברכת כהנים	11.19			א"ח	153.7	א"ח	153	http://www.sefaria.org/Megillah.26a.14	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.19		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.7	sefaria.org/Tur,_Orach_Chaim.153		Megillah.26a.14	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.19		Shulchan_Arukh,_Orach_Chayim.153.7	Tur,_Orach_Chaim.153
26a.21		טומאת צרעת	14.11						0	http://www.sefaria.org/Megillah.26a.21	sefaria.org/Mishneh_Torah,_Defilement_by_Leprosy.14.11					Megillah.26a.21	Mishneh_Torah,_Defilement_by_Leprosy.14.11			
26a.21		בית הבחירה	7.14						0	http://www.sefaria.org/Megillah.26a.21	sefaria.org/Mishneh_Torah,_The_Chosen_Temple.7.14					Megillah.26a.21	Mishneh_Torah,_The_Chosen_Temple.7.14			
26a.31		טומאת צרעת	14.11						0	http://www.sefaria.org/Megillah.26a.31	sefaria.org/Mishneh_Torah,_Defilement_by_Leprosy.14.11					Megillah.26a.31	Mishneh_Torah,_Defilement_by_Leprosy.14.11			
26a.31		בית הבחירה	7.14						0	http://www.sefaria.org/Megillah.26a.31	sefaria.org/Mishneh_Torah,_The_Chosen_Temple.7.14					Megillah.26a.31	Mishneh_Torah,_The_Chosen_Temple.7.14			
26a.31		רוצח ושמירת נפש	9.4						0	http://www.sefaria.org/Megillah.26a.31	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.9.4					Megillah.26a.31	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.9.4			
26a.39		בית הבחירה	7.14						0	http://www.sefaria.org/Megillah.26a.39	sefaria.org/Mishneh_Torah,_The_Chosen_Temple.7.14					Megillah.26a.39	Mishneh_Torah,_The_Chosen_Temple.7.14			
26a.46		תפילה וברכת כהנים	11.17			א"ח	153.7	א"ח	153	http://www.sefaria.org/Megillah.26a.46	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.17		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.7	sefaria.org/Tur,_Orach_Chaim.153		Megillah.26a.46	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.17		Shulchan_Arukh,_Orach_Chayim.153.7	Tur,_Orach_Chaim.153
26b.9		תפילה וברכת כהנים	11.12			א"ח	152.1	א"ח	152	http://www.sefaria.org/Megillah.26b.9	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.152.1	sefaria.org/Tur,_Orach_Chaim.152		Megillah.26b.9	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.12		Shulchan_Arukh,_Orach_Chayim.152.1	Tur,_Orach_Chaim.152
26b.10		תפילה וברכת כהנים	11.12			א"ח	152.1	א"ח	152	http://www.sefaria.org/Megillah.26b.10	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.152.1	sefaria.org/Tur,_Orach_Chaim.152		Megillah.26b.10	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.12		Shulchan_Arukh,_Orach_Chayim.152.1	Tur,_Orach_Chaim.152
26b.12		תפילה וברכת כהנים	11.20			א"ח	153.11	א"ח	153	http://www.sefaria.org/Megillah.26b.12	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.20		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.11	sefaria.org/Tur,_Orach_Chaim.153		Megillah.26b.12	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.20		Shulchan_Arukh,_Orach_Chayim.153.11	Tur,_Orach_Chaim.153
26b.17		תפילה וברכת כהנים	11.20			א"ח	153.11	א"ח	153	http://www.sefaria.org/Megillah.26b.17	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.20		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.11	sefaria.org/Tur,_Orach_Chaim.153		Megillah.26b.17	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.20		Shulchan_Arukh,_Orach_Chayim.153.11	Tur,_Orach_Chaim.153
26b.22		תפילין ומזוזה וספר תורה	10.4	עשין	55	א"ח	21.1	א"ח	21	http://www.sefaria.org/Megillah.26b.22	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.55	sefaria.org/Shulchan_Arukh,_Orach_Chayim.21.1	sefaria.org/Tur,_Orach_Chaim.21		Megillah.26b.22	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4	Sefer_Mitzvot_Gadol,_Volume_Two.55	Shulchan_Arukh,_Orach_Chayim.21.1	Tur,_Orach_Chaim.21
26b.22		ציצית	3.9						0	http://www.sefaria.org/Megillah.26b.22	sefaria.org/Mishneh_Torah,_Fringes.3.9					Megillah.26b.22	Mishneh_Torah,_Fringes.3.9			
26b.22		תפילין ומזוזה וספר תורה	10.4			א"ח	154.3	א"ח	154	http://www.sefaria.org/Megillah.26b.22	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.3	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.22	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		Shulchan_Arukh,_Orach_Chayim.154.3	Tur,_Orach_Chaim.154
26b.22						י"ד	282.12	י"ד	282	http://www.sefaria.org/Megillah.26b.22			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.12	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.22			Shulchan_Arukh,_Yoreh_De'ah.282.12	Tur,_Yoreh_Deah.282
26b.30		תפילין ומזוזה וספר תורה	10.4			א"ח	154.3	א"ח	154	http://www.sefaria.org/Megillah.26b.30	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.3	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.30	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		Shulchan_Arukh,_Orach_Chayim.154.3	Tur,_Orach_Chaim.154
26b.30						י"ד	282.12	י"ד	282	http://www.sefaria.org/Megillah.26b.30			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.12	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.30			Shulchan_Arukh,_Yoreh_De'ah.282.12	Tur,_Yoreh_Deah.282
26b.33		תפילין ומזוזה וספר תורה	10.4			א"ח	154.3	א"ח	154	http://www.sefaria.org/Megillah.26b.33	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.3	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.33	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		Shulchan_Arukh,_Orach_Chayim.154.3	Tur,_Orach_Chaim.154
26b.33						י"ד	282.12	י"ד	282	http://www.sefaria.org/Megillah.26b.33			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.12	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.33			Shulchan_Arukh,_Yoreh_De'ah.282.12	Tur,_Yoreh_Deah.282
26b.35						א"ח	154.6	א"ח	154	http://www.sefaria.org/Megillah.26b.35			sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.6	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.35			Shulchan_Arukh,_Orach_Chayim.154.6	Tur,_Orach_Chaim.154
26b.35						י"ד	282.13	י"ד	282	http://www.sefaria.org/Megillah.26b.35			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.13	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.35			Shulchan_Arukh,_Yoreh_De'ah.282.13	Tur,_Yoreh_Deah.282
26b.37						א"ח	154.6	א"ח	154	http://www.sefaria.org/Megillah.26b.37			sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.6	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.37			Shulchan_Arukh,_Orach_Chayim.154.6	Tur,_Orach_Chaim.154
26b.37						י"ד	282.13	י"ד	282	http://www.sefaria.org/Megillah.26b.37			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.13	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.37			Shulchan_Arukh,_Yoreh_De'ah.282.13	Tur,_Yoreh_Deah.282
26b.39		תפילין ומזוזה וספר תורה	10.4			א"ח	154.3	א"ח	154	http://www.sefaria.org/Megillah.26b.39	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.3	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.39	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.4		Shulchan_Arukh,_Orach_Chayim.154.3	Tur,_Orach_Chaim.154
26b.39						י"ד	282.12	י"ד	282	http://www.sefaria.org/Megillah.26b.39			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.12	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.39			Shulchan_Arukh,_Yoreh_De'ah.282.12	Tur,_Yoreh_Deah.282
26b.35		כלים	3.1						0	http://www.sefaria.org/Megillah.26b.35	sefaria.org/Mishneh_Torah,_Vessels.3.1					Megillah.26b.35	Mishneh_Torah,_Vessels.3.1			
26b.35		טומאת מת	6.2						0	http://www.sefaria.org/Megillah.26b.35	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.6.2					Megillah.26b.35	Mishneh_Torah,_Defilement_by_a_Corpse.6.2			
26b.45		טומאת מת	12.2						0	http://www.sefaria.org/Megillah.26b.45	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.12.2					Megillah.26b.45	Mishneh_Torah,_Defilement_by_a_Corpse.12.2			
26b.45		טומאת מת	13.3						0	http://www.sefaria.org/Megillah.26b.45	sefaria.org/Mishneh_Torah,_Defilement_by_a_Corpse.13.3					Megillah.26b.45	Mishneh_Torah,_Defilement_by_a_Corpse.13.3			
26b.50		תפילין ומזוזה וספר תורה	10.3			א"ח	154.4	א"ח	154	http://www.sefaria.org/Megillah.26b.50	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.3		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.4	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.50	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.3		Shulchan_Arukh,_Orach_Chayim.154.4	Tur,_Orach_Chaim.154
26b.50						י"ד	282.11	י"ד	282	http://www.sefaria.org/Megillah.26b.50			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.11	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.50			Shulchan_Arukh,_Yoreh_De'ah.282.11	Tur,_Yoreh_Deah.282
26b.52		תפילין ומזוזה וספר תורה	10.3			א"ח	154.5	א"ח	154	http://www.sefaria.org/Megillah.26b.52	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.3		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.5	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.52	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.3		Shulchan_Arukh,_Orach_Chayim.154.5	Tur,_Orach_Chaim.154
26b.52						י"ד	282.10	י"ד	282	http://www.sefaria.org/Megillah.26b.52			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.10	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.52			Shulchan_Arukh,_Yoreh_De'ah.282.10	Tur,_Yoreh_Deah.282
26b.54		תפילין ומזוזה וספר תורה	10.3			א"ח	154.5	א"ח	154	http://www.sefaria.org/Megillah.26b.54	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.3		sefaria.org/Shulchan_Arukh,_Orach_Chayim.154.5	sefaria.org/Tur,_Orach_Chaim.154		Megillah.26b.54	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.3		Shulchan_Arukh,_Orach_Chayim.154.5	Tur,_Orach_Chaim.154
26b.54						י"ד	282.10	י"ד	282	http://www.sefaria.org/Megillah.26b.54			sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.10	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.26b.54			Shulchan_Arukh,_Yoreh_De'ah.282.10	Tur,_Yoreh_Deah.282
26b.55		תפילה וברכת כהנים	11.14			א"ח	153.1	א"ח	153	http://www.sefaria.org/Megillah.26b.55	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.14		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.1	sefaria.org/Tur,_Orach_Chaim.153		Megillah.26b.55	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.14		Shulchan_Arukh,_Orach_Chayim.153.1	Tur,_Orach_Chaim.153
27a.31		תפילין ומזוזה וספר תורה	10.5			י"ד	282.19	י"ד	282	http://www.sefaria.org/Megillah.27a.31	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.5		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.282.19	sefaria.org/Tur,_Yoreh_Deah.282		Megillah.27a.31	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.5		Shulchan_Arukh,_Yoreh_De'ah.282.19	Tur,_Yoreh_Deah.282
27a.43		תפילין ומזוזה וספר תורה	10.2			י"ד	270.1	י"ד	270	http://www.sefaria.org/Megillah.27a.43	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.2		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.270.1	sefaria.org/Tur,_Yoreh_Deah.270		Megillah.27a.43	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.2		Shulchan_Arukh,_Yoreh_De'ah.270.1	Tur,_Yoreh_Deah.270
27a.43						אה"ע	1.2	אה"ע	1	http://www.sefaria.org/Megillah.27a.43			sefaria.org/Shulchan_Arukh,_Even_HaEzer.1.2	sefaria.org/Tur,_Even_HaEzer.1		Megillah.27a.43			Shulchan_Arukh,_Even_HaEzer.1.2	Tur,_Even_HaEzer.1
27a.46		תפילין ומזוזה וספר תורה	10.2			י"ד	270.1	י"ד	270	http://www.sefaria.org/Megillah.27a.46	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.2		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.270.1	sefaria.org/Tur,_Yoreh_Deah.270		Megillah.27a.46	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.2		Shulchan_Arukh,_Yoreh_De'ah.270.1	Tur,_Yoreh_Deah.270
27a.46						אה"ע	1.2	אה"ע	1	http://www.sefaria.org/Megillah.27a.46			sefaria.org/Shulchan_Arukh,_Even_HaEzer.1.2	sefaria.org/Tur,_Even_HaEzer.1		Megillah.27a.46			Shulchan_Arukh,_Even_HaEzer.1.2	Tur,_Even_HaEzer.1
27a.49		תפילין ומזוזה וספר תורה	10.2			י"ד	270.1	י"ד	270	http://www.sefaria.org/Megillah.27a.49	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.2		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.270.1	sefaria.org/Tur,_Yoreh_Deah.270		Megillah.27a.49	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.10.2		Shulchan_Arukh,_Yoreh_De'ah.270.1	Tur,_Yoreh_Deah.270
27a.49						אה"ע	1.2	אה"ע	1	http://www.sefaria.org/Megillah.27a.49			sefaria.org/Shulchan_Arukh,_Even_HaEzer.1.2	sefaria.org/Tur,_Even_HaEzer.1		Megillah.27a.49			Shulchan_Arukh,_Even_HaEzer.1.2	Tur,_Even_HaEzer.1
27a.52		תפילה וברכת כהנים	11.15			א"ח	153.5	א"ח	153	http://www.sefaria.org/Megillah.27a.52	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.15		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.5	sefaria.org/Tur,_Orach_Chaim.153		Megillah.27a.52	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.15		Shulchan_Arukh,_Orach_Chayim.153.5	Tur,_Orach_Chaim.153
27a.52		תפילה וברכת כהנים	11.18						0	http://www.sefaria.org/Megillah.27a.52	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.18					Megillah.27a.52	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.18			
27a.59		תפילה וברכת כהנים	11.15			א"ח	153.5	א"ח	153	http://www.sefaria.org/Megillah.27a.59	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.15		sefaria.org/Shulchan_Arukh,_Orach_Chayim.153.5	sefaria.org/Tur,_Orach_Chaim.153		Megillah.27a.59	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.15		Shulchan_Arukh,_Orach_Chayim.153.5	Tur,_Orach_Chaim.153
27a.59		תפילה וברכת כהנים	11.18						0	http://www.sefaria.org/Megillah.27a.59	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.18					Megillah.27a.59	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.11.18			
27a.68		מתנות עניים	7.14			י"ד	256.6	י"ד	256	http://www.sefaria.org/Megillah.27a.68	sefaria.org/Mishneh_Torah,_Gifts_to_the_Poor.7.14		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.256.6	sefaria.org/Tur,_Yoreh_Deah.256		Megillah.27a.68	Mishneh_Torah,_Gifts_to_the_Poor.7.14		Shulchan_Arukh,_Yoreh_De'ah.256.6	Tur,_Yoreh_Deah.256
