Berakhot		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
3a.59		תפילה וברכת כהנים	5.6	עשין	19	א"ח	90.6	א"ח	90	http://www.sefaria.org/Berakhot.3a.59	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.6	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.3a.59	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.6	Tur,_Orach_Chaim.90
3a.59		רוצח ושמירת נפש	12.6						0	http://www.sefaria.org/Berakhot.3a.59	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.12.6					Berakhot.3a.59	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.12.6			
3a.59				עשין	79				0	http://www.sefaria.org/Berakhot.3a.59		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.79				Berakhot.3a.59		Sefer_Mitzvot_Gadol,_Volume_Two.79		
3b.58		אבל	13.9	עשין דרבנן ב	1	י"ד	344.16	י"ד	344	http://www.sefaria.org/Berakhot.3b.58	sefaria.org/Mishneh_Torah,_Mourning.13.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.344.16	sefaria.org/Tur,_Yoreh_Deah.344		Berakhot.3b.58	Mishneh_Torah,_Mourning.13.9	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Mourning.1	Shulchan_Arukh,_Yoreh_De'ah.344.16	Tur,_Yoreh_Deah.344
4b.4		תפילה וברכת כהנים	6.7			א"ח	235.2	א"ח	235	http://www.sefaria.org/Berakhot.4b.4	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.7		sefaria.org/Shulchan_Arukh,_Orach_Chayim.235.2	sefaria.org/Tur,_Orach_Chaim.235		Berakhot.4b.4	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.7		Shulchan_Arukh,_Orach_Chayim.235.2	Tur,_Orach_Chaim.235
4b.18		תפילה וברכת כהנים	7.18	עשין	19			א"ח	235	http://www.sefaria.org/Berakhot.4b.18	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.7.18	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19		sefaria.org/Tur,_Orach_Chaim.235		Berakhot.4b.18	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.7.18	Sefer_Mitzvot_Gadol,_Volume_Two.19		Tur,_Orach_Chaim.235
4b.18						א"ח	236.2	א"ח	236	http://www.sefaria.org/Berakhot.4b.18			sefaria.org/Shulchan_Arukh,_Orach_Chayim.236.2	sefaria.org/Tur,_Orach_Chaim.236		Berakhot.4b.18			Shulchan_Arukh,_Orach_Chayim.236.2	Tur,_Orach_Chaim.236
4b.40		תפילה וברכת כהנים	2.9	עשין	19	א"ח	111.1	א"ח	111	http://www.sefaria.org/Berakhot.4b.40	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.2.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.111.1	sefaria.org/Tur,_Orach_Chaim.111		Berakhot.4b.40	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.2.9	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.111.1	Tur,_Orach_Chaim.111
4b.41		תפילה וברכת כהנים	2.9	עשין	19	א"ח	122.2	א"ח	122	http://www.sefaria.org/Berakhot.4b.41	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.2.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.122.2	sefaria.org/Tur,_Orach_Chaim.122		Berakhot.4b.41	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.2.9	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.122.2	Tur,_Orach_Chaim.122
4b.47		תפילה וברכת כהנים	7.12	עשין	19	א"ח	51.7	א"ח	51	http://www.sefaria.org/Berakhot.4b.47	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.7.12	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.51.7	sefaria.org/Tur,_Orach_Chaim.51		Berakhot.4b.47	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.7.12	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.51.7	Tur,_Orach_Chaim.51
4b.70		תפילה וברכת כהנים	7.2			א"ח	239.1	א"ח	239	http://www.sefaria.org/Berakhot.4b.70	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.7.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.239.1	sefaria.org/Tur,_Orach_Chaim.239		Berakhot.4b.70	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.7.2		Shulchan_Arukh,_Orach_Chayim.239.1	Tur,_Orach_Chaim.239
5b.91		בית הבחירה	7.9			א"ח	3.6	א"ח	3	http://www.sefaria.org/Berakhot.5b.91	sefaria.org/Mishneh_Torah,_The_Chosen_Temple.7.9		sefaria.org/Shulchan_Arukh,_Orach_Chayim.3.6	sefaria.org/Tur,_Orach_Chaim.3		Berakhot.5b.91	Mishneh_Torah,_The_Chosen_Temple.7.9		Shulchan_Arukh,_Orach_Chayim.3.6	Tur,_Orach_Chaim.3
5b.91						א"ח	240.17	א"ח	240	http://www.sefaria.org/Berakhot.5b.91			sefaria.org/Shulchan_Arukh,_Orach_Chayim.240.17	sefaria.org/Tur,_Orach_Chaim.240		Berakhot.5b.91			Shulchan_Arukh,_Orach_Chayim.240.17	Tur,_Orach_Chaim.240
5b.94		תפילה וברכת כהנים	5.6	עשין	19	א"ח	90.21	א"ח	90	http://www.sefaria.org/Berakhot.5b.94	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.21	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.5b.94	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.21	Tur,_Orach_Chaim.90
5b.94						א"ח	98.4	א"ח	98	http://www.sefaria.org/Berakhot.5b.94			sefaria.org/Shulchan_Arukh,_Orach_Chayim.98.4	sefaria.org/Tur,_Orach_Chaim.98		Berakhot.5b.94			Shulchan_Arukh,_Orach_Chayim.98.4	Tur,_Orach_Chaim.98
5b.97		תפילה וברכת כהנים	6.4			א"ח	89.3	א"ח	89	http://www.sefaria.org/Berakhot.5b.97	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.4		sefaria.org/Shulchan_Arukh,_Orach_Chayim.89.3	sefaria.org/Tur,_Orach_Chaim.89		Berakhot.5b.97	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.4		Shulchan_Arukh,_Orach_Chayim.89.3	Tur,_Orach_Chaim.89
5b.97						א"ח	89.6	א"ח	89	http://www.sefaria.org/Berakhot.5b.97			sefaria.org/Shulchan_Arukh,_Orach_Chayim.89.6	sefaria.org/Tur,_Orach_Chaim.89		Berakhot.5b.97			Shulchan_Arukh,_Orach_Chayim.89.6	Tur,_Orach_Chaim.89
5b.104		תפילה וברכת כהנים	6.11	עשין	19	א"ח	90.15	א"ח	90	http://www.sefaria.org/Berakhot.5b.104	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.15	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.5b.104	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.11	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.15	Tur,_Orach_Chaim.90
6a.22		תפילה וברכת כהנים	8.1	עשין	19	א"ח	90.9	א"ח	90	http://www.sefaria.org/Berakhot.6a.22	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.9	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.6a.22	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.1	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.9	Tur,_Orach_Chaim.90
6b.11		תפילה וברכת כהנים	5.6	עשין	19	א"ח	90.19	א"ח	90	http://www.sefaria.org/Berakhot.6b.11	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.19	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.6b.11	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.19	Tur,_Orach_Chaim.90
6b.11						א"ח	98.4	א"ח	98	http://www.sefaria.org/Berakhot.6b.11			sefaria.org/Shulchan_Arukh,_Orach_Chayim.98.4	sefaria.org/Tur,_Orach_Chaim.98		Berakhot.6b.11			Shulchan_Arukh,_Orach_Chayim.98.4	Tur,_Orach_Chaim.98
6b.20		תפילה וברכת כהנים	8.2	עשין	12	א"ח	90.12	א"ח	90	http://www.sefaria.org/Berakhot.6b.20	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.12	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.12	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.6b.20	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.2	Sefer_Mitzvot_Gadol,_Volume_Two.12	Shulchan_Arukh,_Orach_Chayim.90.12	Tur,_Orach_Chaim.90
6b.20		שבת	24.5	עשין	19	א"ח	301.1	א"ח	301	http://www.sefaria.org/Berakhot.6b.20	sefaria.org/Mishneh_Torah,_Sabbath.24.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.301.1	sefaria.org/Tur,_Orach_Chaim.301		Berakhot.6b.20	Mishneh_Torah,_Sabbath.24.5	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.301.1	Tur,_Orach_Chaim.301
6b.27		תפילה וברכת כהנים	8.2	עשין	12	א"ח	90.12	א"ח	90	http://www.sefaria.org/Berakhot.6b.27	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.12	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.12	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.6b.27	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.2	Sefer_Mitzvot_Gadol,_Volume_Two.12	Shulchan_Arukh,_Orach_Chayim.90.12	Tur,_Orach_Chaim.90
6b.27		שבת	24.5	עשין	19	א"ח	301.1	א"ח	301	http://www.sefaria.org/Berakhot.6b.27	sefaria.org/Mishneh_Torah,_Sabbath.24.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.301.1	sefaria.org/Tur,_Orach_Chaim.301		Berakhot.6b.27	Mishneh_Torah,_Sabbath.24.5	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.301.1	Tur,_Orach_Chaim.301
6b.37		מתנות עניים	9.4			י"ד	256.2	י"ד	256	http://www.sefaria.org/Berakhot.6b.37	sefaria.org/Mishneh_Torah,_Gifts_to_the_Poor.9.4		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.256.2	sefaria.org/Tur,_Yoreh_Deah.256		Berakhot.6b.37	Mishneh_Torah,_Gifts_to_the_Poor.9.4		Shulchan_Arukh,_Yoreh_De'ah.256.2	Tur,_Yoreh_Deah.256
6b.39				עשין	12	י"ד	344.1	י"ד	344	http://www.sefaria.org/Berakhot.6b.39		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.12	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.344.1	sefaria.org/Tur,_Yoreh_Deah.344		Berakhot.6b.39		Sefer_Mitzvot_Gadol,_Volume_Two.12	Shulchan_Arukh,_Yoreh_De'ah.344.1	Tur,_Yoreh_Deah.344
6b.41						אה"ע	65.1	אה"ע	65	http://www.sefaria.org/Berakhot.6b.41			sefaria.org/Shulchan_Arukh,_Even_HaEzer.65.1	sefaria.org/Tur,_Even_HaEzer.65		Berakhot.6b.41			Shulchan_Arukh,_Even_HaEzer.65.1	Tur,_Even_HaEzer.65
6b.43		תפילה וברכת כהנים	5.6	עשין	19	א"ח	90.7	א"ח	90	http://www.sefaria.org/Berakhot.6b.43	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.7	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.6b.43	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.5.6	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.7	Tur,_Orach_Chaim.90
6b.66								א"ח	234	http://www.sefaria.org/Berakhot.6b.66				sefaria.org/Tur,_Orach_Chaim.234		Berakhot.6b.66				Tur,_Orach_Chaim.234
7a.15		דעות	5.7							http://www.sefaria.org/Berakhot.7a.15	sefaria.org/Mishneh_Torah,_Human_Dispositions.5.7					Berakhot.7a.15	Mishneh_Torah,_Human_Dispositions.5.7			
7a.99		יסודי התורה	10.4						0	http://www.sefaria.org/Berakhot.7a.99	sefaria.org/Mishneh_Torah,_Foundations_of_the_Torah.10.4					Berakhot.7a.99	Mishneh_Torah,_Foundations_of_the_Torah.10.4			
8a.2		תפילה וברכת כהנים	8.1	עשין	19	א"ח	90.9	א"ח	90	http://www.sefaria.org/Berakhot.8a.2	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.9	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.8a.2	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.1	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.9	Tur,_Orach_Chaim.90
8a.14		תפילה וברכת כהנים	8.1	עשין	19	א"ח	90.11	א"ח	90	http://www.sefaria.org/Berakhot.8a.14	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.11	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.8a.14	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.1	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.11	Tur,_Orach_Chaim.90
8a.31		תפילה וברכת כהנים	8.2	עשין	19	א"ח	90.20	א"ח	90	http://www.sefaria.org/Berakhot.8a.31	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.20	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.8a.31	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.2	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.20	Tur,_Orach_Chaim.90
8a.72		תפילה וברכת כהנים	8.3	עשין	19	א"ח	90.18	א"ח	90	http://www.sefaria.org/Berakhot.8a.72	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.3	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.18	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.8a.72	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.3	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.18	Tur,_Orach_Chaim.90
8a.85		תפילה וברכת כהנים	12.9	עשין	19	א"ח	146.1	א"ח	146	http://www.sefaria.org/Berakhot.8a.85	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.146.1	sefaria.org/Tur,_Orach_Chaim.146		Berakhot.8a.85	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.9	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.146.1	Tur,_Orach_Chaim.146
8a.86		תפילה וברכת כהנים	12.9	עשין	19	א"ח	146.1	א"ח	146	http://www.sefaria.org/Berakhot.8a.86	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.146.1	sefaria.org/Tur,_Orach_Chaim.146		Berakhot.8a.86	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.9	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.146.1	Tur,_Orach_Chaim.146
8a.88								א"ח	146	http://www.sefaria.org/Berakhot.8a.88				sefaria.org/Tur,_Orach_Chaim.146		Berakhot.8a.88				Tur,_Orach_Chaim.146
8a.90		תפילה וברכת כהנים	12.9	עשין	19	א"ח	146.2	א"ח	146	http://www.sefaria.org/Berakhot.8a.90	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.146.2	sefaria.org/Tur,_Orach_Chaim.146		Berakhot.8a.90	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.12.9	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.146.2	Tur,_Orach_Chaim.146
8a.93		תפילה וברכת כהנים	13.25	עשין	19	א"ח	285.1	א"ח	285	http://www.sefaria.org/Berakhot.8a.93	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.13.25	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.285.1	sefaria.org/Tur,_Orach_Chaim.285		Berakhot.8a.93	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.13.25	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.285.1	Tur,_Orach_Chaim.285
8b.24		תפילה וברכת כהנים	6.1	עשין	19	א"ח	90.8	א"ח	90	http://www.sefaria.org/Berakhot.8b.24	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.90.8	sefaria.org/Tur,_Orach_Chaim.90		Berakhot.8b.24	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.6.1	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.90.8	Tur,_Orach_Chaim.90
8b.60		קריאת שמע	1.10	עשין	18	א"ח	58.3	א"ח	58	http://www.sefaria.org/Berakhot.8b.60	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.58.3	sefaria.org/Tur,_Orach_Chaim.58		Berakhot.8b.60	Mishneh_Torah,_Reading_the_Shema.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.58.3	Tur,_Orach_Chaim.58
8b.60		קריאת שמע	1.12			א"ח	58.4	א"ח	58	http://www.sefaria.org/Berakhot.8b.60	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.58.4	sefaria.org/Tur,_Orach_Chaim.58		Berakhot.8b.60	Mishneh_Torah,_Reading_the_Shema.1.12		Shulchan_Arukh,_Orach_Chayim.58.4	Tur,_Orach_Chaim.58
8b.60						א"ח	58.5	א"ח	58	http://www.sefaria.org/Berakhot.8b.60			sefaria.org/Shulchan_Arukh,_Orach_Chayim.58.5	sefaria.org/Tur,_Orach_Chaim.58		Berakhot.8b.60			Shulchan_Arukh,_Orach_Chayim.58.5	Tur,_Orach_Chaim.58
8b.60						א"ח	235.4	א"ח	235	http://www.sefaria.org/Berakhot.8b.60			sefaria.org/Shulchan_Arukh,_Orach_Chayim.235.4	sefaria.org/Tur,_Orach_Chaim.235		Berakhot.8b.60			Shulchan_Arukh,_Orach_Chayim.235.4	Tur,_Orach_Chaim.235
8b.68		קריאת שמע	1.10	עשין	18	א"ח	58.3	א"ח	58	http://www.sefaria.org/Berakhot.8b.68	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.58.3	sefaria.org/Tur,_Orach_Chaim.58		Berakhot.8b.68	Mishneh_Torah,_Reading_the_Shema.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.58.3	Tur,_Orach_Chaim.58
8b.68		קריאת שמע	1.12			א"ח	58.4	א"ח	58	http://www.sefaria.org/Berakhot.8b.68	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.58.4	sefaria.org/Tur,_Orach_Chaim.58		Berakhot.8b.68	Mishneh_Torah,_Reading_the_Shema.1.12		Shulchan_Arukh,_Orach_Chayim.58.4	Tur,_Orach_Chaim.58
8b.68						א"ח	58.5	א"ח	58	http://www.sefaria.org/Berakhot.8b.68			sefaria.org/Shulchan_Arukh,_Orach_Chayim.58.5	sefaria.org/Tur,_Orach_Chaim.58		Berakhot.8b.68			Shulchan_Arukh,_Orach_Chayim.58.5	Tur,_Orach_Chaim.58
