Crescas,Guide for the Perplexed,Heuristcally Added
"Crescas on Guide for the Perplexed, Part 1 71:8","Guide for the Perplexed, Part 1 71:4",
"Crescas on Guide for the Perplexed, Part 1 71:9","Guide for the Perplexed, Part 1 71:5",
"Crescas on Guide for the Perplexed, Part 1 71:10","Guide for the Perplexed, Part 1 71:5",
"Crescas on Guide for the Perplexed, Part 1 71:11","Guide for the Perplexed, Part 1 71:5",
"Crescas on Guide for the Perplexed, Part 1 71:12","Guide for the Perplexed, Part 1 71:5",
"Crescas on Guide for the Perplexed, Part 1 71:13","Guide for the Perplexed, Part 1 71:6",
"Crescas on Guide for the Perplexed, Part 1 71:14",,
"Crescas on Guide for the Perplexed, Part 1 71:15","Guide for the Perplexed, Part 1 71:7",
"Crescas on Guide for the Perplexed, Part 1 71:16","Guide for the Perplexed, Part 1 71:7",
"Crescas on Guide for the Perplexed, Part 1 71:17","Guide for the Perplexed, Part 1 71:7",
"Crescas on Guide for the Perplexed, Part 1 71:18","Guide for the Perplexed, Part 1 71:8",
"Crescas on Guide for the Perplexed, Part 1 71:19",,
"Crescas on Guide for the Perplexed, Part 1 71:20","Guide for the Perplexed, Part 1 71:14",
"Crescas on Guide for the Perplexed, Part 1 72:1","Guide for the Perplexed, Part 1 72:3",
"Crescas on Guide for the Perplexed, Part 1 72:2","Guide for the Perplexed, Part 1 72:3",
"Crescas on Guide for the Perplexed, Part 1 72:3","Guide for the Perplexed, Part 1 72:7",
"Crescas on Guide for the Perplexed, Part 1 72:4","Guide for the Perplexed, Part 1 72:9",
"Crescas on Guide for the Perplexed, Part 1 72:5","Guide for the Perplexed, Part 1 72:11",
"Crescas on Guide for the Perplexed, Part 1 72:6","Guide for the Perplexed, Part 1 72:15",
"Crescas on Guide for the Perplexed, Part 1 72:7","Guide for the Perplexed, Part 1 72:17",
"Crescas on Guide for the Perplexed, Part 1 72:8","Guide for the Perplexed, Part 1 72:17",
"Crescas on Guide for the Perplexed, Part 1 73:1","Guide for the Perplexed, Part 1 73:12",
"Crescas on Guide for the Perplexed, Part 1 73:2","Guide for the Perplexed, Part 1 73:12",
"Crescas on Guide for the Perplexed, Part 1 73:3","Guide for the Perplexed, Part 1 73:13",
"Crescas on Guide for the Perplexed, Part 1 73:4",,
"Crescas on Guide for the Perplexed, Part 1 73:5","Guide for the Perplexed, Part 1 73:15",
"Crescas on Guide for the Perplexed, Part 1 73:6","Guide for the Perplexed, Part 1 73:16",
"Crescas on Guide for the Perplexed, Part 1 73:7",,
"Crescas on Guide for the Perplexed, Part 1 73:8","Guide for the Perplexed, Part 1 73:19",
"Crescas on Guide for the Perplexed, Part 1 73:9","Guide for the Perplexed, Part 1 73:20",
"Crescas on Guide for the Perplexed, Part 1 73:10","Guide for the Perplexed, Part 1 73:20",
"Crescas on Guide for the Perplexed, Part 1 73:11","Guide for the Perplexed, Part 1 73:20",
"Crescas on Guide for the Perplexed, Part 1 73:12","Guide for the Perplexed, Part 1 73:21",
"Crescas on Guide for the Perplexed, Part 1 73:13","Guide for the Perplexed, Part 1 73:22",
"Crescas on Guide for the Perplexed, Part 1 73:14","Guide for the Perplexed, Part 1 73:23",
"Crescas on Guide for the Perplexed, Part 1 73:15",,
"Crescas on Guide for the Perplexed, Part 1 73:16","Guide for the Perplexed, Part 1 73:30",
"Crescas on Guide for the Perplexed, Part 1 73:17","Guide for the Perplexed, Part 1 73:44",
"Crescas on Guide for the Perplexed, Part 1 73:18",,
"Crescas on Guide for the Perplexed, Part 1 73:19",,
"Crescas on Guide for the Perplexed, Part 1 73:20",,
"Crescas on Guide for the Perplexed, Part 1 73:21",,
"Crescas on Guide for the Perplexed, Part 1 73:22",,
"Crescas on Guide for the Perplexed, Part 1 73:23",,
"Crescas on Guide for the Perplexed, Part 1 73:24",,
"Crescas on Guide for the Perplexed, Part 1 73:25",,
"Crescas on Guide for the Perplexed, Part 1 73:26","Guide for the Perplexed, Part 1 73:44",
"Crescas on Guide for the Perplexed, Part 1 73:27","Guide for the Perplexed, Part 1 73:45",
"Crescas on Guide for the Perplexed, Part 1 73:28","Guide for the Perplexed, Part 1 73:45",
"Crescas on Guide for the Perplexed, Part 1 73:29","Guide for the Perplexed, Part 1 73:45",
"Crescas on Guide for the Perplexed, Part 1 73:30","Guide for the Perplexed, Part 1 73:45",
"Crescas on Guide for the Perplexed, Part 1 73:31","Guide for the Perplexed, Part 1 73:45",
