Im_Id,Im_Ms,Im_ImRun,Im_File,Im_Web,Im_Title,SSMA_TimeStamp,PID,Im_Description
16784,1721,296,..\MnuImages\N1721a\w\0147v.jpg,0,"ערלה סג ע""א - ערלה סג ע""א",0,871716,
16785,1721,297,..\MnuImages\N1721a\w\0148r.jpg,0,"ערלה סג ע""א - ערלה סג ע""ב",0,871718,
16786,1721,298,..\MnuImages\N1721a\w\0148v.jpg,0,"ערלה סג ע""ב - ערלה סג ע""ב",0,871719,
16787,1721,299,..\MnuImages\N1721a\w\0149r.jpg,0,"ביכורים סג ע""ג - ביכורים סג ע""ד",0,871721,
16788,1721,300,..\MnuImages\N1721a\w\0149v.jpg,0,"ביכורים סג ע""ד - ביכורים סד ע""א",0,871724,
16789,1721,301,..\MnuImages\N1721a\w\0150r.jpg,0,"ביכורים סד ע""א - ביכורים סד ע""ב",0,871726,
16790,1721,302,..\MnuImages\N1721a\w\0150v.jpg,0,"ביכורים סד ע""ב - ביכורים סד ע""ג",0,871727,
16791,1721,303,..\MnuImages\N1721a\w\0151r.jpg,0,"ביכורים סד ע""ג - ביכורים סד ע""ד",0,871729,
16792,1721,304,..\MnuImages\N1721a\w\0151v.jpg,0,"ביכורים סד ע""ד - ביכורים סד ע""ד",0,871731,
16793,1721,305,..\MnuImages\N1721a\w\0152r.jpg,0,"ביכורים סד ע""ד - ביכורים סה ע""א",000000000000E57A,871732,
16794,1721,306,..\MnuImages\N1721a\w\0152v.jpg,0,"ביכורים סה ע""א - ביכורים סה ע""ג",000000000000E57B,871734,
16795,1721,307,..\MnuImages\N1721a\w\0153r.jpg,0,"ביכורים סה ע""ג - ביכורים סה ע""ג",000000000000E57C,871736,
16796,1721,308,..\MnuImages\N1721a\w\0153v.jpg,0,"ביכורים סה ע""ג - ביכורים סה ע""ד",000000000000E57D,871737,
16797,1721,309,..\MnuImages\N1721a\w\0154r.jpg,0,"ביכורים סה ע""ד - ביכורים סה ע""ד",000000000000E57E,871739,
16798,1721,310,..\MnuImages\N1721a\w\0154v.jpg,0,"ביכורים סה ע""ד - ביכורים סה ע""ד",000000000000E57F,871741,
16799,1721,311,..\MnuImages\N1721a\w\0155r.jpg,0,"שבת ב ע""ב - שבת ב ע""ב",0,871742,
16800,1721,312,..\MnuImages\N1721a\w\0155v.jpg,0,"שבת ב ע""ב - שבת ב ע""ג",0,871744,
16801,1721,313,..\MnuImages\N1721a\w\0156r.jpg,0,"שבת ב ע""ג - שבת ב ע""ד",0,871746,
16802,1721,314,..\MnuImages\N1721a\w\0156v.jpg,0,"שבת ב ע""ד - שבת ב ע""ד",0,871747,
16803,1721,315,..\MnuImages\N1721a\w\0157r.jpg,0,"שבת ב ע""ד - שבת ג ע""א",0,871749,
16804,1721,316,..\MnuImages\N1721a\w\0157v.jpg,0,"שבת ג ע""א - שבת ג ע""ב",0,871750,
16805,1721,317,..\MnuImages\N1721a\w\0158r.jpg,0,"שבת ג ע""ב - שבת ג ע""ג",0,871752,
16806,1721,318,..\MnuImages\N1721a\w\0158v.jpg,0,"שבת ג ע""ג - שבת ג ע""ד",0,871754,
16807,1721,319,..\MnuImages\N1721a\w\0159r.jpg,0,"שבת ג ע""ד - שבת ד ע""א",0,871756,
16808,1721,320,..\MnuImages\N1721a\w\0159v.jpg,0,"שבת ד ע""א - שבת ד ע""א",0,871758,
16809,1721,321,..\MnuImages\N1721a\w\0160r.jpg,0,"שבת ד ע""א - שבת ד ע""ג",000000000000E58A,871760,
16810,1721,322,..\MnuImages\N1721a\w\0160v.jpg,0,"שבת ד ע""ג - שבת ד ע""ג",000000000000E58B,871762,
16811,1721,323,..\MnuImages\N1721a\w\0161r.jpg,0,"שבת ד ע""ג - שבת ד ע""ד",000000000000E58C,871764,
16812,1721,324,..\MnuImages\N1721a\w\0161v.jpg,0,"שבת ד ע""ד - שבת ה ע""א",000000000000E58D,871766,
16813,1721,325,..\MnuImages\N1721a\w\0162r.jpg,0,"שבת ה ע""א - שבת ה ע""ב",000000000000E58E,871767,
16814,1721,326,..\MnuImages\N1721a\w\0162v.jpg,0,"שבת ה ע""ב - שבת ה ע""ב",000000000000E58F,871769,
16815,1721,327,..\MnuImages\N1721a\w\0163r.jpg,0,"שבת ה ע""ב - שבת ה ע""ג",0,871771,
16816,1721,328,..\MnuImages\N1721a\w\0163v.jpg,0,"שבת ה ע""ג - שבת ה ע""ד",0,871773,
16817,1721,329,..\MnuImages\N1721a\w\0164r.jpg,0,"שבת ה ע""ד - שבת ו ע""א",0,871775,
16818,1721,330,..\MnuImages\N1721a\w\0164v.jpg,0,"שבת ו ע""א - שבת ו ע""ב",0,871776,
16819,1721,331,..\MnuImages\N1721a\w\0165r.jpg,0,"שבת ו ע""ב - שבת ו ע""ג",0,871778,
16820,1721,332,..\MnuImages\N1721a\w\0165v.jpg,0,"שבת ו ע""ג - שבת ו ע""ג",0,871779,
16821,1721,333,..\MnuImages\N1721a\w\0166r.jpg,0,"שבת ו ע""ג - שבת ו ע""ד",0,871781,
16822,1721,334,..\MnuImages\N1721a\w\0166v.jpg,0,"שבת ו ע""ד - שבת ז ע""א",0,871783,
16823,1721,335,..\MnuImages\N1721a\w\0167r.jpg,0,"שבת ז ע""א - שבת ז ע""ב",0,871785,
16824,1721,336,..\MnuImages\N1721a\w\0167v.jpg,0,"שבת ז ע""ב - שבת ז ע""ג",0,871786,
16825,1721,337,..\MnuImages\N1721a\w\0168r.jpg,0,"שבת ז ע""ג - שבת ז ע""ד",000000000000E59A,871788,
16826,1721,338,..\MnuImages\N1721a\w\0168v.jpg,0,"שבת ז ע""ד - שבת ז ע""ד",000000000000E59B,871789,
16827,1721,339,..\MnuImages\N1721a\w\0169r.jpg,0,"שבת ז ע""ד - שבת ח ע""א",000000000000E59C,871791,
16828,1721,340,..\MnuImages\N1721a\w\0169v.jpg,0,"שבת ח ע""א - שבת ח ע""ב",000000000000E59D,871793,
16829,1721,341,..\MnuImages\N1721a\w\0170r.jpg,0,"שבת ח ע""ב - שבת ח ע""ג",000000000000E59E,871794,
16830,1721,342,..\MnuImages\N1721a\w\0170v.jpg,0,"שבת ח ע""ג - שבת ח ע""ג",000000000000E59F,871796,
16831,1721,343,..\MnuImages\N1721a\w\0171r.jpg,0,"שבת ח ע""ג - שבת ח ע""ד",000000000000E5A0,871798,
16832,1721,344,..\MnuImages\N1721a\w\0171v.jpg,0,"שבת ח ע""ד - שבת ט ע""א",000000000000E5A1,871799,
16833,1721,345,..\MnuImages\N1721a\w\0172r.jpg,0,"שבת ט ע""א - שבת ט ע""ב",000000000000E5A2,871801,
16834,1721,346,..\MnuImages\N1721a\w\0172v.jpg,0,"שבת ט ע""ב - שבת ט ע""ג",000000000000E5A3,871802,
16835,1721,347,..\MnuImages\N1721a\w\0173r.jpg,0,"שבת ט ע""ג - שבת ט ע""ד",000000000000E5A4,871804,
16836,1721,348,..\MnuImages\N1721a\w\0173v.jpg,0,"שבת ט ע""ד - שבת ט ע""ד",000000000000E5A5,871805,
16837,1721,349,..\MnuImages\N1721a\w\0174r.jpg,0,"שבת ט ע""ד - שבת י ע""א",000000000000E5A6,871807,
16838,1721,350,..\MnuImages\N1721a\w\0174v.jpg,0,"שבת י ע""א - שבת י ע""ב",000000000000E5A7,871808,
16839,1721,351,..\MnuImages\N1721a\w\0175r.jpg,0,"שבת י ע""ב - שבת י ע""ג",000000000000E5A8,871810,
16840,1721,352,..\MnuImages\N1721a\w\0175v.jpg,0,"שבת י ע""ג - שבת י ע""ד",000000000000E5A9,871811,
16841,1721,353,..\MnuImages\N1721a\w\0176r.jpg,0,"שבת י ע""ד - שבת יא ע""א",000000000000E5AA,871813,
16842,1721,354,..\MnuImages\N1721a\w\0176v.jpg,0,"שבת יא ע""א - שבת יא ע""א",000000000000E5AB,871814,
16843,1721,355,..\MnuImages\N1721a\w\0177r.jpg,0,"שבת יא ע""א - שבת יא ע""ב",000000000000E5AC,871815,
16844,1721,356,..\MnuImages\N1721a\w\0177v.jpg,0,"שבת יא ע""ב - שבת יא ע""ג",000000000000E5AD,871817,
16845,1721,357,..\MnuImages\N1721a\w\0178r.jpg,0,"שבת יא ע""ג - שבת יא ע""ד",000000000000E5AE,871818,
16846,1721,358,..\MnuImages\N1721a\w\0178v.jpg,0,"שבת יא ע""ד - שבת יב ע""א",000000000000E5AF,871820,
16847,1721,359,..\MnuImages\N1721a\w\0179r.jpg,0,"שבת יב ע""א - שבת יב ע""א",000000000000E5B0,871822,
16848,1721,360,..\MnuImages\N1721a\w\0179v.jpg,0,"שבת יב ע""א - שבת יב ע""ב",000000000000E5B1,871823,
16849,1721,361,..\MnuImages\N1721a\w\0180r.jpg,0,"שבת יב ע""ב - שבת יב ע""ג",000000000000E5B2,871825,
16850,1721,362,..\MnuImages\N1721a\w\0180v.jpg,0,"שבת יב ע""ג - שבת יב ע""ד",000000000000E5B3,871826,
16851,1721,363,..\MnuImages\N1721a\w\0181r.jpg,0,"שבת יב ע""ד - שבת יג ע""א",000000000000E5B4,871828,
16852,1721,364,..\MnuImages\N1721a\w\0181v.jpg,0,"שבת יג ע""א - שבת יג ע""ב",000000000000E5B5,871829,
16853,1721,365,..\MnuImages\N1721a\w\0182r.jpg,0,"שבת יג ע""ב - שבת יג ע""ג",000000000000E5B6,871831,
16854,1721,366,..\MnuImages\N1721a\w\0182v.jpg,0,"שבת יג ע""ג - שבת יג ע""ג",000000000000E5B7,871833,
16855,1721,367,..\MnuImages\N1721a\w\0183r.jpg,0,"שבת יג ע""ג - שבת יג ע""ד",000000000000E5B8,871834,
16856,1721,368,..\MnuImages\N1721a\w\0183v.jpg,0,"שבת יג ע""ד - שבת יד ע""א",000000000000E5B9,871836,
16857,1721,369,..\MnuImages\N1721a\w\0184r.jpg,0,"שבת יד ע""א - שבת יד ע""ב",000000000000E5BA,871837,
16858,1721,370,..\MnuImages\N1721a\w\0184v.jpg,0,"שבת יד ע""ב - שבת יד ע""ג",000000000000E5BB,871839,
16859,1721,371,..\MnuImages\N1721a\w\0185r.jpg,0,"שבת יד ע""ג - שבת יד ע""ד",000000000000E5BC,871841,
16860,1721,372,..\MnuImages\N1721a\w\0185v.jpg,0,"שבת יד ע""ד - שבת יד ע""ד",000000000000E5BD,871842,
16861,1721,373,..\MnuImages\N1721a\w\0186r.jpg,0,"שבת יד ע""ד - שבת טו ע""א",000000000000E5BE,871844,
16862,1721,374,..\MnuImages\N1721a\w\0186v.jpg,0,"שבת טו ע""א - שבת טו ע""ב",000000000000E5BF,871845,
16863,1721,375,..\MnuImages\N1721a\w\0187r.jpg,0,"שבת טו ע""ב - שבת טו ע""ג",000000000000E5C0,871847,
16864,1721,376,..\MnuImages\N1721a\w\0187v.jpg,0,"שבת טו ע""ג - שבת טו ע""ד",000000000000E5C1,871848,
16865,1721,377,..\MnuImages\N1721a\w\0188r.jpg,0,"שבת טו ע""ד - שבת טז ע""א",000000000000E5C2,871850,
16866,1721,378,..\MnuImages\N1721a\w\0188v.jpg,0,"שבת טז ע""א - שבת טז ע""א",000000000000E5C3,871852,
16867,1721,379,..\MnuImages\N1721a\w\0189r.jpg,0,"שבת טז ע""א - שבת טז ע""ב",000000000000E5C4,871853,
16868,1721,380,..\MnuImages\N1721a\w\0189v.jpg,0,"שבת טז ע""ב - שבת טז ע""ג",000000000000E5C5,871855,
