Sanhedrin 24a:14,בבל,262,266,לבבל
Sanhedrin 24a:15,בבל,11,15,לבבל
Sanhedrin 24a:16,בבל,4,8,לבבל
Sanhedrin 24a:17,בבל,38,42,לבבל
Sanhedrin 24a:12,בבל,155,160,שבבבל
Sanhedrin 24a:13,בבל,163,168,שבבבל
Sanhedrin 5a:10,בבל,33,37,לבבל
Sanhedrin 5a:10,בבל,72,76,לבבל
Sanhedrin 5a:11,בבל,15,19,לבבל
Sanhedrin 5a:11,בבל,55,59,לבבל
Sanhedrin 5a:10,בבל,33,37,לבבל
Sanhedrin 5a:10,בבל,72,76,לבבל
Sanhedrin 5a:11,בבל,15,19,לבבל
Sanhedrin 5a:11,בבל,55,59,לבבל
Bava Batra 26a:7,בבל,155,163,בְּבָבֶל
Bava Batra 26a:8,בבל,205,213,בְּבָבֶל
Bava Batra 26a:7,בבל,155,163,בְּבָבֶל
Bava Batra 26a:8,בבל,205,213,בְּבָבֶל
Bava Kamma 97b:5,בבל,34,38,בבבל
Bava Kamma 97b:5,בבל,43,46,בבל
Bava Kamma 97b:5,בבל,58,61,בבל
Bava Kamma 97b:5,בבל,66,70,בבבל
Bava Kamma 97b:5,בבל,118,122,בבבל
Bava Kamma 97b:6,בבל,52,55,בבל
Bava Kamma 97b:6,בבל,60,64,בבבל
Bava Kamma 97b:5,בבל,34,38,בבבל
Bava Kamma 97b:5,בבל,43,46,בבל
Bava Kamma 97b:5,בבל,58,61,בבל
Bava Kamma 97b:5,בבל,66,70,בבבל
Bava Kamma 97b:5,בבל,118,122,בבבל
Bava Kamma 97b:6,בבל,52,55,בבל
Bava Kamma 97b:6,בבל,60,64,בבבל
Bava Kamma 97b:5,בבל,34,38,בבבל
Bava Kamma 97b:5,בבל,43,46,בבל
Bava Kamma 97b:5,בבל,58,61,בבל
Bava Kamma 97b:5,בבל,66,70,בבבל
Bava Kamma 97b:5,בבל,118,122,בבבל
Bava Kamma 97b:6,בבל,52,55,בבל
Bava Kamma 97b:6,בבל,60,64,בבבל
Bava Kamma 97b:5,בבל,34,38,בבבל
