אתונה,"(37.972819149999985, 23.723743849999998)",10005. פוליביוס היסטוריות 4.79
אתונה,"(37.972819149999985, 23.723743849999998)",10004. פוליביוס היסטוריות 9.23
אתונה,"(37.972819149999985, 23.723743849999998)",10003. אודיסיאה 11.7
אתונה,"(37.972819149999985, 23.723743849999998)",10002. אודיסיאה 7.3
אתונה,"(37.972819149999985, 23.723743849999998)",9999. קסנופון ממרוביליה 3.13
אתונה,"(37.972819149999985, 23.723743849999998)",9996. קסנופון ממרוביליה 3.1
אתונה,"(37.972819149999985, 23.723743849999998)",9994. קסנופון ממרוביליה 2.9
אתונה,"(37.972819149999985, 23.723743849999998)",9993. קסנופון ממרוביליה 1.2
אתונה,"(37.972819149999985, 23.723743849999998)",9992. קסנופון ממרוביליה 2.3
אתונה,"(37.972819149999985, 23.723743849999998)",9991. קסנופון ממרוביליה 2.6
אתונה,"(37.972819149999985, 23.723743849999998)",9990. קסנופון אנאבסיס 4.8
אתונה,"(37.972819149999985, 23.723743849999998)",9989. תוקידידס המלחמה הפלופונסית 8.94
אתונה,"(37.972819149999985, 23.723743849999998)",9988. תוקידידס המלחמה הפלופונסית 8.98
אתונה,"(37.972819149999985, 23.723743849999998)",9987. תוקידידס המלחמה הפלופונסית 8.15
אתונה,"(37.972819149999985, 23.723743849999998)",9986. תוקידידס המלחמה הפלופונסית 8.81
אתונה,"(37.972819149999985, 23.723743849999998)",9985. תוקידידס המלחמה הפלופונסית 8.68
אתונה,"(37.972819149999985, 23.723743849999998)",9984. תוקידידס המלחמה הפלופונסית 8.65
אתונה,"(37.972819149999985, 23.723743849999998)",9983. תוקידידס המלחמה הפלופונסית 8.53
אתונה,"(37.972819149999985, 23.723743849999998)",9982. תוקידידס המלחמה הפלופונסית 8.49
אתונה,"(37.972819149999985, 23.723743849999998)",9981. תוקידידס המלחמה הפלופונסית 8.48
אתונה,"(37.972819149999985, 23.723743849999998)",9980. תוקידידס המלחמה הפלופונסית 8.46
אתונה,"(37.972819149999985, 23.723743849999998)",9979. תוקידידס המלחמה הפלופונסית 8.10
אתונה,"(37.972819149999985, 23.723743849999998)",9978. תוקידידס המלחמה הפלופונסית 8.1
אתונה,"(37.972819149999985, 23.723743849999998)",9977. תוקידידס המלחמה הפלופונסית 7.27
אתונה,"(37.972819149999985, 23.723743849999998)",9976. תוקידידס המלחמה הפלופונסית 7.10
אתונה,"(37.972819149999985, 23.723743849999998)",9975. תוקידידס המלחמה הפלופונסית 6.53
אתונה,"(37.972819149999985, 23.723743849999998)",9974. תוקידידס המלחמה הפלופונסית 7.8
אתונה,"(37.972819149999985, 23.723743849999998)",9973. תוקידידס המלחמה הפלופונסית 6.98
אתונה,"(37.972819149999985, 23.723743849999998)",9972. תוקידידס המלחמה הפלופונסית 6.94
אתונה,"(37.972819149999985, 23.723743849999998)",9971. תוקידידס המלחמה הפלופונסית 6.92
אתונה,"(37.972819149999985, 23.723743849999998)",9970. תוקידידס המלחמה הפלופונסית 6.59
אתונה,"(37.972819149999985, 23.723743849999998)",9969. תוקידידס המלחמה הפלופונסית 6.54
אתונה,"(37.972819149999985, 23.723743849999998)",9968. תוקידידס המלחמה הפלופונסית 6.47
אתונה,"(37.972819149999985, 23.723743849999998)",9967. תוקידידס המלחמה הפלופונסית 6.33
