Common Word,Headword,Lexicon,URL,Primary,For Deletion,For Addition
,אמר ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אמר_ᴵᴵ",,X,
,אֹֽמֶר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֹֽמֶר",,,
,אֵֽמֶר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵֽמֶר",,,
בן,בֵּן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בֵּן",,,
,בין ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בין_ᴵ",,,
,בֵּן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בֵּן",X,,
אי,אִי־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי־",,,
,אִי I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_I",,,
,אִי II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_II",X,,
,אִי III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_III",,,
,אִי IV,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_IV",,,
,אֵי II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵי_II",,,
,אֵי III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵי_III",,,
,אִי ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵ",,,
,אִי ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵᴵ",,,
,אִי ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵᴵᴵ",,,
,אִי ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵⱽ",,,
,אִי ⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ⱽ",,,
,אֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵי",,,
ר',רַבִּי,Jastrow Dictionary,https://www.sefaria.org.il/Jastrow%2C_רַבִּי,,,X
אבל,אֲבָל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲבָל",,,
,אָבֵל I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָבֵל_I",,,
,אָבֵל II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָבֵל_II",,,
,אָבֵל III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָבֵל_III",,,
,אֲבֵל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲבֵל",,,
,אֵבֶל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵבֶל",,,
,אֻבָל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֻבָל",,,
,אוּבָל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אוּבָל",,,
