מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
3255,"פס' ד, א (ל ע""ד, 27)",רבי שמעון,,,,"יב' יג ע""ב",,
3295,"פס' ד, א (ל ע""ד, 36)",ניחא ממקום,,,,"פס' נא ע""ב",,
3325,"פס' ד, ג (ל ע""ד, 45)",מאן דמר,,,,"ע""ז יד ע""ב",,
3333,"פס' ד, ג (ל ע""ד, 56)",פעמי' שהוא,,,,"ע""ז טו ע""א",,
3335,"פס' ד, ג (ל ע""ד, 58)",עבר ומכר,,,,"בכ' ג ע""א",,
3365,"פס' ד, ג (לא ע""א, 10)",שאסור להמציא,,,,"הש' בכ' ב ע""א",,
3395,"פס' ד, ג (לא ע""א, 16)",לכשיזקין,,,,"ע""ז טז ע""א",,
3395,"פס' ד, ג (לא ע""א, 17)",בן בתירה,,,,"שבת צד ע""א",,
3445,"פס' ד, ג (לא ע""א, 23)",חיה גסה,,,,"ע""ז טז ע""א",,
3475,"פס' ד, ד (לא ע""א, 38)",יום הכיפורים,,,,"שבת קיד ע""ב",,
3515,"פס' ד, ו (לא ע""א, 59)",הא יום,,,,"פס' נה ע""א",,
3525,"פס' ד, ז (לא ע""א, 63)",ובלבד דבר,,,,"הש' פס' נה ע""א",,
3575,"פס' ד, ח (לא ע""ב, 7)",הא במועד,,,,"הש' פס' נה ע""ב",,
3605,"פס' ד, ח (לא ע""ב, 11)",והן שיחזירוה,,,,"פס' נה ע""ב",,
3845,"פס' ד, ט (לא ע""ב, 58)",מעשה בבן,,,,"פס' נז ע""א",,
3945,"פס' ה, א (לא ע""ד, 2)",רבי יושוע,,,,"פס' נח ע""א",,
4055,"פס' ה, א (לא ע""ד, 23)",יאוחר דבר,,,,"פס' נט ע""א",,
4145,"פס' ה, א (לא ע""ד, 34)",דם תמיד,,,,"פס' נט ע""א",,
4195,"פס' ה, ב (לא ע""ד, 43)",מניין שהוא,,,,"זב' ז ע""ב",,
4225,"פס' ה, ב (לא ע""ד, 48)",חטאת מניין,,,,"זב' ז ע""ב",,
4255,"פס' ה, ב (לא ע""ד, 51)",חטאת לשם,,,,"זב' ח ע""א",,
4295,"פס' ה, ב (לא ע""ד, 64)",שחטו לשמו,,,,"זב' ט ע""ב",,
4325,"פס' ה, ב (לב ע""א, 33)",הרי אשם,,,,"זב' ט ע""א",,
4345,"פס' ה, ב (לב ע""א, 41)",ואני אומר,,,,"זב' ח ע""ב",,
4355,"פס' ה, ב (לב ע""א, 46)",לשמו ושלא,,,,"פס' ס ע""ב",,
4357,"פס' ה, ג (לב ע""א, 51)",מניין שהוא,,,,"פס' סא ע""א",,
4375,"פס' ה, ג (לב ע""א, 56)",אימורין שאבדו,,,,"מע' ז ע""א",,
4385,"פס' ה, ג (לב ע""א, 61)",רבי שמלאי,,,,"פס' סב ע""ב",,
4485,"פס' ה, ד (לב ע""ב, 32)",המחמץ את,,,,"מנ' נז ע""א",,
4495,"פס' ה, ד (לב ע""ב, 34)",הקטיר אימורין,,,,"פס' סג ע""ב",,
4595,"פס' ה, ד (לב ע""ג, 2)",רבי יוחנן,,,,"פס' סג ע""ב",,
4655,"פס' ה, ד (לב ע""ג, 14)",חבורה היתה,,,,"פס' סד ע""א",,
