מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
07060,"קד' ד, א (סה ע""ב, 48)",ושמר ה',"דברים ז, יב",,,,,
07070,"קד' ד, א (סה ע""ב, 49)",והגבעונים לא,"שמ""ב כא, ב",,,,,
07080,"קד' ד, א (סה ע""ב, 50)",הנתינים יושבים,"נחמיה יא, כא",,,,,
03300,"קד' א, ו (סא ע""א, 14)",שור זה,,"ת' קד' א, ט (40:279)",,"חו' קלט ע""א",,
03310,"קד' א, ו (סא ע""א, 15)",לה' הארץ,"תהלים כד, א",,,,,
03320,"קד' א, ז (סא ע""א, 17)",מצות שהאב,,"ת' קד' א, יא (48:279); מדר""י 5:73; מדרשב""י 150; ספ' א, ו (צד ע""א)","ק""ר ט, ט (כד ע""א); במ""ר יז, א (עא ע""ד); תנ""ו שלח יד (540)","קד' כט ע""א",,ז
03330,"קד' א, ז (סא ע""א, 19)",ביום השמיני,"ויקרא יב, ג",,,,,
03340,"קד' א, ז (סא ע""א, 19)",וכל בכור,"שמות יג, יג",,,,,
03350,"קד' א, ז (סא ע""א, 20)",ולמדתם אותם,"דברים יא, יט",,,,,
03360,"קד' א, ז (סא ע""א, 20)",תני רבי,,,"פאה טו ע""ג; סוטה כד ע""ג",,,
03370,"קד' א, ז (סא ע""א, 21)",ובחרת בחיים,"דברים ל, יט",,,,,
03380,"קד' א, ז (סא ע""א, 21)",והודעתם לבניך,"דברים ד, ט","מדר""י 258",,,,
03390,"קד' א, ז (סא ע""א, 23)",למען תחיה,"דברים ל, יט",,,,,
03400,"קד' א, ז (סא ע""א, 26)",אדם תפדה,"שמות יג, יג",,,,,
03410,"קד' א, ז (סא ע""א, 26)",ונמלתם,"בראשית יז, יא",,,,,
03420,"קד' א, ז (סא ע""א, 27)",ולמדתם,"דברים יא, יט",,,,,
03430,"קד' א, ז (סא ע""א, 27)",והודעת,"דברים ד, ט",,,,"צ""ל: והודעתם",
03440,"קד' א, ז (סא ע""א, 27)",למען תחיה,"דברים ל, יט",,,,,
03450,"קד' א, ז (סא ע""א, 27)",האב זכה,,"מ' עד' ב, ט; הש' ספ' צד ע""ג","תנ""ב תולדות ז (128); הש' שמ""ר א, א (שנאן, 38); תנ""ו אמור ד; תנ""ב אמור ו (84)",,אגור ה (92); אגדת בראשית מ (79);,ז
03460,"קד' א, ז (סא ע""א, 28)",ייראה אל,"תהלים ד, טז",,,,,
03470,"קד' א, ז (סא ע""א, 29)",גיבור בארץ,"תהלים קיב, ב",,,,,
03480,"קד' א, ז (סא ע""א, 29)",נער הייתי,"תהלים לז, כה",,,,,
03490,"קד' א, ז (סא ע""א, 30)",ולמדתם אותם,"דברים יא, יט",,,,,
03500,"קד' א, ז (סא ע""א, 31)",למען ירבו,"דברים יא, כא",,,,,
03510,"קד' א, ז (סא ע""א, 32)",ואילו הן,,"ת' קד' א, יא (46:279)",,,,
03520,"קד' א, ז (סא ע""א, 33)",יחולו על,"שמ""ב ג, כט",,,,,
03530,"קד' א, ז (סא ע""א, 34)",וחסר לחם,,,"הש' ק""ר ה, יא (טז ע""ב)",,??,
03540,"קד' א, ז (סא ע""א, 37)",והמלך רחבעם,"מל""א יב, יח",,,,,
03550,"קד' א, ז (סא ע""א, 38)",ויהי עוזיהו,"דה""ב כו, כא",,,,,
03560,"קד' א, ז (סא ע""א, 39)",ואת יואש,"דה""ב כד, כד",,,,,
03570,"קד' א, ז (סא ע""א, 39)",תני ר',,"מדר""י 177","שמ""ר ח, ב (שנאן, 202); תנ""ו בשלח כה (237)",,,ז
03580,"קד' א, ז (סא ע""א, 41)",וענה גאון,"הושע ה, ה",,,,,
03590,"קד' א, ז (סא ע""א, 42)",ויורו המורים,"דה""ב לב, כג",,,,,
03600,"קד' א, ז (סא ע""א, 42)",ואמר רבי,,,"הש' פד""כ 384",,"וש""נ (יחד עם השורה הבאה?)",
03610,"קד' א, ז (סא ע""א, 44)",וארוחתו ארוחת,"מל""ב כה, ל",,,,,
03620,"קד' א, ז (סא ע""א, 44)",אם התחילו,,"מ' שבת א, ה",,,,
03630,"קד' א, ז (סא ע""א, 45)",התחלת המרחץ,,,"שבת ג ע""א","שבת ט ע""ב",,
03640,"קד' א, ז (סא ע""א, 51)",והודעת' לבניך,"דברים ד, ט-י",,,,,
03650,"קד' א, ז (סא ע""א, 54)",גידול אמר,,,"שבת ג ע""א; שק' מז ע""א; הש' בר' ד ע""ב",,,
03660,"קד' א, ז (סא ע""א, 56)",אך בצלם,"תהלים לט, ז",,,,,
03670,"קד' א, ז (סא ע""א, 56)",רב אדם,"משלי כ, ו",,,,,
03680,"קד' א, ז (סא ע""א, 60)",איזהו מורא,,"ספ' פז ע""א","פאה טו ע""ג; כל' לא ע""ג; קד' סא ע""ב (44)","קד' לא ע""ב",,
03690,"קד' א, ז (סא ע""א, 61)",אי זהו,,"ת' קד' א, יא (46:279); מדרשב""י 152; הש' מדר""י 231",,,,
03700,"קד' א, ז (סא ע""א, 64)",אחד האיש,,"ת' קד' א, יא (47:279); ספ' פו ע""ד; הש' מדר""י 231",,"קד' לא ע""ב",,
03710,"קד' א, ז (סא ע""ב, 3)",עד איכן,,,"פאה טו ע""ג; פס""ר כג (קכג ע""ב); דב""ר א, טו (צט ע""א)","קד' לב ע""א",,ז
03720,"קד' א, ז (סא ע""ב, 17)",ומשפט ורב,"איוב לו, כג",,,,,
03730,"קד' א, ז (סא ע""ב, 40)",איש אמו,"ויקרא יט, ג","מדרשב""י 152; ספ' פו ע""ד; הש' מדר""י 231",,"קד' לא ע""ב",,
03740,"קד' א, ז (סא ע""ב, 41)",את ה',"דברים ו, יג",,,,,
03750,"קד' א, ז (סא ע""ב, 42)",ומקלל אביו,"שמות כא, יז",,,,,
03760,"קד' א, ז (סא ע""ב, 42)",איש איש,"ויקרא כד, טו",,,,,
03770,"קד' א, ז (סא ע""ב, 44)",אי זהו,,"ספ' פז ע""א","פאה טו ע""ג; כל' לא ע""ג; קד' סא ע""א (60)",,,
03780,"קד' א, ז (סא ע""ב, 48)",כבד את,"שמות כ, יא",,,,,
03790,"קד' א, ז (סא ע""ב, 49)",כבד את,"משלי ג, יט",,,,,
