מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
3510,"שבת ג, ז (ו ע""ג, 40)",לא יגור,,"ת' ביצה ב, יח (68:292)","כל' כז ע""ב; שבת ו ע""א (1); שבת ז ע""ב (20); ביצה סא ע""ד","שבת כב ע""א; שבת כט ע""ב; שבת מו ע""ב; פס' קא ע""א; ביצה כג ע""ב; מנ' מא ע""ב",,
3870,"שבת ה, א (ז ע""ב, 20)",לא יגור,,"ת' ביצה ב, יח (68:292)","כל' כז ע""ב; שבת ו ע""א (1); שבת ו ע""ג (40); ביצה סא ע""ד","שבת כב ע""א; שבת כט ע""ב; שבת מו ע""ב; פס' קא ע""א; ביצה כג ע""ב; מנ' מא ע""ב",,
3520,"שבת ג, ז (ו ע""ג, 44)",ניטלין בשבת,,"מ' כל' א, ט",,,,
3530,"שבת ג, ז (ו ע""ג, 46)",כל הכלים,,"מ' ביצה ב, י",,,,
3540,"שבת ג, ז (ו ע""ג, 46)",רבי הונא,,,"ב""ב יד ע""ב",,,
3550,"שבת ג, ח (ו ע""ג, 52)",אין נותנין,,"מ' שבת ג, ו",,,,
3560,"שבת ג, ח (ו ע""ג, 53)",נותנין כלי,,"מ' שבת ג, ו",,,,
3570,"שבת ג, ח (ו ע""ג, 54)",רבי שמואל,,,"שבת טו ע""ד",,,
3580,"שבת ג, ח (ו ע""ג, 55)",רבי מאיר,,"הש' מ' שבת טז, ה",,,"צ""ל: רבי יוסי",
3590,"שבת ד, א (ו ע""ד, 20)",ספק חשיכה,,"מ' שבת ב, ז",,,,
3600,"שבת ד, א (ו ע""ד, 22)",אמר רבי,,,"הש' שבת ז ע""ב (49); ח ע""א (56)",,,
3980,"שבת ה, ג (ז ע""ב, 49)",אמר רבי,,,"הש' שבת ו ע""ד (22); ח ע""א (56)","שבת נד ע""א",,
4550,"שבת ו, ב (ח ע""א, 56)",אמר רבי,,,"הש' שבת ו ע""ד (22); ז ע""ב (49)",,,
3610,"שבת ד, א (ו ע""ד, 30)",ברתיה דרבי,,,"הש' שבת ה ע""ג (55)",,,
3620,"שבת ד, א (ו ע""ד, 34)",טומנין בכסות,,"מ' שבת ה, א",,,,
3630,"שבת ד, א (ו ע""ד, 35)",ר' יוסה,,,"שבת ו ע""ד (54)",,"צ""ל: ר' יודה",
3700,"שבת ד, א (ו ע""ד, 54)",רבי יודה,,,"שבת ו ע""ד (35)",,,
3640,"שבת ד, א (ו ע""ד, 37)",מטילין אותו,,"מ' שבת כג, ה",,,,
3660,"שבת ד, א (ו ע""ד, 39)",תמן טומנין,,"הש' מ' שבת ד, א",,,,
3670,"שבת ד, א (ו ע""ד, 40)",והמשכיר בית,,"ת' ב""מ ח, ל (24:390)",,,,
3680,"שבת ד, א (ו ע""ד, 43)",אתיב רבי,,,"ב""ב יג ע""ב",,,
3690,"שבת ד, א (ו ע""ד, 51)",כן בגפת,,"מ' כלים ט, ה","ע""ז מא ע""ג",,"צ""ל: וכן בגפת",
3710,"שבת ד, ב (ו ע""ד, 60)",רב ירמיה,,,"ביצה סב ע""ד; מ""ק פא ע""ב","שבת מג ע""א",,
3720,"שבת ד, ב (ו ע""ד, 61)",אמר רבי,,,"שבת יד ע""ב (9); שבת טו ע""ד (44)",,,
3730,"שבת ד, ב (ז ע""א, 2)",כרב,,,"הש' שבת ו ע""ד (60)",,,
3740,"שבת ד, ב (ז ע""א, 2)",כשמואל,,,"הש' שבת ו ע""ד (63)",,,
3750,"שבת ד, ב (ז ע""א, 21)",עריבת הירדן,,,"ק""ר א, טו (ו ע""ב)",,,
3760,"שבת ד, ב (ז ע""א, 26)",דמר רבי,,,"שבת טז ע""ג","שבת קכה ע""ב",,
3770,"שבת ד, ג (ז ע""א, 31)",נטלו מבעוד,,,"שבת ה ע""ד (41)",,,
3780,"שבת ד, ג (ז ע""א, 34)",רבי ליעזר,,,"שבת ה ע""ד (43)","שבת לח ע""ב",,
3790,"שבת ד, ג (ז ע""א, 43)",כשם שאין,,"ת' שבת ג, כג (54:16)",,,,
3810,"שבת ה, א (ז ע""ב, 7)",ר' ישמעאל,,"ת' שבת ד, א (1:16)",,"שבת נא ע""ב",,
3820,"שבת ה, א (ז ע""ב, 10)",וכן תהיה,"זכריה יד, טו",,,,,
3830,"שבת ה, א (ז ע""ב, 11)",אית תניי,,,"כל' לא ע""ג",,,
3840,"שבת ה, א (ז ע""ב, 12)",לובים וכושים,"דניאל יא, מג",,,,,
3850,"שבת ה, א (ז ע""ב, 18)",וכן כל,,"מ' שבת ה, ג",,,,
3860,"שבת ה, א (ז ע""ב, 19)",כל תכשיט,,"הש' מ' כלים יב, א",,,,
3880,"שבת ה, א (ז ע""ב, 22)",דלת גוררת,,"ת' ער' ח, יב (38:135)",,"ער' קא ע""א","וש""נ",
3890,"שבת ה, א (ז ע""ב, 25)",לא תטבול,,"מ' שבת ו, א",,,,
3900,"שבת ה, ב (ז ע""ב, 30)",חבל שהוא,,"ת' שבת יב, טו (63:55)",,"שבת קיג ע""א",,
3910,"שבת ה, ב (ז ע""ב, 35)",דתני רבי,,,"שבת יד ע""ב; ער' כא ע""א; סוכה נג ע""א","שבת קנד ע""ב",,
3920,"שבת ה, ב (ז ע""ב, 36)",היא צדדי,,"הש' ת' סוכה א, יא (40:259)",,,,
4260,"שבת ו, א (ז ע""ד, 36)",מטלטלין את,,"ת' שבת יג, טז (69:62)",,"הש' שבת לה ע""ב",,
4270,"שבת ו, א (ז ע""ד, 38)",כל שניאותין,,"מ' ביצה א, י",,,,
4280,"שבת ו, א (ז ע""ד, 39)",מטלטלין את,,"ת' שבת יג, טז (69:62)",,"הש' שבת לה ע""ב",,
4290,"שבת ו, א (ז ע""ד, 44)",לא תיסור,,,"הש' גט' מח ע""ב (18)",,,
4300,"שבת ו, א (ז ע""ד, 44)",אין רואין,,"ת' שבת יג, טז (71:62)",,"שבת קמט ע""א",,
4310,"שבת ו, א (ז ע""ד, 47)",שלשה דברים,,,"ע""ז מא ע""א",,,
4320,"שבת ו, א (ז ע""ד, 49)",רבי אבהו,,,"פאה טו ע""ג; סוטה כד ע""ג",,,
4330,"שבת ו, א (ז ע""ד, 52)",אין יוצאין,,"ת' שבת ד, ו (19:18)",,,,
4340,"שבת ו, א (ז ע""ד, 52)",שלשה דברים,,"ת' שבת ד, ז (20:18)",,"שבת נז ע""ב",,
4350,"שבת ו, א (ז ע""ד, 53)",אין בה,,"ת' כל' ה, כו (53:225)",,,,
4360,"שבת ו, א (ז ע""ד, 54)",עטרה לכלות,,"הש' מ' סוטה ט, יד",,,,
4370,"שבת ו, א (ז ע""ד, 56)",מעשה בר',,,"סוטה כד ע""ג","הש' שבת נט ע""ב; נד' נ ע""א",,
4380,"שבת ו, א (ז ע""ד, 59)",שנים משם,,"מ' עד' ב, ז",,,,
4390,"שבת ו, א (ז ע""ד, 60)",רבי מאיר,,"ת' שבת ד, ה (17:17)",,"שבת נט ע""ב; שבת קלח ע""א",,
4400,"שבת ו, א (ח ע""א, 2)",ובכבול ובפיאה,,"מ' שבת ו, ה",,,,
4410,"שבת ו, א (ח ע""א, 4)",שאינו שחוץ,,,"הש' שבת ז ע""ד (34)",,,
4420,"שבת ו, ב (ח ע""א, 9)",מפני מה,,,"דבר""ל (81)",,,
4430,"שבת ו, ב (ח ע""א, 14)",לא עמד,,,"הש' שבת ד ע""ג (63)",,,
4440,"שבת ו, ב (ח ע""א, 16)",טלה עליו,,"הש' ת' שבת ד, ח (26:18)",,"הש' שבת ס ע""ב",,
4450,"שבת ו, ב (ח ע""א, 17)",כמה מסמרין,,"הש' ת' שבת ד, ח (25:18)","סנ' כח ע""א; ק""ר יב, יא (לא ע""א)","הש' שבת ס ע""ב",,
4460,"שבת ו, ב (ח ע""א, 18)",וכימיך דבאך,"דברים לג, כה",,,,,
4470,"שבת ו, ב (ח ע""א, 20)",וכמסמרו' נטועים,"קהלת יב, יא",,"סנ' כח ע""א",,,
4480,"שבת ו, ב (ח ע""א, 23)",אין מגרדין,,"ת' שבת ג, טו (36:14)",,"שבת קמא ע""ב",,
4490,"שבת ו, ב (ח ע""א, 30)",לא יסוך,,"ת' תר' י, יא (39:162)",,"שבת קמא ע""ב","ת' וש""נ",
4500,"שבת ו, ב (ח ע""א, 32)",לא יתננה,,"ת' שבת טז, יד (33:78)",,,,
4510,"שבת ו, ב (ח ע""א, 37)",סנדל שנפסקה,,"ת' כלים ב""ב ד, ב (4:594)","יב' יב ע""ד","שבת קיב ע""א",,
4520,"שבת ו, ב (ח ע""א, 44)",רבי אחא,,,"הש' מ""ק פב ע""ג (20)",,,
5430,"שבת ו, ט (ח ע""ד, 11)",רבי חונה,,,"תנ""ב שופטים י",,,
5440,"שבת ו, ט (ח ע""ד, 16)",כי לא,"במדבר כג, כג",,,,,
5450,"שבת ו, ט (ח ע""ד, 17)",כעת יאמר,"במדבר כג, כג",,,,,
5460,"שבת ו, ט (ח ע""ד, 19)",כעת יאמר,"במדבר כג, כג",,,,,
5462,"שבת ו, ט (ח ע""ד, 19)",אמ' ר',,,"ו""ר תרכד; פד""כ ט (150); תנ""ו אמור ז (455); תנ""ב אמור י (89)",,,ז
5470,"שבת ו, ט (ח ע""ד, 21)",רבי ברכיה,,,"דב""ר א, יב (צח ע""ד)",,,
5480,"שבת ו, ט (ח ע""ד, 24)",ענה נבוכדנצר ואמר,"דניאל ג, כה",,,,"צ""ל: ענה ואמר",
5490,"שבת ו, ט (ח ע""ד, 27)",וריויה די,"דניאל ג, כה",,,,,
5500,"שבת ו, ט (ח ע""ד, 27)",דמי לבר,"דניאל ג, כה",,,,,
5510,"שבת ו, ט (ח ע""ד, 27)",אמר ראובן,,,"שהש""ר ז, ט (לח ע""ב)",,"צ""ל: א""ר ראובן",
5520,"שבת ו, ט (ח ע""ד, 29)",בריך אלהוון,"דניאל ג, כח",,,,"צ""ל: אלההון",
5530,"שבת ו, ט (ח ע""ד, 30)",די שלח,"דניאל ג, כח",,,,,
5540,"שבת ז, א (ח ע""ד, 63)",כלל גדול,,"מ' שבי' ז, א",,,,
5550,"שבת ז, א (ט ע""א, 4)",ופיאה אינה,,"ת' פאה א, ז (29:43)",,,,
5560,"שבת ז, א (ט ע""א, 5)",כל השוכח,,"מ' שבת ז, א",,,,
5570,"שבת ז, א (ט ע""א, 6)",כל שאינו,,"ספ' טז ע""ב",,,,
5580,"שבת ז, א (ט ע""א, 6)",רבי לעזר,,,"הש' שבי' לג ע""ד (45)",,,
5600,"שבת ז, א (ט ע""א, 15)",ועשה אחת,"ויקרא ד, ב",,,"שבת ע ע""א; שבת קג ע""ב; סנ' סב ע""א; כר' ג ע""א",,
5610,"שבת ז, א (ט ע""א, 15)",מהנה,"ויקרא ד, ב",,,,,
5630,"שבת ז, א (ט ע""א, 17)",תני רבי,,,"שבת ט ע""ג (9); נזיר נד ע""ג","סנ' סב ע""ב",,
5640,"שבת ז, א (ט ע""א, 18)",אמר ליה,,,"יב' ט ע""ג",,,
5650,"שבת ז, א (ט ע""א, 23)",אם הכהן,"ויקרא ד, ג",,,,,
5660,"שבת ז, א (ט ע""א, 27)",עשה בהן,,"מ' כר' ב, ד",,,,
5670,"שבת ז, א (ט ע""א, 27)",שבת היא,"ויקרא כג, ג",,,,,
5680,"שבת ז, א (ט ע""א, 28)",כל העושה,"שמות לה, ב",,,,,
5690,"שבת ז, א (ט ע""א, 40)",אמר רבי,,"מ' כר' ג, י",,,,
5710,"שבת ז, א (ט ע""א, 52)",מלאכות הרבה,,"מ' כר' ג, י",,,,
5730,"שבת ז, א (ט ע""א, 53)",שבתות הרבה,,"מ' כר' ג, י",,,,
5750,"שבת ז, א (ט ע""א, 56)",מן מה,,,"שבת ט ע""א (10); שבת ט ע""ב (47)",,,
5590,"שבת ז, א (ט ע""א, 10)",מן מה,,,"שבת ט ע""א (56); שבת ט ע""ב (47)",,,
5700,"שבת ז, א (ט ע""א, 50)",רבי זעירא,,,"שבת ט ע""א (54, 64); שבת ט ע""ב (18)",,,
5740,"שבת ז, א (ט ע""א, 54)",רבי זעירא,,,"שבת ט ע""א (50, 64); שבת ט ע""ב (18)",,,
5770,"שבת ז, א (ט ע""א, 64)",רבי זעירא,,,"שבת ט ע""א (50, 54); שבת ט ע""ב (18)",,,
5800,"שבת ז, א (ט ע""ב, 18)",רבי זעירא,,,"שבת ט ע""א (50, 54, 64)",,,
5720,"שבת ז, א (ט ע""א, 53)",רבא בשם,,,"שבת ט ע""א (58); שבת ט ע""ב (5, 10)",,,
5760,"שבת ז, א (ט ע""א, 58)",רבי בא,,,"שבת ט ע""א (53); שבת ט ע""ב (5, 10)",,,
5780,"שבת ז, א (ט ע""ב, 5)",רבי בא,,,"שבת ט ע""א (53, 58); שבת ט ע""ב (10)",,,
5790,"שבת ז, א (ט ע""ב, 10)",רבי בא,,,"שבת ט ע""א (53, 58); שבת ט ע""ב (5)",,,
5620,"שבת ז, א (ט ע""א, 15)",אחת לחייב,,,"שבת ט ע""ב (22)",,,
5810,"שבת ז, א (ט ע""ב, 22)",לאחת,"ויקרא ד, ב",,"שבת ט ע""א (15)",,,
11625,"שבת יט, א (יז ע""א, 8)",בית אב,,,"הש' פס' ו, א (לג ע""א, 37); שהש""ר א, ב, ד (ה ע""ב, 5); שם ב, ב, ד (טו ע""א, 9)",,"ע' ויק""ר, א א (ג:5); שו""ט, קד (רכד ע""א, 27); תנ' וארא ח (יב ע""ב, 6); י""ש ירמיה רמז",
11805,"שבת יט, ב (יז ע""א, 34)",מיכן לישראל,,,"יבמות, ח, א, (ח ע""ד, 57); ב""ר, מו, יג (7:468); דב""ר, ו, א (קיא ע""ד, 30); דבר""ל, כי תצא, א (5:103); הש' שהש""ר ד, ו, א (כו ע""ב 5)","כז ע""א; מנחות מב ע""א","פס""ז, בר' יז; י""ש, לך לך פא; פב",
11079,"שבת יז, א (טז ע""א, 61)",כלי קורייס,"הש' מ' שבת יג, ב; כלים כא, א",,"ב""ר מט יח (יז) (1:497); דב""ר ז, יא (קטו ע""א, 15); דבר""ל, תבא, יא (10:113);  שהש""ר ד, יא, ב (כח ע""א, 24); ק""ר ב, טז, א (ח ע""ב, 39); פד""כ יא, כא (6:196); מד""ש א, ב (2:43); מת""ה, בובר, כג ד (1:200)",,"י""ש, עקב תתנ; תהלים תרצא; משלי תתקמו",
