מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
2730,"נד' ז, א (מ ע""ב, 56)",רבי יצחק,,,"פאה טז ע""ג",,,
2740,"נד' ז, א (מ ע""ב, 58)",אסור בפול,,"מ' נד' ז, א",,,,
2750,"נד' ז, א (מ ע""ב, 59)",הנודר מן,,"ת' נד' ד, ב (4:111)",,,,
2760,"נד' ז, א (מ ע""ב, 61)",הנודר מן,,"ת' נד' ד, א (1:110)",,,,
2770,"נד' ז, א (מ ע""ב, 62)",הנודר מן,,"ת' נד' ד, ג (5:111)",,,,
2780,"נד' ז, א (מ ע""ב, 62)",הילכו בנדרים,,,"ער' כ ע""ד; נד' לט ע""ג (29); נד' לט ע""ד (4, 7); ב""ר 1172; נזיר נה ע""ג",,"לט ע""ג, ע""ד, וש""נ",ז
2235,"נד' ו, ו (לט ע""ד, 4)",דרבי יוחנן,,,"ער' כ ע""ד; נד' לט ע""ג (29); נד' לט ע""ד (7); נד' מ ע""ב (62); נזיר נה ע""ג; ב""ר 1172",,,ז
2790,"נד' ז, א (מ ע""ב, 64)",תירושך,"דברים יא, יד","ס""ד מב (91)",,,"וש""נ",
2800,"נד' ז, ב (מ ע""ג, 2)",הנודר מן,,"מ' חלה א, ב",,,,
2810,"נד' ז, ב (מ ע""ג, 2)",הא הנודר,,,"חלה נז ע""ג",,,
2820,"נד' ז, ב (מ ע""ג, 4)",שהנודר מן,,"מ' חלה א, ב",,,,
2840,"נד' ז, ג (מ ע""ג, 8)",הנודר מן,,"ת' נד' ד, ג (10:111)",,,,
2830,"נד' ז, ב (מ ע""ג, 5)",ותבואת הכרם,"דברים כב, ט",,,,,
2850,"נד' ז, ג (מ ע""ג, 11)",ר' שמעון,,"ת' נד' ג, ד (17:109)",,,,
2860,"נד' ז, ג (מ ע""ג, 18)",ואמר קונם,,"ת' נד' ד, ד (12:111)",,,,
2870,"נד' ז, ה (מ ע""ג, 20)",תני דרגש,,,"בר' ה ע""ד",,"וש""נ",
2880,"נד' ז, ה (מ ע""ג, 25)",מיטה ועריסה,,"מ' כלים טז, א",,,,
2890,"נד' ז, ו (מ ע""ג, 28)",ויהי בהיות,"יהושע ה, יג",,,,,
2900,"נד' ז, ו (מ ע""ג, 28)",ויריחו סוגרת,"יהושע ו, א",,,,,
2910,"נד' ז, ז (מ ע""ג, 33)",עד אכן,,,"תר' מו ע""ד",,,
2920,"נד' ח, א (מ ע""ד, 28)",עד ראש,,"מ' נד' ח, ה",,,,
2930,"נד' ח, א (מ ע""ד, 29)",הדא אמרה,,,"נד' מא ע""א",,,
2940,"נד' ח, א (מ ע""ד, 31)",אסור בה,,"מ' נד' ח, ה",,,,
2950,"נד' ח, א (מ ע""ד, 33)",רבי אחא,,,"תע' סז ע""א",,,
2960,"נד' ח, א (מ ע""ד, 34)",היו מתענין,,"מ' תע' ג, ט",,,,
2970,"נד'  ח, א (מ ע""ד, 35)",אחר חצות,,"מ' תע' ג, ט",,,,
2980,"נד' ח, א (מ ע""ד, 38)",רבי יונה,,,"מ""ק פג ע""ב",,,
2990,"נד' ח, א (מ ע""ד, 49)",הדא דאת,,,"תע' סו ע""א; מג' ע ע""ד",,,
3000,"נד' ח, א (מ ע""ד, 52)",מעשה שגזרו,,"ת' תע' ב, ה (36:331)",,,"וש""נ",
3010,"נד' ח, ג (מ ע""ד, 60)",רבי ירמיה,,,"קד' סד ע""ב",,,
3020,"נד' ח, ג (מ ע""ד, 61)",עד שיצאו,,"הש' מ' קד' ג, ט",,,,
3030,"נד' ח, ג (מ ע""ד, 62)",אמר ליה,,,"סוטה כב ע""ג; קד' סד ע""ב",,,
3040,"נד' ח, ג (מ ע""ד, 62)",משמת בן,,"מ' סוטה ט, טו",,,,
3050,"נד' ח, ה (מא ע""א, 8)",כלכלו' של,,"הש' ת' נד' ד, א (3:111)",,,,
3060,"נד' ח, ה (מא ע""א, 8)",עד ישקפלו,,"מ' נד' ח, ד",,,,
3070,"נד' ח, ה (מא ע""א, 10)",חד טעין,,,"דמאי כב ע""ד",,,
3080,"נד' ח, ה (מא ע""א, 12)",עד כלות,"רות ב, כג",,,,,
3090,"נד' ח, ה (מא ע""א, 14)",נדר מן,,"ת' נד' ד, ז (19:112)",,,,
3100,"נד' ח, ו (מא ע""א, 15)",ר' זעורא,,,"שבי' לט ע""א",,,
3110,"נד' ח, ו (מא ע""א, 16)",האומ' הרי,,"מ' שק' ו, ו",,,,
3120,"נד' ח, ו (מא ע""א, 17)",ר' יוסי,,,"שבי' לט ע""א; שק' נ ע""ב",,,
3130,"נד' ח, ו (מא ע""א, 18)",ושנים בידן,,"מ' יומא ב, ה",,,,
3140,"נד' ח, ו (מא ע""א, 20)","רשב""ג או'",,"ת' שבי' ז, יח (58:199)",,,,
3150,"נד' ח, ו (מא ע""א, 21)",ולמה נקרא,,"ת' תע' א, ד (21:324)",,,,
3160,"נד' ח, ז (מא ע""א, 23)",עד אימתי,,"מ' תע' א, ב",,,,
3170,"נד' ח, ז (מא ע""א, 24)",הדא אמרה,,,"נד' מ ע""ד",,,
3180,"נד' ח, ז (מא ע""א, 27)",זה או',,"ת' ב""מ ח, לא (29:380)",,,,
3190,"נד' ח, ז (מא ע""א, 29)","א""ר הילא",,,"מג' ע ע""ד",,,
3200,"נד' ח, ז (מא ע""א, 30)",ולעניין שטרות,,"ת' מג' א, ו (36:345)",,,,
3210,"נד' ח, יא (מא ע""א, 32)","א""ר זעירא",,,"נד' לח ע""א",,,
3220,"נד' ח, יא (מא ע""א, 37)",כל עכבה,,"מ' גט' ז, ו",,,,
3230,"נד' ח, יב (מא ע""א, 42)",הכל לפי,,"מ' נד' ז, ג",,,,
3240,"נד' ט, א (מא ע""ב, 35)",ומורא רבך,,"מ' אבות ד, יב",,,,
3250,"נד' ט, א (מא ע""ב, 36)",וידבר משה,"במדבר ל, ב",,"נד' לז ע""ד",,,
3260,"נד' ט, א (מא ע""ב, 41)",דלנפשיה הוא,,,"דבר""ל 70",,,
3270,"נד' ט, א (מא ע""ב, 42)",אם צדקת,"איוב לב, ז",,,,,
3280,"נד' ט, א (מא ע""ב, 42)",אמר רבי,,,"נד' מא ע""ב (49)",,,
3290,"נד' ט, א (מא ע""ב, 43)",לא יהיה,"תהלים פא, י",,,,,
3300,"נד' ט, א (מא ע""ב, 46)",לאסור אסר,"במדבר ל, ג",,,,,
3310,"נד' ט, א (מא ע""ב, 47)",והוא אסור,"ירמיה מ, א",,,,,
3320,"נד' ט, א (מא ע""ב, 49)",דמר ר',,,"נד' מא ע""ב (42)",,,
3330,"נד' ט, א (מא ע""ב, 49)",ר' יצחק,,,"ו""ר תתסג",,,
3340,"נד' ט, א (מא ע""ב, 50)",יש בוטה,"משלי יב, יח",,,,,
3350,"נד' ט, א (מא ע""ב, 54)",ולשון חכמים,"משלי יב, יח",,,,,
3360,"נד' ט, א (מא ע""ב, 55)",לאסור אסר,"במדבר ל, ג",,,,,
3370,"נד' ט, א (מא ע""ב, 56)",כנולד הוא,,"הש' מ' נד' י, יב",,,,
3380,"נד' ט, א (מא ע""ב, 56)","כהדא ר""ש",,,"מ""ק פא ע""ד",,,
3390,"נד' ט, א (מא ע""ב, 62)",שאין היצר,,,"יומא מג ע""ד",,,
3400,"נד' ט, א (מא ע""ב, 63)",ועל פיהם,"דברים כא, ה",,,,,
3410,"נד' ט, א (מא ע""ב, 64)",הקיש ריבים,,"ת' נג' א, ז (22:618); ס""ד רח (243)",,,,
3420,"נד' ט, א (מא ע""ב, 64)",לכל מראה,"ויקרא יג, יב",,,,,
3430,"נד' ט, א (מא ע""ג, 3)",דמר ר',,,"פאה טו ע""ד; קד' סא ע""ג",,,
3440,"נד' ט, ב (מא ע""ג, 8)",כי מתו,"שמות ד, יט",,,,,
3450,"נד' ט, ב (מא ע""ג, 8)",וכי מתים,,,"ב""ר 830; ש""ר ה, ד (יד ע""ב); פד""א מ (קנג)",,,ז
3460,"נד' ט, ב (מא ע""ג, 10)",זו טעות,,"מ' נזיר ה, ד","נזיר נד ע""א",,,
3470,"נד' ט, ב (מא ע""ג, 15)",החזון אשר,"יחזקאל יב, כז",,,,,
3480,"נד' ט, ב (מא ע""ג, 17)",אין מוכרין,,,"מג' עג ע""ד",,,
3490,"נד' ט, ב (מא ע""ג, 18)",קונם לבית,,"מ' נד' ט, ב",,,,
3500,"נד' ט, ב (מא ע""ג, 20)",העושה תיבה,,"ת' מג' ב, יג (39:351)",,,,
3510,"נד' ט, ג (מא ע""ג, 27)",לא תקום,"ויקרא יט, יח",,,,,
3520,"נד' ט, ג (מא ע""ג, 29)",ואהבת לרעך,"ויקרא יט, יח","ספ' פט ע""ב","ב""ר 236",,,
3530,"נד' ט, ג (מא ע""ג, 29)",זה ספר,"בראשית ה, א",,,,,
3540,"נד' ט, ה (מא ע""ג, 38)",אלא יינתנו,,"מ' כת' ט, ג",,,,
3550,"נד' ט, ו (מא ע""ג, 40)",הותר ממנו,,"ת' נד' ה, א (14:114)",,,,
3560,"נד' ט, ט (מא ע""ג, 46)",ר' יודה,,"ת' נד' ה, ו (26:115)",,,,
275,"נד' א, א (לו ע""ד, 36)",פינקסו נפתחת,,,"ב""ר פא, א (1:968); הש' ב""ר, פד, יא (2:1015); אס""ר א, ו (ג ע""ג, 15); ב""מ ח""א ילמדנו (קדושים)",,,
963,"נד' ג, ב (לז ע""ד, 57)",וכן הוא,,"מדרשב""י 92","במ""ר יא, ז (מה ע""א)",,"ס""ב, ועוד",זוסמן
1003,"נד' ג, ב (לח ע""א, 9)",חזקיה אמר,,,"פס""ר כב (קיב ע""ב)",,,זוסמן
1283,"נד' ג, יד (לח ע""ב, 4)",בתורה ובנביאים,,,"ש""ר כה, יב (מז ע""ב)",,,זוסמן
2983,"נד' ח, א (מ ע""ד, 43)",רבי בא,,,"מד""ש יז, ג (96)",,,זוסמן
