מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
03220,"תע' ג, ו (סו ע""ד, 31)",בימי יאשיהו,"הש' דה""ב לה, כא-כד",,,,,
03230,"תע' ג, ח (סו ע""ד, 34)",עניני ה',"מל""א יח, לז",,,,,
03240,"תע' ג, ח (סו ע""ד, 35)",לוי בן,,,"פד""כ 377",,,
03250,"תע' ג, ט (סו ע""ד, 40)",רבי יונה,,," בר' יד ע""ג; ו""ר לה, יב (תתלב:3); במ""ר יב, יא (מח ע""ד, 27); אס""ר י, יד (טו ע""ד, 11)","הש' שבת, לב ע""ב; תע'  ט ע""א; כב ע""ב; מכות, כג ע""ב",,
03260,"תע' ג, י (סו ע""ד, 45)",בעשרין ביה,,"מ""ת 348",,"הש' תע' כג ע""א",,
03270,"תע' ג, י (סו ע""ד, 54)",בשוב ה',"תהלים קכו, א",,,,,
03280,"תע' ג, יא (סז ע""א, 7)",כי מי,"ישעיה נד, ט",,,,,
03290,"תע' ג, יב (סז ע""א, 9)",שלח לו,,,"מ""ק פא ע""ד","בר' יט ע""א; תע' כג ע""א",,
03300,"תע' ג, יב (סז ע""א, 10)",בימי אליהו,"הש' מל""א יז, א",,,,,
03310,"תע' ג, יב (סז ע""א, 11)",תמן תנינן,,,"ר""ה נז ע""ב",,,
03320,"תע' ג, יב (סז ע""א, 11)",שלח לו,,"מ' ר""ה א, ו",,,,
03330,"תע' ג, יב (סז ע""א, 18)",ותגזר אומר,"איוב כב, כח",,,"תע' כג ע""א",,
03340,"תע' ג, יב (סז ע""א, 19)",ועל דרכיך,"איוב כב, כח",,,,,
03350,"תע' ג, יב (סז ע""א, 20)",אף ברי,"איוב לו, יא",,,,,
03360,"תע' ג, יב (סז ע""א, 21)",כי השפילו,"איוב כב, כט",,,,,
03370,"תע' ג, יב (סז ע""א, 22)",ושח עינים,"איוב כב, כט",,,,,
03380,"תע' ג, יב (סז ע""א, 23)",ימלט אי,"איוב כב, ל",,,,,
03390,"תע' ג, יב (סז ע""א, 25)",ונמלט בבור,"איוב כב, ל",,,,,
03400,"תע' ג, יב (סז ע""א, 26)",ישמח אביך,"משלי כג, כה",,,,,
03410,"תע' ג, יב (סז ע""א, 29)",כעס לאביו,"משלי יז, כה",,,,,
03420,"תע' ג, יב (סז ע""א, 29)",בן חכם,"משלי י, א",,,,,
03430,"תע' ג, יב (סז ע""א, 31)",ישמח אביך,"משלי כג, כה",,,,,
03440,"תע' ג, יג (סז ע""א, 33)",והיה טרם,"ישעיה סה, כד",,,,,
03450,"תע' ג, יג (סז ע""א, 34)",עוד הם,"ישעיה סה, כד",,,,,
03460,"תע' ג, יג (סז ע""א, 37)",ר' אחא,,,"נד' מ ע""ד",,,
03470,"תע' ג, יג (סז ע""א, 39)",קודם לחצות,,"מ' תע' ג, ט",,,,
03760,"תע' ד, א (סז ע""ג, 9)",יברכך ה',"במדבר ו, כד-כו",,,,,
03770,"תע' ד, א (סז ע""ג, 10)",ומניין לנעילה,,,"בר' ז ע""ב",,,
03780,"תע' ד, א (סז ע""ג, 11)",גם כי,"ישעיה א, טו",,,,,
03790,"תע' ד, א (סז ע""ג, 12)",מחלפה שיטתיה,,,"ביכ' סד ע""ג; מד""ש ג, ג (52)",,,ז
03800,"תע' ד, א (סז ע""ג, 13)",בכל עצב,"משלי יד, כג",,,,,
03810,"תע' ד, א (סז ע""ג, 14)",וישב שם,"שמ""א א, כב",,,,,
03820,"תע' ד, א (סז ע""ג, 15)",ומבן חמשים,"במדבר ח, כה",,,,,
03830,"תע' ד, א (סז ע""ג, 16)",חמשין ותרתיי,,"הש' ס""ע 58",,"הש' תע' ה ע""ב",והע' יט שם,
03840,"תע' ד, א (סז ע""ג, 18)",והיה כי,"שמ""א א, יב",,,,,
03850,"תע' ד, א (סז ע""ג, 21)",בשלשה פרקים,,"מ' תע' ד, א",,,,
03860,"תע' ד, א (סז ע""ג, 23)",אחוה דאימיה,,,"בר' ז ע""ג",,,
03870,"תע' ד, א (סז ע""ג, 26)",בנעילת שערי,,,"תע' סז ע""ג (20)",,,
03880,"תע' ד, א (סז ע""ג, 28)",נעילה מהו,,,"תע' סז ע""ד (12)","יומא פז ע""ב",,
03890,"תע' ד, א (סז ע""ג, 35)",אמר רבי,,,"בר' ז ע""ג; בר' ח ע""א",,,
03910,"תע' ד, א (סז ע""ג, 51)",ירמיה ספרא,,,"בר' ז ע""ג; מג' עד ע""ב",,,
03920,"תע' ד, א (סז ע""ג, 52)",לכל מפסיקין,,"מ' מג' ג, ד",,,,
03930,"תע' ד, א (סז ע""ג, 53)",יצחק סחורה,,,"סופ' יב, ב (228)","תע' כט ע""ב",סופ' - הלכה?,
03940,"תע' ד, א (סז ע""ג, 59)",רבי מפקד,,,"תע' סז ע""ד (4, 8); ב""ר 84",,,
03950,"תע' ד, א (סז ע""ד, 4)",דר' מפקד,,,"תע' סז ע""ג (59); ב""ר 84",,,
03960,"תע' ד, א (סז ע""ד, 8)",דרבי מפקד,,,"תע' סז ע""ג (59); ב""ר 84",,,
03970,"תע' ד, א (סז ע""ד, 12)",מאן דאמר,,,"הש' תע' סז ע""ג (28)","הש' יומא פז ע""ב",,
03980,"תע' ד, א (סז ע""ד, 21)",וכי על,"נחום ג, יט",,,,,
03990,"תע' ד, א (סז ע""ד, 27)",שהוא עשירי,,,"יב' ג ע""א",,,
04000,"תע' ד, א (סז ע""ד, 30)",ביום שהושיבו,,"מ' זב' א, ג",,,,
04010,"תע' ד, א (סז ע""ד, 31)",זה מדרש,,"מ' כת' ד, ו",,,,
04020,"תע' ד, ב (סז ע""ד, 41)",מתכנסין בעריהן,,"מ' תע' ד, ב",,,,
04030,"תע' ד, ב (סז ע""ד, 42)",אמר רבי,,,"פס' ל ע""ג",,,
04040,"תע' ד, ב (סז ע""ד, 43)",שלש פעמים,"דברים טז, טז",,,,,
04330,"תע' ד, ב (סח ע""א, 40)",שלשה ספרים,,"ס""ד שנו (423)","אדר""נ נו""ב מב (סה ע""א); סופ' ו, ד (169)",,,
04340,"תע' ד, ב (סח ע""א, 41)",מעונה אלהי,"דברים לג, כז",,,,,
04350,"תע' ד, ב (סח ע""א, 43)",וישלח את,"שמות כד, ב",,,,,
04360,"תע' ד, ב (סח ע""א, 45)",אמר רבי,,,"ב""ר 1259","הש' יב' מט ע""א",,
04370,"תע' ד, ב (סח ע""א, 49)",סדר הסב,,"ת' בר' ה, ה (12:26)",,"בר' מו ע""ב",,
04380,"תע' ד, ב (סח ע""א, 54)",תמן תנינן,,,"מג' עד ע""ב",,,
04390,"תע' ד, ב (סח ע""א, 54)",שמעון הצדיק,,"מ' אבות א, ב",,,,
04400,"תע' ד, ב (סח ע""א, 56)",ושלשתן בפסוק,,,"פד""כ 309",,,
04410,"תע' ד, ב (סח ע""א, 56)",ואשים דברי,"ישעיה נא, טז",,,,,
04420,"תע' ד, ב (סח ע""א, 56)",ובצל ידי,"ישעיה נא, טז",,,,,
04430,"תע' ד, ב (סח ע""א, 58)",מה יקר,"תהלים לו, ח",,,,,
04440,"תע' ד, ב (סח ע""א, 59)",לנטוע שמים,"ישעיה נא, טז",,,,,
04450,"תע' ד, ב (סח ע""א, 59)",ולאמר לציון,"ישעיה נא, טז",,,,,
04460,"תע' ד, ב (סח ע""א, 61)",ולאמר לציון,"ישעיה נא, טז",,,,,
04470,"תע' ד, ב (סח ע""א, 62)",רבן שמעון,,"מ' אבות א, יח",,,,
04480,"תע' ד, ב (סח ע""א, 64)",ומשפט שלום,"זכריה ח, טז",,,,,
04490,"תע' ד, ג (סח ע""ב, 1)",רב חונה,,,"מג' עב ע""א","מג' כא ע""ב",,
04500,"תע' ד, ג (סח ע""ב, 2)",ביום הראשון,,"מ' תע' ד, ג",,,,
04510,"תע' ד, ג (סח ע""ב, 3)",בראשית,"בראשית א, א",,,,,
04520,"תע' ד, ג (סח ע""ב, 3)",ויהי רקיע,"בראשית א, ו",,,,,
04530,"תע' ד, ג (סח ע""ב, 5)",ויהי ערב,"בראשית א, ה, ח",,,,,
04540,"תע' ד, ג (סח ע""ב, 6)",בשני יהי,,"מ' תע' ד, ג",,,,
04550,"תע' ד, ג (סח ע""ב, 6)",יהי רקיע,"בראשית א, ו",,,,,
04560,"תע' ד, ג (סח ע""ב, 6)",יקוו המים,"בראשית א, ט",,,,,
04570,"תע' ד, ג (סח ע""ב, 8)",פרשת עמלק,"הש' שמות טז, ח-טו",,,,,
04580,"תע' ד, ג (סח ע""ב, 8)",שנייה היא,,,"הש' יומא מד ע""ב (5)",,,
04590,"תע' ד, ד (סח ע""ב, 10)",תני אנשי,,,"איכ""ר 87; סופ' יז, ד (17:337)","תע' כז ע""ב",,
04600,"תע' ד, ד (סח ע""ב, 11)",ויאמר אלהי' יהי,"בראשית א, ו",,,,,
04610,"תע' ד, ד (סח ע""ב, 12)",ויאמר אלהים יקוו,"בראשית א, ט",,,,,
04630,"תע' ד, ד (סח ע""ב, 15)",ויאמר אלהים ישרצו,"בראשית א, כ",,,,,
04640,"תע' ד, ד (סח ע""ב, 16)",לא היו,,,"סופ' יז, ד (17:337)",,,
04650,"תע' ד, ד (סח ע""ב, 19)",ונקומה ונבקשה,"עזרא ח, כג",,,,"צ""ל: ונצומה",
04660,"תע' ד, ד (סח ע""ב, 20)",ורחמין למיבעי,"דניאל ב, יח",,,,,
04670,"תע' ד, ד (סח ע""ב, 21)",שאם היו,,,"תע' סד ע""ד (17)",,,
04680,"תע' ד, ה (סח ע""ב, 23)",דרבי מאיר,,"הש' ת' תע' ג, ד (17:357)",,,,
04690,"תע' ד, ה (סח ע""ב, 26)",אית תניי,,,"הש' כל' ל ע""ג (29); פס' ל ע""ב (54)",,,
04740,"תע' ד, ו (סח ע""ב, 36)",אף הרוצה,,"מ' שק' ד, א",,"ב""מ קיח ע""א",,
04700,"תע' ד, ה (סח ע""ב, 28)",ויהי ממחרת,"שמ""א כ, כז",,,,,
04710,"תע' ד, ה (סח ע""ב, 29)",מדוע לא,"שמ""א כ, כז",,,,,
04720,"תע' ד, ה (סח ע""ב, 30)","א""ר חייה",,,"ר""ה נט ע""ג",,,
04730,"תע' ד, ו (סח ע""ב, 32)",מה ראה,,"ת' תע' ג, ה (21:338)","שק' מז ע""ד; מג' ע ע""ג","תע' כח ע""א",,
04750,"תע' ד, ו (סח ע""ב, 39)",אשה שעשת,,"ת' יומא א, כג (103:228)",,"יומא לה ע""ב",,
04760,"תע' ד, ו (סח ע""ב, 43)",אותן הימים,,"ת' תע' ג, ו (27:338)",,"ר""ה יט ע""ב",,
04770,"תע' ד, ו (סח ע""ב, 44)",אמר רבי,,"ת' תע' ג, ו (29:338)",,"תע' יב ע""א",,
04780,"תע' ד, ז (סח ע""ב, 46)",מהו בני,,"ת' תע' ג, ז (31:339)",,"תע' כח ע""א","ת' וש""נ",
04790,"תע' ד, ז (סח ע""ב, 47)",בשעה שהושיב,,,"הש' תע' סט ע,ג (26)",,,
04800,"תע' ד, ז (סח ע""ב, 59)",זכר צדיק,"משלי י, יז",,,,,
04810,"תע' ד, ח (סח ע""ב, 59)",כתיב וישכן,,"ס""ע 27",,"תע' כח ע""ב",,
04820,"תע' ד, ח (סח ע""ב, 60)",וישכן כבוד,"שמות כד, טז",,,,,
04830,"תע' ד, ח (סח ע""ב, 62)",וירא העם,"שמות לב, א",,,,,
04840,"תע' ד, ח (סח ע""ב, 63)",ויקהל העם,"שמות לב, א",,,,,
04850,"תע' ד, ח (סח ע""ב, 64)",ויאמר ה',"שמות לב, ז",,,,,
04860,"תע' ד, ח (סח ע""ג, 1)",וישמע יהושע,"שמות לב, יז",,"ב""ר 1235; ק""ר ט, יא (כה ע""א)",,,ז
04870,"תע' ד, ח (סח ע""ג, 3)",ויאמ' אין,"שמות לב, יח",,,,,
04880,"תע' ד, ח (סח ע""ג, 5)",ויהי כאשר,"שמות לב, יט",,,,,
04890,"תע' ד, ח (סח ע""ג, 6)",מיכן שלא,,,"הש' ש""ר מו, א",,,
