מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות
01070,"חלה א, ט (נח ע""א, 44)",רבי שמעון,,"ת' ביצה ב, ה (17:287)",,,
01080,"חלה א, ט (נח ע""א, 45)",תני מצה,,,"שבת יד ע""א",,
01090,"חלה א, ט (נח ע""א, 46)",ובוצע ברך,"תהלים יג, י",,,,
01100,"חלה א, ט (נח ע""א, 48)",אלה המצות,"ויקרא כז, לד",,,,
01110,"חלה א, י (נח ע""א, 51)",החלה והתרומה,,"מ' חלה א, ט",,,
01120,"חלה א, י (נח ע""א, 52)",לא תחרוש,"דברים כב, י",,,,
01130,"חלה א, י (נח ע""א, 52)",בל תזרע,"ויקרא יט, יט; דברים כב, ט",,,,
01140,"חלה א, י (נח ע""א, 52)",בל תחסום,"דברים כה, ד",,,,
01150,"חלה א, י (נח ע""א, 54)",חלה על,,,"מע""ש נו ע""ג",,
01160,"חלה א, י (נח ע""א, 55)",תרומה לה',"במדבר טו, יט",,,,
01170,"חלה א, י (נח ע""א, 56)",מראשית,"במדבר טו, כא",,,,
01180,"חלה ב, א (נח ע""ב, 25)",אל הארץ,"במדבר טו, יח","הש' ס""ב קי (113)",,,
01190,"חלה ב, א (נח ע""ב, 28)",ר' יהודה,,"ס""ב קי (113)",,,
01200,"חלה ב, א (נח ע""ב, 28)",פירו' חוץ,,,"מע' נא ע""ד",,
01210,"חלה ב, א (נח ע""ב, 29)",לחם הארץ,"במדבר טו, יט",,,,
01220,"חלה ב, א (נח ע""ב, 30)",אל הארץ,"במדבר טו, יח",,,,
01230,"חלה ב, א (נח ע""ב, 31)",אל הארץ,"במדבר טו, יח",,,,
01240,"חלה ב, א (נח ע""ב, 37)",לזרעך נתתי,"בראשית טו, יח",,,,
01250,"חלה ב, א (נח ע""ב, 38)",לחם הארץ,"במדבר טו, יט",,,,
01270,"חלה ב, א (נח ע""ב, 40)",שהכל הולך,,,"חלה נט ע""ב (17)",,
01260,"חלה ב, א (נח ע""ב, 38)",בספינה שנכנסה,,"הש' ת' חלה ב, יב (47:282)",,,
01280,"חלה ב, א (נח ע""ב, 41)",שהכל הולך,,"הש' ת' חלה ב, יב (48:282)",,,
01290,"חלה ב, א (נח ע""ב, 43)",בשעה שנכנסו,,,"הש' ביכ' סד ע""ב (11)",,
01300,"חלה ב, א (נח ע""ב, 47)",על דעתיה,,,"ביצה ס ע""ב; נד' לח ע""ב",,
01310,"חלה ב, א (נח ע""ב, 50)",דרבי ישמעאל,,"ס""ב קי (113)","ערלה ס ע""ד","קד' לז ע""א",
01320,"חלה ב, א (נח ע""ב, 52)",ויאכלו מעבור,"יהושע ה, יא",,,,
01330,"חלה ב, א (נח ע""ב, 53)",ממחרת הפסח,"במדבר לא, ג",,,,
01340,"חלה ב, א (נח ע""ב, 56)",לחם הארץ,"במדבר טו, יט",,,,
01350,"חלה ב, א (נח ע""ב, 57)",אל הארץ,"במדבר טו, יח",,,,
01360,"חלה ב, ב (נח ע""ב, 59)",כל מקום,"דברים יא, כד",,,,
01370,"חלה ב, ב (נח ע""ב, 60)",אם בספרי,,"הש' ס""ד נא (46)",,,
01380,"חלה ב, ב (נח ע""ב, 61)",מהמדבר והלבנון,"דברים יא, כד",,,,
01400,"חלה ב, ב (נח ע""ג, 3)",הוא השיב,"מל""ב יד, כה",,,,
01410,"חלה ב, ב (נח ע""ג, 9)",דרבי יודה,,"מ' ביצה ה, ד",,,
01420,"חלה ב, ב (נח ע""ג, 12)",עציץ שאינו,,"ת' דמאי ה, כה (106:93)",,,
01430,"חלה ב, ב (נח ע""ג, 14)",הקונה עציץ,,"הש' ת' עוק' ב, יז (20:688)",,,
01440,"חלה ב, ג (נח ע""ג, 17)",רבי יוסי,,,"דמאי כד ע""ג",,
01450,"חלה ב, ג (נח ע""ג, 18)",רבי לעזר,,"מ' טב""י ג, ד",,,
01470,"חלה ב, ג (נח ע""ג, 28)",חלה,"במדבר טו, כ",,,,
01480,"חלה ב, ג (נח ע""ג, 29)",חלת לחם,"ויקרא ח, כו",,,,
01490,"חלה ב, ג (נח ע""ג, 30)",רבי יוסי,,,"בר' יב ע""א",,
01500,"חלה ב, ג (נח ע""ג, 34)",האשה יושבת,,"מ' חלה ב, ג",,,
01510,"חלה ב, ג (נח ע""ג, 35)",המים שלפני,,"ת' בר' ה, יג (26:27)",,"חו' קה ע""א",
01520,"חלה ב, ג (נח ע""ג, 39)",על הראשונים,,,"הש' תנ""ב בלק (145)","יומא פג ע""ב",
01530,"חלה ב, ד (נח ע""ג, 44)",והיה מקול,"ירמיה ג, ט",,,,
01540,"חלה ב, ד (נח ע""ג, 45)","א""ר מנא",,,"חלה נח ע""ד (5); ביכ' סד ע""א; שבת ט ע""ב; ער' כ ע""א",,
01610,"חלה ב, ו (נח ע""ד, 5)",אמר רבי,,,"חלה נח ע""ג (45); ביכ' סד ע""א; שבת ט ע""ב; ער' כ ע""א",,
01550,"חלה ב, ד (נח ע""ג, 53)",דר' עקיבה,,"מ' חלה ב, ג",,,
01560,"חלה ב, ד (נח ע""ג, 55)",נוטל מקב,,"הש' מ' חלה ד, ד",,,
01570,"חלה ב, ד (נח ע""ג, 56)",תמן לשעבר,,,"הש' חלה נט ע""א (18)",,
01760,"חלה ג, א (נט ע""א, 18)",כלום אמר,,,"הש' חלה נח ע""ג (56)",,
01580,"חלה ב, ה (נח ע""ג, 58)","א""ר יוחנן",,,"הש' תר' מא ע""א (19)",,
01590,"חלה ב, ו (נח ע""ד, 2)",אמר רבי,,,"חלה נט ע""ב",,
01600,"חלה ב, ו (נח ע""ד, 3)",דרבן שמעון,,"ת' חלה ב, א (1:278)","חלה נט ע""ב (30)",,
01620,"חלה ב, ז (נח ע""ד, 7)",אמר רבי,,"ת' דמאי א, ז (18:276)",,,
01630,"חלה ב, ז (נח ע""ד, 10)",ונתתם ממנו,"במדבר יח, כח",,,,
01640,"חלה ב, ז (נח ע""ד, 13)",העושה עיסה,,"מ' חלה ב, ז",,,
01650,"חלה ב, ז (נח ע""ד, 14)",וכן האשה,,"מ' חלה ב, ז",,,
01670,"חלה ב, ח (נח ע""ד, 21)",רבי לעאיי,,"ת' תר' ג, יח (73:121)","תר' מא ע""ב (50)",,
01710,"חלה ג, א (נט ע""א, 5)",דאמר רבי,,,"מע' מט ע""ב",,"וש""נ"
01720,"חלה ג, א (נט ע""א, 7)",מי שאינו,,"מ' חלה ב, ג",,,
01730,"חלה ג, א (נט ע""א, 12)",רבי יהודה,,"ת' חלה א, יב (44:278)",,,
01740,"חלה ג, א (נט ע""א, 14)",כתרומת גורן,"במדבר טו, כ",,,,
01750,"חלה ג, א (נט ע""א, 17)",הנוטל חלה,,"מ' חלה ד, ד",,,
01770,"חלה ג, א (נט ע""א, 20)",ראשית עריסותיכם,"במדבר טו, כ",,,,
01780,"חלה ג, א (נט ע""א, 21)",מעשר טבל,,"ת' תר' ה, טו (83:135)",,,
01790,"חלה ג, א (נט ע""א, 27)",חוץ מן,,"ת' חלה ב, ו (18:280)",,,
01800,"חלה ג, ב (נט ע""א, 44)",אוכל מעשר,,"מ' טב""י ד, א",,,
01810,"חלה ג, ב (נט ע""א, 47)",נולד לה,,"מ' חלה ג, ב",,,
01820,"חלה ג, ב (נט ע""א, 49)",דרבי עקיבה,,"מ' חלה ב, ג",,,
01830,"חלה ג, ב (נט ע""א, 51)",אף בשאר,,"הש' ת' חלה א, יא (39:278)",,,
01840,"חלה ג, ב (נט ע""א, 52)",רבי יוסי,,,"ע""ז מד ע""ב",,
01850,"חלה ג, ב (נט ע""א, 53)",ואני הנה,"במדבר יח, ח",,,,
01860,"חלה ג, ב (נט ע""א, 54)",ונתתם ממנו,"במדבר יח, כח",,,,
01870,"חלה ג, ג (נט ע""א, 56)",ולמה תניתה,,,"פאה יח ע""ב",,
01890,"חלה ג, ג (נט ע""א, 60)",שדה שהביאה,,,"מע' נא ע""ד","חו' קלו ע""א",
01680,"חלה ב, ח (נח ע""ד, 25)",אמרו לו,,"ת' תר' ג, יח (77:121)",,,
01900,"חלה ג, ד (נט ע""א, 63)",לעיסת ארנונא,,"ת' חלה א, ד (7:275)",,,
01910,"חלה ג, ד (נט ע""ב, 1)",מלאי של,,"ת' חלה א, ג (4:275)",,,
01920,"חלה ג, ד (נט ע""ב, 2)",נכרי שנתן,,"מ' חלה ג, ה",,,
01930,"חלה ג, ד (נט ע""ב, 5)",אמר ליה,,,"חלה נט ע""ג (36)",,
01940,"חלה ג, ה (נט ע""ב, 6)",גר שנתגייר,,"מ' חו' י, ד",,"חו' קלד ע""א",
01950,"חלה ג, ה (נט ע""ב, 17)",ר' עקיבה,,,"חלה נח ע""ב (40)",,
01960,"חלה ג, ה (נט ע""ב, 25)",וכל מעשר,"ויקרא כז, ל",,,,
01970,"חלה ג, ה (נט ע""ב, 25)",מלחם הארץ,"במדבר טו, כ",,,,
01980,"חלה ג, ו (נט ע""ב, 30)",דרבן שמעון,,"ת' חלה ב, א (1:278)","חלה נח ע""ד (3)",,
01990,"חלה ג, ו (נט ע""ב, 35)",הנוטל שאור,,"מ' חלה ג, י",,,
02000,"חלה ג, ו (נט ע""ב, 37)",הטבל אסור,,"מ' חלה ג, י",,,"צ""ל: אוסר"
02010,"חלה ג, ו (נט ע""ב, 40)",סימן הוה,,,"הש' כת' כט ע""ד (3); קד' סב ע""ב (18)",,
02020,"חלה ג, ז (נט ע""ב, 42)",והנותרת מן,"ויקרא ב, י",,,,
02030,"חלה ג, ז (נט ע""ב, 43)",ונתתם ממנו,"במדבר יח, כט",,,,
02040,"חלה ג, ז (נט ע""ב, 46)",ואם לאו,,"מ' חלה ג, ח",,,
02050,"חלה ג, ז (נט ע""ב, 54)",ואם לאו,,"ת' חלה ב, ב (4:279)",,,
02060,"חלה ג, ז (נט ע""ב, 59)",המכניס חלו',,"מ' טב""י א, א",,,
02070,"חלה ג, ז (נט ע""ב, 61)","א""ל ר'",,,"סוטה כ ע""א",,
02090,"חלה ג, ז (נט ע""ב, 64)",ואם לאו,,"ת' חלה ב, ב (4:279)",,,
02100,"חלה ג, ז (נט ע""ג, 4)",דאמר רבי,,,"תר' מב ע""ג; מע' נא ע""ד",,
02110,"חלה ג, ז (נט ע""ג, 8)",ואם לאו,,"מ' חלה ג, ח",,,
02120,"חלה ג, ז (נט ע""ג, 12)",מפליגין ר',,,"מע' נא ע""ד",,
02130,"חלה ג, ז (נט ע""ג, 14)",כיוצא בו,,"מ' חלה ג, ט",,,
02140,"חלה ג, ז (נט ע""ג, 17)",נוטל אדם,,"מ' חלה ד, ו",,,
02150,"חלה ג, ז (נט ע""ג, 19)",הרוצה להפריש,,"מ' דמאי ה, ב",,,
02160,"חלה ג, ז (נט ע""ג, 20)",תרומת הכרי,,,"תר' מב ע""ב",,
02170,"חלה ג, ז (נט ע""ג, 23)",לקט דלעת,,"ת' תר' ה, א (1:128)",,,
01690,"חלה ב, ח (נח ע""ד, 26)",קורה אחת,,"ת' תר' ג, ז (25:117)",,,
02180,"חלה ג, ז (נט ע""ג, 27)",היה צריך,,"ת' תר' ה, א (3:128)",,,
02190,"חלה ג, ז (נט ע""ג, 36)",אמר ליה,,,"חלה נט ע""ב (5)",,
02200,"חלה ד, א (נט ע""ד, 22)",בזמן שהן,,"מ' חלה ד, א",,,
02210,"חלה ד, א (נט ע""ד, 23)",המכניס חלות,,"מ' טב""י א, א",,,
02220,"חלה ד, א (נט ע""ד, 25)",בשר הקדש,,"מ' טב""י ב, ה",,,
02250,"חלה ד, ג (נט ע""ד, 36)",נגרר,,"הש' מ' חלה ג, ז",,,
02260,"חלה ד, ג (נט ע""ד, 37)",קב מדומע,,"ת' חלה ב, ד (10:279)",,,
02270,"חלה ד, ג (נט ע""ד, 38)",קב הגוי,,"ת' חלה ב, ג (8:279)",,,
02280,"חלה ד, ג (נט ע""ד, 38)",קב אשה,,"ת' חלה ב, ג (6:279)",,,
02290,"חלה ד, ג (נט ע""ד, 39)",קב חדש,,"ת' חלה ב, ג (5:279)",,,
02310,"חלה ד, ד (נט ע""ד, 42)",חצי קב,,"ת' חלה ב, ה (12:279)",,,
02320,"חלה ד, ד (נט ע""ד, 43)",קב חטים,,"ת' חלה ב, ד (11:279)",,,
02330,"חלה ד, ד (נט ע""ד, 49)",היו לו,,"ת' בכ' ז, ג (37:541)",,"בכ' נה ע""א",
02350,"חלה ד, ה (נט ע""ד, 54)",מצרף,,"הש' מ' חלה ד, ב",,,
02380,"חלה ד, ה (נט ע""ד, 59)",חזרו לו',,"ת' חלה ב, ו (16:280)",,,
02390,"חלה ד, ה (נט ע""ד, 63)",ר' עקיבה,,"מ' חלה ד, ה",,,
02400,"חלה ד, ו (ס ע""א, 2)",נסרח' מאוכל,,"ת' תר' ט, י (48:158)",,"פס' מה ע""ב",
02410,"חלה ד, ו (ס ע""א, 7)",תרומ' מעשר,,"ת' תר' ג, יט (81:122)","הש' תר' מא ע""ב (12)",,
02420,"חלה ד, ו (ס ע""א, 10)",מן הודאי,,"מ' דמאי ה, יא",,,
02440,"חלה ד, ז (ס ע""א, 14)",הלוקח מן,,"ת' חלה ב, ו (26:281)",,,
02430,"חלה ד, ז (ס ע""א, 13)",קנס קנסו,,,"הש' ער' כ ע""ב (53); סוכה נג ע""א (51)",,
02450,"חלה ד, ז (ס ע""א, 17)",כשם שלא,,,"חלה ס ע""א (28)",,
02490,"חלה ד, ז (ס ע""א, 28)",חזקת בעלי,,,"חלה ס ע""א (17)",,
01700,"חלה ב, ח (נח ע""ד, 34)",תרתיי כל,,,"הש' דמאי כד ע""ד (59)",,
02460,"חלה ד, ז (ס ע""א, 18)",שתי חלו',,"מ' חלה ד, ח",,,
02470,"חלה ד, ז (ס ע""א, 22)",אימת קדשים,,,"דמאי כב ע""א",,
02480,"חלה ד, ז (ס ע""א, 25)",הלוקח מן,,"ת' חלה א, ח (22:276)",,,
02500,"חלה ד, ח (ס ע""א, 31)",רבי חונא,,,"שבי' לו ע""ד (21)",,
02510,"חלה ד, ח (ס ע""א, 32)",אי זו,,"ת' תר' ב, יב (43:114)",,"גט' ח ע""א",
02520,"חלה ד, ח (ס ע""א, 36)",וגבול ים,"במדבר לד, ו",,,,
