מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
01960,"ביכ' ג, ג (סה ע""ג, 40)",כותבי ספרים,,"ת' בר' ב, ו (7:12)","בר' ג ע""ב","סוכה כו ע""א",,
01970,"ביכ' ג, ג (סה ע""ג, 46)",לזקן ד',,"הש' ת' מג' ג, כד (86:360)","ביכ' סה ע""ג (32)",,,
01980,"ביכ' ג, ג (סה ע""ג, 51)",אמר רבי,,,"ר""ה נז ע""ב; ו""ר לה, ג (תתכא)",,,ז
01990,"ביכ' ג, ג (סה ע""ג, 51)",מפני שיבה,"ויקרא יט, לב",,,,,
02010,"ביכ' ג, ג (סה ע""ג, 58)",ר' זעירא,,,"מד""ש יז, א (95)","סנ' יד ע""א",,
02020,"ביכ' ג, ג (סה ע""ג, 59)",מפני שיבה,"ויקרא יט, לב",,,,,
02030,"ביכ' ג, ג (סה ע""ג, 60)",וכי יגור,"ויקרא יט, לג",,,,,
02040,"ביכ' ג, ג (סה ע""ג, 62)",וילך עשו,"בראשית כח, ט",,,,,
02050,"ביכ' ג, ג (סה ע""ג, 62)",וכי מחלת,,,"ב""ר 768",,,
02060,"ביכ' ג, ג (סה ע""ד, 1)",בן שנה,"שמ""א יג, א",,,,,
02070,"ביכ' ג, ג (סה ע""ד, 2)",ר' מנ',,,"מד""ש ז, ו (68)",,,
02080,"ביכ' ג, ג (סה ע""ד, 3)",אלהי כסף,"שמות כ, יט",,,,,
02090,"ביכ' ג, ג (סה ע""ד, 7)",הוי אומ',"חבקוק ב, יט",,,"סנ' ז ע""א",,
02100,"ביכ' ג, ג (סה ע""ד, 8)",הנה הוא,"חבקוק ב, יט",,,,,
02110,"ביכ' ג, ג (סה ע""ד, 9)",וכל רוח,"חבקוק ב, יט",,,,,
02120,"ביכ' ג, ג (סה ע""ד, 10)",וה' בהיכל,"חבקוק ב, כ",,,,,
02130,"ביכ' ג, ג (סה ע""ד, 12)",בן אדם,"יחזקאל לו, יז",,,,,
01255,"ביכ' ב, א (סד ע""ד, 32)",לגדולה,,,,"סוטה טו ע""א",,
01285,"ביכ' ב, א (סד ע""ד, 36)",אמר רבי יהודה,,"הש' מ' מע""ש ג, י",,,"צ""ל: וכרבי יהודה",
02140,"ביכ' ג, ג (סה ע""ד, 15)",ולא קביל,,,"הש' תע' סח ע""א (30)",,,
02150,"ביכ' ג, ג (סה ע""ד, 19)",וגם לא,"קהלת ט, יא",,,,,
02160,"ביכ' ג, ד (סה ע""ד, 24)",ולקח הכהן,"דברים כו, ד",,,,,
02170,"ביכ' ג, ד (סה ע""ד, 26)",להגדתי היום,"דברים כו, ג",,,,,
02180,"ביכ' ג, ד (סה ע""ד, 29)",לפני ה',"ויקרא ו, ז","ספ' ל ע""ג",,"זב' סג ע""ב","ב' וש""נ",
02190,"ביכ' ג, ד (סה ע""ד, 30)",אל פני,"ויקרא ו, ז",,,,,
02200,"ביכ' ג, ה (סה ע""ד, 32)",אין ענייה,,"ס""ד שא (319)",,,,
02210,"ביכ' ג, ה (סה ע""ד, 33)",וענית ואמרת,"דברים כו, ה",,,,,
02220,"ביכ' ג, ה (סה ע""ד, 33)",רבי יונה,,,"מג' עד ע""ד",,,
02230,"ביכ' ג, ו (סה ע""ד, 42)",שבני אדם,,"הש' ת' ביכ' ב, יד (67:293)",,,,
02240,"ביכ' ג, ז (סה ע""ד, 55)",מעשה באדם,,"ת' בכ' ו, יא (3:541)","ביצה עא ע""ב",,,
