מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
02055,"ער' ד, ד (כב ע""א, 3)",בשחרית זרחה,,,,"ער' מה ע""א",,
02057,"ער' ד, ה (כב ע""א, 5)",טעמא דרבי,,,,"הש' ער' לח ע""ב",,
02125,"ער' ד, ז (כב ע""א, 18)",היה אחד,,,,"ער' נא ע""א",,
02175,"ער' ד, י (כב ע""א, 37)",רבי אחא,,,,"הש' ער' נב ע""ב",,
02245,"ער' ה, א (כב ע""ב, 29)",רב תני,,,,"ע""ז ב ע""א",,
02425,"ער' ה, א (כב ע""ג, 15)",עיר שהיא,,,,"הש' ער' נה ע""ב",,
02765,"ער' ה, א (כב ע""ג, 50)",בית שנפרץ,,,,"ער' נה ע""ב",,
02775,"ער' ה, ב (כב ע""ג, 55)",רבי מאיר,,,,"ער' נז ע""א",,
02825,"ער' ה, ב (כב ע""ג, 63)",ובלבד שלא,,,,"ער' נז ע""ב",,
02845,"ער' ה, ג (כב ע""ד, 6)",לא פחות,,,,"ער' נח ע""א",,
02855,"ער' ה, ג (כב ע""ד, 8)",אמ' ר',,,,"ער' נח ע""א",,
02875,"ער' ה, ג (כב ע""ד, 22)",אין מקדרין,,,,"ער' נח ע""ב",,
02895,"ער' ה, ג (כב ע""ד, 25)",ומניין שלא,,,,"מכות יב ע""א",,
02965,"ער' ה, ו (כב ע""ד, 49)",למזרח בנו,,,,"ער' ס ע""ב",,
02975,"ער' ה, ז (כב ע""ד, 52)",כיני מתניתא,,,,"ער' סא ע""א",,
03005,"ער' ה, ז (כב ע""ד, 61)",התיר רבי,,,,"ער' סא ע""א",,
03015,"ער' ה, ז (כג ע""א, 5)",עיר שחרבה,,,,"ער' סא ע""ב",,
03105,"ער' ו, ב (כג ע""ב, 31)",רבי יעקב,,,,"ער' מו ע""א",,
03107,"ער' ו, ב (כג ע""ב, 39)",בישראל את,,,,"הש' ער' מט ע""א",,
03115,"ער' ו, ב (כג ע""ב, 43)",משומד בגילוי,,,,"ער' סט ע""א",,
03165,"ער' ו, ג (כג ע""ב, 60)",מהו שתחזור,,,,"ער' סח ע""ב",,
03185,"ער' ו, ג (כג ע""ב, 63)",פתר לה,,,,"ער' סט ע""ב",,
03195,"ער' ו, ג (כג ע""ג, 7)",מעשה באשתו,,,,"ער' פ ע""א",,
03197,"ער' ו, ג (כג ע""ג, 9)",אפילו שמשו,,,,"ער' סד ע""א",,
03205,"ער' ו, ג (כג ע""ג, 13)",אפילו באגוז,,,,"הש' ער' סב ע""א",,
