מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,רשימה,הערות
01290,"ב""ק ד, ה (ד ע""ב, 45)",מעמידין להם,,"מ' ב""ק ה, ד",,,,
01300,"ב""ק ד, ה (ד ע""ב, 50)",אפיטרופוס,,"מ' גט' ה, ד",,,,
01310,"ב""ק ד, ו (ד ע""ב, 55)",ובעל השור,"שמות כא, כח",,,,,
01700,"ב""ק ה, א (ד ע""ד, 33)",וכי כל,,,"כת' כו ע""א",,,
01710,"ב""ק ה, א (ד ע""ד, 36)",רבי אחא,,"ת' ב""ק ג, ו (25:350)",,,,
01720,"ב""ק ה, ג (ד ע""ד, 47)",הכניס קדירותיו,,"ת' ב""ק ה, י (3:354)",,,,
01730,"ב""ק ה, ה (ד ע""ד, 53)",הכניס שור,,"ת' ב""ק ה, ט (32:353)",,,,
01740,"ב""ק ה, ה (ד ע""ד, 60)",המגדיש בתוך,,"מ' ב""ק ו, ג",,,,
01750,"ב""ק ה, ו (ה ע""א, 2)",אדם שהיה,,"מ' ב""ק ה, ו",,,,
01760,"ב""ק ה, ו (ה ע""א, 4)",כתיב,,"מדר""י 275",,,,
01770,"ב""ק ה, ו (ה ע""א, 4)",כי ינצו,"שמות כא, כב",,,,,
01780,"ב""ק ה, ו (ה ע""א, 7)",כאשר יושת,,"מדר""י 276",,,,
01790,"ב""ק ה, ו (ה ע""א, 10)",בעל,"שמות כא, כב",,,,,
01800,"ב""ק ה, ז (ה ע""א, 18)",רבי יוסי,,,"ב""ק ג ע""ג",,,
01810,"ב""ק ה, ט (ה ע""א, 23)",זה י',,,"ב""ק ב ע""ג (15)",,,
01820,"ב""ק ה, ט (ה ע""א, 27)",כדי שתהא,,"מ' ב""ב ג, ח",,,,
01830,"ב""ק ה, ט (ה ע""א, 28)",לתוכו בין,,"ת' ב""ק ו, יג (8:355); מדר""י 289",,,,
01840,"ב""ק ה, ט (ה ע""א, 35)",ונפל שמה,"שמות כא, לג",,,,,
01850,"ב""ק ה, ט (ה ע""א, 35)",שור ולא,,"מדר""י 16:288",,,,
01860,"ב""ק ה, ט (ה ע""א, 37)",שור והוא,,,"ב""ק ד ע""ב (33)",,,
01870,"ב""ק ה, י (ה ע""א, 39)",להפרשת,"שמות יט, יג",,,,,
01880,"ב""ק ה, י (ה ע""א, 40)",משור עד,"שמות כב, ג",,,,,
01890,"ב""ק ה, י (ה ע""א, 40)",השב תשיבם,"דברים כב, א",,,,,
01900,"ב""ק ה, י (ה ע""א, 41)",עזוב תעזוב,"שמות כג, ה",,,,,
