מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
02770,"תר' ה, ב (מג ע""ג, 25)",רבי סימון,,,"הש' תר' מג ע""ג (18)",,,
02780,"תר' ה, ב (מג ע""ג, 26)",ששה ספיקות,,"מ' טה' ד, ה",,"שבת טו ע""ב; נדה לג ע""ב",,
02790,"תר' ה, ב (מג ע""ג, 33)",והדין ניקודין,,,"הש' תר' מג ע""ג (17)",,,
02800,"תר' ה, ג (מג ע""ג, 51)",סאה תרומה,,"הש' ת' תר' ו, א (1:136)",,"שבת קמב ע""א; תמ' יב ע""א",,
02810,"תר' ה, ד (מג ע""ג, 55)",רבי יודן,,,"סוכה נג ע""א",,,
02820,"תר' ה, ד (מג ע""ג, 56)",אחר שהודו,,"מ' תר' ה, ד",,,,
02840,"תר' ה, ד (מג ע""ג, 59)",המער מכלי,,"מ' טב""י ב, ז",,,"צ""ל: המערה",
02850,"תר' ה, ד (מג ע""ג, 62)",אחר שהודו,,"מ' תר' ה, ד",,,,
02860,"תר' ה, ה (מג ע""ד, 3)",אמר רבי,,,"תר' מג ע""ד (15); תר' מו ע""ד",,,
02870,"תר' ה, ה (מג ע""ד, 4)",אינה מדמעת,,"מ' תר' ה, ה",,,,
02880,"תר' ה, ה (מג ע""ד, 9)",סבר רבי,,,"תר' מג ע""ד (13)",,,
02890,"תר' ה, ו (מג ע""ד, 13)",רבי לעזר,,,"תר' מג ע""ד (9)",,,
02900,"תר' ה, ו (מג ע""ד, 15)",דאמר רבי,,,"תר' מג ע""ד (3); תר' מו ע""ד",,,
02910,"תר' ה, ז (מג ע""ד, 17)",היו בו,,"מ' מק' ז, ב",,"יב' פב ע""ב; זב' כב ע""א",,
02920,"תר' ה, ח (מג ע""ד, 21)",ידיעתה מקדשתה,,"הש' ת' תר' ו, ה (33:138)",,,,
02930,"תר' ה, ח (מג ע""ד, 22)",תני סאה,,,"ב""ב טו ע""ב",,,
02940,"תר' ה, ט (מג ע""ד, 29)",אין טנופת,,,"ערלה סא ע""ב; נזיר נה ע""ג",,,
03510,"תר' ז, א (מד ע""ג, 22)",ולא כן,,,"ב""ק ה ע""ד",,"וש""נ",
03520,"תר' ז, א (מד ע""ג, 23)",רבי בון,,,"ב""ק ה ע""ד",,,
03530,"תר' ז, א (מד ע""ג, 26)",ומכה נפש,"ויקרא כד, יח",,"כת' כז ע""ג",,,
03560,"תר' ז, א (מד ע""ג, 34)",ואין לה,,"הש' ס""ד רמד (274)",,,,
03580,"תר' ז, א (מד ע""ג, 38)",מה עדים,,"הש' מ' מכות א, ב",,,,
03590,"תר' ז, א (מד ע""ג, 39)",והפילו השופט,"דברים כה, ב",,,,,
03600,"תר' ז, א (מד ע""ג, 41)",האוכל תרומה,,"מ' תר' ו, א",,,,
03610,"תר' ז, א (מד ע""ג, 41)",כרבי מאיר,,,"תר' מד ע""ג (17); תר' מד ע""ג (46); תר' מד ע""ד (31)",,,
03480,"תר' ז, א (מד ע""ג, 17)",כרבי מאיר,,,"תר' מד ע""ג (41); תר' מד ע""ג (46); תר' מד ע""ד (31)",,,
03620,"תר' ז, א (מד ע""ג, 42)",האוכל תרומה,,"מ' תר' ז, א",,,,
03640,"תר' ז, א (מד ע""ג, 48)",ואיש כי,"ויקרא כב, יד",,,,,
03650,"תר' ז, א (מד ע""ג, 51)",אינו משלם,,"מ' תר' ו, א",,,,
03660,"תר' ז, א (מד ע""ג, 52)",ותני כן,,,"תר' מד ע""א",,,
03670,"תר' ז, א (מד ע""ג, 52)",אכל תרומה,,"ת' תר' ז, ז (18:143)",,,"לפי כי""ע",
