Ma_ID,Ma_Runorder,Ma_Name,Ma_LibID,SSMA_TimeStamp,Ma_Img,Ma_ImgFile,Ma_NameDescription,Ma_Description,Ma_SysNum
374,11172,Ebr. 134,11,000000000000EE41,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224267,כתב יד וטיקן Ebr. 134,"כתיבה אשכנזית, המאה ה-13, 220 דפים.",000198305
375,11173,Ebr. 140,11,000000000000EE42,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224268,כתב יד וטיקן Ebr. 140,"כתיבה אשכנזית מרובעת, המאה ה-14, 155 דפים.",000198299
390,11174,Ebr. 487/1,11,000000000000EE43,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224269,כתב יד וטיקן Ebr. 487/1,"כתיבה ספרדית מרובעת, המאה ה-12 או ה-13, 14 דפים.",000193672
391,11175,Ebr. 487/9,11,000000000000EE44,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224270,כתב יד וטיקן Ebr. 487/9,"כתיבה אשכנזית מרובעת, המאה ה-13?, 4 דפים.",000193681
392,11176,Ebr. 487/10,11,000000000000EE45,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224271,כתב יד וטיקן Ebr. 487/10,"כתיבה אשכנזית מרובעת, המאה ה-12, 5 דפים.",000193682
394,11177,Ebr. 487/12,11,000000000000EE46,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224272,כתב יד וטיקן Ebr. 487/12,"כתיבה ספרדית מרובעת, המאה ה-13, 43 דפים.",000193685
448,9149,Rab. 15,9,000000000000EE47,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224273,כתב יד בית המדרש לרבנים Rab. 15,"כתיבה ספרדית, על פי הקולופון משנת ה'נ""א (1291),ובדה (Úbeda, ספרד), 66 דפים.",000054892
461,9150,Rab. 108/1-35,9,000000000000EE48,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224274,כתב יד בית המדרש לרבנים Rab. 108/1-35,"כתיבה תימנית, המאה ה-15, 35 דפים.",000112005
545,9151,Rab. 1623,9,000000000000EE49,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224275,כתב יד בית המדרש לרבנים Rab. 1623,"כתיבה תימנית, המאה ה-17, 133 דפים.",000054583
1484,14181,Or. fol. 1220,14,000000000000EE4A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224276,כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",000199658
1494,13180,"Cod. Ms. hebr.3, Or.13",13,000000000000EE4B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224277,"כתב יד גוטינגן Cod. Ms. hebr.3, Or.13","כתיבה ספרדית, המאה ה-13, 110 דפים.",000174157
1625,8147.5,Cod. hebr. 6,8,000000000000F259,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1299386,כתב יד מינכן 6,"כתיבה אשכנזית מרובעת, המאה ה-12 או ה-13, 208 דפים. <br/>(לכתב היד באתר ספריית המדינה של בוואריה, מינכן)",000126464
1628,8148,Cod. hebr. 95,8,000000000000F25A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1299387,כתב יד מינכן 95,"כתיבה אשכנזית, על פי הקולופון משנת ה’ק""ג (1342), 577 דפים. <br/>(לכתב היד באתר ספריית המדינה של בוואריה, מינכן)",000126543
1630,8148.2,Cod. hebr. 140,8,000000000000F25B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1299388,כתב יד מינכן 140,"כתיבה ספרדית מרובעת, המאה ה-14 או ה-15, 161 דפים. <br/>(לכתב היד באתר ספריית המדינה של בוואריה, מינכן)",000189091
