headword,error
כַּף שֶׁל סַיָּידִין,
כַּפָּא,
כַּפָּא דְמוֹחָא,
כְּפָא,*
כְּפָאת,
כָּפָה ·–,
כִּפָּה,*
כֵּפָה,
כְּפוּי טוֹבָה,
כָּפוּן,
כְּפוּנִי,
כְּפוּסַאי,
כָּפַוּשׁ,
כָּפוּת,
כְּפִי,
כְּפִיָּיה,
"כָּפֵיל, כְּפֵילָא",
"כְּפִין, כְּפִינָא",
כָּפִיס,
כְּפִיפָה,
כְּפִירָה,
"כְּפִּישָׁא, כְּפִישָׁה",
כָּפִית,
כָּפַל,
כִּפֵּל,
כְּפַל,
כֶּפֶל,
כִּפְלָא,
כפלון,
כַּפְלִיּוֹת,
כפמה״מ,
כְּפַן,
"כְּפַן, כַּפְנָא",
כַּפְנָאֵי,
"כָּפְנִיּוֹת, כָּפְנִייָתָא",
כְּפַס,
כָּפֵס,
(כפע) אתכפע [אִתְנְפַע],
כָּפַף ·–,
כָּפַר,
כָּפַר בְּעִיקָר,
כָּפָר,*
כְּפַר אָנִין,
כְּפַר אַחִין,*
כְּפַר בִּישׁ,
כְּפַר בנותני,
כְּפַר דִּכְרַיָּא,
כְּפַר דָּן,
כְּפַר חִיטַיָּיא,
כְּפַר חֲנַנְיָה,
כְּפַר חֲרוֹכָא,
כְּפַר יַמָּא,
כְּפַר יַתְמָה,
כְּפַר נְבוּר חַיִל,
"כְּפַר נבוראי, נְבוֹרְייָא, נִבּוּרִין, נוּבְרָאִי",
כְּפַר נַחוּם,
כְּפַר נִיבוֹרְיָא,
כְּפַר סָאמָא,
כְּפַר סָאסַאי,
כְּפַר סָבָא,
כְּפַר סְכַנֳיא,
כְּפַר סָמָא,
"כְּפַר עוּתְנַאי, כְּפַר עוּתְנַי",
"כְּפַר פַּגָּשׁ, כְּפַר פַּגָּשָׁה",
כְּפַר צָמַח,
"כְּפַר קורינוס, קריונוס, קריטם, קִרְיָינוֹס, קִרְיָנוֹס, קרנים, קרצום",
"כְּפַר שִׁיחֲלַיּיָא, כְּפַר שִׁיהֲלַייִם",
כְּפַר שַׁמַּי,
כְּפַר תְּחוּמִין,
כְּפַר תְּמַרְתָּא,
כַּפְרָא,
כַּפְרָה,
כַּפָּרָה,
כַּפְרוֹנָא,
כַּפְרוּסָאָה,
כַּפְרִי,
כַּפְרִימִין,
כַּפְרָן,
כַּפְרָנָא,
"כַּפְרָנוּת, כַּפְרָנִית",
כְּפַרְסָבָא,
כָּפַת,
כִּפֵּת,
כפת,
כְּפָתָא,
כָּפָתָה,
כַּפְתּוֹר,
כ״ץ,
כְּצוּצְרָה,
כצ״ל,
כצ״ש,
כ״ק,
כקה״ג,
כקי״ס,
כר׳,
כְּרָא,
כְּרַב,
כְּרָבָא,
כַּרְבָּא,
כָּרַבְלִין,
כַּרְבֶּלֶת,
כַּרְבַּלְתָּא,
כַּרְגָּא,
כַּרְדּוּט,
כרדוכאות [כַּרְנִיבָּאוֹת],
כַּרְדִּיטִין,
כְּרַהּ,
כרו משא,
כְּרוּב,
כְּרוֹבָא,
כַּרְווָן,
כְּרוּז,
"כָּרוֹז, כָּרוֹזָא",
כָּרַוְיָא,
כָּרוּךְ,
כָּרוּךְ אַחֲרֵי,
כְּרוּךְ,*
"כְּרוּכָא, כְּרוּכָה",
כְּרוּכָה עָבָה,
כְּרוּכָה קְטִינָא,
כְּרוּכְיָא,
כְּרוּם,
כְּרוּם יַמָּה,
כְּרוּסְפְּדָא,
כְּרוּסְפְּדַאי,
כְּרוֹפְייָתָא,
כְּרוּשְׁתֵּינָא,
כָּרַז,
(כרז) אַכְרֵז,
כְּרָזָא,
"כַּרְזְבָא, כַּרְזוּבָא",
כרזג,
כַּרְזַייִם,
כַּרְזִימִין,
(כרח) הִכְרִיחַ,
כֹּרַח,*
"כַּרְטוּסָה, כַּרְטִיס",
כְּרֵי,
"כְּרִי, כַּרְיָא, כַּרְיָה",
"כְּרִיָּה, כְּרִיּיָה",
כָּרִיךְ,
כְּרִיכָא,
כְּרִיכָה,
כְּרִיכְתָּא,
כְּרִין,
"כָּרֵיס, כְּרֵיסָא",
"כְּרִיסוֹ אַרְגִּירָא, כְּרִיסוֹאַרְגִּירָא",
כְּרֵיסִית,
"כְּרִיסְפָּא, כְּרִיסְפִּי",
כְּרִיָעה,
"כְּרֵישׁ, כָּרֵישָׁא, כָּרֵישָׁה",
כְּרִית,
כְּרִיתָה,
כריתית,
כָּרַךְ,
כֵּרֵךְ,
כְּרַךְ,
כְּרַךְ רִיפְתָּא,
כָּרֵךְ,*
כֶּרֶךְ,
"כְּרָךְ, כְּרַכָּא",
כְּרַכֵּי הַיָּם,
כְּרָכָא,*
כִּרְכֵּב,
כִּרְכָּד,
כַּרְכּוּז,
כַּרְכּוֹם,
כַּרְכּוֹמָא,
כִּרְכּוּר,
כרכור,
כַּרְכּוּשְׁתָּא,
כרכיתא,
כּרְכֵּם,
כַּרְכְּמִישָׁא,
כַּרְכְּמִית,
כִּרְכֵּר,
כרכר,
כִּרְכְּרָן,
כַּרְכֵּשׁ,
כַּרְכְּשָׁא,
כַּרְכַּשְׁתָּא,
כְּרַכְתָּא,
כָּרַם,
כֶּרֶם,
כֶּרֶם רְבָעִי,
כַּרְמוֹן,
כַּרְמִי,
כַּרְמְלִית,
כָּרֶמֶת,
כְּרַן; כְּרַן,
כַּרְנְבוֹ,
כרנבי [אִנִדְּבִי],
כֶּרֶס,
כַּרְסָא,
כרסם,
כַּרְסָנָא,
כַּרְסֶפֶת,
כַּרְסָתָן,
כָּרַע,
כְּרַע,
כֶּרַע,
כַּרְעָא,
(כרף) אִיפְּרַף,
כַּרְפּוּזְנָה,
כַּרְפַּס,
כַּרְפְּסָא,
כרפת,
כַּרְקוֹם,
כָּרֵשָׁא,
כָּרְשִׁינָא,
כַּרְשִׁינָה,
כַּרְשֵׁן,
כָּרַת ·–,
כֵּרֵת,*
כָּרֵת,
כַּרְתִּי,
כְּרֵתִינוֹן,
כְּרֵתָן,
כְּרַתְנִין,
כ״ש,
כ״ש,
כש״א,
כַּשְׂדָּאָה,
כִּשּׁוּף,
כָּשׁוֹרָא,
כְּשׁוּת,
כְּשׁוּתָא,
(כשט) אַכְשַׁט,
כַּשִּׁירָא,
כְּשֵׁירוּת,
כִּשְׁכּוּשׁ,
כִּשְׁכֵּשׁ,
כָּשָׁף,
כַּשְׁפָּן,
כָּשֵׁר,
כְּשַׁר,
כָּשֵׁר,
כַּשָּׁר,
כַּשְׁרוּת,
כָּשַׁרְתָּא,
כש״ש,
כְּשַׁת,
כת׳,
כַּת,
כַּתָּא,
כָּתַב,
כְּתַב,
כְּתָב ·– כְּתַב יָד,
כַּתְבָה,
כַּתְבָן,
כָּתוּב,
כְּתוּבִים,
כְּתוּבָא,*
"כָּתוֹבָא, כָּתוֹבָה",
כְּתוּבָּה,
כְּתוּבֵי,
כְּתוּבְתָּא,
כתו״ק,
כְּתוּשָׁא,
כְּתִיב,
כְּתִיבָה,
כָּתִים,
כתיף [כָּפִיס],
כְּתִישָׁה,
כָּתִית ·–,
כְּתִיתָא,
כָּתְלָא,
כָּתְלֵי דַחֲזִירֵי,
כֶּתֶם,
כַּתָּן,
כתנא,
כִּתֵּף,
כַּתֵּף,
"כַּתָּף, כַּתָּפָא",
כַּתְפָּא,
כַּתְּפִי,
כְּתַפְתָּא,
כת״ר,
כַּתַּר,
כָּתַשׁ ·– נִכְתַּשׁ,
כְּתַשׁ,*
כִּתֵּת,
כַּתֵּת,
ל״א,
לֹא,
לֹא הַכֹּל ,
לֹא… כָּל עִיקָר,
לֹא כָּל שֶׁכֵּן,
לֹא כְלוּם,
לֹא כְּלָל,
לֹא מַעֲלֶה וְלֹא מוֹרִיד,
לֹא מִפִּיו אָנוּ חַיִּים,
לֹא תַעֲשֶׂה,
לָא,*
לָא שְׁנָא,
לָאגְרָא,
לַאו,
לַאו דַּוְקָא,
לַאו שֶׁנִּיתַּק לַעֲשֵׁה,
לְאוֹרָעָא,
לא״ז,
לאז״פ,
לאח״מ,
לאח״ש,
לא״ט,
לָאט,
לא״י,
לַאי,
לָאִיט,
"לְאִיטוֹר, לְאִיטָר",
לַאיי,
לְאֵיכָן,
לָאִית,
לְאַלְתַּר,
לאמ״מ,
לאמ״ת,
לאָן,
לאפוסיא,
לְאַפּוֹקֵי,
לְאַפְרַשׁ,
ל״ב,
לֵב,
לב״א,
לִבָּא,
"לַבָּא = לְהַבָּא,",
לבא,*
לָבַב,
לִבֵּב,
לִבְבָא,
לְבַד,
"לֶבֶד, לִבְדָּא",
לַבַּדָּא,
לבדד״א,
לִבָּה,
לָבוּב,
לָבוּד,
לִבּוּי,
לבּוּן,
לִבּוּנָא,
לְבוּנְתָּא,
לְבִזְבֵּז,
לָבַט,
לֶבֶט,
לְבַטָּלָה,
לְבִידָא,
לבילרין [לִבְלָרִין],
לְבֵינָה,
לְבֵינְתָּא,
לְבִיסָא,
לְבִישָׁא,
לְבִישָׁה,
לב״כ,
לְבַךְ,*
לְבַל,
לִבְלֵב,
לַבְלֵב,
לַבְלְבָא,
לַבְלָבוֹ,
לִבְלוּבָא,
לַבְלוֹנִיּוֹת,
"לִבְלָר, לִבְלָרָא",
לִבֵּן,
לבנוב,
"לַבְנוּנִית, לַבְנוּת",
לב״ס,
לֶבֶס,
לַבְקָן,
לִבְרוּת,
לִבְרָנָא,
לברנטין [לַבְטַרְיוֹן],
לב״ת,
ל״ג,
לגאי [לָגְיָא],
לגדקס,
לָגַז,
לגי׳,
לִגְיוֹן,
לגיטיין [לִיגָטִין],
"לְגִימָא, לְגִימָה",
לגין [לָנִין],
"לָגִין, לְגִינָא",*
לִגְלֵג,
לַגְלֵג,
לַגְלוֹג,
לִגְנָה,
לַגָּס,
לד״ה,
לדוקיא,
לְדִיקִי,
לְדָנָא,
לַהֲבוּתָא,
לה״ד,
להד״מ,
לְהוֹב,
לָהוּט,
להו״נ,
לה״ז,
להטייה [יַחְטַיּיָה],
לה״כ,
"לְהָל, לְהָלָא",
לְהַלָּן,
לה״ק,
לה״ר,
(להת),
לְוָא,
לְוַאי,
לְוָאי,
"לוּבָא, לוּבָאָה",
לובדקים,
לוביר,
לוֹבֶן,
לוֹבֶן בֵּיצָה,
"לוֹג, לוֹגָא",
"לוֹגָא, לוֹגָה",
לוֹגְלָן,
לוּגְמָא,
לוֹגְמְיָא,
לוֹגִסְטוֹס,
לוגשא,
לוּדָא,
לוּדָאָה,
לוּדָה,
לוּדִי,
לוּדָייָא,
לוּדָן,
לוּדָנָא,
לוּדְקְיָא,
לוּדָר,
לִוָּה,
לְווָאי,
לוודין דקין,
"לְווָחִים, לְווָחִין",
לְווָט,
לְווַי,
"לְווָיָה, לִווְיָתָא",
לִווְקָאָה,
"לַווְקְיָאנָא, לַווְקָן",
לווקרין,
לוּז ·– הֵלִיז,
לוּז,*
לוּזָא,
לוֹחָא,
לוּט,
"לְוָט, לְוָטָא",
לוּטְייָנוֹס,
לוֹטֶם,
לוּטְסָאֵי,
לְוִי,
לַוֵּי,
לְוִיָּה,
לְוָיָה,
לְוִיטָס,
לְוִיּיָה,
לְוָייָה,
לִוְייָתָא,
לויקן,
לוכיד,
לוֹכְסָן,
לוּל,
לוּלָא,
"לוּלָב, לוּלָבָא",
לוּלְבָן,
לַוְלֵו,
לוּלְיָאנִי,
לוּלֵיבָא,
לוּלְייָנוּס,
לוּלְייָנִי,
לוּלְייָנִית,
לולניאות [לוּנְכִיּוֹת],
לוּמָה,
"לונביאות, לונביות, לונבייאות [לוּנְכִיוֹת]",
לוּנְטִית,
לוּנְיָא,
לוּס,
לוּף,
לוּף,
לוֹפְיָן,
לוּפִיד,*
לוֹפַס,
לוּפָר,
לוּפְתָּא,
לוקו,
לוּקוֹס,
לוֹקֵחַ,
לוּקְטָא,
לוקטמין,
לוקים,
לוקיס,
לוּקְנִיתָא,
לוּקָס,
לורטיא [לוּטְרִיָא],
לוּשׁ ·– נִלּוֹשׁ,
לִזְבֵּיז,
לזול״ז,
לז״ת,
לַח,
לֹחָא,
לַחֲדָא,
לֵחָה,
"לְהוֹד, בִּלְחוֹד",*
לחולטנית [לְחוּלְטָנוּת],
לעולם,
לְחוּשׁ,*
לֶחִי,
לִחְיָא,
לָחַייֵ,
לְחַיָּית,
לְחִיכָה,
לְחֵינָה,
לְחֵינְתָא,
לְחִישָׁה,
לְחַיָּת,
"לִחְלוּחַ, לִחְלוּחָא",
לַחְלוּטִין,
לִחְלוּךְ,
(לחלה) נִתְלַחְלַח,*
לָחַם ·– הִלְחִים,
לַחְמִי,
לַחְמָנִית,
לַחֲצָאִין,
לָחַשׁ,
לִחֵשׁ,
לַחַשׁ ·– בְּלַחַשׁ,
(לחת) הִלְחִית,
(לחת) אַלְחֵת,*
לְטָא,
לְטוֹם,
לָטוֹמְיָא,
לְטוֹסָאֵי,
לְטוּתָא,
לְטֵט,
לטימיא,
לְטִישָׁה,
לט״מ,
לִטְרָא,
לטרגיה [לִיטוּרְגְיָא],
לֵי,
לַיָּא,
"לֵיאוּ, לֵיאוּתָא",
לִיבָּא,
לִיבוּי,
לִיבּוּן,
לִיבּוּנָאָה,
"לִיבְלְבָא, לִיבְלִיבָא",
לִיבְלָר,
לִיבְנָן,
לִיבְרָה,
לִיבָרְנִין,
ליגון,
לִיגָטָא,
לִיגְיוֹן,
לִיגְלוּנ,
לִיגָן,
ליגנון [לָגְיָאן],
ליגסטיס,
לִידְנָא,
לֵיוָאָה,
לִיווְקָאָה,
לִיוְייָתָה,
ליול״י,
לִיוֹנְטִי,
"לִיזְבֵּז, לִיזְבֵּיז",
לִיזָה,
לֵיחָה,
לִיחְלוּחִית,
לִיחֲתָא,
"לֵיטוֹר, ליטיר",
לִיטְמָא,
"לִיטְרָא, לִיטַרְתָּא",
"לְייֵ, לְייֵא",
לַיּיָא,
לַייְדָּא,
ליי״ח,
לַייְצָן,
לַייִשׁ,
לַייִת,
לִיךְ,
לִיכָּא,
לִיכִי,
לִיכְלוּךְ,
ליכנוס [לִיבְנוֹס],
לִיכְסָה,
לֵיל,
לִילָא,
"לִילֵי, לִילִין",
לילךְ,
לִימוּד,
לימון,
לְיָמִים,
לִימֵין,
לִימְצָא,
"לֵינָא, לֵינָה",
לִינָה,
לִינְיָא,
לֵינָן (לֵי אֲנָן),
לי״ס,
"לִיסְטָא, לִיסְטָאָה",
"לִיסְטָאוּת, לִיסְטוּת",
ליסטטירין [לִיסְטֵירִין],
לִיסְטָיוּתָא,
"לִיסְטֵיס, ליסטים",
לִיסְטַר,
לִיסְטְרוֹן,
לִיסְתָּא,
לֵיעוּתָא,
לִיעֶזֶר,
לֵיעָנוּת,
ליפארלס [אֶלַפְרוֹס],
ליפוד,
לִיפּוּפָא,
לִיפַס,
לִיפְתָּא,
לִיפְתּוּתָא,
לִיפְתָּן,
לִיצוּי,
לֵיצָן,
"לֵיצָנוּת, לֵיצָנוּתָא, לֵיצָנִיוּת",
לִיקוּחַ,
לִיקוּחִים,
לִיקוּט,
"לִישׁ, לִישָׁא",
לִישָׁה,
לִישְׁלוּשְׁתָּא,
"לִישָׁן, לִישְׁנָא",
לִישְׁנָא בִּישָׁא,
לִישְׁנָא מַעַלְיָא,
לִישְׁתָא,
לַיִת,
לֵיתָא,
לכ״א,
לכא׳,
לְכָא; לְכָא וּלְכָא,
לַכָּא,*
לִכְאוֹרָה,
לכא״מ,
לְכַד,
לכד״ד,
לכה״י,
לכה״פ,
לכוס,
לכ״ז,
לכ״ח,
לָכִיס,
לְכַךְ,
לשם זה,
"לכלאבי, לכלב",*
לִכְלוּךְ,
לִכְלוּכִית,
לִכְלֵךְ,
לכ״מ,
לָכְסָן,
לכ״ש,
לֶכֶשׁ,
לכ״ת,
לֶכְתָּא,
"לְכַתְּחִילָה, לְכַתְּחִלָּה",
ל״ל,
לל״ב,
לל״ל,
לללא״י,
ללל״ג,
לל״מ,
לל״ת,
ל״מ,
לְמָא,
לַמְבַּרְנְיָא,
למ״ד,
לָמֶ״ד,
לִמֵּד,
לִמֵּד חוֹבָה,
לִמֵּד סַנֵּיגוֹרְיָא,
לִמֵּד קַטֵיגוֹרְיָא,
למדר״ב,
לָמָה·–,
לָמָה לֹא,
למה״ד,
למהמ״ל,
לִמּוּד·–,
לָמוּד,
למו״מ,
לְמִידָה,
לְמֵין,
למ״ל,
לִמְלֵם,
למ״מ,
למ״נ,
לִמֵן,*
למנ״מ,
לַמָּס,
לַמְפַּד,
לַמְפְּדָס,
לְמַפְרֵעַ,
למש״ה,
לנונ״ד,
לָנְנָן (לָא אֲנָן),
לנע״ל,
לְסוּטָה,
לִסְטִים,
לִסְטֵיס,
"לִסְטֵם, לִסְטֵס",
"לסטרא, לסטרון",
לְסִיטָה,
לס״ל,
לֶסֶת,
(לעב),
לָעָב,
"לָעוֹז, לָעוֹזָא",
לְעוֹלָם·–,
"לְעוּנִים, לְעוּנִין",
לעו״פ,
לָעַז,
לַעַז,
לָעָזָר,
לָעַט,
לְעִי,
לְעֵיב,
לְעִיטָה,
לַעְיִי,
"לְעֵיל, לְעֵילָא",
לְעִיסָה,
לע״כ,
לע״ל,
לַעַנְתָּא,
לָעַס,
ל״פ,
לַפְדָּא,
לַפֶּדְיָא,
לפול״י,
לְפוּם,
לְפִי,
(לפי),
לפיטטו [לֶפּוֹרִינִין],
לְפִיכָךְ,
לְפִיסָא,
לִפְלוּף,
לפמש״ה,
"לִפְנַי לִפְנִים, לִפְנַיי וְלִפְנִים",
"לֶפֶס, לִפְסָא",
לַפְסָן,
לפע״כ,
לִפַּף,
"לִפְצָא, לִפְצָה",
לפרוס [אֶלַפְרוֹס],
לִפֵּת,
"לֶפֶת, לִפְתָּא",
לִפְתָּם,
לִפְתָּן,
ל״צ,
לצ״ג,
לָצוּת,
לצי״ח,
לצ״ל,
לצ״מ,
לצ״ע,
ל״ק,
לק׳,
לָקָה,
לְקוּחוֹת,
לָקוֹט,
לָקוֹטִינִינְטוֹס,
לָקוּי,
לְקוּשׁ,
לְקוּתָא,
לָקַח,
לק״ט,
לָקַט,
לֶקֶט,
לֶקְטִיקָא,
לְקִיחָה,
לָקִיט,
לְקִיטָה,
לְקִינִיתָא,
לָקִישׁ,
לַקִּישׁ,
לק״ל,
לק״מ,
לָקָן,
לַקְנָא,
לַקְנִי,
לק״פ,
לָקַשׁ ·– הִלְקִישׁ,
לקש״ו,
לרא״ר,
לר״ז,
לְרַע,
ל״ש,
לשאב״ל,
לשא״ה,
לשאז״ב,
לשב״א,
לשהו״א,
לשה״כ,
לשה״ק,
לָשׁוֹן·–,
לְשׁוֹן הָרַע,
לְשׁוֹן זָכָר,
לְשׁוֹן חָכְמָה,
לְשׁוֹן יָחִיד,
לְשׁוֹן כָּבוֹד,
לָשׁוֹן נוֹפֵל עַל לָשׁוֹן,
"לָשׁוֹן נָקִי, לָשׁוֹן נְקִיָה",
לשו״פ,
לְשִׁישִׁית,
לְשְׁלֶשֶׁת,
ל״ת,
לָתָא,
לְתִיתָה,
לתשג״מ,
לָתַת,
מָא,
מאא״ס,
מאב״ד,
מאב״י,
מאגניות,
מַאֲדִים,
מאה״כ,
מאהרי״ח,
מְאוּחָר,
מאון [מָאוּז],
מאוס,
מָאוֹר,
מְאוֹר עֵינַיִם,
מְאוֹרָע,
מְאוּשְׁכָּן,
מֹאזְנַיִם,
מא״ה,*
מְאָחָא,
מָאחָאתָא,
מָאחוֹזָא,
מָאחוּי,
מֵאַחַר,
מַאי,
מַאי אִירְיָא,
מַאי הַאי,
מַאי הֲוֵי,
מַאי טַעֲמָא,
מַאי שְׁנָא,
מֵאֵיכָן,
מָאִים,
"מֵאֵימַת, מֵאֵימָתַי",
מָאִין,
מאינון,
מאיס,
מְאִיסָה,
מְאִיסוּתָא,
מֵאִיר,
מְאַךְ,
מָאֵךְ,
מָאכָא,
מַאֲכוֹלֶת,
מאכ״ל,
מַאכְסָנָא,
מְאַלְלָא,
מא״מ,
מַאֲמָל,
מַאֲמָר,
מֵאֵן,
מַאן,
מַאן דְּהוּ,
מַאן דְּכַר שְׁמֵיהּ,
מָאנָא,
מָאָס,
מְאַסָּא,
מַאסָאסָה,
מא״ע,
מא״פ,
מאצ״כ,
מָאר,
מַאֲרוּפָה,
מַאֲרִיסָא,
מַאַרְכָן,
מְאָרַע,
מְאָרַע קַדִּישׁ,
מְאֵרְתָּא,
מָאשֵׁי,
מָאתָא,
מָאתָן,
מ״ב,
מַבְגַּאי,
מב״ד,
מב״ו,
מְבוֹאָה,
מָבוֹג,
מב״וד,
מָבוֹי,
מבו״מ,
מַבּוֹרָא,
מביד״ש,
מב״ל,
מבל״ב,
מְבַלְבְּלִיתָא,
"מַבְלִיגָא, מַבְלִיגָה",
מַבְלַעְתָּא,
מבמ״ק,
מַבָּנָא,
מַבְסִימָא,
מבעו״י,
מבע״ל,
מבקו״מ,
מבר״א,
מַבָּרָא,
מַבְרַחַת,
מַבְרֵי,
מַבְרַכְתָּא,
מְבַשְׁקְרָנָא,
"מְבָתָה, מִבְתוּתָא",
מַגְבַּאי,
מִגְבָּה,
מַגַבְיָא,
מַגְבִּילָה,
מַגְבִּית,
מַגְבִּיתָא,
מָגַג,
מַגָּג,
מִגְדָּל,
מַגְדְּלָא,
מְגַדֶּלֶת,
מגה״ת,
מַגּוֹב,
מָגוֹד,
מְגוֹסָא,
מגוסטי,
מְגוֹסִי,
מְגוּסְתָּא,
"מְגוּפָה, מְגוּפְתָּא",
מָגוֹר,
מְגוֹרֶרֶת,
מְגוֹרֶת,
מְגוּרְתָּא,
"מָגוֹשׁ, מָגוֹשָׁא",
מָגוּשְׁתָּא,
מְגִיגָה,
מגידונית,
מַגִּיהַּ,
מְגִיזָא,
מְגִיזְתָּא,
מְגִילָה,
מְגִילַת יוּחֲסִין,
מְגִילַת קִינוֹת,
מְגִילַת תַּעֲנִית,
מְגִילְתָּא,
מְגֵינָה,
מֵגֵיס,
מְגִיסָא,
"מָגִיסְטָא, מָגִיסְטָאר, מָגִיסְטָר",
מְגִיסְתָּא,
מַגֵּיפְתָּא,
מָגֵירָא,
מְגִירוּתָא,
מָגִירְיוֹן,
מְגִירְייָת,
"מגירם, מְגִירָס",
מְגִירְתָּא,
"מַגְלָב, מַגְלְבָא",
מְגִלָּה,
מגלכא,
מִגְמֵג,
מָגֵן,
"מַגָּן, מַגָּנָא",
מגנא,
מַגָּנָה,
מִגַּנְיָא,
מֵגֵס,
מָגִסְטְרָנָא,
מַגָּע,
מַגְעוּרִי,
מֵגֵף,
מַגֵּפָה,
"מְגָפַיִים, מְגָפַיִין",
מַגֵּר,
מָגֵר,
מַגְרֶדֶת,
מַגְרוּמְתָּא,
מגרוס,
"מגרופות, מַגְרוֹפִי, מַגְרוֹפִית, מַגְרוֹפִיתָא, מַגְרוֹפֶת",
מגריף,
מַגְרֵיפָה,
מגרס,
מַגְרֵפָה,
"מַגְרֶרֶת, מַגְרַרְתָּא",
מג״ש,
מִדְ־,
מדאב״א,
מָדָּאָה,
מדאו׳,
מַדָּאָנָא,
מִדְבָּךְ,
מַדְבַּק,
מְדַבֵּר,
מַדְבְּרָא,
מְדַבְּרָא,
מִדְבָּרִי,
מְדַבְּרָנָא,
מַדְבְּרָנוּתָא,
מַדְבַּרְתָּא,
מַדְבַשְׁתָּא,
מד״ג,
מִדָּה,
מִדָּה כְּנֶגֶד מִדָּה,
מדה״ד,
מדה״י,
מד״ה,*
מְדוּבְלָל,
מדוי,
מָדוֹךְ,
מְדוֹכָא,
מְדוֹכָה,
מְדוֹכְיָא,
מְדוּכָּךְ,
מְדוּכְרָא,
מְדוּכְתָּא,
מְדוּלְדָּל,
מְדוּלָל,
מְדוּמְדָּם,
מְדוּקְרָן,
מָדוֹר,
מְדוּרָה,
מְדוּרְתָּא,
מְדוּשָׁא,
מִדּוֹת,
מדחא״מ,
מדהי״מ,*
מדחכ״ה,
מְדִידָה,
מַדֵּין,
מְדִינָה,
מָדִינְחָא,
מְדִינְתָּא,
מְדֵירָא,
מַדְכוֹתָא,
מדכ״מ,
מִדְלָא,
מַדְלָא,
מִדְלַעַת,
מַדֵּן,
מַדְנַח,
מַדְנִיחָא,
מִדַּעַם,
מַדָּף,
מִדָּף,
מָדָר,
מִדְרָא,
מַדְרָא,
מִדְרוֹן,
מדְרָס,
מִדְרַע,
מדרעא,
מִדְרָשׁ,
מִדְרָשָׁא,
מַה,
מַה אִיכְפַּת לֵיהּ,
מַה בֵּין,
מַה טַּעַם,
מַה לְּ… שֶׁכֵּן,
מַה לּוֹ לְשַׁקֵּר,
"מַה נַּפְשְׁךָ, מִמַּה נַּפְשְׁךָ",
מַה שֶׁאֵין כֵּן,
מהב״ח,
מהב״ע,
מַהֲדוּרָא,
מַהוּ,
מַהוּ דְתֵימָא,
מְהוּבְתָּא,
מְהוּגָן,
מָהוּהַּ,
מָהוֹךְ,
מָהוֹלָא,
מְהוּלָא,
מְהוּלְתָּא,
מְהוּמְתָּא,
מְהוּתָּךְ,
מהח״ב,
מָהִי,
מֵהֵיכָא,
מהיכא,
מְהִילָא,
מְהֵימַן,
מְהִירוּת,
מָהַל,
מְהַל,
מהל״ח,
מהל״ל,
מהמ״ב,
מַהָן,
מהנ״ב,
מהנ״מ,
מַהְפֶּיכְתָּא,
מְהַפְּכָנָא,
מהתב״א,
מוֹ,
מוֹאֲבָאָה,
מוֹאדְנָא,
מוּבָאת,
מוּבְהָק,
מוּבְחָר,
מוֹבִילְתָּא,
מוּג,
מוּגְדְּלָא,
מוּגָהּ,
"מוגורות, מוֹגֵירָה",
מוּגְלָא,
מוּגְלְסָא,
מוּגְמָר,
מוגמרין,
מוֹגֵרָה,
מוּגְרֶמֶת,
מוּד,
"מוֹדְיָא, מוֹדְיָה, מוֹדְייָה",
מוֹדִים,
"מוֹדִיעִים, מוֹדִיעִית",
מוּדְלָה,
מוּדְלִית,
מוֹדְנָא,
מוֹדַע,
מוֹדָעָא,
מוֹדָעִי,
מוּדָק,
מוּדָר,
מוּדְרוֹן,
מוּדְרְקָא,
"מוֹהֲבוּתָא, מוֹהֲבִיתָא",
"מוֹהֶה, מוֹהִי",
מוֹהַל,
מוֹהֲלָא,
"מוֹהֲרִין, מוֹהַרְנְקֵי",
מוֹהַרְקֵי,
מוָּול,
מוֹזָא,
מוֹזְלָא,
"מוֹזְנָווָן, מוֹזְנַיָּא",
מוֹזְפָנָא,
מוּזָר,
מוֹחָא,
מוּחֲזָק,
מוֹחַל,
מוֹחֵק,
מוּט,
מוּטָב,
מוּטֶה,
מוּטָל,
מוּטָל בְּסָפֵק,
מוטליא,
מוּטַנְיָא,
מוּטְעֶה,
מוּטַרְדֵי,
"מוֹי, מוֹיֵי",
מוּךְ,
מוֹךְ,
מוּכֶּה,
מוּכַּת עֵץ,
מוכירין,*
מוֹכְלָל,
מוּכָן,
מוּכְנִי,
מוּכְנָס,
"מוֹכֵס, מוֹכְסָא",
מוֹכְסָסִין,
מוּל,
מוּלָא,
מולאייר,
מולגייה,
מוֹלָד,
מוֹלָדָא,
"מוֹלֵדָא, מוֹלֵדָה",
"מוֹלִי, מוּלְיָא",
מוּלְיָאר,
מוּלְיוֹן,
מוּלְיָיר,
מוּלְייְתָא,
מוּלִיתָא,
מוֹלְכָנָא,
מוּם,
מוּמוֹס,
מוּמְזָר,
מוּמְחָא,
מוּמְחֶה,
מוֹמֵי,
מוּמְייָקָה,
מוֹמִיתָא,
מומ״ס,
מוּמָס,
"מוּמָר, מוּמָרָא",
מוּן,
מוֹנָא,
מוּנְבָּז,
מוֹנְגִּינוֹס,
מוּנְדְּרָן,
"מוֹנִיטָא, מוֹנִיטָה",
מוּנְייָק,
מוֹנִינֵי,
מוּסְטָפוֹת,
"מוּסְיָא, מוּסְייָא",
