"['Makkot 7b:2', 'Mishneh Torah, Murderer and the Preservation of Life 6:10']"
"['Alshich on Torah, Exodus 15:22:1-9', 'Exodus 15:22']"
"['Alshich on Torah, Exodus 18:25:1', 'Exodus 18:25']"
"['Alshich on Torah, Exodus 21:12:1-4', 'Exodus 21:12']"
"['Alshich on Torah, Exodus 24:3:1-4', 'Exodus 24:3']"
"['Alshich on Torah, Exodus 24:10:1', 'Exodus 24:10']"
"['Alshich on Torah, Exodus 24:15:1-4', 'Exodus 24:15']"
"['Alshich on Torah, Exodus 25:1:1-8', 'Exodus 25:1']"
"['Alshich on Torah, Exodus 25:8:1-15', 'Exodus 25:8']"
"['Alshich on Torah, Exodus 25:10:1-13', 'Exodus 25:10']"
"['Alshich on Torah, Exodus 25:16:1', 'Exodus 25:16']"
"['Alshich on Torah, Exodus 25:17:1', 'Exodus 25:17']"
"['Alshich on Torah, Exodus 27:1:1-2', 'Exodus 27:1']"
"['Alshich on Torah, Exodus 27:20:1-26', 'Exodus 27:20']"
"['Alshich on Torah, Exodus 28:4:1-2', 'Exodus 28:4']"
"['Alshich on Torah, Exodus 40:33:1', 'Exodus 40:33']"
"['Alshich on Torah, Genesis 1:3:1-5', 'Genesis 1:3']"
"['Alshich on Torah, Genesis 2:9:1-9', 'Genesis 2:9']"
"['Alshich on Torah, Genesis 8:1:1', 'Genesis 8:1']"
"['Alshich on Torah, Genesis 18:9:1-3', 'Genesis 18:9']"
"['Alshich on Torah, Genesis 21:19:1', 'Genesis 21:19']"
"['Alshich on Torah, Genesis 22:19:1', 'Genesis 22:19']"
"['Alshich on Torah, Genesis 24:21:1-6', 'Genesis 24:21']"
"['Alshich on Torah, Genesis 24:31:1', 'Genesis 24:31']"
"['Alshich on Torah, Genesis 25:34:1-2', 'Genesis 25:34']"
"['Alshich on Torah, Genesis 27:32:1-4', 'Genesis 27:32']"
"['Alshich on Torah, Genesis 27:1:1-3', 'Genesis 27:1']"
"['Alshich on Torah, Genesis 27:5:1-10', 'Genesis 27:5']"
"['Alshich on Torah, Genesis 27:39:1-2', 'Genesis 27:39']"
"['Alshich on Torah, Genesis 31:29:1', 'Genesis 31:29']"
"['Alshich on Torah, Genesis 31:30:1', 'Genesis 31:30']"
"['Alshich on Torah, Genesis 32:4:1-8', 'Genesis 32:4']"
"['Alshich on Torah, Genesis 32:8:1-3', 'Genesis 32:8']"
"['Alshich on Torah, Genesis 32:14:1-2', 'Genesis 32:14']"
"['Alshich on Torah, Genesis 32:26:1', 'Genesis 32:26']"
"['Alshich on Torah, Genesis 32:31:1-3', 'Genesis 32:31']"
"['Alshich on Torah, Genesis 33:1:1-2', 'Genesis 33:1']"
"['Alshich on Torah, Genesis 33:3:1-2', 'Genesis 33:3']"
"['Alshich on Torah, Genesis 33:5:1', 'Genesis 33:5']"
"['Alshich on Torah, Genesis 33:6:1-2', 'Genesis 33:6']"
"['Alshich on Torah, Genesis 33:8:1-2', 'Genesis 33:8']"
"['Alshich on Torah, Genesis 33:9:1-3', 'Genesis 33:9']"
"['Alshich on Torah, Genesis 33:11:1-3', 'Genesis 33:11']"
"['Alshich on Torah, Genesis 33:12:1-4', 'Genesis 33:12']"
"['Alshich on Torah, Genesis 33:18:1-5', 'Genesis 33:18']"
"['Alshich on Torah, Genesis 35:10:1-3', 'Genesis 35:10']"
"['Alshich on Torah, Genesis 35:18:1-3', 'Genesis 35:18']"
"['Alshich on Torah, Genesis 35:19:1', 'Genesis 35:19']"
"['Alshich on Torah, Genesis 35:21:1-2', 'Genesis 35:21']"
"['Alshich on Torah, Genesis 37:1:1-6', 'Genesis 37:1']"
"['Alshich on Torah, Genesis 37:2:1-3', 'Genesis 37:2']"
"['Alshich on Torah, Genesis 37:36:1', 'Genesis 37:36']"
"['Alshich on Torah, Genesis 37:5:1-2', 'Genesis 37:5']"
"['Alshich on Torah, Genesis 37:12:1-12', 'Genesis 37:12']"
"['Alshich on Torah, Genesis 37:18:1-2', 'Genesis 37:18']"
"['Alshich on Torah, Genesis 37:21:1-9', 'Genesis 37:21']"
"['Alshich on Torah, Genesis 37:31:1-2', 'Genesis 37:31']"
"['Alshich on Torah, Genesis 38:1:1-6', 'Genesis 38:1']"
"['Alshich on Torah, Genesis 38:3:1', 'Genesis 38:3']"
"['Alshich on Torah, Genesis 38:6:1', 'Genesis 38:6']"
"['Alshich on Torah, Genesis 38:8:1', 'Genesis 38:8']"
"['Alshich on Torah, Genesis 38:9:1-2', 'Genesis 38:9']"
"['Alshich on Torah, Genesis 39:1:1', 'Genesis 39:1']"
"['Alshich on Torah, Genesis 39:21:1', 'Genesis 39:21']"
"['Alshich on Torah, Genesis 39:22:1', 'Genesis 39:22']"
"['Alshich on Torah, Genesis 45:25:1-7', 'Genesis 45:25']"
"['Alshich on Torah, Genesis 46:1:1-4', 'Genesis 46:1']"
"['Alshich on Torah, Genesis 46:3:1-4', 'Genesis 46:3']"
"['Alshich on Torah, Genesis 46:5:1-2', 'Genesis 46:5']"
"['Alshich on Torah, Genesis 46:31:1-4', 'Genesis 46:31']"
"['Alshich on Torah, Genesis 47:29:1-7', 'Genesis 47:29']"
"['Alshich on Torah, Genesis 47:7:1-2', 'Genesis 47:7']"
"['Alshich on Torah, Genesis 48:8:1-8', 'Genesis 48:8']"
"['Alshich on Torah, Genesis 48:21:1-3', 'Genesis 48:21']"
"['Alshich on Torah, Genesis 48:17:1-2', 'Genesis 48:17']"
"['Alshich on Torah, Genesis 49:1:1-2', 'Genesis 49:1']"
"['Alshich on Torah, Genesis 49:3:1-3', 'Genesis 49:3']"
"['Alshich on Torah, Genesis 49:11:1-5', 'Genesis 49:11']"
"['Alshich on Torah, Genesis 49:13:1-2', 'Genesis 49:13']"
"['Alshich on Torah, Genesis 49:14:1', 'Genesis 49:14']"
"['Alshich on Torah, Genesis 49:29:1-2', 'Genesis 49:29']"
"['Alshich on Torah, Genesis 50:23:1-3', 'Genesis 50:23']"
"['Alshich on Torah, Leviticus 9:1:1-38', 'Leviticus 9:1']"
"['Alshich on Torah, Leviticus 9:23:1-33', 'Leviticus 9:23']"
"['Alshich on Torah, Leviticus 12:1:1-35', 'Leviticus 12:1']"
"['Alshich on Torah, Leviticus 16:1:1-33', 'Leviticus 16:1']"
"['Alshich on Torah, Leviticus 16:3:1-15', 'Leviticus 16:3']"
"['Alshich on Torah, Leviticus 17:1:1-2', 'Leviticus 17:1']"
"['Alshich on Torah, Leviticus 17:15:1-2', 'Leviticus 17:15']"
"['Alshich on Torah, Leviticus 18:24:1-3', 'Leviticus 18:24']"
"['Alshich on Torah, Leviticus 18:1:1-5', 'Leviticus 18:1']"
"['Alshich on Torah, Leviticus 19:19:1', 'Leviticus 19:19']"
"['Alshich on Torah, Leviticus 20:8:1-7', 'Leviticus 20:8']"
"['Alshich on Torah, Leviticus 21:10:1', 'Leviticus 21:10']"
"['Alshich on Torah, Leviticus 22:32:1-2', 'Leviticus 22:32']"
"['Alshich on Torah, Leviticus 25:39:1-4', 'Leviticus 25:39']"
"['Alshich on Torah, Leviticus 25:55:1-5', 'Leviticus 25:55']"
"['Alshich on Torah, Leviticus 26:23:1-4', 'Leviticus 26:23']"
"['Alshich on Torah, Leviticus 26:26:1', 'Leviticus 26:26']"
"['Alshich on Torah, Leviticus 26:29:1-2', 'Leviticus 26:29']"
"['Alshich on Torah, Leviticus 27:1:1-8', 'Leviticus 27:1']"
"['Alshich on Torah, Numbers 4:21:1-7', 'Numbers 4:21']"
"['Alshich on Torah, Numbers 8:3:1-18', 'Numbers 8:3']"
"['Alshich on Torah, Numbers 9:15:1-3', 'Numbers 9:15']"
"['Alshich on Torah, Numbers 10:33:1', 'Numbers 10:33']"
"['Alshich on Torah, Numbers 23:1:1', 'Numbers 23:1']"
"['Alshich on Torah, Numbers 23:3:1-3', 'Numbers 23:3']"
"['Alshich on Torah, Numbers 23:7:1-8', 'Numbers 23:7']"
"['Alshich on Torah, Numbers 23:11:1', 'Numbers 23:11']"
"['Alshich on Torah, Numbers 23:23:1-3', 'Numbers 23:23']"
"['Alshich on Torah, Numbers 32:16:1-4', 'Numbers 32:16']"
"['Mishneh Torah, Testimony 22:5', 'Shulchan Arukh, Choshen Mishpat 63:1']"
"['Ketubot 36b:6', 'Tur, Even HaEzer 177']"
"['Ketubot 38a:9', 'Sefer Mitzvot Gadol, Positive Commandments 48']"
"['Ketubot 39a:5', 'Sefer Mitzvot Gadol, Positive Commandments 54']"
"['Ketubot 39a:5', 'Tur, Even HaEzer 177']"
"['Ketubot 40a:7', 'Shulchan Arukh, Even HaEzer 177:4']"
"['Mishneh Torah, One Who Injures a Person or Property 1:2', 'Tur, Choshen Mishpat 420']"
"['Ketubot 40b:12', 'Tur, Even HaEzer 177']"
"['Sefer Mitzvot Gadol, Positive Commandments 55', 'Tur, Even HaEzer 177']"
"['Ketubot 41a:10', 'Sefer Mitzvot Gadol, Positive Commandments 67']"
"['Sefer Mitzvot Gadol, Positive Commandments 57', 'Tur, Choshen Mishpat 391']"
"['Mishneh Torah, Oaths 7:2', 'Sefer Mitzvot Gadol, Negative Commandments 248']"
"['Mishneh Torah, Oaths 7:3', 'Sefer Mitzvot Gadol, Negative Commandments 248']"
"['Ketubot 44a:4', 'Shulchan Arukh, Choshen Mishpat 240:2']"
"['Mishneh Torah, Marriage 16:4', 'Tur, Even HaEzer 99']"
"['Ketubot 54a:18', 'Mishneh Torah, Appraisals and Devoted Property 3:14']"
"['Mishneh Torah, Marriage 14:9', 'Tur, Even HaEzer 77']"
"['Mishneh Torah, Marriage 14:9', 'Shulchan Arukh, Even HaEzer 77:2']"
"['Sefer Mitzvot Gadol, Negative Commandments 81', 'Shulchan Arukh, Even HaEzer 77:2']"
"['Ketubot 55a:2', 'Tur, Even HaEzer 101']"
"['Sefer Mitzvot Gadol, Positive Commandments 41', 'Shulchan Arukh, Even HaEzer 61:1']"
"['Ketubot 57b:5', 'Tur, Even HaEzer 55']"
"['Sefer Mitzvot Gadol, Negative Commandments 81', 'Shulchan Arukh, Even HaEzer 80:15']"
"['Sefer Mitzvot Gadol, Positive Commandments 49', 'Shulchan Arukh, Even HaEzer 76:6']"
"['Ketubot 64b:7', 'Tur, Orach Chaim 386']"
"['Mishneh Torah, Eruvin 1:9', 'Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Eruvin 1']"
"['Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Eruvin 1', 'Shulchan Arukh, Orach Chayim 386:6']"
"['Mishneh Torah, Marriage 12:10', 'Sefer Mitzvot Gadol, Negative Commandments 88']"
"['Mishneh Torah, Marriage 22:1', 'Shulchan Arukh, Even HaEzer 69:3']"
"['Shulchan Arukh, Even HaEzer 69:1', 'Shulchan Arukh, Even HaEzer 85:1']"
"['Sefer Mitzvot Gadol, Positive Commandments 48', 'Shulchan Arukh, Even HaEzer 53:1']"
"['Mishneh Torah, Marriage 13:8', 'Shulchan Arukh, Even HaEzer 58:1']"
"['Sefer Mitzvot Gadol, Positive Commandments 48', 'Tur, Even HaEzer 58']"
"['Ketubot 67b:8', 'Mishneh Torah, Gifts to the Poor 7:9']"
"['Ketubot 67b:9', ""Shulchan Arukh, Yoreh De'ah 253:10""]"
"['Mishneh Torah, Gifts to the Poor 10:19', 'Sefer Mitzvot Gadol, Positive Commandments 162']"
"['Ketubot 68b:4', 'Tur, Even HaEzer 113']"
"['Ketubot 68b:13', 'Shulchan Arukh, Even HaEzer 112:10']"
"['Mishneh Torah, Marriage 19:13', 'Sefer Mitzvot Gadol, Negative Commandments 81']"
"['Ketubot 70a:2', 'Sefer Mitzvot Gadol, Positive Commandments 82']"
"['Mishneh Torah, Marriage 12:23', 'Tur, Yoreh Deah 221']"
"['Mishneh Torah, Marriage 12:23', ""Shulchan Arukh, Yoreh De'ah 221:8""]"
"['Tur, Yoreh Deah 221', 'Tur, Yoreh Deah 235']"
"['Mishneh Torah, Divorce 2:13', 'Shulchan Arukh, Even HaEzer 141:19']"
"['Ketubot 71b:4', 'Tur, Yoreh Deah 234']"
"['Mishneh Torah, Marriage 14:6', 'Shulchan Arukh, Even HaEzer 74:1']"
"['Mishneh Torah, Marriage 13:12', 'Tur, Even HaEzer 74']"
"['Mishneh Torah, Marriage 13:13', ""Shulchan Arukh, Yoreh De'ah 235:6""]"
"['Ketubot 71b:10', ""Shulchan Arukh, Yoreh De'ah 235:6""]"
"['Ketubot 72a:9', 'Mishneh Torah, Marriage 24:11']"
"['Mishneh Torah, Marriage 7:1', 'Shulchan Arukh, Even HaEzer 38:35']"
"['Ketubot 74a:4', 'Tur, Even HaEzer 169']"
"['Ketubot 74a:4', 'Shulchan Arukh, Even HaEzer 169:44']"
"['Ketubot 78a:1', 'Mishneh Torah, Marriage 22:8']"
"['Ketubot 78b:10', 'Mishneh Torah, Marriage 22:8']"
"['Ketubot 79b:7', 'Mishneh Torah, Marriage 22:25']"
"['Ketubot 80a:3', 'Tur, Even HaEzer 88']"
"['Exodus 1:11', 'Mizrachi, Exodus 1:11:3']"
"['Sefer Mitzvot Gadol, Positive Commandments 96', 'Shulchan Arukh, Choshen Mishpat 25:1']"
"['Ketubot 86b:6', 'Tur, Even HaEzer 97']"
"['Mishneh Torah, Agents and Partners 9:4', 'Shulchan Arukh, Even HaEzer 97:1']"
"['Shulchan Arukh, Choshen Mishpat 71:1', 'Shulchan Arukh, Even HaEzer 98:1']"
"['Exodus 9:32', 'Mizrachi, Exodus 9:32:1']"
"['Mizrachi, Exodus 10:3:1', 'Rashi on Exodus 10:3:1']"
"['Ketubot 89a:6', 'Sefer Mitzvot Gadol, Positive Commandments 48']"
"['Ketubot 90a:9', 'Shulchan Arukh, Even HaEzer 111:8']"
"['Exodus 16:20', 'Mizrachi, Exodus 16:20:2']"
"['Exodus 16:22', 'Mizrachi, Exodus 16:22:1']"
"['Ketubot 94a:6', 'Mishneh Torah, Creditor and Debtor 14:1']"
"['Exodus 19:4', 'Mizrachi, Exodus 19:4:2']"
"['Ketubot 94a:13', 'Sefer Mitzvot Gadol, Positive Commandments 65']"
"['Ketubot 94b:1', 'Shulchan Arukh, Choshen Mishpat 51:7']"
"['Ketubot 94b:1', 'Tur, Even HaEzer 130']"
"['Mishneh Torah, Ownerless Property and Gifts 5:6', 'Tur, Even HaEzer 130']"
"['Mishneh Torah, Divorce 4:18', 'Shulchan Arukh, Even HaEzer 130:6']"
"['Exodus 21:14', 'Mizrachi, Exodus 21:14:1']"
"['Mishneh Torah, Marriage 18:6', 'Shulchan Arukh, Even HaEzer 94:7']"
"['Ketubot 96a:12', 'Mishneh Torah, Marriage 18:26']"
"['Mizrachi, Exodus 28:40:1', 'Rashi on Exodus 28:40:1']"
"['Ketubot 100a:3', 'Tur, Choshen Mishpat 109']"
"['Tur, Even HaEzer 116', 'Tur, Even HaEzer 155']"
"['Exodus 29:40', 'Mizrachi, Exodus 29:40:3']"
"['Shulchan Arukh, Even HaEzer 116:5', 'Shulchan Arukh, Even HaEzer 155:10']"
"['Mizrachi, Exodus 30:13:3', 'Rashi on Exodus 30:13:4']"
"['Exodus 32:31', 'Mizrachi, Exodus 32:31:1']"
"['Mizrachi, Exodus 33:13:4', 'Rashi on Exodus 33:13:2']"
"['Exodus 34:21', 'Mizrachi, Exodus 34:21:3']"
"['Sefer Mitzvot Gadol, Positive Commandments 115', ""Shulchan Arukh, Yoreh De'ah 245:22""]"
"['Mizrachi, Genesis 2:6:1', 'Rashi on Genesis 2:6:1']"
"['Ketubot 107a:9', 'Mishneh Torah, Marriage 12:21']"
"['Sefer Mitzvot Gadol, Negative Commandments 148', 'Shulchan Arukh, Orach Chayim 451:23']"
"['Ketubot 108b:2', 'Tur, Even HaEzer 112']"
"['Genesis 4:10', 'Mizrachi, Genesis 4:10:1']"
"['Tur, Choshen Mishpat 147', 'Tur, Choshen Mishpat 46']"
