II Kings 12:3,6
II Kings 12:4,9
II Kings 12:5,10
II Kings 12:6,11
II Kings 12:7,12
II Kings 12:8,13
II Kings 12:9,16
II Kings 12:10,17
II Kings 12:11,19
II Kings 12:12,21
II Kings 12:13,22
II Kings 13:1,1
II Kings 13:2,2
II Kings 13:3,3
II Kings 13:4,5
II Kings 13:5,14
II Kings 13:6,16
II Kings 13:7,17
II Kings 13:8,18
II Kings 13:9,19
II Kings 13:10,20
II Kings 13:11,21
II Kings 13:12,23
II Kings 14:1,1
II Kings 14:2,2
II Kings 14:3,4
II Kings 14:4,6
II Kings 14:5,7
II Kings 14:6,10
II Kings 14:7,11
II Kings 14:8,13
II Kings 14:9,16
II Kings 14:10,17
II Kings 14:11,19
II Kings 14:12,21
II Kings 14:13,22
II Kings 14:14,23
II Kings 14:15,25
II Kings 14:16,28
II Kings 14:17,29
II Kings 15:1,1
II Kings 15:2,2
II Kings 15:3,5
II Kings 15:4,10
II Kings 15:5,12
II Kings 15:6,14
II Kings 15:7,16
II Kings 15:8,19
II Kings 15:9,22
II Kings 15:10,25
II Kings 15:11,29
II Kings 15:12,30
II Kings 15:13,32
II Kings 15:14,33
II Kings 15:15,35
II Kings 15:16,37
II Kings 16:1,3
II Kings 16:2,6
II Kings 16:3,9
II Kings 16:4,10
II Kings 16:5,13
II Kings 16:6,15
II Kings 16:7,18
II Kings 16:8,20
II Kings 17:1,3
II Kings 17:2,4
II Kings 17:3,6
II Kings 17:4,13
II Kings 17:5,14
II Kings 17:6,15
II Kings 17:7,16
II Kings 17:8,23
II Kings 17:9,24
II Kings 17:10,25
II Kings 17:11,26
II Kings 17:12,29
II Kings 17:13,30
II Kings 17:14,31
II Kings 17:15,34
II Kings 17:16,41
II Kings 18:1,4
II Kings 18:2,7
II Kings 18:3,11
II Kings 18:4,12
II Kings 18:5,13
II Kings 18:6,14
II Kings 18:7,16
II Kings 18:8,17
II Kings 18:9,18
II Kings 18:10,19
II Kings 18:11,22
II Kings 18:12,24
