Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Tosafot on Niddah 52a:30:1,Yevamot 109b:14,disambiguator found a better match,Tosafot on Niddah 52a:16:1,Yevamot 109b:14
"Sefer HaTashbetz, Part II 272:12",Bava Kamma 18b:5,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:2",Bava Kamma 18b:5
"Sefer HaTashbetz, Part II 272:12",Gittin 44a:7,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:6",Gittin 44a:7
"Sefer HaTashbetz, Part II 272:12",Bava Kamma 58a:8,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:11",Bava Kamma 58a:8
"Sefer HaTashbetz, Part II 272:12",Bava Kamma 78b:22,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:11",Bava Kamma 78b:22
"Sefer HaTashbetz, Part II 272:12",Bava Kamma 85b:12,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:11",Bava Kamma 85b:12
"Sefer HaTashbetz, Part II 272:12",Bava Kamma 96a:7,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:11",Bava Kamma 96a:7
"Sefer HaTashbetz, Part II 272:12",Gittin 42b:14,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:11",Gittin 42b:14
"Sefer HaTashbetz, Part II 272:12",Bava Metzia 117a:14,disambiguator found a better match,"Sefer HaTashbetz, Part II 272:2",Bava Metzia 117a:14
Rashi on Temurah 27a:30:1,Menachot 101a:3,disambiguator found a better match,Rashi on Temurah 27a:16:1,Menachot 101a:3
Tosafot on Bekhorot 58a:46:1,Nazir 53a:5,disambiguator found a better match,Tosafot on Bekhorot 58a:16:1,Nazir 53a:5
Ktav Yad Rashi on Bekhorot 60a:25:1,Temurah 21a:5,disambiguator found no match
Rashi on Temurah 20b:3:1,Bava Kamma 78b:2,disambiguator found a better match,Rashi on Temurah 20b:2:2,Bava Kamma 78b:2
Tosafot on Bekhorot 16b:8:1,Bava Metzia 70b:1,disambiguator found a better match,Tosafot on Bekhorot 16b:4:1,Bava Metzia 70b:1
Tosafot on Temurah 29a:38:1,Niddah 41a:10,disambiguator found a better match,Tosafot on Temurah 29a:12:1,Niddah 41a:10
Tosafot on Temurah 29a:38:1,Niddah 41a:2,disambiguator found a better match,Tosafot on Temurah 29a:12:1,Niddah 41a:2
Tosafot on Niddah 37b:16:1,Pesachim 96a:11,disambiguator found a better match,Tosafot on Niddah 37b:9:1,Pesachim 96a:11
Tosafot on Niddah 37b:16:1,Menachot 82a:13,disambiguator found a better match,Tosafot on Niddah 37b:9:1,Menachot 82a:13
Tosafot on Niddah 42a:28:1,Pesachim 67b:5,disambiguator found a better match,Tosafot on Niddah 42a:14:1,Pesachim 67b:5
Tosafot on Niddah 7a:12:1,Pesachim 48b:3,disambiguator found a better match,Tosafot on Niddah 7a:4:1,Pesachim 48b:3
