index,versionTitle,replaces number
Teshuvot HaRadbaz Volume 1,YU Torah miTzion Beit Midrash,1
Responsa Chatam Sofer,YU Torah miTzion Beit Midrash,8
Arukh HaShulchan,Wikisource,38
Arukh HaShulchan,Sefaria Community Translation,7
Arukh HaShulchan,YU Torah miTzion Beit Midrash,4
Sha'ar HaGilgulim,Sefaria Community Translation,1
The Wars of God,Sefaria Community Translation,1
Tosafot on Bava Kamma,"Tosafot, Translated by Jan Buckler.",1
Ma'amar Mezakeh HaRabim,"Maamer Mezake Es HaRabim. Trans. Meisels and Kutnowski, Ontario, 2019 ",6
Olat Reiyah,"Trans. Rabbi Mike Feuer, 2019",6
Netzach Yisrael,Sefaria Community Translation,3
Biur Halacha,Sefaria Community Translation,2
Kli Yakar on Exodus,YU Torah miTzion Beit Midrash,8
Ibn Ezra on Esther,YU Torah miTzion Beit Midrash,1
Pele Yoetz,itorah.com/pele-yoetz,4
Shem MiShmuel,Sefaria Community Translation,7
Ramban on Exodus,Artscroll Series,3
Radak on Psalms,Sefaria Community Translation,2
Tosafot on Berakhot,"Tosafot, Translated by Jan Buckler.",17
Bnei Yissaschar,The Yeshiva,2
Kitzur Shulchan Arukh,"Kitzur Shulchan Aruch, translated by Eli Rubin. ",9
Sha'arei Kedusha,"Gates of Holiness, translated by Rabbi Amiram Markel, 2013",1
Jeremiah,Sefaria Community Translation,6
Tiferet Yisrael,Sefaria Community Translation,3
Sichot HaRan,Sefaria Community Translation,29
Mateh Efrayim,Sefaria Community Translation,3
Ramban on Deuteronomy,Ramban Commentary,2
Maharach Or Zarua Responsa,"Maharach Or Zarua Responsa digest, trans. by Noah Goldstein, Yeshiva University, 1959",5
Nachal Eshkol on Song of Songs,Sefaria Community Translation,5
Tanna Debei Eliyahu Rabbah,Sefaria Community Translation,1
Abarbanel on Hosea,Sefaria Community Translation,1
Aderet Eliyahu,Sefaria Community Translation,3
Abarbanel on I Kings,Sefaria Community Translation,9
Teshuvot HaRivash,Sefaria Community Translation,1
Flames of Faith,"Flames of Faith, New York: Kodesh Press, 2014",3
Gray Matter II,"Gray Matter, by Chaim Jachter. Teaneck, N.J, 2000-2012",1
Gray Matter III,"Gray Matter, by Chaim Jachter. Teaneck, N.J, 2000-2012",2
Tiferet Shlomo,Sefaria Community Translation,133
"Peninei Halakhah, Pesach","Peninei Halakhah, English ed. Yeshivat Har Bracha",1
What is the Talmud,"Translated from German by Ruth Morris, Jerusalem, 2013",16
Nefesh HaChayim,"The Soul of Life, translated by Leonard Moskowitz, Teaneck, NJ 2012 [Rev. 1.5]",28
Nefesh HaChayim,Sefaria Community Translation,4
Abarbanel on Jonah,Sefaria Community Translation,20
Ner Mitzvah,Sefaria Community Translation,64
Gevurot Hashem,Sefaria Community Translation,5
Iggerot HaRambam,Sefaria Community Translation,1
Keset HaSofer,Sefaria Community Translation,1
Derech Etz Chayim (Ramchal),Sefaria Community Translation,7
Ramban on Deuteronomy,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976",806
Ramban on Numbers,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976",523
Ramban on Leviticus,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976",380
Ramban on Exodus,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976",1033
Ramban on Genesis,"Commentary on the Torah by Ramban (Nachmanides). Translated and annotated by Charles B. Chavel. New York, Shilo Pub. House, 1971-1976",825
Ibn Ezra on Exodus,"Ibn Ezra's commentary on the Pentateuch, tran. and annot. by H. Norman Strickman and Arthur M. Silver. Menorah Pub., 1988-2004",1
"Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim temp",2
Ecclesiastes,The Rashi Ketuvim by Rabbi Shraga Silverstein,61
Tikkunei Zohar,"Pataḥ Eliyahu, translated by Avraham Sutton",1
Mei HaShiloach,"Living waters, the Mei HaShiloach. Trans. and edited by Betsalel Philip Edwards, Jerusalem, J. Aronson 2001 [Revised digital edition, 2021]",1
Bnei Machshava Tova,Sefaria Community Translation,13
Jerusalem Talmud Berakhot,Sefaria Community Translation,4
HaEmunot veHaDeot,Sefaria Community Translation,4
Sippurei Maasiyot,Tales of Rabbi Nachman -- Wikisource,2
Chayei Moharan,Sefaria Community Translation,5
Sichot HaRan,"Rabbi Nachman's Wisdom, trans. Aryeh Kaplan, Jerusalem. Breslov Research Institute, 1973",6
Mevo HaShearim,"Entrance to the gates, trans. and annot. by Jon Kelsen, 2019",3
Noda BiYhudah I,"Noda BuYehudah, trans. by Harold Landa.",1
