txt file line,Perek running counter,page running counter,Perek aprx,Page aprx,Rambam,Semag,Tur Shulchan Arukh,original,problem
16,טז,א,1,6,"[u'Mishneh Torah, Sacrifices Rendered Unfit 4:15']",,,"טז א מיי' פ""ד מהל' פסה""מ הלכה טו",False
17,יז,ב,1,6,"[u'Mishneh Torah, Sacrificial Procedure 14:3']",,,"יז ב מיי' פי""ד מהלכות מעשה הקרבנות הל' ג",False
18,יח,ג,1,6,"[u'Mishneh Torah, Sacrificial Procedure 14:2']",,,יח ג מיי' שם הל' ב,False
19,יט,ד,1,6,"[u'Mishneh Torah, Substitution 1:5']",,,"יט ד מיי' פ""א מהלכות תמורה הל' ה",False
20,כ,א,1,7,"[u'Mishneh Torah, Substitution 1:1']",,,"כ א מיי' פ""א מהל' תמורה הלכה א",False
21,כא,ב,1,7,"[u'Mishneh Torah, Substitution 1:5']",,,כא ב מיי' שם הלכה ה,False
22,כב,ג,1,7,"[u'Mishneh Torah, Appraisals and Devoted Property 7:2', u""Mishneh Torah, Second Tithes and Fourth Year's Fruit 5:1""]",,,"כב ג מיי' פ""ז מהלכות ערכין הלכה ב ופ""ה מהל' מעשר שני הלכה א",False
23,כג,ד,1,7,"[u'Mishneh Torah, Appraisals and Devoted Property 7:4']",,,"כג ד מיי' פ""ז מהלכות ערכין הלכה ד",False
24,כד,ה,1,7,"[u'Mishneh Torah, Substitution 1:4']",,,"כד ה מיי' פ""א מהלכות תמורה הלכה ד",False
25,כה,ו,1,7,"[u'Mishneh Torah, Heave Offerings 4:2']",,,"כה ו מיי' פ""ד מהלכות תרומות הלכה ב",False
26,כו,ז,1,7,"[u'Mishneh Torah, Sacrificial Procedure 3:12']",,,"כו ז מיי' פ""ג מהלכות מעשה הקרבנות הלכה יב",False
27,כז,א,1,8,"[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 4:3']",,,"כז א מיי' פ""ד מהלכות מחוסרי כפרה הלכה ג",False
28,כח,ב,1,8,"[u'Mishneh Torah, Sacrifices Rendered Unfit 12:6']",,,"כח ב מיי' פי""ב מהלכות פסולי המוקדשין הלכה ו",False
29,כט,א,1,9,"[u'Mishneh Torah, Sheqel Dues 4:11']",,,"כט א מיי' פ""ד מהל' שקלים הלכה יא",False
30,ל,ב,1,9,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:13']",,,"ל ב מיי' פט""ו מהלכות פסה""מ הלכה יג",False
31,לא,ג,1,9,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:7']",,,לא ג מיי' שם הלכה ז,False
32,לב,ד,1,9,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:8']",,,לב ד מיי' שם הלכה ח,False
33,לג,ה,1,9,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:9', u'Mishneh Torah, Sacrifices Rendered Unfit 15:14']",,,לג ה מיי' שם הלכה ט והלכה יד,False
34,לד,א,1,10,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:15']",,,"לד א מיי' פט""ו מהל' פסה""מ הלכה טו",False
35,לה,ב,1,10,"[u'Mishneh Torah, Repentance 1:4']",,,"לה ב מיי' פ""א מהל' תשובה הלכה ד",False
36,לו,ג,1,10,,"[u'Sefer Mitzvot Gadol, Positive Commandments 216']",,לו ג סמג עשין רטז,False
37,לז,ד,1,10,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:1', u'Mishneh Torah, Sacrifices Rendered Unfit 15:11']",,,"לז ד מיי' פט""ו מהלכות פסה""מ הלכה א והלכה יא",False
38,לח,ה,1,10,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:1', u'Mishneh Torah, Sacrifices Rendered Unfit 15:4']",,,לח ה מיי' שם הלכה א והלכה ד,False
39,לט,ו,1,10,"[u'Mishneh Torah, Paschal Offering 4:10']",,,"לט ו מיי' פ""ד מהלכות קרבן פסח הלכה י",False
40,מ,א,1,11,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:12']",,,"מ א מיי' פט""ו מהל' פה""מ הלכה יב",False
41,מא,ב,1,11,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:11']",,,"מא ב מיי' שם הלי""א",False
42,מב,א,1,12,"[u'Mishneh Torah, Paschal Offering 4:7']",,,"מב א מיי' פ""ד מהל' קרבן פסח הל""ז",False
43,מג,ב,1,12,"[u'Mishneh Torah, Sacrificial Procedure 1:18']",,,"מג ב מיי' פ""א מהל' מעשה הקרבנות הלי""ח",False
44,מד,א,1,13,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:9']",,,"מד א מיי' פט""ו מהל' פסה""מ הל""ט",False
45,מה,ב,1,13,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:7']",,,"מה ב מיי' שם הל""ז",False
46,מו,ג,1,13,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:6']",,,"מו ג ד מיי' שם הל""ו",
46,מו,ד,1,13,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:6']",,,"מו ג ד מיי' שם הל""ו",False
47,מז,ה,1,13,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:10']",,,"מז ה מיי' שם הל""י",False
48,מח,א,1,14,"[u'Mishneh Torah, Ritual Slaughter 2:15']","[u'Sefer Mitzvot Gadol, Positive Commandments 63']","[u'Tur, Yoreh Deah 4', u""Shulchan Arukh, Yoreh De'ah 4:1""]","מח א מיי' פ""ב מהל' שחיטה הלכה טו סמג עשין סג טוש""ע יו""ד סימן ד סעיף א",False
49,מט,ב,1,14,"[u'Mishneh Torah, Ritual Slaughter 2:15']",,,מט ב מיי' שם הלכה טו,False
50,נ,א,1,15,"[u'Mishneh Torah, Sacrificial Procedure 5:6']",,,"נ א ב מיי' פ""ה מהלכות מעשה הקרבנות הל' ו",
50,נ,ב,1,15,"[u'Mishneh Torah, Sacrificial Procedure 5:6']",,,"נ א ב מיי' פ""ה מהלכות מעשה הקרבנות הל' ו",False
51,נא,א,1,16,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:2']",,,"נא א מיי' פט""ו מהלכות פסה""מ הלכה ב",False
52,נב,ב,1,16,"[u'Mishneh Torah, Sacrifices Rendered Unfit 11:6']",,,"נב ב מיי' פי""א שם הלכה ו",False
53,נג,ג,1,16,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:12']",,,"נג ג מיי' פט""ו שם הלכה יב",False
54,נד,א,1,17,"[u'Mishneh Torah, Forbidden Foods 10:19']",,,"נד א מיי' פ""י מהלכות מאכלות אסורות הלכה יט",False
55,נה,ב,1,17,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:11']",,,"נה ב מיי' פט""ו מהל' פסה""מ הלכה יא",False
56,נו,ג,1,17,"[u'Mishneh Torah, Daily Offerings and Additional Offerings 3:11']",,,"נו ג מיי' פ""ג מהלכות תמידין הלכה יא",False
57,נז,א,1,18,"[u'Mishneh Torah, Prayer and the Priestly Blessing 3:11']","[u'Sefer Mitzvot Gadol, Positive Commandments 19']","[u'Tur, Orach Chaim 286', u'Shulchan Arukh, Orach Chayim 286:4']","נז א מיי' פ""ג מהלכות תפלה הלכה יא סמג עשין יט טוש""ע א""ח סי' רפו סעיף ד",False
58,נח,ב,1,18,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:12']",,,"נח ב מיי' פט""ו מהל' פסה""מ הלכה יב",False
59,נט,ג,1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,עי',1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,"כ""מ",1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,"פ""ו",1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,מהל',1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,בכורות,1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,הלכה,1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד",
59,נט,יד,1,18,,,,"נט ג עי' כ""מ פ""ו מהל' בכורות הלכה יד","error, missing an indicator"
60,ס,ד,1,18,"[u'Mishneh Torah, Sacrificial Procedure 15:4']",,,"ס ד ה מיי' פט""ו מהל' מעשה הקרבנות הל' ד",
60,ס,ה,1,18,"[u'Mishneh Torah, Sacrificial Procedure 15:4']",,,"ס ד ה מיי' פט""ו מהל' מעשה הקרבנות הל' ד",False
61,סא,א,1,19,"[u'Mishneh Torah, Offerings for Unintentional Transgressions 3:8']",,,"סא א ב מיי' פ""ג מהל' שגגות הלכה ח",
61,סא,ב,1,19,"[u'Mishneh Torah, Offerings for Unintentional Transgressions 3:8']",,,"סא א ב מיי' פ""ג מהל' שגגות הלכה ח",False
62,סב,א,1,20,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:1', u'Mishneh Torah, Sacrifices Rendered Unfit 15:4', u'Mishneh Torah, Sacrifices Rendered Unfit 15:11']",,,"סב א מיי' פט""ו מהל' פסה""מ הל' א ד יא",False
63,סג,ב,1,20,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:1']",,,"סג ב מיי' פי""ג שם הלכה א",False
64,סד,ג,1,20,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:4', u'Mishneh Torah, Sacrifices Rendered Unfit 15:1', u'Mishneh Torah, Sacrificial Procedure 4:10']",,,"סד ג מיי' שם הלכה ד ופט""ו שם הלכה א ופ""ד מהל' מעשה הקרבנות הל' י",False
65,סה,ד,1,20,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:9']",,,"סה ד מיי' פי""ג מהל' פסה""מ הלכה ט",False
66,סו,ה,1,20,"[u'Mishneh Torah, Sacrificial Procedure 5:1', u'Mishneh Torah, Sacrifices Rendered Unfit 1:22']",,,"סו ה מיי' פ""ה מהלכות מעשה הקרבנות הל' א ופ""א מהל' פסולי המוקדשין הלכה כב",False
67,סז,ו,1,20,"[u'Mishneh Torah, Sacrificial Procedure 19:6']",,,"סז ו מיי' פי""ט מהל' מעשה הקרבנות הלכה ו",False
68,סח,ז,1,20,"[u'Mishneh Torah, Sacrificial Procedure 19:3']",,,סח ז מיי' שם הלכה ג,False
69,סט,ח,1,20,"[u'Mishneh Torah, Admission into the Sanctuary 9:5']",,,"סט ח מיי' פ""ט מהלכות ביאת מקדש הל' ה",False
70,ע,ט,1,20,"[u'Mishneh Torah, Admission into the Sanctuary 9:3']",,,ע ט מיי' שם הל' ג,False
71,עא,י,1,20,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:3']",,,"עא י מיי' פי""ג מהל' פסה""מ הלכה ג",False
72,עב,א,1,21,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:2', u'Mishneh Torah, Sacrifices Rendered Unfit 17:6']",,,"עב א מיי' פי""ג מהל' פסה""מ הל' ב ופי""ז שם הלכה ו",False
73,עג,ב,1,21,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:7']",,,"עג ב מיי' פי""ג שם הלכה ז",False
74,עד,ג,1,21,"[u'Mishneh Torah, Sacrifices Rendered Unfit 17:3']",,,"עד ג מיי' פי""ז שם הלכה ג",False
75,עה,ד,1,21,"[u'Mishneh Torah, Sacrifices Rendered Unfit 13:6']",,,"עה ד מיי' פי""ג שם הלכה ו",False
76,עו,א,1,22,"[u'Mishneh Torah, Admission into the Sanctuary 9:1', u'Mishneh Torah, Admission into the Sanctuary 9:2', u'Mishneh Torah, Admission into the Sanctuary 9:15', u'Mishneh Torah, Sacrifices Rendered Unfit 1:27']","[u'Sefer Mitzvot Gadol, Negative Commandments 309']",,"עו א מיי' פ""ט מהל' ביאת מקדש הל' א ב והלכה טו ופ""א מהלכות פסה""מ הלכה כז סמג לאוין שט",False
77,עז,ב,1,22,"[u'Mishneh Torah, Admission into the Sanctuary 9:15', u'Mishneh Torah, Admission into the Sanctuary 2:7']","[u'Sefer Mitzvot Gadol, Negative Commandments 303']",,"עז ב מיי' פ""ט מהל' ביאת מקדש הל' טו ופ""ב הלכה ז סמג לאוין שג",False
78,עח,א,1,23,"[u'Mishneh Torah, Admission into the Sanctuary 1:1', u'Mishneh Torah, Admission into the Sanctuary 9:15']","[u'Sefer Mitzvot Gadol, Negative Commandments 300']",,"עח א מיי' פ""א מהל' ביאת מקדש הל' א ופ""ט שם הלכה טו סמג לאוין ש",False
79,עט,ב,1,23,"[u'Mishneh Torah, Admission into the Sanctuary 6:1', u'Mishneh Torah, Admission into the Sanctuary 9:15']",,,"עט ב מיי' שם פ""ו הל' א ופ""ט הלכה טו",False
80,פ,ג,1,23,"[u'Mishneh Torah, Admission into the Sanctuary 5:17', u'Mishneh Torah, Admission into the Sanctuary 9:15']",,,"פ ג מיי' פ""ה שם הלכה יז ופ""ט הל' טו",False
81,פא,ד,1,23,"[u'Mishneh Torah, Admission into the Sanctuary 5:18', u'Mishneh Torah, Admission into the Sanctuary 9:15', u'Mishneh Torah, Service on the Day of Atonement 4:1']",,,"פא ד מיי' פ""ה שם הל' יח ופ""ט הלכה טו ופ""ד מהל' עבודת יוה""כ הלכה א",False
82,פב,ה,1,23,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:27']",,,"פב ה ו מיי' פ""א מהל' פסה""מ הלכה כז",
82,פב,ו,1,23,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:27']",,,"פב ה ו מיי' פ""א מהל' פסה""מ הלכה כז",False
83,פג,ז,1,23,"[u'Mishneh Torah, Red Heifer 1:11', u'Mishneh Torah, Red Heifer 4:17']",,,"פג ז מיי' פ""א מהלכות פרה הלכה יא ופ""ד הלכה יז",False
84,פד,ח,1,23,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:22']",,,"פד ח מיי' פ""א מהל' פסה""מ הלכה כב",False
85,פה,ט,1,23,"[u'Mishneh Torah, Paschal Offering 1:14']",,,"פה ט י מיי' פ""א מהל' קרבן פסח הל' יד",
85,פה,י,1,23,"[u'Mishneh Torah, Paschal Offering 1:14']",,,"פה ט י מיי' פ""א מהל' קרבן פסח הל' יד",False
86,פו,כ,1,23,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:23']",,,"פו כ מיי' פ""א מהלכות פסה""מ הלכה כג",False
87,פז,א,1,24,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:27']",,,"פז א מיי' פ""א מהל' פסה""מ הלכה כז",False
88,פח,ב,1,24,"[u'Mishneh Torah, Sacrifices Rendered Unfit 2:7']",,,"פח ב מיי' פ""ב שם הלכה ז",False
89,פט,ג,1,24,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:27']",,,"פט ג ד מיי' שם פ""א הלכה כז",
89,פט,ד,1,24,"[u'Mishneh Torah, Sacrifices Rendered Unfit 1:27']",,,"פט ג ד מיי' שם פ""א הלכה כז",False
90,א,א,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 9:1']",,,"א א מיי' פ""ט מהל' ביאת מקדש הלכה א",False
91,ב,ב,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 2:6', u'Mishneh Torah, Admission into the Sanctuary 2:7']",,,"ב ב מיי' פ""ב שם הלכה ו ז",False
92,ג,ג,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 4:4']",,,"ג ג מיי' פ""ד שם הל' ד",False
93,ד,ד,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 4:4', u'Mishneh Torah, Admission into the Sanctuary 4:5']",,,ד ד מיי' שם הלכה ד ה,False
94,ה,ה,2,1,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:4']",,,"ה ה מיי' פ""י מהלכות כלי מקדש הלכה ד",False
95,ו,ו,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 5:1']",,,"ו ו מיי' פ""ה מהלכות ביאת מקדש הל' א",False
96,ז,ז,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 6:8']",,,"ז ז מיי' פ""ו שם הל' ח",False
97,ח,ח,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 4:1']",,,"ח ח מיי' פ""ד שם הל' א",False
98,ט,ט,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 5:17']",,,"ט ט י מיי' פ""ה שם הלכה יז",
98,ט,י,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 5:17']",,,"ט ט י מיי' פ""ה שם הלכה יז",False
99,י,כ,2,1,"[u'Mishneh Torah, Admission into the Sanctuary 5:18']",,,י כ מיי' שם הלכה יח,False
100,יא,א,2,2,"[u'Mishneh Torah, Admission into the Sanctuary 2:6']",,,"יא א מיי' פ""ב מהלכות ביאת מקדש הלכה ו",False
101,יב,א,2,3,"[u'Mishneh Torah, Red Heifer 4:14']",,,"יב א מיי' פ""ד מהל' פרה אדומה הלכה יד",False
102,יג,ב,2,3,"[u'Mishneh Torah, Admission into the Sanctuary 3:9', u'Mishneh Torah, Sacrifices Rendered Unfit 18:14']",,,"יג ב מיי' פ""ג מהלכות ביאת מקדש הלכה ט וע""ש בכ""מ ופי""ח מהל' פסה""מ הלכה יד",False
103,יד,ג,2,3,"[u'Mishneh Torah, Red Heifer 1:13']",,,"יד ג מיי' פ""א מהלכות פרה אדומה הלכה יג",False
104,טו,ד,2,3,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:4']",,,"טו ד מיי' פ""י מהלכות כלי המקדש הלכה ד",False
105,טז,ה,2,3,"[u'Mishneh Torah, Admission into the Sanctuary 1:1']",,,"טז ה מיי' פ""א מהל' ביאת מקדש הל' א",False
106,יז,א,2,4,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:4']",,,"יז א מיי' פ""י מהלכות כלי המקדש הל' ד",False
107,יח,ב,2,4,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:5']",,,יח ב ג מיי' שם הל' ה,
107,יח,ג,2,4,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:5']",,,יח ב ג מיי' שם הל' ה,False
108,יט,א,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:4']",,,"יט א ב ג ד מיי' פ""ח מהלכות כלי המקדש הלכה ד",
108,יט,ב,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:4']",,,"יט א ב ג ד מיי' פ""ח מהלכות כלי המקדש הלכה ד",
108,יט,ג,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:4']",,,"יט א ב ג ד מיי' פ""ח מהלכות כלי המקדש הלכה ד",
108,יט,ד,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:4']",,,"יט א ב ג ד מיי' פ""ח מהלכות כלי המקדש הלכה ד",False
109,כ,ה,2,5,"[u'Mishneh Torah, Fringes 3:3']","[u'Sefer Mitzvot Gadol, Positive Commandments 26']","[u'Tur, Orach Chaim 10', u'Shulchan Arukh, Orach Chayim 10:1']","כ ה ו מיי' פ""ג מהלכות ציצית הלכה ג סמג עשין כו טוש""ע א""ח סי' י סעיף א",
109,כ,ו,2,5,"[u'Mishneh Torah, Fringes 3:3']","[u'Sefer Mitzvot Gadol, Positive Commandments 26']","[u'Tur, Orach Chaim 10', u'Shulchan Arukh, Orach Chayim 10:1']","כ ה ו מיי' פ""ג מהלכות ציצית הלכה ג סמג עשין כו טוש""ע א""ח סי' י סעיף א",False
110,כא,ז,2,5,"[u'Mishneh Torah, Fringes 3:7']","[u'Sefer Mitzvot Gadol, Positive Commandments 26']","[u'Tur, Orach Chaim 17', u'Shulchan Arukh, Orach Chayim 17:1', u'Shulchan Arukh, Orach Chayim 17:1', u'Tur, Orach Chaim 18', u'Shulchan Arukh, Orach Chayim 18:1']","כא ז ח מיי' שם הל' ז סמג שם טוש""ע א""ח סימן יז סעיף א וסימן יח סעיף א",
110,כא,ח,2,5,"[u'Mishneh Torah, Fringes 3:7']","[u'Sefer Mitzvot Gadol, Positive Commandments 26']","[u'Tur, Orach Chaim 17', u'Shulchan Arukh, Orach Chayim 17:1', u'Shulchan Arukh, Orach Chayim 17:1', u'Tur, Orach Chaim 18', u'Shulchan Arukh, Orach Chayim 18:1']","כא ז ח מיי' שם הל' ז סמג שם טוש""ע א""ח סימן יז סעיף א וסימן יח סעיף א",False
111,כב,ט,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:13']",,,"כב ט מיי' פ""ח מהלכות כלי המקדש הל' יג",False
112,כג,י,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:4']",,,כג י מיי' שם הל' ד,False
113,כד,כ,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:14']",,,כד כ ל מיי' שם הל' יד,
113,כד,ל,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8:14']",,,כד כ ל מיי' שם הל' יד,False
114,כה,מ,2,5,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:2']",,,"כה מ מיי' פ""י שם הלכה ב",False
115,כו,א,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:9']",,,"כו א מיי' פ""י מהלכות כלי המקדש הלכה ט",False
116,כז,ב,2,6,"[u'Mishneh Torah, Sabbath 21:25']","[u'Sefer Mitzvot Gadol, Negative Commandments 65']","[u'Tur, Orach Chaim 328', u'Shulchan Arukh, Orach Chayim 328:24']","כז ב מיי' פכ""א מהלכות שבת הלכה כה סמג לאוין סה טוש""ע א""ח סימן שכח סעיף כד בהגה",False
117,כח,ג,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:6']",,,"כח ג מיי' פ""י מהלכות כלי המקדש הלכה ו",False
118,כט,ד,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:8']",,,כט ד ה מיי' שם הלכה ח,
118,כט,ה,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:8']",,,כט ד ה מיי' שם הלכה ח,False
119,ל,ו,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,ל ו ז מיי' שם הלכה ז,
119,ל,ז,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,ל ו ז מיי' שם הלכה ז,False
120,לא,ח,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:6']",,,לא ח ט מיי' שם הלכה ו,
120,לא,ט,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:6']",,,לא ח ט מיי' שם הלכה ו,False
121,לב,י,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,לב י כ ל מ נ מיי' שם הלכה ז,
121,לב,כ,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,לב י כ ל מ נ מיי' שם הלכה ז,
121,לב,ל,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,לב י כ ל מ נ מיי' שם הלכה ז,
121,לב,מ,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,לב י כ ל מ נ מיי' שם הלכה ז,
121,לב,נ,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:7']",,,לב י כ ל מ נ מיי' שם הלכה ז,False
122,לג,ס,2,6,"[u'Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 4:13']",,,"לג ס מיי' פ""ד מהלכות תפילין הלכה יג",False
123,לד,ע,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:6']",,,"לד ע מיי' פ""י מהלכות כלי המקדש הלכה ו",False
124,לה,פ,2,6,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 10:3']",,,לה פ מיי' שם הלכה ג,False
