txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
47,מז,ה,12a,5,"[u'Mishneh Torah, Fasts 1:10']",,"[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:5']","מז ה מיי' פ""א מהלכות תענית הלכה י טוש""ע שם סעיף ה",FALSE
48,מח,ו,12a,6,"[u'Mishneh Torah, Fasts 1:10']",,"[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:6']","מח ו מיי' שם וטוש""ע שם סעיף ו",FALSE
49,מט,ז,12a,10,"[u'Mishneh Torah, Fasts 1:8']","[u'Sefer Mitzvot Gadol, Positive Commandments 3']","[u'Tur, Orach Chaim 564', u'Shulchan Arukh, Orach Chayim 564:1']","מט ז ח מיי' שם הלכה ח סמג עשין ג טוש""ע שם סי' תקסד סעיף א",
49,מט,ח,12a,11,"[u'Mishneh Torah, Fasts 1:8']","[u'Sefer Mitzvot Gadol, Positive Commandments 3']","[u'Tur, Orach Chaim 564', u'Shulchan Arukh, Orach Chayim 564:1']","מט ז ח מיי' שם הלכה ח סמג עשין ג טוש""ע שם סי' תקסד סעיף א",FALSE
50,נ,א,12b,2,"[u'Mishneh Torah, Fasts 1:10']",,"[u'Tur, Orach Chaim 568', u'Shulchan Arukh, Orach Chayim 568:6']","נ א מיי' פ""א מהלכות תענית הלכה י טוש""ע א""ח סי' תקסח סעיף ו",FALSE
51,נא,ב,12b,5,"[u'Mishneh Torah, Vows 4:16']","[u'Sefer Mitzvot Gadol, Positive Commandments 242']","[u'Tur, Orach Chaim 568', u'Shulchan Arukh, Orach Chayim 568:2']","נא ב מיי' פ""ד מהלכות נדרים הלכה טז סמג עשין רמב טוש""ע שם סעיף ב",FALSE
52,נב,ג,12b,8,"[u'Mishneh Torah, Fasts 1:12']","[u""Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Tisha B'Av 1""]","[u'Tur, Orach Chaim 220', u'Shulchan Arukh, Orach Chayim 220:2']","נב ג מיי' פ""א מהלכות תענית הלכה יב סמג עשין מד""ס ג טוש""ע שם סי' רכ סעיף ב",FALSE
53,נג,ד,12b,8,"[u'Mishneh Torah, Fasts 1:12']",,"[u'Tur, Orach Chaim 568', u'Shulchan Arukh, Orach Chayim 568:2']","נג ד מיי' שם סוש""ע שם סי' תקסח סעיף ב",FALSE
54,נד,ה,12b,8,"[u'Mishneh Torah, Fasts 1:12']","[u""Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Tisha B'Av 1""]","[u'Tur, Orach Chaim 288', u'Shulchan Arukh, Orach Chayim 288:4']","נד ה ו מיי' וסמג שם טוש""ע שם סי' רפח סעיף ד",
54,נד,ו,12b,8,"[u'Mishneh Torah, Fasts 1:12']","[u""Sefer Mitzvot Gadol, Rabbinic Commandments, Laws of Tisha B'Av 1""]","[u'Tur, Orach Chaim 288', u'Shulchan Arukh, Orach Chayim 288:4']","נד ה ו מיי' וסמג שם טוש""ע שם סי' רפח סעיף ד",FALSE
