txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
31,לא,ב,6a,2,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:8', u'Mishneh Torah, Forbidden Intercourse 9:3']",,,"לא ב ג מיי' שם ופ""ט מהלכות איסורי ביאה הלכה ג",
31,לא,ג,6a,3,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:8', u'Mishneh Torah, Forbidden Intercourse 9:3']",,,"לא ב ג מיי' שם ופ""ט מהלכות איסורי ביאה הלכה ג",FALSE
32,לב,ד,6a,3,"[u'Mishneh Torah, Forbidden Intercourse 9:3']",,,"לב ד מיי' פ""ט מהלכות איסורי ביאה הלכה ג",FALSE
33,לג,ה,6a,4,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:9']",,,"לג ה מיי' פ""ג מהלכות משכב ומושב הלכה ט",FALSE
34,לד,א,6b,7,"[u'Mishneh Torah, Sacrificial Procedure 9:22']",,,"לד א ב ג ד מיי' פ""ט מהל' מעשה קרבנות הלכה כב",
34,לד,ב,6b,7,"[u'Mishneh Torah, Sacrificial Procedure 9:22']",,,"לד א ב ג ד מיי' פ""ט מהל' מעשה קרבנות הלכה כב",
34,לד,ג,6b,8,"[u'Mishneh Torah, Sacrificial Procedure 9:22']",,,"לד א ב ג ד מיי' פ""ט מהל' מעשה קרבנות הלכה כב",
34,לד,ד,6b,8,"[u'Mishneh Torah, Sacrificial Procedure 9:22']",,,"לד א ב ג ד מיי' פ""ט מהל' מעשה קרבנות הלכה כב",FALSE
35,לה,ה,6b,11,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:9']",,,"לה ה ו מיי' פ""ג מהל' משכב ומושב הלכ' ט",
35,לה,ו,6b,12,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:9']",,,"לה ה ו מיי' פ""ג מהל' משכב ומושב הלכ' ט",FALSE
36,לו,ז,6b,13,"[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 8:10']","[u'Sefer Mitzvot Gadol, Positive Commandments 141']",,"לו ז מיי' פ""ח מהלכות בכורים הלכה י סמג עשין קמא",FALSE
37,לז,ח,6b,14,"[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 8:10', u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 7:12', u'Mishneh Torah, Defilement of Foods 16:9']",,,"לז ח מיי' שם ופ""ז הלכה יב ופט""ז מהל' טומאת אוכלין הלכה ט",FALSE
38,לח,ט,6b,14,"[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 8:10', u'Mishneh Torah, Other Sources of Defilement 11:16']",,,"לח ט מיי' פ""ח מהלכות בכורים הלכה י ופי""א מהלכות שאר אבות הטומאה הלכה טז",FALSE
39,לט,א,7a,3,"[u'Mishneh Torah, Those Who Defile Bed or Seat 8:9']",,,"לט א מיי' פ""ח מהלכות משכב ומושב הלכה ט",FALSE
40,מ,ב,7a,3,"[u'Mishneh Torah, Defilement of Foods 16:8']","[u'Sefer Mitzvot Gadol, Positive Commandments 246']",,"מ ב מיי' פט""ז מהלכות טומאת אוכלים הלכה ח סמג עשין רמו",FALSE
41,מא,ג,7a,4,"[u'Mishneh Torah, Defilement of Foods 8:17']",,,"מא ג מיי' פ""ח מהל' טומאת אוכלים הלכה יז",FALSE
42,מב,ד,7a,5,"[u'Mishneh Torah, Other Sources of Defilement 11:2']",,,"מב ד מיי' פי""א מהל' שאר אבות הטומאה הלכה ב",FALSE
43,מג,ה,7a,6,"[u'Mishneh Torah, Other Sources of Defilement 11:16', u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 8:10']",,,"מג ה מיי' שם הלכה טז ופ""ח מהלכות בכורים הלכה י",FALSE
44,מד,ו,7a,10,"[u'Mishneh Torah, Those Who Defile Bed or Seat 3:9']",,,"מד ו מיי' פ""ג מהלכות משכב ומושב הלכה ט",FALSE
45,מה,ז,7a,11,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1', u'Mishneh Torah, Forbidden Intercourse 9:4']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"מה ז מיי' שם פ""ד הלכה א ופ""ט מהל' איסורי ביאה הלכה ד סמג לאוין קיא",FALSE
46,מו,א,7b,2,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']",,"מו א מיי' פ""ט מהל' איסורי ביאה הלכה ה ופ""ד מהל' משכב ומושב הלכה א סמג לאוין קיא",FALSE
47,מז,ב,7b,2,"[u'Mishneh Torah, Forbidden Intercourse 9:4', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:33""]","מז ב מיי' פ""ט מהלכות איסורי ביאה הלכה ד ופ""ד מהל' משכב ומושב הלכה א סמג שם טוש""ע י""ד סי' קפט סעיף לג",FALSE
48,מח,ג,7b,2,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u""Shulchan Arukh, Yoreh De'ah 189:33"", u'Tur, Yoreh Deah 189']","מח ג ד מיי' שם סמג שם טוש""ע י""ד שם",
48,מח,ד,7b,2,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u""Shulchan Arukh, Yoreh De'ah 189:33"", u'Tur, Yoreh Deah 189']","מח ג ד מיי' שם סמג שם טוש""ע י""ד שם",FALSE
49,מט,ה,7b,3,"[u'Mishneh Torah, Forbidden Intercourse 9:5', u'Mishneh Torah, Those Who Defile Bed or Seat 4:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 111']","[u'Tur, Yoreh Deah 189', u""Shulchan Arukh, Yoreh De'ah 189:28""]","מט ה מיי' פ""ט מהל' איסורי ביאה הלכה ה ופ""ד מהל' משכב ומושב הלכה א סמג שם טוש""ע י""ד שם סעיף כח",FALSE
50,נ,ו,7b,4,"[u'Mishneh Torah, Those Who Defile Bed or Seat 4:1', u'Mishneh Torah, Those Who Defile Bed or Seat 4:5']",,,"נ ו מיי' פ""ד מהלכות משכב ומושב הלכה א והלכה ה ועי' בהשגות ובכ""מ",FALSE
