Notes,Name,Match Name 1 corrected,Match Name En,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
,סומכוס,,Summakhos,סומכוס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Summakhos,,,,,,,,,,,,,,
,אנשי כנסת הגדולה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יהודה המכבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ר יוסי קטנתא,,Rabbi Yose b. Yehudah,רבי יוסי בן יהודה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,,,,,,,,,,,,,,
,רבי ישבב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,נחום איש גם זו,,Nahum of Gamzo,נחום איש גמזו,,,,,,,,,,,,,,,https://www.sefaria.org/person/Nahum%20of%20Gamzo,,,,,,,,,,,,,,
,בן תמליון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חנן הנחבא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יהודה בר נחמיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי חייא,,Rabbi Hiyya,רבי חייא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hiyya,,,,,,,,,,,,,,
,רבי יוחנן בן גודגדא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי נחמיה,,Rabbi Nehemyah,רבי נחמיה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehemyah,,,,,,,,,,,,,,
,רבי יוסי הכהן,,Rabbi Yose haKohen,רבי יוסי הכהן,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,,,,,,,,,,,,,,
,קטיעה בר שלום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,חנן המצרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אלעזר בן דורדיא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבא שאול בן בטנית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,בן סירא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אלעזר בן ערך,,Rabbi Elazar b. Arakh,רבי אלעזר בן ערך,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,,,,,,,,,,,,,,
,שלומציון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ישמעאל בן פיאבי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי יהושע בן קרחה,,Rabbi Yehoshua b. Korha,רבי יהושע בן קרחה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Korha,,,,,,,,,,,,,,
,חנה ושבעת בניה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,יקום איש צרורות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,אבא בנימין,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,נחום איש קודש קדשים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,לוי בן סיסי,,Levi b. Sisi,לוי בר סיסי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Levi%20b.%20Sisi,,,,,,,,,,,,,,
,יהודה בן גרים,,,,,,,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Betera%20(II),https://www.sefaria.org/person/Yehudah%20b.%20Tema,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20R'%20II'ai,https://www.sefaria.org/person/Rabbi%20Yehudah%20haNasi,,,,,,,,
,רבי שמעון בן איסי בן לקוניא,,Rabbi Shimon b. R' Yose b. Laqonya,רבי שמעון ברבי יוסי בן לקוניא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20R'%20Yose%20b.%20Laqonya,,,,,,,,,,,,,,
,מרים בת בלגה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אליעזר,,Rabbi Eliezer b. Hyrcanus,רבי אליעזר בן הורקנוס‎,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Hyrcanus,,,,,,,,,,,,,,
,רבי זכריה בן אבקולס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,מרתא בת בייתוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אלעזר בן דמה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,רבי אליעזר בן יעקב,,Rabbi Eliezer b. Ya'akov,רבי אליעזר בן יעקב,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Eliezer%20b.%20Ya'akov%20(I),,,,,,,,,,,,,,
