Name,Match Name,Match ID,Match En Name,Match URL
יהורם מלך ישראל,,#N/A,#N/A,
עוזיה,עוזיהו,Q313216,Uzziah,https://www.wikidata.org/wiki/Q313216
דינה,דינה,Q122035,Dinah,https://www.wikidata.org/wiki/Q122035
זמרי,זמרי בן סלוא,Q203956,Zimri,https://www.wikidata.org/wiki/Q203956
כלב בן יפונה,כלב בן יפונה,Q922184,Caleb,https://www.wikidata.org/wiki/Q922184
אדום,,#N/A,#N/A,
ישמעאל בן נתניה,,#N/A,#N/A,
אדוניה,אדוניה,Q360378,Adonijah,https://www.wikidata.org/wiki/Q360378
חנוך בן ירד,,#N/A,#N/A,
צללפונית,,#N/A,#N/A,
אהרן ובניו,,Q51676,Aaron,https://www.wikidata.org/wiki/Q51676
ראובן,ראובן,Q625661,Reuben,https://www.wikidata.org/wiki/Q625661
ירבעם בן יואש,,#N/A,#N/A,
אביגיל,אביגיל,Q4416778,Abigail,https://www.wikidata.org/wiki/Q4416778
אחימעץ,אחימעץ בן צדוק,Q2904547,Ahimaaz,https://www.wikidata.org/wiki/Q2904547
אהליאב,,#N/A,#N/A,
עובד,עובד,Q1135791,Obed,https://www.wikidata.org/wiki/Q1135791
אתי הגתי,,#N/A,#N/A,
נעמה העמונית,נעמה העמונית,Q865263,Naamah,https://www.wikidata.org/wiki/Q865263
שמגר,שמגר בן ענת,Q1516550,Shamgar,https://www.wikidata.org/wiki/Q1516550
אביה בן ירבעם,,#N/A,#N/A,
כורש,כורש,Q8423,Cyrus the Great,https://www.wikidata.org/wiki/Q8423
ירד משה,,#N/A,#N/A,
משה,משה,Q9077,Moses,https://www.wikidata.org/wiki/Q9077
ישבי,,#N/A,#N/A,
יוכבד,יוכבד,Q594805,Jochebed,https://www.wikidata.org/wiki/Q594805
דן,דן,Q550869,Dan,https://www.wikidata.org/wiki/Q550869
עגלון,עגלון מלך מואב,Q2662239,Eglon,https://www.wikidata.org/wiki/Q2662239
אסתר,אסתר,Q732413,Esther,https://www.wikidata.org/wiki/Q732413
בלק,בלק,Q1411953,Balak,https://www.wikidata.org/wiki/Q1411953
דואג,דואג האדומי,Q1234538,Doeg the Edomite,https://www.wikidata.org/wiki/Q1234538
ארבע,,#N/A,#N/A,
ישמעאל,ישמעאל,Q183403,Ishmael,https://www.wikidata.org/wiki/Q183403
זרובבל,זרובבל בן שאלתיאל,Q320139,Zerubbabel,https://www.wikidata.org/wiki/Q320139
שאול מלך,שאול,Q28730,Saul,https://www.wikidata.org/wiki/Q28730
צלפחד,צלפחד,Q2659583,Zelophehad,https://www.wikidata.org/wiki/Q2659583
אליהוא,אליהוא בן ברכאל,Q471388,Elihu,https://www.wikidata.org/wiki/Q471388
עכן,עכן בן כרמי,Q1889647,Achan,https://www.wikidata.org/wiki/Q1889647
אחזיה,אחזיה,Q313214,Ahaziah of Judah,https://www.wikidata.org/wiki/Q313214
יהונתן בן גרשם,יהונתן בן גרשום,Q6272377,Jonathan,https://www.wikidata.org/wiki/Q6272377
אחשורוש,אחשוורוש,Q1370497,Ahasuerus,https://www.wikidata.org/wiki/Q1370497
הבל,הבל,Q313421,Abel,https://www.wikidata.org/wiki/Q313421
רעואל,רעואל,Q32979741,Reuel,https://www.wikidata.org/wiki/Q32979741
ממוכן,,#N/A,#N/A,
יתר הישמעאלי,,#N/A,#N/A,
מרים,מרים הנביאה,Q1938388,Miriam,https://www.wikidata.org/wiki/Q1938388
אגג,אגג,Q390086,Agag,https://www.wikidata.org/wiki/Q390086
אליקים,אליקים בן חלקיהו,Q9252684,Eliakim,https://www.wikidata.org/wiki/Q9252684
עדו,,#N/A,#N/A,
כזבי,כזבי בת צור,Q1352758,Cozbi,https://www.wikidata.org/wiki/Q1352758
אהרן,אהרן,Q51676,Aaron,https://www.wikidata.org/wiki/Q51676
אלישע,אלישע,Q206238,Elisha,https://www.wikidata.org/wiki/Q206238
יעבץ,יעבץ,Q1676833,#N/A,https://www.wikidata.org/wiki/Q1676833
יפתח,יפתח הגלעדי,Q1133523,Jephthah,https://www.wikidata.org/wiki/Q1133523
דניאל,דניאל,Q171724,Daniel,https://www.wikidata.org/wiki/Q171724
ישעיה,ישעיהו,Q188794,Isaiah,https://www.wikidata.org/wiki/Q188794
עבד מלך הכושי,עבד מלך הכושי,Q177617,Ebed-Melech,https://www.wikidata.org/wiki/Q177617
אמנון,אמנון,Q361636,Amnon,https://www.wikidata.org/wiki/Q361636
אליאב,,#N/A,#N/A,
פוטיפר,פוטיפר,Q1148687,Potiphar,https://www.wikidata.org/wiki/Q1148687
אלקנה,אלקנה,Q2424977,Elkanah,https://www.wikidata.org/wiki/Q2424977
ער בכור יהודה,ער,Q1347943,Er,https://www.wikidata.org/wiki/Q1347943
חושי,,#N/A,#N/A,
חזקיה,חזקיהו,Q244912,Hezekiah,https://www.wikidata.org/wiki/Q244912
חם,חם בן נח,Q229702,Ham,https://www.wikidata.org/wiki/Q229702
יהורם מלך יהודה,יורם,Q313215,Jehoram of Judah,https://www.wikidata.org/wiki/Q313215
נר סבו של שאול,,#N/A,#N/A,
חנניה מישאל ועזריה,,#N/A,#N/A,
יהושע,יהושע בן נון,Q7734,Joshua,https://www.wikidata.org/wiki/Q7734
מירב,,#N/A,#N/A,
אלדד ומידד,,#N/A,#N/A,
שכם,שכם בן חמור,Q22054796,Shechem,https://www.wikidata.org/wiki/Q22054796
קרח,,#N/A,#N/A,
שלומית,,#N/A,#N/A,
עוג,עוג מלך הבשן,Q878675,Og,https://www.wikidata.org/wiki/Q878675
בגתן ותרש,,#N/A,#N/A,
אחז,,#N/A,#N/A,
אביתר,אביתר,Q321804,Abiathar,https://www.wikidata.org/wiki/Q321804
נח,נח,Q81422,Noah,https://www.wikidata.org/wiki/Q81422
נעמי,נעמי,Q2596433,Naomi,https://www.wikidata.org/wiki/Q2596433
הצללפוני,,#N/A,#N/A,
יהונתן בן שאול,יהונתן,Q74891,Jonathan,https://www.wikidata.org/wiki/Q74891
גדעון,גדעון בן יואש,Q176125,Gideon,https://www.wikidata.org/wiki/Q176125
צרפית,,#N/A,#N/A,
קמואל,קמואל,Q11944206,Kemuel,https://www.wikidata.org/wiki/Q11944206
אמרפל,אמרפל,Q2844493,Amraphel,https://www.wikidata.org/wiki/Q2844493
עלי,עלי הכהן,Q362021,Eli,https://www.wikidata.org/wiki/Q362021
חלקיה,חלקיה,Q25796501,Hilkiah,https://www.wikidata.org/wiki/Q25796501
רחל,רחל,Q207389,Rachel,https://www.wikidata.org/wiki/Q207389
פנינה,פנינה,Q2068934,Peninnah,https://www.wikidata.org/wiki/Q2068934
עוזא,,#N/A,#N/A,
מיכיהו,מיכיהו בן ימלה,Q1531578,Micaiah,https://www.wikidata.org/wiki/Q1531578
יפת,יפת בן נח,Q200637,Japheth,https://www.wikidata.org/wiki/Q200637
נחש מלך בני עמון,,#N/A,#N/A,
רחב,רחב,Q1135632,Rahab,https://www.wikidata.org/wiki/Q1135632
תמר יהודה,תמר,Q30148909,Tamar,https://www.wikidata.org/wiki/Q30148909
בנימין,,#N/A,#N/A,
לבן בן בתואל,לבן הארמי,Q840401,Laban,https://www.wikidata.org/wiki/Q840401
יחזקאל,יחזקאל,Q194064,Ezekiel,https://www.wikidata.org/wiki/Q194064
אשר בן יעקב,אשר,Q1775026,Asher,https://www.wikidata.org/wiki/Q1775026
פרעה נכה,,#N/A,#N/A,
פתחיה,,#N/A,#N/A,
חפני ופנחס,,Q1563312,Hophni,https://www.wikidata.org/wiki/Q1563312
אליהו,אליהו,Q133507,Elijah,https://www.wikidata.org/wiki/Q133507
ברזילי הגלעדי,ברזילי הגלעדי,Q6710215,Barzilai the Giladi,https://www.wikidata.org/wiki/Q6710215
ירמיה,ירמיהו,Q158825,Jeremiah,https://www.wikidata.org/wiki/Q158825
אלישמע בן פיכאי,,#N/A,#N/A,
אחיתופל,אחיתופל,Q400294,Ahitophel,https://www.wikidata.org/wiki/Q400294
חרבונה,,#N/A,#N/A,
גחזי,,#N/A,#N/A,
צפנת פענח,,#N/A,#N/A,
עתניאל,עתניאל בן קנז,Q536485,Othniel,https://www.wikidata.org/wiki/Q536485
בעשא,בעשא,Q313224,Baasha,https://www.wikidata.org/wiki/Q313224
הגה,,#N/A,#N/A,
הגר,הגר,Q214617,Hagar,https://www.wikidata.org/wiki/Q214617
מררי,,#N/A,#N/A,
צפניה,צפניה בן כושי,Q1761359,Zephaniah,https://www.wikidata.org/wiki/Q1761359
שם בן נח,שם בן נח,Q200902,Shem,https://www.wikidata.org/wiki/Q200902
מכיר,,#N/A,#N/A,
נתן הנביא,נתן הנביא,Q319116,Nathan,https://www.wikidata.org/wiki/Q319116
עמלק,עמלק,Q372091,Amalek,https://www.wikidata.org/wiki/Q372091
אבישג,אבישג השונמית,Q321469,Abishag,https://www.wikidata.org/wiki/Q321469
עפרון,עפרון החתי,Q6775384,Efron,https://www.wikidata.org/wiki/Q6775384
אבישי,,#N/A,#N/A,
נבוכדנאצר,,#N/A,#N/A,
תולע בן פואה,תולע בן פואה,Q1516117,Tola,https://www.wikidata.org/wiki/Q1516117
אסף תהלים,אסף בן ברכיהו,Q43280403,"Asaph, son of Berachiah",https://www.wikidata.org/wiki/Q43280403
התך,,#N/A,#N/A,
שלמון,שלמון,Q1771358,Salomon,https://www.wikidata.org/wiki/Q1771358
אליעזר,אליעזר עבד אברהם,Q14933103,Eliezer,https://www.wikidata.org/wiki/Q14933103
אחאב,אחאב,Q235901,Ahab,https://www.wikidata.org/wiki/Q235901
יהושפט,יהושפט,Q126689,Jehoshaphat,https://www.wikidata.org/wiki/Q126689
נבות,נבות היזרעאלי,Q44203,Naboth,https://www.wikidata.org/wiki/Q44203
צדוק,צדוק,Q140100,Zadok,https://www.wikidata.org/wiki/Q140100
עירא היאירי,,#N/A,#N/A,
עדינו,,#N/A,#N/A,
מלכי צדק,מלכי-צדק,Q219395,Melchizedek,https://www.wikidata.org/wiki/Q219395
זרש,זרש,Q939384,Zeresh,https://www.wikidata.org/wiki/Q939384
נפתלי,,#N/A,#N/A,
חור,חור,Q492665,Hur,https://www.wikidata.org/wiki/Q492665
געל,געל בן עבד,Q10287821,Gaal,https://www.wikidata.org/wiki/Q10287821
שמואל הנביא,שמואל,Q6577515,Samuel,https://www.wikidata.org/wiki/Q6577515
אחיה השילוני,אחיה השילוני,Q2590260,Ahijah the Shilonite,https://www.wikidata.org/wiki/Q2590260
עשו,עשו,Q220822,Esau,https://www.wikidata.org/wiki/Q220822
נבל אביגיל,נבל הכרמלי,Q1709507,Nabal,https://www.wikidata.org/wiki/Q1709507
זלפה,זלפה,Q221826,Zilpah,https://www.wikidata.org/wiki/Q221826
נעמן,נַעֲמָן,Q126778,Naaman,https://www.wikidata.org/wiki/Q126778
אבימלך בן ירובעל,אבימלך בן גדעון,Q480279,Abimelech,https://www.wikidata.org/wiki/Q480279
נעמה,נעמה,Q1542154,Naamah,https://www.wikidata.org/wiki/Q1542154
חולדה נביאה,חולדה הנביאה,Q583207,Huldah,https://www.wikidata.org/wiki/Q583207
יהודה,יהודה,Q282220,Judah,https://www.wikidata.org/wiki/Q282220
ענר,,#N/A,#N/A,
נבח,,#N/A,#N/A,
נבט,נבט,Q26835883,Nebat,https://www.wikidata.org/wiki/Q26835883
קטורה,קטורה,Q908531,Keturah,https://www.wikidata.org/wiki/Q908531
אוריה החתי,אוריה החתי,Q71267,Uriah the Hittite,https://www.wikidata.org/wiki/Q71267
קין,קין,Q205365,Cain,https://www.wikidata.org/wiki/Q205365
תבני,תבני,Q887994,Tibni,https://www.wikidata.org/wiki/Q887994
מתושלח,מתושלח,Q156290,Methuselah,https://www.wikidata.org/wiki/Q156290
רבשקה,רבשקה,Q2920137,Rabshakeh,https://www.wikidata.org/wiki/Q2920137
רצפה בת איה,,#N/A,#N/A,
בתיה,,#N/A,#N/A,
עזרא,עזרא הסופר,Q191787,Ezra,https://www.wikidata.org/wiki/Q191787
יאשיה,,#N/A,#N/A,
פתואל,,#N/A,#N/A,
אסנת,אסנת,Q723681,Asenath,https://www.wikidata.org/wiki/Q723681
כושן רשעתים,,#N/A,#N/A,
אחימן,,#N/A,#N/A,
איוב,איוב,Q179962,Job,https://www.wikidata.org/wiki/Q179962
בועז,,#N/A,#N/A,
אכיש,אכיש,Q167185,Achish,https://www.wikidata.org/wiki/Q167185
ירבעם בן נבט,ירבעם בן נבט,Q313219,Jeroboam,https://www.wikidata.org/wiki/Q313219
זכריה בית שני,,#N/A,#N/A,
נחש העמוני,,#N/A,#N/A,
חפצי בה,,#N/A,#N/A,
פשחור,,#N/A,#N/A,
אברהם,אברהם,Q9181,Abraham,https://www.wikidata.org/wiki/Q9181
זבולון,זבולון,Q614575,Zebulun,https://www.wikidata.org/wiki/Q614575
עכסה,עכסה,Q2829011,Achsah,https://www.wikidata.org/wiki/Q2829011
עמרם,עמרם,Q477527,Amram,https://www.wikidata.org/wiki/Q477527
פרעה,,#N/A,#N/A,
עמרי,עמרי,Q313221,Omri,https://www.wikidata.org/wiki/Q313221
איזבל,איזבל,Q721295,Jezebel,https://www.wikidata.org/wiki/Q721295
מרדכי,מרדכי היהודי,Q1136380,Mordecai,https://www.wikidata.org/wiki/Q1136380
שלמה,שלמה,Q37085,Solomon,https://www.wikidata.org/wiki/Q37085
ברוך בן נריה,ברוך בן נריה,Q599907,Baruch ben Neriah,https://www.wikidata.org/wiki/Q599907
חירם,,#N/A,#N/A,
ארונה,,#N/A,#N/A,
רבקה,רבקה,Q40520,Rebecca,https://www.wikidata.org/wiki/Q40520
אמון,,#N/A,#N/A,
נחום,,#N/A,#N/A,
איתיאל,,#N/A,#N/A,
יוסף,,#N/A,#N/A,
דבורה מינקת רבקה,,#N/A,#N/A,
לאה,לאה,Q128847,Leah,https://www.wikidata.org/wiki/Q128847
סיסרא,סיסרא,Q976765,Sisera,https://www.wikidata.org/wiki/Q976765
בת שבע,בת שבע,Q272277,Bathsheba,https://www.wikidata.org/wiki/Q272277
שמעיה,,#N/A,#N/A,
יואש מלך יהודה,יואש,Q313229,Jehoash of Judah,https://www.wikidata.org/wiki/Q313229
רחבעם,רחבעם,Q211663,Rehoboam,https://www.wikidata.org/wiki/Q211663
נחור,נחור אחי אברהם,Q6323112,Nahor,https://www.wikidata.org/wiki/Q6323112
אלעזר,אלעזר הכהן,Q159443,Eleazar,https://www.wikidata.org/wiki/Q159443
קהת,קהת,Q2914557,Kohath,https://www.wikidata.org/wiki/Q2914557
שלתיאל,,#N/A,#N/A,
יששכר,יששכר,Q651256,Issachar,https://www.wikidata.org/wiki/Q651256
פיכול,,#N/A,#N/A,
יונה הנביא,,#N/A,#N/A,
בלשאצר,בלשאצר,Q225198,Belshazzar,https://www.wikidata.org/wiki/Q225198
איתמר,איתמר הכהן,Q1675214,Ithamar,https://www.wikidata.org/wiki/Q1675214
מרודך בלאדן,,#N/A,#N/A,
דריוש,,#N/A,#N/A,
עובדיה,עובדיה,Q479645,Obadiah,https://www.wikidata.org/wiki/Q479645
עוזיאל,,#N/A,#N/A,
מנשה,,#N/A,#N/A,
אלימלך,אלימלך,Q363660,Elimelek,https://www.wikidata.org/wiki/Q363660
פלטי בן ליש,,#N/A,#N/A,
גדליה,גדליהו בן אחיקם,Q1497453,Gedaliah,https://www.wikidata.org/wiki/Q1497453
צפורה,צפורה,Q205523,Zipporah,https://www.wikidata.org/wiki/Q205523
בלהה,בלהה,Q794991,Bilhah,https://www.wikidata.org/wiki/Q794991
שמעי,,#N/A,#N/A,
שבואל,,#N/A,#N/A,
יואש מלך ישראל,,#N/A,#N/A,
אוריה,,#N/A,#N/A,
מפיבושת,מפיבושת,Q851686,Mephibosheth,https://www.wikidata.org/wiki/Q851686
שגוב,,#N/A,#N/A,
ישי,ישי,Q45090,Jesse,https://www.wikidata.org/wiki/Q45090
צדקיה בן כנענה,,#N/A,#N/A,
אמציה,אמציה,Q313237,Amaziah of Judah,https://www.wikidata.org/wiki/Q313237
יותם,יותם,Q109920,Jotham of Judah,https://www.wikidata.org/wiki/Q109920
תרח,תרח,Q586541,Terah,https://www.wikidata.org/wiki/Q586541
יהונדב בן רכב,,#N/A,#N/A,
צור חירם,,#N/A,#N/A,
יתרו,יתרו,Q62788,Jethro,https://www.wikidata.org/wiki/Q62788
אבצן,אבצן,Q645796,Ibzan,https://www.wikidata.org/wiki/Q645796
קנז,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
,,#N/A,#N/A,
