Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
אדם הראשון חטא ועונש,Adam sin and punishment,theological process,historical event,חטא אדם הראשון ועונשו,Adam's Sin and His Punishment,,,,,,,
אדם הראשון כתנות עור,skin clothing of Adam,inanimate object,,כתנות עור,Skin Clothing [of Adam],,,,,,,
אדם הראשון קודם ואחר החטא,Adam before and after the sin,theology,quality,אדם הראשון קודם החטא ואחריו,Adam Before and After the Sin,,,,,,,
אדם הראשון קריאת שמות,Adam naming,biblical historical event,,קריאת שמות בידי אדם הראשון,Adam's Naming (of the Animals),,,,,,,
אדם הראשון,,biblical person,,אדם הראשון,Adam,,YES,,,,,
אדם טבע ומדות,character traits of man,quality,philosophy,טבע האדם ומדותיו,The Nature of Man and his Character Traits,,,,,,,
אדם מדות,character traits of man,disposition,,מדות האדם,Man's Character Traits ,,,,,,,
אדם,man,material quality,,אדם,Man,,,,,,,
אדמה חטא וקללה,"""sin"" and curse of earth for man",theology,,חטא האדמה וקללתה,The Ground's Sin and its Curse,,,,,,,
אדמה,earth,inanimate object,,אדמה,The Ground,,,,,,,
אדר,month of Adar,month,,אדר,The Month of Adar,,,,,,,
אדרינוס,,person,,אדרינוס,Hadrian,Adryanos,,,,,,
אהבה,love,emotion,,אהבה,Love,,,,,,,
אהה,exclamation of distress,word,,אהה,Exclamation of Distress,,,,,,,
אהוד,,biblical person,,אהוד,,Ehud,YES,,,,,
אהליאב,,biblical person,,אהליאב,,Oholiab,,,,,,
אהרן ובניו,Aharon and his children,group of people,,אהרן ובניו,Aaron and his Sons,,YES,,,,,
אהרן ומשה,,specific biblical person relationship,,אהרן ומשה,Aaron and Moses,,,,,,,
אהרן חטא,sin of Aharon and reason,biblical historical event,,חטא אהרן,Aaron's Sin,,,,,,,
אהרן מטה,staff of Aharon,inanimate object,historical event,מטה אהרן,Aaron's Staff,,,,,,,
אהרן מיתה,death of Aharon,biblical historical event,,מיתת אהרן,Aaron's Death,,,,,,,
אהרן,,biblical person,,אהרן,Aaron,,YES,,,,,
או,or,word,,או,Or,,,,,,,
אוב,type of vessel,inanimate object,,אוב,A Sorcerer's Tool,Ov,,,,,,
אובל,river,spiritual site,,אובל,A River,,,Rashi,Daniel 8:2,,,
