Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
אבל,"""truly""",word,,,,,,
אבלות,mourning,halachic process,,,,,,
אבן אקדח,precious shiny stones,inanimate object,,,,,,
אבן בוחן,strong fortress,structure,,"רש""י",,,,
אבן זוחלת,boulder,inanimate object,,"רש""י",,,,
אבן עזרא,,rishon person,,,,,,
אבן שתיה,"""The Foundation Stone""",geographic site,,,,,,"the focal point of the Beis HaMikdash, midrashically the origin point of the world "
אבן,stone,inanimate object,,,,,,
אבנים,birthing stone,inanimate object,,,,,,
אבנר,,biblical person,,,,,,
אבצן,,biblical person,,,,,,talmud bavli says he is Boaz
אבר מן החי,eating the limb of a live animal,halachic process,,,,,,
אבר,limb,body part,,,,,,
אברבנאל,,rishon person,,,,,,
אברה,limb,body part,,,,,,
אברהם אלקי,God of Avraham,specific biblical person relationship,theology,,,,אברהם,
אברהם אמונה,faith of Avraham,character trait,,,,,אברהם,
אברהם באור כשדים ויציאתו משם,Avraham and Ur Kasdim,biblical historical event,,,,,אברהם,
אברהם במצרים,Avraham and Egypt,biblical historical event,,,,,אברהם,
אברהם בניו,children of Avraham,group of people,,,,,אברהם,
אברהם ברית,covenant of Avraham,covenant,historical event,,covenant,,אברהם,
אברהם ברכה והבטחה,blessing and promise,theological process,,,covenant,,אברהם,
אברהם ואבימלך,relationship of Avimelech and Avraham,specific biblical person relationship,,,,,אברהם,
אברהם ובני חת,Avraham and Hitites,specific biblical person relationship,,,,,אברהם,
אברהם והגר,Avraham and Hagar,specific biblical person relationship,,,,,אברהם,
אברהם והמלאכים,Avraham and the angels,specific biblical person relationship,historical event,,,,אברהם,
אברהם והמלכים,Avraham and the kings,specific biblical person relationship,historical event,,,,אברהם,
אברהם ויצחק,Avraham and Yitzchak,specific biblical person relationship,,,,,אברהם,
אברהם וישמעאל,Avraham and Yishmael,specific biblical person relationship,,,,,אברהם,
אברהם ולוט,Avraham and Lot,specific biblical person relationship,,,,,אברהם,
אברהם וסביבתו,Avraham and his context,specific biblical person relationship,,,,,אברהם,
אברהם וסדום,Avraham and Sedom,specific biblical person relationship,,,,,אברהם,
אברהם ושרה,Avraham and Sarah,specific biblical person relationship,,,,,אברהם,
אברהם זכות ואמונה,the merit of Avraham's faith,theology,,,,,אברהם,
אברהם נבואה,prophecy of Avraham,theological process,,,,,אברהם,
אברהם נסיון,Avraham tests,theological process,historical event,,,,אברהם,
אברהם רכוש,Avraham property,group of inanimate objects,,,,,אברהם,
אברהם תורה ומצוות,Avraham Torah and observance,theology,,,,,אברהם,
אברהם תפלה,Avraham prayer,theological process,,,,,אברהם,
אברהם,,biblical person,,,,,אבות,
אברך,member of royalty,role of person,,תלמוד בבלי,,,,
אבשלום,,biblical person,,,,,דוד,
אגג,,biblical person,,,,,עמלק,
אגדה,"midrash, homily",source,,,,,,wasn't sure how to categorize this (literature? philosophy? theology?)
אגודה,bundle,quality,,,,,,
אגוז,nut,plant,food,,,,,
אגור,,biblical person,,"רש""י",,,שלמה,
אגם,body of still water,geographic feature,,"רש""י",,,,
אגמון,hook,inanimate object,,"רש""י",,,דג,
אגמי נפש,bodies of calm water,geographic feature,,"רש""י",,,,
אגן,type of vessel,inanimate object,,,,,,
אגף,power/resource,quality,,,,,,"alt.: environ, hard to categorize"
אגרוף,hard/strong object,inanimate object,,אבן עזרא,,,,based on targumim; Ramban says fist. i chose the broader definition
אגריפס,,talmudic person,,,,,מלך מלכות,
אדום צבע,red/orange,color,,,,,,
אדום,Edom,nation/ethnicity,biblical person,,,,,both a person and a people
אדון,master,role of person,,,,,,
אדוניה,,biblical person,,,,,דוד,
אדיר,great,quality,character trait,,,,,
אדם בריאה,creation of man,theological process,historical event,,,,אדם הראשון,
אדם וביתו,man and his family,relationship,,,,,,
אדם ובעלי חיים,relationship of man and animals,relationship,,,,,,
אדם וחברו,treatment of others,meta halacha,relationship,,,,,
אדם ומלאך,man and angel,relationship,,,,,,
אדם ומציאות,man and existence,relationship,theology,,,,,
אדם חייו,life of man,lifecycle process,,,,,,categorized as philosophy because it's so broad and pervasive
אדם ידיעה,knowledge of man,knowledge,,,,,,
אדם מעשה,action of man,process,,,,,,
אדם נשמה,soul of man,spiritual entity,,,,,,
אדם פרנסה,livelihood of man,process,,,,,,
אדם צלם אלקים,man representing the Divine,theology,quality,,,,אדם הראשון,
אדם שם,"meaning of ""Adam""",quality,,,,,אדם הראשון,
אדם תפקיד ושלמות,purpose of man,disposition,,,,,אדם הראשון,
אדם בחירה,free will of man,freedom,,,,,אדם הראשון,
אדם הראשון אחר החטא,Adam after the sin,theology,quality,,,,אדם הראשון,
אדם הראשון אכילה,food for Adam,theology,,,,,אדם הראשון,
אדם הראשון וחוה,,specific biblical person relationship,,,,,אדם הראשון,
אדם הראשון חטא ועונש,Adam sin and punishment,theological process,historical event,,,,אדם הראשון,
אדם הראשון כתנות עור,skin clothing of Adam,inanimate object,,,,,אדם הראשון,
אדם הראשון קודם ואחר החטא,Adam before and after the sin,theology,quality,,,,אדם הראשון,
אדם הראשון קריאת שמות,Adam naming,biblical historical event,,,,,אדם הראשון,
אדם הראשון,,biblical person,,,,,,
אדם טבע ומדות,character traits of man,quality,,,,,,
אדם מדות,character traits of man,disposition,,,,character trait,,
אדם,man,material quality,,,,,,
אדמה חטא וקללה,"""sin"" and curse of earth for man",theology,,,,,,
אדמה,earth,inanimate object,,,,,,
אדר,month of Adar,month,,,,,,
אדרינוס,,person,,,,,,
אהבה,love,emotion,,,,,,
אהה,exclamation of distress,word,,,,,,
אהוד,,biblical person,,,,,,
אהליאב,,biblical person,,,,,,
אהרן ובניו,Aharon and his children,group of people,,,,,אהרן,
אהרן ומשה,,specific biblical person relationship,,,,,אהרן,
אהרן חטא,sin of Aharon and reason,biblical historical event,,,,,אהרן,
אהרן מטה,staff of Aharon,inanimate object,historical event,,,,אהרן,
אהרן מיתה,death of Aharon,biblical historical event,,,,,אהרן,
אהרן,,biblical person,,,,,,
או,or,word,,,,,,
אוב,type of vessel,inanimate object,,,,,,
אובל,river,spiritual site,,"רש""י",,,,
אוד,fire-tongs,inanimate object,,,,,,
אודות,"""regarding""",preposition,,אבן עזרא,,,,
אוה,want,emotion,,,,,,
אוהל מועד,"""Tent of Meeting""",structure,,,,,,
אוהל,tent,structure,,,,,,
אוז,type of bird,bird,,,,,,
אוזן,ear,body part,,,,,,
אוח,type of bird,bird,,אבן עזרא,,,,
אוי,"""oy"", woe",word,,,,,,
אויב,enemy,role of person,,,,,,
אויל מרודך,,biblical person,,,,,,
אויל,fool,character trait,,,,,,
אויר,air/atmosphere,inanimate object,,,,,,
אוכל,food/eating,food,,,,,,
אולי,if only,word,,תרגום יונתן,,,,
אולם,hall,structure,,אבן עזרא,,,,"could mean ""however"" in its other form (see Rashbam there)"
אולת,foolishness,character trait,,,,,,
אומה,nation,group of people,,,,,,
אומות העולם ד מלכויות,the 4 oppressive kingdoms,group of people,theology,,,,,
אומות העולם וישראל,Israel and the nations,relationship,,,,,,
אומות העולם לעתיד לבא,fate of the nations,theology,,,,,,
אומות העולם מלך צפון ומלך נגב,the northern and southern kings in Daniel,theology,,,,,,
אומות העולם נבואה,prophecy among the nations,theological process,,,,,נבואה,
אומות העולם תורה,Torah not given to the nations,theology,,,,,,
אומות העולם,non-Jewish nations of the world,group of people,,,,,,
אומלל,weak/defeated,quality,,,,,,
אומן,craftsman,occupation,,,,,,
אומנות,craft,process,,,,,,
אומנם,in truth,word,,,,,,
אומץ,bravery,character trait,,,,,,
און כח,strength,quality,,,,,,
און בן פלת,,biblical person,,,,,,
און,evil/falsehood,character trait,,,,,,
אונאה מסחר,monetary interest,halachic process,,,,,,
אונאה,abuse/oppression,halachic process,,,,,,
אונן אבלות,mourner,halachic role of person,family role,,,,,
אונן,,biblical person,,,,,יהודה בניו,
אונס,coercion,meta halacha,,,,,,
אונקלוס,,mishnaic person,,,,,,
אופז,jewelry,inanimate object,,,,,,
אופי,character,character trait,,,,,אדם טבע ומדות,
אופל,obscurity,quality,,,,,,
אופנים,type of angel,spiritual entity,,,,,,
אוץ,to push/pressure,process,,,,,,
אוצר,store/treasury,group of inanimate objects,,,,,,
אוקינוס,ocean/sea,geographic feature,,,,,,
אור הראשון,primordial light,spiritual entity,,,,,,
אור ישראל,light protecting Israel,quality,,,,,,
אור כשדים,,geographic site,,,,,,
אור פנים,light of the face,spiritual entity,,,,,,
אור,light,inanimate object,,,,,,
אורות,vegetation,plant,,,,,,
אורז,rice/millet,food,plant,,,,,
אורח דרך,path,structure,,,,,,
אורח,guest,role of person,,,,,,
אוריה החתי,,biblical person,,,,,,
אוריה,,biblical person,,,,,,
אורים ותומים,,inanimate object,,,,,,
אושר,personal acheivement,character trait,,"מלבי""ם",,,,
אות אותיות,letter,letter,,,,letter,,
אות מופת,sign/proof,quality,,,,,,
אותה,her,word,,,,,,unsure; haksav v'hakabbalah is the only refrence and has a unique interpretation of what should be a grammatical entity
אותו האיש,"""that person""",mishnaic person,,,,,,"assumed referring to the historical ""Yeshu HaNotzri"""
אותו ואת בנו,prohibition of slaughtering,halachic process,,,,,,
אותו,him,word,,,,,,
אז,then (past or future),word,,,,,,
אזהרה,warning,quality,,,,,,
אזוב,an herb with buds,plant,,"רש""י",,,,
אזן,weapon,role,,,,,,
אזרח,an integrated member,role of person,,,,,,
אח אחות,brother/sister,family role,,,,,,
אח,exclamation of distress,word,,"רש""י/רד""ק",,,,
אחאב,,biblical person,,,,,,
אחד,one,quality,,,,,,broader than a number
אחדות,oneness,quality,,,,,,
אחדים,few,quality,,תרגום אונקלוס,,,,
אחו,marsh,geographic feature,,אבן עזרא,,,,
אחוזה,holding (property),quality,,,,,,
אחוזת,group,group of people,,"תרגום אונקלוס/רש""י",,,,
אחז,,biblical person,,,,,,
אחזיה,,biblical person,,,,,,
אחיה השילוני,,biblical person,,,,,,
אחיזת עינים,illusion,halachic process,,,,,,
אחימלך,,biblical person,,,,,,
אחימן,,biblical person,,,,,,
אחימעץ,,biblical person,,,,,,
אחיתופל,,biblical person,,,,,,
אחר אלישע בן אבויה,,mishnaic person,,,,,,
אחר בשש,late,quality,,,,,,
אחר סמוך,soon after,preposition,,"רש""י",,,,
אחר כן,after that,preposition,,,,,,
אחר,,mishnaic person,,,,,אחר אלישע בן אבויה,
אחרון,last,quality,,,,,,
אחרי,long after,preposition,,"רש""י",,,,
אחרית הימים,the days of mashiach,theological tenet,span of time,"רמב""ן",,,,
אחרית,ultimate end,quality,,,,,,
אחשורוש ואסתר,,specific biblical person relationship,,,,,,
אחשורוש והמן,,specific biblical person relationship,,,,,,
אחשורוש וושתי,,specific biblical person relationship,,,,,,
אחשורוש משתה,,biblical historical event,,,,,,
אחשורוש,,biblical person,,,,,,
אחשתרנים,fast camels,mammal,,"רש""י",,,,
אטליה,"""Italia""",geographic site,,,,,,ancient capitol in Greek and then Roman empires
אי איפה,not/where,word,,"רד""ק",,,,
אי שבים,peninsula,geographic feature,,,,,,
אי מזה,"""from where [comes]""",phrase,,,,,,
אי,cat?,mammal,,,,,,
איבה,hatred,emotion,,,,,,
איוב וחבריו,Iyov and friends,group of people,,,,,,
איוב,,biblical person,,,,,,
איזבל,,biblical person,,,,,,
אייר,month of Iyar,month,,,,,,
איכה,,biblical source,,,,,,
איל אילה,ram/ewe,mammal,,,,,,
איל כח,strength,quality,,,,,,
איל מישר,plain,geographic feature,,תרגום,,,,
איל,ram,mammal,,,,,,not sure why there are two entries
אילה,ewe,mammal,,,,,,
אילן,tree,plant,,,,,,
אילת השחר,type of instrument,inanimate object,,"רש""י",,,,
אימא שלום,,mishnaic person,,,,,,
אימה,fear,emotion,,,,,,
אימים,type of giants,group of people,,,,,,
אין,not/nothing,quality,,,,,,
איפה איה,where,word,,,,,,
איפה שיעור,type of measure,material quality,,,,,,unit
איפוא,if so,word,,ספורנו,,,,Rashi notes that the word is sometimes an extra participle and has multiple meanings
איפרא הורמיז,,talmudic person,,,,,שבור מלכא,
אירוסין,engagement,relationship,,,,,,
איש ואשה,man and woman,relationship,,,,,,
איש בושת,,biblical person,,,,,,
איש האדמה,"""man of the earth""",phrase,character trait,,,,,
איש האלקים,a holy man/a prophet,phrase,character trait,תרגום אונקלוס,,,,
איש חיל,professional/wealthy person,quality,,"רש""י",,,,"in the sense of ""power"""
איש,important person,quality,,"רש""י",,,,
אישון,pupil (of the eye),body part,,"רש""י",,,,
אישים,important people,role of person,,,,,,
איתיאל,,biblical person,,,,,,
איתם מדבר,,geographic site,,,,,,
איתם תמים,"""I will be complete"" ",character trait,,,,,,
איתמר,,biblical person,,,,,,
איתן,hard/strong,quality,,,,,,"multiple meanings: sometimes refers to a person, sometimes means ""strong"" or ""hard"""
אך,but,preposition,,,,,,
אכזריות,cruelty,character trait,,,,,,
אכילה,eating,process,,,,,,
אכיש,,biblical person,,,,,,
אכן,in truth/however/if so,word,,,,,,
אכסניא,host,role of person,,,,,,
אכף,burden,quality,,תרגום יונתן,,,,
אל לא,do not,word,,,,,,
אל מלאכים,spiritual force/angel,spiritual entity,divine role,,,,,
אל עם,to/with/about,preposition,,,,,,
אלגביש,type of stone,inanimate object,,,,,,
אלדד ומידד,,biblical person,,,,,,
אלה שבועה,cursing swear,phrase,,תרגום יונתן,,,,
אלה,these,word,,,,,,
אלו,if,word,,,,,,
אלול,month of Elul,month,,,,,,
אלון,plain,geographic feature,,תרגום אונקלוס,,,,
אלוני,plains,geographic feature,,תרגום אונקלוס,,,,
אלוף,authority/chief,occupation,,,,,,
אליאב,,biblical person,,,,,,
אליה,tail?,body part,,,,,,
אליהו,,biblical person,,,,,,
אליהוא,,biblical person,,,,,,
אליו,to him,preposition,,,,,,
אליל,idol,inanimate object,,,,,,
אלים מדבר,,geographic site,,,,,,
אלים שמות קדש,powers/angels,spiritual entity,,,,,,
אלימלך,,biblical person,,,,,,
אליעזר,,biblical person,,,,,,
אליפז,,biblical person,,,,,,
אליקים,,biblical person,,,,,,
אלישבע,,biblical person,,,,,,
אלישמע בן פיכאי,,biblical person,,,,,,midrashic person?
אלישע בן אבויה,,mishnaic person,,,,,,
אלישע בעל כנפים,,talmudic person,,,,,,
אלישע,,biblical person,,,,,,
אלכימיה,alchemy,science,,,,,,
אלכסנדר,,mishnaic person,,,,,,
אלכסנדריא,,geographic site,,,,,,
אלם,mute,quality,,,,,,
אלמוג,coral,plant,,,,,,
אלמוני,anonymous person,role of person,,,,,,
אלמן אלמנה,widow,family role,,,,,,
אלעזר,,biblical person,,,,,,
אלף אות,letter Alef,letter,,,,,,
אלף מספר,thousand,number,,,,,,
אלפי,elite,quality,,,,,,
אלקים אבות,God of the avos,relationship,,,,,,
אלקים אדם,HaShem and man,relationship,,,,,,
אלקים אמירה,"HaShem ""speaking""",theological process,,,,,,
אלקים אמת,True/absolute God,theological tenet,,,,,,
אלקים ארך אפים,HaShem who is patient,divine role,,,,,,
אלקים גדולה,greatness/uniqueness of HaShem,divine role,,,,,,
אלקים דבור ואמירה," HaShem ""speaking""",divine role,,,,,,
אלקים דין,judgement of HaShem,divine role,,,,,,
אלקים הגשמה,lack of physicality/definition of HaShem,theological tenet,,,,,,
אלקים השגחה,providence of HaShem,theological process,,,,,,
אלקים ואומות העולם,relationship of HaShem and other nations,relationship,theology,,,,,
אלקים והעדר,negative theology?,theology,,,,,,
אלקים וישראל,HaShem and Israel,relationship,theology,,,,,
אלקים ומציאות,HaShem and existence,theological tenet,,,,,,
אלקים ונקה,HaShem who cleanses the sins of those who repent,divine role,,,,,,
אלקים ורע,HaShem and evil,theological tenet,,,,,,
אלקים זכרון,"""memory"" of HaShem",divine role,,,,,,
אלקים זמן ומקום,HaShem and spacetime,theological tenet,,,,,,
אלקים חנון חסד,HaShem who is gracious,divine role,,,,,,
אלקים חרון אף,HaShem and anger,divine role,,,,,,
אלקים יד,"""hand"" of HaShem",divine role,,,,,,
אלקים ידיעה,"""knowledge"" of HaShem",theological tenet,,,,,,
אלקים יחוד,Oneness of HaShem,theological tenet,,,,,,
אלקים יכולת,omniscience of HaShem,theological tenet,,,,,,
אלקים ירד ישב עמד קום,"""actions"" of HaShem [effecting something]",divine role,,,,,,
אלקים כבוד מלכות כסא,throne/honor/monarchy of HaShem,divine role,,,,,,
אלקים מדות יג מדות חסד חנון,"the 13 ""midos haRachamim""",divine role,,,,,,
אלקים מדות מדת הדין מדת הרחמים,judgement and mercy of HaShem,divine role,,,,,,
אלקים מלחמה,HaShem and war,divine role,,,,,,
אלקים מלכות,HaShem monarchy,divine role,,,,,,
אלקים מעשה,"creation/""actions"" of HaShem",theological process,,,,,,
אלקים מציאותו,reality of HaShem,theological tenet,,,,,,
אלקים מקום,HaShem and space,theological tenet,,,,,,
אלקים נורא,awesomeness of HaShem,divine role,,,,,,
אלקים נושא עון,HaShem who bears iniquity,divine role,,,,,,
אלקים נשמת רוח,"""expression"" of HaShem (prophecy/word/""breath""/will)",divine role,,,,,,
אלקים סליחה,HaShem and forgiving,theological process,,,,,,
אלקים ספר,"""book"" of HaShem",divine role,,,,,,
אלקים פוקד עון אבות,HaShem punishing for ancestors' sins,theological process,,,,,,
אלקים פנים אחור,"""forward"" and ""back"" of HaShem's revelation",divine role,,,,,,
אלקים צבא,HaShem's legions,divine role,,,,,,
אלקים קנא,"HaShem's ""zeal""",divine role,,,,,,
אלקים ראיה עיני,"""gaze"" of HaShem",divine role,,,,,,
אלקים רוח,"""expression"" of HaShem (prophecy/word/""breath""/will)",theological tenet,,,,,,
אלקים רצון,"""will"" of HaShem/HaShem ""changing His mind""",theological tenet,,,,,,
אלקים שבח,praise of HaShem,theological process,,,,,,
אלקים שינוי,"HaShem ""changing His mind""",theological tenet,,,,,,
אלקים שלמותו,"""completeness""/perfection of HaShem",theological tenet,,,,,,
אלקים שם,"the name ""Elokim""",divine role,,,,,,
אלקים שמחה,"""joy"" of HaShem",divine role,,,,,,
אלקים תאר,descriptors and HaShem,divine role,,,,,,
אלקים תהלה,praise of HaShem,theological process,,,,,,
אלקים תורה,HaShem and the Torah,theological tenet,,,,,,
אלקים,"HaShem; in a generic sense, ""powers""",divine role,,,,,,
אלקנה,,biblical person,,,,,,
אם אולי,if/when,word,,,,,,
אם הורים,mother,family role,,,,,,
אם ירצה ה,"""God willing""",phrase,,,,,,
אמה שעור,cubit,material quality,,,,,,unit
אמה שפחה,female servant,role of person,,,,,,
אמהות,foremothers,group of people,,,,,,
אמון נא,Alexandria,geographic site,,תרגום יונתן,,,,
אמון,,biblical person,,,,,,
אמונה,faith/belief,character trait,quality,,,,,
אמוץ,ashen,color,,תרגום יונתן,,,,
אמורי,,nation/ethnicity,,,,,,demonym
אמות,doorposts,structure,,"רש""י",,,,
אמילם,"""I will cut them down""",phrase,process,,,,,
אמיר,best/top branch,plant,fiat object part,אבן עזרא,,,,
אמן,true/faithful,quality,phrase,,,,,
אמנה,true/faithful,quality,,,,,,
אמנון,,biblical person,,,,,,
אמנות,art?,artistic process,,,,,,
אמנם,true/faithful,quality,,,,,,
אמץ,to stay strong,process,,"מלבי""ם",,,,
אמציה,,biblical person,,,,,,
אמצע,middle,quality,,,,,,
אמר,say,process,,,,,,
אמרפל,,biblical person,,,,,,
אמת,truth,quality,,,,,,
אמתחת,load/sack,inanimate object,,,,,,
אמתלאה,,biblical person,,,,,,mother of Avraham apparently
אנא,"""please""",phrase,,,,,,
אנדרינוס,,mishnaic person,,,,,,
אנה זימן,to cause,process,,,,,,
אנה,where,word,,הכתב והקבלה,,,,sometimes interchangeable with אנא
אנוכיות,I-ness,quality,,,,,,unclear what this enormous block quote is from
אנוסים,those who are coerced,role of person,,,,,,
אני ה,"""I am HaShem""",phrase,,,,,,
אניה,boat/ship,inanimate object,,,,,,
אנך,plumb-line,inanimate object,,,,,,
אנכי,"""I""",word,,,,,,
אנף,display anger,process,,,,,,
אנש,sick/hurt,quality,,,,,,
אנשי כנסת הגדולה,,group of people,mishnaic person,,,,,unsure about the historiography here
אסא,,biblical person,,,,,,
אסון,death,lifecycle process,,,,,,
אסטרונומיה,astronomy,science,,,,,,
אסמכתא,textual support/hint,meta halacha,,,,,,
אסנת,,biblical person,,,,,,
אסף קבץ,collect,process,,,,,,
אסף תהלים,,biblical person,,,,,,
אספסוף,mixed multitude,group of people,,תרגום אונקלוס,,,,
אספסינוס,,mishnaic person,,,,,,
אספקלריא,glass/mirror,inanimate object,,,,,נבואה,
אסתר,,biblical person,,,,,,
אף אפים,type of anger,emotion,,,,,,
אף גם,even/also,word,,,,,,
אף חוטם,nose,body part,,,,,,
אף ברי,angel of clouds,spiritual entity,,"רש""י",,,,
אפוד,type of royal garment,inanimate object,,,,,,
אפודה,beauty/adornment,object,,,,,,
אפיה,baking,process,,,,,,
אפים,face,body part,,,,,,entry mentions various uses (e.g. the best portion; anger)
אפיק,place/source of rushing water,geographic feature,,"רש""י",,,,
אפיקורוס,type of heretic,role of person,,,,,,
אפלה,intense darkness,quality,,"מלבי""ם",,,,
אפס,only/not,word,,,,,,
אפסי ארץ,outer edges of the earth,geographic feature,,,,,,
אפעה,violent snake,reptile,,,,,,
אפף,surround,process,,"מלבי""ם",,,,
אפקה,,geographic site,,,,,,
אפר,ashes,inanimate object,,,,,,
אפרים,,biblical person,nation/ethnicity,,,,,
אפריקי,,geographic site,,,,,,
אפרת,somewhere/someone important,quality,,"רש""י",,,,"sometimes refers to Miriam, other times might be a derivative of Ephraim or a particular place/person"
אפשר,possible,quality,,,,,,used here philosophically
אצבע,biological digit ,body part,,,,,,
אצטגנינות,astrology,science,,,,,,
אצל אצילות,adjacent/to confer upon,process,quality,,,,,
אקלים,climate? aristotelian quality,material quality,,,,,,
אראלם,their messengers,role of person,,תרגום יונתן,,,,also type of angel
ארבה,type of locust,arthropod,,,,,,
ארבע כוסות,the 4 cups,halachic role of inanimate object,,,,,,
ארבע לשונות של גאולה,4 terms of salvation,theology,,,,,,
ארבע מלכויות,the 4 kingdoms,group of people,theology,,,,,
ארבע פרשיות,the 4 special parshiyos around Purim/Pesach,biblical source,,,,,,
ארבע,,biblical person,,,,,,
ארבעה בנים,the 4 sons,philosophy,,,,,,"really ""archetypes"", but quality seems better than person or people"
ארבעה חרשים,the 4 carpenters,group of people,theology,,,,,prophetic reference 
ארבעה יסודות,the 4 elements,object,,,,,,
ארבעה מינים,4 species,group of plants,,,,,,
ארבעה נהרות,4 rivers,geographic site,,,,,,
ארגוב,,geographic site,,תרגום אונקלוס,,,,
ארגמן,reddish wool or silk,color,,אבן עזרא,,,,
ארה,pluck,process,,,,,,
ארון,the ark,inanimate object,,,,,,
ארונה,,biblical person,,,,,,
ארוסין,engagement,relationship,,,,,,
ארז,type of large tree,plant,,,,,,not limited to cedar (cf. the 10 types of arazim!)
אריאל,something extremely powerful/central,inanimate object,,תרגום יונתן,,,,especially pertaining to the Beis HaMikdash etc.
אריה,lion,mammal,,,,,,
אריסטו,Aristotle,person,,,,,,
ארם,,nation/ethnicity,,,,,,
ארמילוס,,person,,תרגום יונתן,,,,the evil enemy of Mashiach ben Yosef
ארנבת,type of non-kosher mammal,mammal,,,,,,
ארנון,,geographic site,,,,,,
ארץ החיים,refrence to Beis HaMikdash,geographic site,,"רש""י",,,,
ארץ ישראל גבול,borders of Israel,continuant fiat boundary,,,,,ארץ ישראל,
ארץ ישראל הבטחה זכות,promise of/meriting Israel,theology,,,,,ארץ ישראל,
ארץ ישראל השגחה,special providence of Israel,theology,,,,,ארץ ישראל,
ארץ ישראל חורבן,destruction of Israel,biblical historical event,,,,,ארץ ישראל,
ארץ ישראל ירושה,inheritance of Israel,theological process,,,,,ארץ ישראל,
ארץ ישראל ישוב,settling of Israel,process,,,,,ארץ ישראל,
ארץ ישראל כבוש וחלוקה,conquest of Israel,biblical historical event,,,,,ארץ ישראל,
ארץ ישראל קדושה ברכה השגחה מעלה,uniqueness/holiness of Israel,theology,,,,,ארץ ישראל,
ארץ ישראל,land of Israel,geographic site,,,,,,
ארץ נוד,land of wandering,geographic site,,,,,,
ארץ עוץ,,geographic site,,,,,,
ארץ,land/earth,geographic feature,,,,,,
ארקא,land/earth,geographic feature,,,,,,
ארר,type of curse,phrase,,,,,,
אררט,,geographic site,,,,,,
ארשת,expression,process,,,,,,
אש,fire,inanimate object,,,,,,
אשד,cascade,geographic feature,,,,,,
אשה קרבן,burned korban ,halachic role of inanimate object,,,,,,
אשה,woman,quality,,,,,,
אשור,,nation/ethnicity,,,,,,
אשישה,portion of food,inanimate object,,תרגום יונתן,,,,
אשישי,people,group of people,,תרגום יונתן,,,,"alternatively, walls or wine"
אשכל,cluster of grapes,group of plants,,,,,,also refers to a biblical person and an accolade of completeness
אשכנז,,nation/ethnicity,,,,,,
אשל,tree/planting,plant,,תרגום אונקלוס,,,,alt. an inn
אשם,guilty/annihilated,quality,,,,,,
אשמדאי,king of the sheidim,spiritual entity,,,,,,"unclear what sheidim are so ""spiritual"" is at least immaterial"
אשמורה,watch/shift,span of time,,,,,,
אשמנים,graves,inanimate object,,תרגום יונתן,,,,"alt., oils, darkness, or desolate"
אשנב,window,structure,,,,,,
אשף,type of astrology/sorcery,theurgy,,,,,,
אשקלון,,geographic site,,,,,,
אשר אם,when/if/that/for,word,,,,,,
אשר בן יעקב,,biblical person,,,,,,
אשר,step,process,,,,,,
אשרה,Ashera tree,halachic role of inanimate object,,,,,,
אשרי,fulfilled/happy/good,quality,,,,,,
אשת,wife of,family role,,,,,,
