Book,Chapter,Topic Level 1,Topic Level 2,Topic Level 3,Topic Level 4,Leaf Topic He,Leaf Topic En,Is Aspaklaria Topic,Notes
Ahava,Blessings 9,Worship law,Prayer law,Blessing law,,ברכות ההנאה,"Blessings on Pleasures, Sights and Sounds",,
Ahava,Blessings 10,Worship law,Prayer law,Blessing law,,ברכות ההודאה,Blessing of Thanksgiving ,,
Ahava,Blessings 11,Worship law,Prayer law,Blessing law,,ברכות המצוות,Blessing of of Commandments,,
Ahava,Circumcision 1,Family law,-,,,ברית מילה,Circumcision Laws,,
Ahava,Circumcision 2,Family law,-,,,ברית מילה,Circumcision Laws,,
Ahava,Circumcision 3,Family law,-,,,ברית מילה,Circumcision Laws,,
Ahava,The Order of Prayer 1,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Ahava,The Order of Prayer 2,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Ahava,The Order of Prayer 3,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Ahava,The Order of Prayer 4,Worship law,Prayer law,,,סדר התפילה ,Order of Prayers,,
Zemanim,Sabbath 1,Calendar law,Shabbat law,,,כללי איסורי מלאכה בשבת,General Laws of Work on Shabbat,,
Zemanim,Sabbath 2,Calendar law,Shabbat law,,,חילול שבת לצורך הצלת נפשות,Desecrating Shabbat for the Sake of Saving Lives,,
Zemanim,Sabbath 3,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinical Laws of Shabbat,,
Zemanim,Sabbath 4,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinical Laws of Shabbat,,
Zemanim,Sabbath 5,Calendar law,Shabbat law,,,נר שבת,Shabbat Lights,,
Zemanim,Sabbath 6,Calendar law,Shabbat law,,,מלאכה שנעשית בשבת,Work Done on Shabbat,,
Zemanim,Sabbath 7,Calendar law,Shabbat law,,39 Melachot Law,אבות מלאכות ותולדותיהן,Main and Sub Categories of Work on Shabbat,,
Zemanim,Sabbath 8:1,Calendar law,Shabbat law,,39 Melachot Law,דיני חורש בשבת,Laws of Plowing on Shabbat,,
Zemanim,Sabbath 8:2,Calendar law,Shabbat law,,39 Melachot Law,דיני זורע בשבת,Laws of Planting on Shabbat,,
Zemanim,Sabbath 8:3-5,Calendar law,Shabbat law,,39 Melachot Law,דיני קוצר בשבת,Laws of Reaping on Shabbat,,
Zemanim,Sabbath 8:5-6,Calendar law,Shabbat law,,39 Melachot Law,דיני מעמר בשבת,Laws of Gathering on Shabbat,,
Zemanim,Sabbath 8:7-10,Calendar law,Shabbat law,,39 Melachot Law,דיני דש בשבת,Laws of Threshing on Shabbat,,
Zemanim,Sabbath 8:11-14,Calendar law,Shabbat law,,39 Melachot Law,דיני זורה בשבת,Laws of Winnowing on Shabbat,,
Zemanim,Sabbath 8:11-14,Calendar law,Shabbat law,,39 Melachot Law,דיני בורר בשבת,Laws of Sorting on Shabbat,,
Zemanim,Sabbath 8:15,Calendar law,Shabbat law,,39 Melachot Law,דיני טוחן בשבת,Laws of Grinding on Shabbat,,
Zemanim,Sabbath 8:16,Calendar law,Shabbat law,,39 Melachot Law,דיני מרקד בשבת,Laws of Sifting on Shabbat,,
Zemanim,Sabbath 8:16,Calendar law,Shabbat law,,39 Melachot Law,דיני לש בשבת,Laws of Kneading on Shabbat,,
Zemanim,Sabbath 9:1-6,Calendar law,Shabbat law,,39 Melachot Law,דיני מבשל בשבת,Laws of Cooking on Shabbat,,
Zemanim,Sabbath 9:7-9,Calendar law,Shabbat law,,39 Melachot Law,דיני גוזז בשבת,Laws of Shearing on Shabbat,,
Zemanim,Sabbath 9:10-11,Calendar law,Shabbat law,,39 Melachot Law,דיני מלבן בשבת,Laws of Laundering on Shabbat,,
Zemanim,Sabbath 9:12,Calendar law,Shabbat law,,39 Melachot Law,דיני מנפץ בשבת,Laws of Combing on Shabbat,,
Zemanim,Sabbath 9:13-14,Calendar law,Shabbat law,,39 Melachot Law,דיני צובע בשבת,Laws of Dyeing on Shabbat,,
Zemanim,Sabbath 9:15,Calendar law,Shabbat law,,39 Melachot Law,דיני טווה בשבת,Laws of Spinning Threads on Shabbat,,
Zemanim,Sabbath 9:16,Calendar law,Shabbat law,,39 Melachot Law,דיני עשיית בתי נירים בשבת,Laws of Making Two Loops on Shabbat,,
Zemanim,Sabbath 9:17-19,Calendar law,Shabbat law,,39 Melachot Law,דיני מסך בשתב,Laws of Warping on Shabbat,,
Zemanim,Sabbath 9:17-19,Calendar law,Shabbat law,,39 Melachot Law,דיני אורג בשבת,Laws of Weaving on Shabbat,,
Zemanim,Sabbath 9:20,Calendar law,Shabbat law,,39 Melachot Law,דיני בוצע בשבת,Laws of Splitting Threads on Shabbat,,
Zemanim,Sabbath 10:1-8,Calendar law,Shabbat law,,39 Melachot Law,דיני קושר בשבת,Laws of Tying on Shabbat,,
Zemanim,Sabbath 10:1-8,Calendar law,Shabbat law,,39 Melachot Law,דיני מתיר בשבת,Laws of Untying on Shabbat,,
Zemanim,Sabbath 10:9-11,Calendar law,Shabbat law,,39 Melachot Law,דיני תופר בשבת,Laws of Sewing on Shabbat,,
Zemanim,Sabbath 10:12-15,Calendar law,Shabbat law,,39 Melachot Law,דיני קורע בשבת,Laws of Tearing on Shabbat,,
Zemanim,Sabbath 10:16-18,Calendar law,Shabbat law,,39 Melachot Law,דיני בונה בשבת,Laws of Construction on Shabbat,,
Zemanim,Sabbath 10:19-25,Calendar law,Shabbat law,,39 Melachot Law,דיני סותר בשבת,Laws of Demolition on Shabbat,,
Zemanim,Sabbath 10,Calendar law,Shabbat law,,39 Melachot Law,דיני מכה בפטיש בשבת,Laws of Makeh BePatish on Shabbat,,
Zemanim,Sabbath 10,Calendar law,Shabbat law,,39 Melachot Law,דיני צד בשבת,Laws of Trapping on Shabbat,,
Zemanim,Sabbath 11:1-4,Calendar law,Shabbat law,,39 Melachot Law,דיני שוחט בשבת,Laws of Slaughter on Shabbat,,
Zemanim,Sabbath 11:5-6,Calendar law,Shabbat law,,39 Melachot Law,דיני מפשיט בשבת,Laws of Skinning on Shabbat,,
Zemanim,Sabbath 11:5-6,Calendar law,Shabbat law,,39 Melachot Law,דיני מעבד בשבת,Laws of Preservation on Shabbat,,
Zemanim,Sabbath 11:7-8,Calendar law,Shabbat law,,39 Melachot Law,דיני מחתך בשבת,Laws of Cutting on Shabbat,,
Zemanim,Sabbath 11:9-17,Calendar law,Shabbat law,,39 Melachot Law,דיני כותב בשבת,Laws of Writing on Shabbat,,
Zemanim,Sabbath 11:9-17,Calendar law,Shabbat law,,39 Melachot Law,דיני מוחק בשבת,Laws of Erasing on Shabbat,,
Zemanim,Sabbath 11:17,Calendar law,Shabbat law,,39 Melachot Law,דיני משרטט בשבת,Laws of Scoring on Shabbat,,
Zemanim,Sabbath 12:1-7,Calendar law,Shabbat law,,39 Melachot Law,דיני מבעיר בשבת,Laws of Ignition on Shabbat,,
Zemanim,Sabbath 12:1-7,Calendar law,Shabbat law,,39 Melachot Law,דיני מכבה בשבת,Laws of Extinguishing on Shabbat,,
Zemanim,Sabbath 12:8-19,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 13,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 14,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 15,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 16,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 17,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 18,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 19,Calendar law,Shabbat law,,39 Melachot Law,דיני הוצאה מרשות לרשות,Laws of Transferring Between Domains,,
Zemanim,Sabbath 20,Calendar law,Shabbat law,,,שביתת בהמה ועבד,Resting of Animals and Slaves,,
Zemanim,Sabbath 21,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinically Forbidden Activities,,
Zemanim,Sabbath 22,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinically Forbidden Activities,,
Zemanim,Sabbath 23,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinically Forbidden Activities,,
Zemanim,Sabbath 24,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinically Forbidden Activities,,
Zemanim,Sabbath 25,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinically Forbidden Activities,,
Zemanim,Sabbath 26,Calendar law,Shabbat law,,,איסורים מדברי חכמים,Rabbinically Forbidden Activities,,
Zemanim,Sabbath 27,Calendar law,Shabbat law,Eruv law,,תחום שבת,Shabbat Boundary,,
Zemanim,Sabbath 28,Calendar law,Shabbat law,Eruv law,,תחום שבת,Shabbat Boundary,,
Zemanim,Sabbath 29,Calendar law,Shabbat law,,,קידוש והבדלה,Sanctification and Separation (of Shabbat),,
Zemanim,Sabbath 30,Calendar law,Shabbat law,,,כבוד שבת ועונג שבת,Honoring and Enjoying Shabbat,,
Zemanim,Eruvin 1,Calendar law,Shabbat law,Eruv law,,עירובי חצרות ושיתופי מבואות,Merging of Shabbat Domains (Eruv Chatzerot),,
Zemanim,Eruvin 2,Calendar law,Shabbat law,Eruv law,,עירובי חצרות ושיתופי מבואות,Merging of Shabbat Domains (Eruv Chatzerot),,
Zemanim,Eruvin 3,Calendar law,Shabbat law,Eruv law,,עירובי חצרות ושיתופי מבואות,Merging of Shabbat Domains (Eruv Chatzerot),,
