Kessef Mishneh on Mishneh Torah, Appraisals and Devoted Property 6:28:1	בפרק אע״פ (דף נ״ט	בפרק אע״פ (כתובות דף נ״ט
Kessef Mishneh on Mishneh Torah, Diverse Species 4:9:2	בפ' ר״ע (דף פ״ה:	בפ' ר״ע (שבת דף פ״ה:
Kessef Mishneh on Mishneh Torah, Diverse Species 4:10:1	בפ' ר״ע (דף פ״ה	בפ' ר״ע (שבת דף פ״ה
Kessef Mishneh on Mishneh Torah, Diverse Species 4:11:3	בפרק ר״ע (דף פ״ה	בפרק ר״ע (שבת דף פ״ה
Kessef Mishneh on Mishneh Torah, Diverse Species 4:15:1	בפרק ר״ע (דף פ״ה	בפרק ר״ע (שבת דף פ״ה
Kessef Mishneh on Mishneh Torah, Heave Offerings 5:3:3	פרק האשה רבה (דף פ״ט:	פרק האשה רבה (יבמות דף פ״ט:
Kessef Mishneh on Mishneh Torah, Heave Offerings 7:14:1	בפרק הבע״י (דף נ״ו ע״ב	בפרק הבע״י (יבמות דף נ״ו ע״ב
Kessef Mishneh on Mishneh Torah, Heave Offerings 7:21:1	בפרק הבע״י (דף נ״ו:	בפרק הבע״י (יבמות דף נ״ו:
Kessef Mishneh on Mishneh Torah, Heave Offerings 7:23:3	בפ' הבע״י (דף ס״א	בפ' הבע״י (יבמות דף ס״א
Kessef Mishneh on Mishneh Torah, Heave Offerings 12:18:1	פרק עד כמה (דף כ״ו:	פרק עד כמה (בכורות דף כ״ו:
Kessef Mishneh on Mishneh Torah, Second Tithes and Fourth Year's Fruit 7:18:1	בס״פ התודה (דף פ״ב:	בס״פ התודה (מנחות דף פ״ב:
Kessef Mishneh on Mishneh Torah, Second Tithes and Fourth Year's Fruit 7:19:1	בס״פ התודה (דף פ״ב	בס״פ התודה (מנחות דף פ״ב
Kessef Mishneh on Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 1:1:2	בפרק הקומץ רבה (דף י״ח:	בפרק הקומץ רבה (מנחות דף י״ח:
Kessef Mishneh on Mishneh Torah, The Chosen Temple 1:18:2	בפרק כל הצלמים (דף מ״ג	בפרק כל הצלמים (עבודה זרה דף מ״ג
Kessef Mishneh on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 9:1:1	בפרק במה אשה יוצאה (דף סג:	בפרק במה אשה יוצאה (שבת דף סג:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 2:12:3	בפרק התודה (דף ע״ט	בפרק התודה (מנחות דף ע״ט
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 2:13:1	פרק התודה (דף פ״ב	פרק התודה (מנחות דף פ״ב
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 4:7:1	בס״פ התודה (דף פ״ב:	בס״פ התודה (מנחות דף פ״ב:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 5:20:2	פ' הגוזל (דף ק״י	פ' הגוזל (בבא קמא דף ק״י
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:7:2	בפ' התודה (דף ע״ז:	בפ' התודה (מנחות דף ע״ז:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:9:3	בפ' התודה (דף ע״ח	בפ' התודה (מנחות דף ע״ח
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:13:1	בפ' התודה (דף ע״ז:	בפ' התודה (מנחות דף ע״ז:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:17:1	בר״פ התודה (דף ע״ו	בר״פ התודה (מנחות דף ע״ו
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:18:3	בפרק התודה (דף ע״ז	בפרק התודה (מנחות דף ע״ז
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:21:2	בפ' התודה (דף ע״ז:	בפ' התודה (מנחות דף ע״ז:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:22:3	בפ' התודה (דף ע״ז:	בפ' התודה (מנחות דף ע״ז:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 9:23:1	בפרק התודה (דף ע״ח	בפרק התודה (מנחות דף ע״ח
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 11:7:1	פרק התערובת (דף פ״ב:	פרק התערובת (זבחים דף פ״ב:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 15:4:1	בפרק התערובת (דף ע״ג	בפרק התערובת (זבחים דף ע״ג
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 16:17:1	פרק התודה (דף פ״א:	פרק התודה (מנחות דף פ״א:
Kessef Mishneh on Mishneh Torah, Sacrificial Procedure 17:10:6	פרק התודה (דף פ״א:	פרק התודה (מנחות דף פ״א:
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 4:4:1	פ' התודה (דף פ':	פ' התודה (מנחות דף פ':
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 12:6:1	בפ' התודה (דף ע״ט	בפ' התודה (מנחות דף ע״ט
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 12:8:1	בפרק התודה (דף ע״ט:	בפרק התודה (מנחות דף ע״ט:
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 12:15:1	בפ' התודה (דף ע״ח:	בפ' התודה (מנחות דף ע״ח:
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 12:16:1	בפ' התודה (ע״ח:	בפ' התודה (מנחות ע״ח:
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 18:20:1	בפ' התערובת (דף ע״ח	בפ' התערובת (זבחים דף ע״ח
Kessef Mishneh on Mishneh Torah, Sacrifices Rendered Unfit 19:2:1	בפ' כיצד צולין (דף פ״ב	בפ' כיצד צולין (פסחים דף פ״ב
Kessef Mishneh on Mishneh Torah, Festival Offering 2:14:1	בפרק התודה (דף פ״א	בפרק התודה (מנחות דף פ״א
Kessef Mishneh on Mishneh Torah, Defilement by a Corpse 1:6:1	בר״פ ר״ע (דף פ״ב ע״ב	בר״פ ר״ע (שבת דף פ״ב ע״ב
Kessef Mishneh on Mishneh Torah, Those Who Defile Bed or Seat 3:9:3	בפרק הרואה כתם (דף נ״ז	בפרק הרואה כתם (נדה דף נ״ז
Kessef Mishneh on Mishneh Torah, Those Who Defile Bed or Seat 8:3:1	בר״פ ר״ע (דף פ״ג ע״ב	בר״פ ר״ע (שבת דף פ״ג ע״ב
Kessef Mishneh on Mishneh Torah, Those Who Defile Bed or Seat 8:4:1	פרק ר״ע (דף פ״ב ע״ב	פרק ר״ע (שבת דף פ״ב ע״ב
Kessef Mishneh on Mishneh Torah, Other Sources of Defilement 5:11:1	בפרק ר״ע (דף פ״ו	בפרק ר״ע (שבת דף פ״ו
Kessef Mishneh on Mishneh Torah, Other Sources of Defilement 6:1:1	בפרק רבי עקיבא (דף פ״ב	בפרק רבי עקיבא (שבת דף פ״ב
Kessef Mishneh on Mishneh Torah, Other Sources of Defilement 6:2:1	פרק ר' עקיבא (דף פ״ב ע״ב	פרק ר' עקיבא (שבת דף פ״ב ע״ב
Kessef Mishneh on Mishneh Torah, Other Sources of Defilement 6:2:2	בפרק ר״ע (דף פ״ג ע״ב	בפרק ר״ע (שבת דף פ״ג ע״ב
Kessef Mishneh on Mishneh Torah, Vessels 1:10:3	פרק רבי עקיבא (דף פ״ד	פרק רבי עקיבא (שבת דף פ״ד
Kessef Mishneh on Mishneh Torah, Vessels 25:2:1	בפרק רבי עקיבא (דף פ״ח ע״ב	בפרק רבי עקיבא (שבת דף פ״ח ע״ב
Kessef Mishneh on Mishneh Torah, Slaves 9:8:3	פרק אע״פ (דף ס״א	פרק אע״פ (כתובות דף ס״א
Kessef Mishneh on Mishneh Torah, Borrowing and Deposit 6:1:1	בפרק הגוזל קמא (דף ק״ח	בפרק הגוזל קמא (בבא קמא דף ק״ח
Kessef Mishneh on Mishneh Torah, Mourning 1:7:1	בפ' יוצא דופן (דף מ״ד:	בפ' יוצא דופן (נדה דף מ״ד:
Tosafot on Bava Batra 156b:1:1	פרק במה אשה יוצאה (דף סב.	פרק במה אשה יוצאה (שבת דף סב.
Tosafot on Bava Batra 159a:1:1	פרק אע"פ (דף נד:	פרק אע"פ (כתובות דף נד:
Rashi on Yevamot 62a:5:1	בפרק ר"ע (דף פו.	בפרק ר"ע (שבת דף פו.
Rashi on Yevamot 68a:1:2	בפרק אע"פ (דף נז:	בפרק אע"פ (כתובות דף נז:
