ID,Gen,Type,He
21880,,,רבי חייא ברבי אבויה
21881,,,רבי חייא ברבי חיננא
21882,,,רבי חייא בריה
21886,,,רבי חייא בריה דאבא בר נחמני
21893,,,רבי חייא בריה דרבה בר נחמני
21894,,,רבי חייא בריה דרבי חייא בר נחמני
21902,,,רבי חייא מאבל ערב
21905,,,רבי חייא פרוואה
21908,,,רבי חייא קרא
21919,,,רבי חיננא בר כהנא
21920,,,רבי חיננא בר פפא
1155,,אמורא,רבי חלפתא בן שאול
21938,,,רבי חלפתא בר שאול
1154,6,תנא,רבי חלפתא ברבי יוסי
1156,1ב,אמורא,רבי חלפתא דמן הונא
1158,4,אמורא,רבי חלקיה
1165,,תנא,רבי חמא
1170,2,אמורא,רבי חמא בר אושעיא
1178,2,אמורא,רבי חמא בר יוסי
21948,,,רבי חמא בר יוסף
1179,3,אמורא,רבי חמא בר עוקבא
1186,4,אמורא,רבי חנא
1198,4,אמורא,רבי חנא בר שאינה
1199,2,אמורא,רבי חנא פתוראה
1205,1ב,אמורא,רבי חנילאי
2980,2,אמורא,רבי תנחום בר חנילאי
1334,,אמורא,רבי חנין חתניה דבי נשיאה
21967,,,רבי חנינא איש אונו
1237,2,תנא,רבי חנינא בן אנטיגנוס
21973,,,רבי חנינא בן גמלא
1268,3-4,אמורא,רבי חנינא בן עגיל
21975,,,רבי חנינא בן עקביא
1254,5,תנא,רבי חנינא בנו של רבי יוסי הגלילי
21982,,,רבי חנינא בר אבין
1233,5,תנא,רבי חנינא בר אידי
21994,,,רבי חנינא בר כהנא
21996,,,רבי חנינא בר מניומי
21997,,,רבי חנינא בר מניומי ברבי אליעזר בן יעקב
22004,,,רבי חנינא בר פפי
22017,,,רבי חנינא בריה דרבי אבהו
22020,,,רבי חנינא הגדול
22025,,,רבי חנינא טירתא
22026,,,רבי חנינא טריטאה
1295,2,אמורא,רבי חנינא קרא
1297,2,אמורא,רבי חנינא תריתאה
1218,5,אמורא,רבי חנינה אחיו של רבי מנא
1306,1א,אמורא,רבי חנן
22040,,,רבי חנן בר רבא
22046,,,רבי חנניא בנו של רבי יוסי הגלילי
22047,,,רבי חנניא בר מניומי
22050,,,רבי חנניה
22053,,,רבי חנניה בן גמליאל
22055,,,רבי חנניה בן עקביא
22056,,,רבי חנניה בן תרדיון
1354,3,אמורא,רבי טבי
1362,3,אמורא,רבי טבלא
1386,3,אמורא,רבי יאשיה
1388,2,אמורא,רבי יאשיה דמן אושא
22090,,,רבי יהודה איש כפר גבוריא
1403,,אמורא,רבי יהודה איש כפר נביריא
1409,5,תנא,רבי יהודה בן אגרא
1412,3,אמורא,רבי יהודה בן אחותו של רבי יוסי בר חנינא
1480,4,תנא,רבי יהודה בן פתירוש
1428,2,תנא,רבי יהודה בן גדיש
1432,5,תנא,רבי יהודה בן גמליאל
1434,6,תנא,רבי יהודה בן גרים
22100,,,רבי יהודה בן טבאי
1450,4,תנא,רבי יהודה בן יאיר
1458,1ב,אמורא,רבי יהודה בן לוי
1459,6,תנא,רבי יהודה בן לקיש
22104,,,רבי יהודה בן נחמני מתורגמניה דרבי שמעון בן לקיש
22105,,,רבי יהודה בן נקוסא
22107,,,רבי יהודה בן ספרא
1493,4,אמורא,רבי יהודה בריה דרבי שמעון בן פזי
22116,,,רבי יהודה בן שילא
1452,3,תנא,רבי יהודה בנו של רבן יוחנן בן זכאי
22119,,,רבי יהודה בר אלעאי
1438,3,אמורא,רבי יהודה בר זבידא
22124,,,רבי יהודה בר זבינא
22127,,,רבי יהודה בר חביבא
22129,,,רבי יהודה בר חנינא
22135,,,רבי יהודה בר ליואי
22136,,,רבי יהודה בר מנסיא
1462,2,אמורא,רבי יהודה בר מספרתא
1463,3,אמורא,רבי יהודה בר מערבא
22139,,,רבי יהודה בר נחמני
22151,,,רבי יהודה בר רבי אילעאי
1486,4,אמורא,רבי יהודה בר שילא
22152,,,רבי יהודה בר שילת
22161,,,רבי יהודה ברבי אלעאי
22162,,,רבי יהודה ברבי חנינא
22163,,,רבי יהודה ברבי נחמני מתורגמניה דריש לקיש
22164,,,רבי יהודה ברבי שלום
1492,2,אמורא,רבי יהודה ברבי שמעון
22165,,,רבי יהודה בריבי
22167,,,רבי יהודה בריה דרבי שמעון
1499,3,אמורא,רבי יהודה גלוסטרא
1503,1,אמורא,רבי יהודה הגוזר
1507,4,תנא,רבי יהודה הנחתום
1509,,תנא,רבי יהודה הסבר
22174,,,רבי יהודה חייטא
1533,,תנא,רבי יהושע בן אלישע
1539,3,תנא,רבי יהושע בן הורקנוס
22189,,,רבי יהושע בן חנניא
22198,,,רבי יהושע בן פרחיה
1555,5,תנא,רבי יהושע בן קפוסאי
22204,,,רבי יהושע בר אבא
22210,,,רבי יהושע בר ממל
1560,4,תנא,רבי יהושע הגרסי
1396,4,אמורא,רבי יודן
1571,4,אמורא,רבי יוחנן אחוה דמר בריה דרבנא
1574,1א,אמורא,רבי יוחנן בן אלעזר
1575,1ב,אמורא,רבי יוחנן בן ארזא
22273,,,רבי יוחנן בן בתירא
1581,2,תנא,רבי יוחנן בן החורנית
1634,4,תנא,רבי יונתן בן יוסי
22279,,,רבי יוחנן בן שאול
1606,6,תנא,רבי יוחנן המכותי
22310,,,רבי יונה בר תחליפא
1624,1ב,אמורא,רבי יונתן בן אלעזר איש הבירה
1626,5,תנא,רבי יונתן בן אבטולמוס
22314,,,רבי יונתן בן אלעזר
1635,6,תנא,רבי יונתן בן יוסי בן לקוניא
1638,1ב,אמורא,רבי יונתן בן עכינאי
1639,3,אמורא,רבי יונתן בן עכמאי
1640,1א,אמורא,רבי יונתן בן עמרם
1641,6,תנא,רבי יונתן בן עסמיי
1642,1א,אמורא,רבי יונתן בן שאול
22322,,,רבי יונתן ברבי אלעזר
1653,3,אמורא,רבי יוסטאי ברבי מתון
22337,,,רבי יוסי בן אליקים
1669,,תנא,רבי יוסי בן אלישע
22339,,,רבי יוסי בן זימרא
1686,1א,אמורא,רבי יוסי בן זמרא
1688,3,תנא,רבי יוסי בן חוני
1697,1ב,אמורא,רבי יוסי בן יהושע
1702,4,אמורא,רבי יוסי בן יוסי
1716,1ב,אמורא,רבי יוסי בן נהוראי
1723,4,תנא,רבי יוסי בן פרטא
1725,4,תנא,רבי יוסי בן פרידא
22352,,,רבי יוסי בן קסמא
22355,,,רבי יוסי בן רבי חנינא
1731,1א,אמורא,רבי יוסי בן שאול
22358,,,רבי יוסי בנו
1659,1ב,אמורא,רבי יוסי בר אבא
1663,3-4,אמורא,רבי יוסי בר אבין
1671,3,אמורא,רבי יוסי בר אסיין
22376,,,רבי יוסי בר רב אבין
22377,,,רבי יוסי בר רבי חוני
22378,,,רבי יוסי בר רבי חנינא
22390,,,רבי יוסי ברבי
1670,1א,אמורא,רבי יוסי ברבי אלעזר ברבי שמעון
1735,3,אמורא,רבי יוסי גלילאה
1737,5,אמורא,רבי יוסי דמן יוקרת
1738,,אמורא,רבי יוסי דמן קסרי
22400,,,רבי יוסי החורם
1743,5,תנא,רבי יוסי החסיד
1752,3,אמורא,רבי יוסי מדאה
22408,,,רבי יוסי קטנתא
1761,5,אמורא,רבי יוסנא
1819,3,אמורא,רבי ינאי ברבי ישמעאל
1818,2,אמורא,רבי ינאי בריה דרבי ינאי סבא
1832,3,אמורא,רבי יעקב
1834,3,אמורא,רבי יעקב אחוה דרב אחא בר יעקב
1836,1א,אמורא,רבי יעקב איש כפר חיטייא
1860,5,אמורא,רבי יעקב בן דוסתאי
1840,2,אמורא,רבי יעקב בר אבא
1852,3-4,אמורא,רבי יעקב בר אחא
22446,,,רבי יעקב בר אמי
1861,4,אמורא,רבי יעקב בר זבדי
1868,2,אמורא,רבי יעקב בר נחמני
1862,6,תנא,רבי יעקב ברבי חנינא
1858,3,אמורא,רבי יעקב בריה דבת יעקב
22475,,,רבי יעקב מנהר פקוד
1943,3,אמורא,רבי יצחק עטושיא
1895,3,אמורא,רבי יצחק בן אחא
22478,,,רבי יצחק בן אלישב
1899,1-2,אמורא,רבי יצחק בן אלעזר
22479,,,רבי יצחק בן זעירא
1911,3,אמורא,רבי יצחק בן חלוב
22480,,,רבי יצחק בן טבלאי
1926,1א,אמורא,רבי יצחק בן פנחס
22486,,,רבי יצחק בר אבא
22488,,,רבי יצחק בר אבודימי
22489,,,רבי יצחק בר אבין
22491,,,רבי יצחק בר אדא
22496,,,רבי יצחק בר בר חנה
22498,,,רבי יצחק בר זעירי
22504,,,רבי יצחק בר חנינא
22508,,,רבי יצחק בר טבלא
22512,,,רבי יצחק בר מרתא
22522,,,רבי יצחק בר רב יוסף
22523,,,רבי יצחק בר רבי יוסי
22524,,,רבי יצחק בר רדיפא
22526,,,רבי יצחק בר שמואל בר מרתא
22529,,,רבי יצחק ברבי ביסנא
22530,,,רבי יצחק ברבי יוסי
22531,,,רבי יצחק ברבי יוסף
22532,,,רבי יצחק בריה
22534,,,רבי יצחק בריה דרב אדא
1936,,אמורא,רבי יצחק דמן קרטיגנין
1940,2,אמורא,רבי יצחק מגדלאה
22544,,,רבי ירמיה ביראה
1958,4,אמורא,רבי ירמיה בן אלעזר
22545,,,רבי ירמיה בר אלעזר
1971,4,תנא,רבי ישבב הסופר
2858,3,אמורא,רבי שמעון בן זירוד
2865,1א,אמורא,רבי שמעון בן יהוצדק
2873,2,אמורא,רבי שמעון בן יעקב דמן צור
2878,4,בדור תנאים,רבי שמעון בן לוגא
1992,1א,אמורא,רבי ישמעאל בן סתריאל מערקת לבינה
2895,1,בדור תנאים,שמעון בן קמחית
22564,,,רבי ישמעאל בן רבי יוסי
1981,4,תנא,רבי ישמעאל בנו של רבי אלעזר בן עזריה
22568,,,רבי ישמעאל בר רבי יוסי
22569,,,רבי ישמעאל בר רבי יצחק
2571,3,אמורא,רבי קריספא
22589,,,רבי לוי בר חייא
2040,4,אמורא,רבי לוי בר חיתא
2041,3,אמורא,רבי לוי בר לחמא
2075,6,תנא,רבי מונא
2080,2-3,אמורא,רבי מחסיא בר אידי
2082,2,תנא,רבי מיאשא
22619,,,רבי מיאשא בריה דרבי יהושע בן לוי
2083,6,תנא,רבי מיאשה
22620,,,רבי מיאשה בר בריה דרבי יהושע בן לוי
2084,3-4,אמורא,רבי מיישא
2085,2,אמורא,רבי מיישא בר בריה דרבי יהושע בן לוי
2091,3,אמורא,רבי מלוך
22630,,,רבי מנחם בר יוסי
2115,1ב,אמורא,רבי מנחם ברבי סימאי
2119,1ב,אמורא,רבי מנחם יודפאה
2124,2,אמורא,רבי מני בר פטיש
2125,5,אמורא,רבי מני דמן צור
2191,2,אמורא,רבי מריון
2200,6,תנא,רבי מרינוס
2207,,אמורא,רבי משרשיא
2220,2,אמורא,רבי מתון
22652,,,רבי מתיא
2241,3-4,אמורא,רבי נחום
2113,1א,אמורא,רבי מנחם בן נפח
22662,,,רבי נחומי
2257,3,תנא,רבי נחוניא בן אלינתן איש כפר הבבלי
1070,1ב,אמורא,רבי חוניא דברת חוורן
2261,4,תנא,רבי נחוניא הגדול
2284,5,אמורא,רבי נחמן
22675,,,רבי נחמני
22683,,,רבי נתן ביראה
2339,5,תנא,רבי נתן בן אבישלום
2335,3,אמורא,רבי נתן בר אבא
2345,3,אמורא,רבי נתן בר טובי
22689,,,רבי נתן ברבי אושעיא
2368,1א,אמורא,רבי סימאי
22705,,,רבי סמיא
22706,,,רבי עוזיאל בר בריה דרבי עוזיאל רבה
2405,3-4,אמורא,רבי עוירא
2419,3,אמורא,רבי עולא רבה
2434,3,אמורא,רבי עזרא בר בריה דרבי אבטולס
22714,,,רבי עיניני בר ששון
22715,,,רבי עמרם
527,3,אמורא,רבי אנינייא
2478,3-4,אמורא,רבי פדת
2541,3,אמורא,רבי פרנך
2511,,תנא,רבי פנחס בן ערובא
2540,1ב,אמורא,רבי פרידא
2575,,תנא,רבי ראובן
2664,1ב,אמורא,רבי רומנוס
22761,,,רבי רחמי
2709,2,אמורא,רבי שבתאי
22764,,,רבי שבתי
2720,4,תנא,רבי שילא
2724,2,אמורא,רבי שילא איש כפר תמרתא
2760,4,אמורא,רבי שמואל
22780,,,רבי שמואל בר אבא
2776,5,אמורא,רבי שמואל בר איניא
2798,1,אמורא,רבי שמואל בר נדב חתניה דרבי חנינא
22798,,,רבי שמואל בר נחמן
2801,3,אמורא,רבי שמואל בר נתן
2834,2,תנא,רבי שמעון איש המצפה
22819,,,רבי שמעון בן אבישלום
2843,,אמורא,רבי שמעון בן אבשלום
22820,,,רבי שמעון בן אליקום
2845,3,אמורא,רבי שמעון בן אליקים
2849,3,תנא,רבי שמעון בן בתירא
22822,,,רבי שמעון בן זומא
2869,6,תנא,רבי שמעון בן יוסי
22826,,,רבי שמעון בן יוסי בן לקוניא
22828,,,רבי שמעון בן לוי
2882,3,אמורא,רבי שמעון בן נזירא
22829,,,רבי שמעון בן עזאי
22831,,,רבי שמעון בן קיסמא
22832,,,רבי שמעון בן רבי
2920,5,תנא,רבי שמעון שזורי
22834,,,רבי שמעון בן שטח
22836,,,רבי שמעון בר אליקים
22837,,,רבי שמעון בר אמי
2371,3,אמורא,רבי סימון בר זביד
22859,,,רבי שמעון ברבי יוסי
2903,4,תנא,רבי שמעון החסיד
2904,1,אמורא,רבי שמעון המחוזי
2905,5,תנא,רבי שמעון הנשיא
2913,2,אמורא,רבי שמעון חסידא
22867,,,רבי שמעון יאסיניא
22871,,,רבי שמעיה
2932,3,אמורא,רבי שפטיה
2941,2,אמורא,רבי תדאי
22885,,,רבי תחליפא בר רב חסדא
2969,3,אמורא,רבי תנחום
2978,3,אמורא,רבי תנחום בר חייא דכפר אגין
22903,,,רבי תנחום ברבי חנילאי
22907,,,רבי תנחום בריה דרב חייא איש כפר עכו
2977,3,אמורא,רבי תנחום בריה דרבי חייא איש כפר עכו
2990,5,אמורא,רבי תנחום דמן נוי
2991,2,אמורא,רבי תנחום דמן פרוד
2643,5,אמורא,רביא בר קיסי
149,4,אמורא,רבין בר חיננא
22919,,,רבין בר חנינא
150,3,אמורא,רבין בר רב חסדא
157,3,אמורא,רבין בר רב נחמן
22923,,,רבין בר שבא
160,2,אמורא,רבין בר שמואל
162,6,בדור אמוראים,רבין דמן נרש
165,,בדור אמוראים,רבין חסידא
167,5-6,אמורא,רבין סבא
2653,2,אמורא,רבינא בר שילא
2651,,אמורא,רבינא בריה דרב עולא
2654,7,בדור אמוראים,רבינא זוטי
22930,,,רבינו הקדוש
2283,4,אמורא,רבנא נחמיה ריש גלותא
2657,2,אמורא,רבנאי
2665,4-5,בדור אמוראים,רוניא
22946,,,רחבה דפומבדיתא
2675,2,אמורא,רכיש בר פפא
2679,4,אמורא,רמי בר ברבי
2689,3,אמורא,רמי בר תמרי
2684,2,אמורא,רמי בר יחזקאל
2686,3,אמורא,רמי בר פפא
2687,,אמורא,רמי בר רב
2683,2,אמורא,רמי בר רב יוד
22951,,,רמי בר רב יודא
2688,3,אמורא,רמי בר שמואל
2685,3,אמורא,רמי בריה דרב ייבא
2692,4,אמורא,רפרם בר פפא
2694,6-7,אמורא,רפרם מסיכרא
2705,1,בדור אמוראים,שבור מלכא
2707,1,בדור תנאים,שבנא
2708,,בדור תנאים,שבנא איש ירושלים
2710,1,בדור אמוראים,שבתאי אצר פירי
2711,1א,בדור אמוראים,שבתאי בריה דרבי מרינוס
2728,,אמורא,שילא מרי
22961,,,שימי בר חייא
22969,,,שמואל בר אחא
22971,,,שמואל בר יצחק
22974,,,שמואל בר מרתא
22975,,,שמואל בר נתן
22976,,,שמואל בר רב יצחק
2819,3,אמורא,שמואל סבא חמוה דרב שמואל בר אמי
2820,2,אמורא,שמואל סבא חתניה דרבי חנינא
2833,3,תנא,שמעון אחי עזריה
1767,1א,בדור אמוראים,יוסף אפרתי
2850,2,תנא,שמעון בן גודא
22983,,,שמעון בן גודע
2863,5,תנא,שמעון בן טרפון
22993,,,שמעון נזירא
22997,,,שמעי בן גרא
23000,,,שמעיה ואבטליון
2931,2/3,בדור אמוראים,שעזרק טייעא
2943,1,בדור תנאים,תודוס איש רומי
2944,4,בדור תנאים,תודוס הרופא
2945,,תנא,תוטאי
2966,1,בדור תנאים,תלמי המלך
23005,,,תנא דבי מנשה
