ID,Gen,Type,He
758,7,בדור אמוראים,בריה דרב סמא בריה דרב אשי
801,1,בדור תנאים,גביהא בן פסיסא
805,1,בדור תנאים,גביני
812,4,בדור אמוראים,גוריא בר חמא
815,2,אמורא,גוריון בן אסטיון
818,2,אמורא,גורסק בר דרי
20332,,,גידל בר מניומי
20335,,,דואג האדומי
20343,,,דורשי חמורות
865,1,בדור תנאים,דורתאי
20344,,,דייני ארץ ישראל
20345,,,דייני גולה
20347,,,דייני דנהרדעא
20348,,,דייני דפומבדיתא
20350,,,דייני דקיסרי
878,6,בדור אמוראים,דימי בר קקוזתא
884,1,בדור תנאים,דמא בן נתינה
20351,,,דנין לפני חכמים
887,5,בדור אמוראים,דנכו
889,2,אמורא,דרו בר פפא
893,1,בדור תנאים,הוגרס בן לוי
20356,,,הון בריה דרב נחמן
20358,,,הונא בר נתן
924,6/7,אמורא,הונא בריה דמר זוטרא
20360,,,הונא בריה דרב נחמן
20361,,,הונא מר בר בריה דרב נחמיה
942,7,אמורא,הונא מר בר מרימר
941,6,אמורא,הונא מר בריה דרב אידי
20362,,,הונא מר בריה דרב נחמיה
944,6,אמורא,הונא מר בריה דרבא מפרזקיא
951,1,בדור תנאים,הורדוס
953,1,בדור תנאים,הורקנוס
20376,,,הלל הבבלי
1648,3,אמורא,רבי יוסטא
20382,,,זבדי בר לוי
992,2,בדור אמוראים,זבולון בן דן
996,6,בדור אמוראים,זבידא
998,3,אמורא,זוגא דמן חדייב
1009,4,בדור תנאים,זונין
1012,5,בדור אמוראים,זיגוד
1038,6,בדור אמוראים,זעירא
20390,,,זעירא בר חמא
20391,,,זעירא יתמא
1044,7,אמורא,זעירי מדיהבת
20393,,,זקני דרום
20395,,,זקנים הראשונים
1049,,שם,חבי בר ננאי
1062,1,אמורא,חולפנא
2263,1,בדור תנאים,נחוניון
1078,3,תנא,חזקיה אבי עקש
1080,3,אמורא,חזקיה בר בילוטו
20409,,,חזקיה בריה דרבי פרנך
1087,4,בדור אמוראים,חיואי
20413,,,חייא בריה
20416,,,חילפא בר אגרא
1169,3,בדור אמוראים,חמא בר אדא שליח ציון
1181,3,אמורא,חמא בריה דרבה בר אבוה
2178,3,בדור אמוראים,מרי בר איסק
1310,2,בדור אמוראים,חנן בישא
1313,2,תנא,חנן בן אבישלום
1324,4,תנא,חנן בן פנחס
1331,4,תנא,חנן המצרי
1332,2,תנא,חנן הנחבא
1333,3,בדור אמוראים,חנן חייטא
1341,,שם,חנני
1210,5,אמורא,חנניא אחי רב שמואל בר אידי
20448,,,חנניה בן חזקיה בן גרון
20455,,,חסידי דבבל
20456,,,חסידים הראשונים
1348,1,בדור תנאים,חרים
20457,,,חריפי דפומבדיתא
1350,3,בדור אמוראים,טאבי
1352,2,אמורא,טבות רישבא
1353,2,בדור תנאים,טבי
1355,3,אמורא,טבי בריה דמרי טבי
1368,2,בדור אמוראים,טוביה
1374,3,בדור תנאים,טוריינוס
1375,4,בדור תנאים,טורנוסרופוס
1378,2,בדור תנאים,טיטוס
20462,,,יאיר בן מנשה
1390,6,תנא,ידוע הבבלי
1427,1,בדור תנאים,יהודה בן גדידיה
20467,,,יהודה בן גוריא
20468,,,יהודה בן גמליאל
20470,,,יהודה בן גרים
1436,1,בדור תנאים,יהודה בן דורתאי
1467,6,תנא,יהודה בן נקוסא
1491,5,תנא,יהודה בן שמוע
20476,,,יהודה בן תימא
1500,1ב,אמורא,רבי יהודה גרוגרות
1464,7,אמורא,יהודה בר מרימר
20480,,,יהודה בר נחמיה
1468,,אמורא,יהודה בר נתן
1510,1א,בדור אמוראים,יהודה חייטא
1517,5,אמורא,יהודה מר בר מרימר
1526,1,בדור תנאים,יהויריב
1529,1א,אמורא,יהושע איש עוזא
20487,,,יוד קרת
1563,3,בדור אמוראים,יודן אמתא
1564,4,בדור תנאים,יוחי
1568,,בדור אמוראים,יוחני בת רטיבי
20490,,,יוחנן איש ירושלים
20492,,,יוחנן בן בג בג
1578,1,בדור תנאים,יוחנן בן בתירא
1595,1,בדור תנאים,יוחנן בן נרבאי
20497,,,יוחנן חקוקאה
1610,1,בדור תנאים,יוחנן כהן גדול
1630,2,תנא,יונתן בן הרכינס
1644,4,אמורא,יונתן הקיטוני
1622,,בדור אמוראים,יונתן בן רבי חנינא
20511,,,יוסי בן חוני
20512,,,יוסי בן יוחנן
20513,,,יוסי בן יועזר
20514,,,יוסי בן יועזר איש צרידה ויוסי בן יוחנן איש ירושלים
20515,,,יוסי בן לקוניא
20521,,,יוסף בן אלם
20523,,,יוסף בן חונאי
1778,1,בדור תנאים,יוסף בן סימאי
1783,,שם,יוסף בן שמעון
20526,,,יוסף בר חייא
1771,3,אמורא,רב יוסף בר חבו
1787,1,תנא,יוסף הכהן
1788,1א,בדור אמוראים,יוסף חפני
1792,1,בדור אמוראים,יוסף רישבא
1793,3-5,בדור אמוראים,יוסף שידא
20538,,,יחזקאל בן בוזי הכהן
1801,2,אמורא,ייבא חמוה דאשיין בר נדבך
1806,5,אמורא,יימר בר חשו
1817,4,בדור אמוראים,ינאי בריה דרבי אמי
1823,1,בדור תנאים,ינאי המלך
1838,4,בדור תנאים,יעקב איש כפר סכניא
1876,3,אמורא,יעקב הדייבא
1877,3,בדור אמוראים,יעקב מינאה
1881,4,אמורא,יעקב קרחה
20550,,,יעקב קרחינאה
20556,,,יצחק דבי רבי ינאי
1946,4,בדור אמוראים,יצחק ריש גלותא
1969,1,בדור תנאים,ישבאב
1973,1,בדור תנאים,ישוע
1975,3,אמורא,ישמעאל איש כפר דימא
20562,,,ישמעאל בן פאבי
20563,,,ישמעאל בן פיאכי
1998,1,בדור תנאים,יששכר איש כפר ברקאי
2023,3,בדור אמוראים,כייליל
2034,4/5,אמורא,לוי בר בוטי
2036,4,בדור אמוראים,לוי בר דרגא
2043,2,בדור אמוראים,לוי בר סימון
2045,3,אמורא,לוי בר שמואל
2037,4,אמורא,לוי בריה דרב הונא בר חייא
2046,4,תנא,לוי הסדר
20581,,,לוי סבא
2058,4,בדור אמוראים,לחמן בר ריסתק
2065,6,בדור תנאים,לכלוכית
2071,,שם,מבגאי
2072,1,אמורא,מבוג
2077,1,בדור תנאים,מונבז המלך
20589,,,מחכו עליה במערבא
2127,3,אמורא,מניומי
20599,,,מניומי בר חלקיה
2132,4,בדור אמוראים,מניומין כנדוקא
2133,1,בדור אמוראים,מנימין בר איהי
2135,4,בדור תנאים,מנימין גר מצרי
2136,1,בדור אמוראים,מנימין סקסנאה
2137,6,בדור אמוראים,מנימין עבדיה דרב אשי
20604,,,מנשיא בר ירמיה
2144,,בדור תנאים,מנשיא בר מנחם
2149,,אמורא,מפשאה
254,6,בדור אמוראים,מר אחא
2154,6/7,אמורא,מר בר אידי
2155,6,אמורא,מר בר אמימר
20606,,,מר בר המדורי
2157,6,אמורא,מר בר חייא
2159,4,בדור אמוראים,מר בר פופידתא מפומבדיתא
189,,אמורא,רב אדא
20609,,,מר בר רב אידאי
2153,6,בדור אמוראים,מר בריה דרב אחא בריה דרבא
2158,5,אמורא,מר בריה דרב יוסף
2160,4,אמורא,מר בריה דרבינא
20611,,,מר בריה דרבנא
20614,,,מר הונא בריה דרב נחמן
20616,,,מר זוטרא בר טוביה
2163,,אמורא,מר זוטרא בריה דרב הונא בריה דרב פפי
20620,,,מר זוטרא בריה דרב טבי
2164,6-7,אמורא,מר זוטרא בריה דרב מרי
2165,4,אמורא,מר זוטרא בריה דרב נחמן
2166,6,בדור אמוראים,מר זוטרא מדרישבא
2167,,אמורא,מר זוטרא רבה
1392,3,אמורא,מר יהודה
1565,4,בדור אמוראים,מר יוחנא בריה דרב חנא בר אדא
1567,4,בדור אמוראים,מר יוחני
20626,,,מר ינוקא ומר קשישא בריה דרב חסדא
2169,7/8,בדור אמוראים,מר ממשכי
2427,,אמורא,מר עוקבא בר חייא
20629,,,מר עוקבא בר חמא
20632,,,מר קשישא
20633,,,מר קשישא בר רב חסדא
2170,6,אמורא,מר קשישא בריה דרב חסדא
2171,6,אמורא,מר קשישא בריה דרבא
2184,4,אמורא,רב מרי בריה דרב חסדא
2187,3,אמורא,מרי בר מר
2192,6,בדור אמוראים,מריון בריה דרבין
20638,,,מרים בת בילגה
2198,6,אמורא,מרימר
2199,4,בדור אמוראים,מרימר בר חנינא
2202,1,בדור אמוראים,מרתא אחות רבי חייא
2204,1,בדור תנאים,מרתא בת בייתוס
2205,3,בדור אמוראים,משה בר עצרי
20643,,,משמיה דאבימי
2218,1,בדור תנאים,מתאי
2219,2,בדור אמוראים,מתון
2222,1,בדור תנאים,מתתיא בן שמואל
2227,,אמורא,מתתיה בן יהודה
20648,,,מתתיה בר יהודה
2228,1,בדור תנאים,מתתיה כהן גדול
2229,6,אמורא,נאנאי בריה דרב יוסף בריה דרבא
2237,,בדור אמוראים,נהרדעי
2116,6,תנא,רבי מנחם דגליא
2248,4,תנא,נחום הזקן
2249,2,תנא,נחום הלבלר
20662,,,נחומא בן אפקשיון
2262,2,בדור תנאים,נחוניא חופר שיחין
2269,4,תנא,נחמיה איש בית דלי
20665,,,נחמיה בר ברוך
2280,5,תנא,נחמיה העמסוני
2282,,אמורא,נחמיה חתניה דבי נשיאה
2306,,אמורא,ניולי
235,4,תנא,אונימיס אחיו של יהשע הגרסי
179,5,בדור תנאים,אבנימוס הגרדי
2313,1,בדור תנאים,ניקנור
2315,1,בדור תנאים,נירון קיסר
2319,,שם,ננאי בר חבי
2323,1,בדור תנאים,נקאי
2324,2,בדור תנאים,נקדימון בן גוריון
20669,,,נקיי הדעת שבירושלים
2328,3,בדור תנאים,נתזה
2329,3,בדור אמוראים,נתזואי
2348,6,אמורא,נתן בר מר זוטרא
2351,6,בדור תנאים,נתן בר שילא
2432,3,אמורא,עוקבן בר נחמיה ריש גלותא
2355,6,בדור תנאים,נתן הבבלי
2357,2,בדור אמוראים,סבא קרויא
20673,,,סבי דבי רב
20674,,,סבי דהגרוניא
20676,,,סבי דנזוניא
20677,,,סבי דסורא
20678,,,סבי דפומבדיתא
2359,2,אמורא,סביא
2363,3,אמורא,סורחב בר פפא
2376,1,בדור אמוראים,סיסרא
20682,,,סלמאי הנתופתי
20684,,,עדו הנביא
20685,,,עובר גלילאה
2410,3,אמורא,עולא ביראה
20688,,,עולא בר חיננא
2413,3,אמורא,עולא בר חנינא
20690,,,עולא בר ישמעאל
2414,,אמורא,עולא בר מנשיא
2417,4,אמורא,עולא בר רב
20695,,,עולא בריה דרב עילאי
20696,,,עולא בריה דרב עלאי
2422,2,בדור אמוראים,עוקבא
2433,2,בדור אמוראים,עוקבן הבבלי
20699,,,עוקר הרים
2443,4,אמורא,עיפה
2444,3,בדור תנאים,עכנאי
2449,3,בדור אמוראים,עמרם צבעא
2455,4,בדור אמוראים,ענן בר חייא
2456,4,בדור אמוראים,ענן בר חייא מחגרא
2473,1,בדור תנאים,ערסלא
2474,6,בדור אמוראים,פאפי יונאה
2479,2,בדור אמוראים,פוגא
20709,,,פומבדיתאי אמרי
2480,1ב,בדור אמוראים,פזי
2488,3/4,בדור תנאים,פישון הגמל
2491,6,תנא,פלימו
2499,1,אמורא,פנחס אחוה דמר שמואל
2516,1/2,בדור תנאים,פנקאי
2529,5,בדור אמוראים,פפא תוראה
2530,3,בדור תנאים,פפוס
2536,1,בדור תנאים,פרוה
2543,1,בדור תנאים,פשחור
2544,1,בדור תנאים,פתחיה
20717,,,צדוק הכהן
20718,,,צורבא מרבנן
2549,,בדור אמוראים,צימצמאי מלכתא
20721,,,קטינא חריך שקי
2557,4,בדור תנאים,קטיעה בר שלום
2563,1,בדור תנאים,קמחית
2564,2,בדור תנאים,קמצא
2574,1-2,בדור תנאים,קתרוס
12,5,אמורא,רב אבא אבוה דרב בריה דרב משרשיא
20739,,,רב אבא בר תחליפא
81,,אמורא,רב אבדימי בר המדורי
82,,אמורא,רב אבדימי בר חמא
20740,,,רב אבדימי בר חמא בר חסא
20741,,,רב אבין
192,4,אמורא,רב אדא בר אבימי
20744,,,רב אדא בר אחא
1772,3,אמורא,רב יוסף בר חמא
20747,,,רב אדא בר יצחק
206,5,אמורא,רב אדא בר מניומי
207,4-5,אמורא,רב אדא בר מתנה
296,7,אמורא,רב אחא בר רב
20749,,,רב אדא בר רב יצחק
291,3,אמורא,רב אחא בר רב עוירא
211,6/7,אמורא,רב אדא בר שימי
281,3,אמורא,רבי אחא בר חנינא
267,6,אמורא,רב אחא בריה דרב אויא
205,4,אמורא,רב אדא בריה דרב יצחק
218,2,אמורא,רב אדא משוחאה
219,4,אמורא,רב אדא נרשאה
220,6,אמורא,רב אדא סבא בן רב מרי בר איסור
222,5,אמורא,רב אדא קרחינאה
227,5,אמורא,רב אהרן
229,4,אמורא,רב אויא
230,3,אמורא,רב אויא סבא
20761,,,רב אויא סבא מפומבדיתא
258,6,אמורא,רב אחא
20763,,,רב אחא אריכא
261,4,אמורא,רב אחא בר אבא
263,5,אמורא,רב אחא בר אביי
265,3,אמורא,רב אחא בר אדא
20764,,,רב אחא בר אהבה
312,3,אמורא,רב אחדבוי בר אמי
273,7,אמורא,רב אחא בר ביבי מר
1192,3,אמורא,רב חנא בר ביזנא
275,4,אמורא,רב אחא בר בר חנה
276,4,אמורא,רב אחא בר הונא
20769,,,רב אחא בר חנינא
283,3,אמורא,רב אחא בר יוסף
289,4,אמורא,רב אחא בר מניומי
20774,,,רב אחא בר עוא
20775,,,רב אחא בר עויא
20776,,,רב אחא בר עויה
20777,,,רב אחא בר עוירא
292,3-4,אמורא,רב אחא בר עולא
293,4,אמורא,רב אחא בר פנחס
20778,,,רב אחא בר פפא
272,7,אמורא,רב אחא בר רב אשי
20780,,,רב אחא בר רב הונא
1197,3-4,אמורא,רב חנא בר קטינא
20782,,,רב אחא בר רבא
299,5,אמורא,רב אחא בר תחליפא
20786,,,רב אחא ברבי חנינא
20787,,,רב אחא ברבי יעקב
301,2,אמורא,רב אחא ברדלא
20789,,,רב אחא בריה דרב אדא
20790,,,רב אחא בריה דרב איקא בר אחתיה
20791,,,רב אחא בריה דרב אמי
20792,,,רב אחא בריה דרב אשי
20793,,,רב אחא בריה דרב הונא
284,6,אמורא,רב אחא בריה דרב יוסף
285,7,אמורא,רב אחא בריה דרב ייבא
20795,,,רב אחא בריה דרב עוירא
20796,,,רב אחא בריה דרבה
20797,,,רב אחא בריה דרבי חייא בר אבא
20799,,,רב אחא מאקרא דאגמא
303,,אמורא,רב אחא מבי חוזאה
304,7,אמורא,רב אחא מדיפתי
305,6/7,אמורא,רב אחא מהוצל
306,6,אמורא,רב אחא סבא
1201,3,אמורא,רב חנא קרטיגנא
20807,,,רב אחא שר הבירה
255,8,אמורא,רב אחאי
20808,,,רב אחדבוי אחוי דמר אחא
20810,,,רב אחדבוי בר מתנה
313,3,אמורא,רב אחדבוי בר רב מתנה
581,6,אמורא,רב אתי
20812,,,רב אחיי בר אדא דמן אחא
331,,אמורא,רב אחלי
341,3-4,אמורא,רבי אידי
342,2,אמורא,רב אידי אבוה דרבי יעקב בר אידי
20819,,,רב אידי בר גרשום
388,3,אמורא,רב איקא בר אבין
20826,,,רב איקא בר חיננא
20827,,,רב איקא בר חנינא
20828,,,רב איקא בר חנניא
389,4,אמורא,רב איקא בריה דרב אמי
391,4,אמורא,רב איקא מפשרוניא
399,4,בדור אמוראים,רב אליקים
503,3,אמורא,רב אמי בר אדא הרפנאה
20839,,,רב אמי בר חמא
1364,3,אמורא,רב טובי בר מתנה
20840,,,רב אמי בר שמואל
515,7,אמורא,רב אמימר בר מר ינוקא
2738,2,אמורא,רב שימי בר חייא
547,3,אמורא,רב אסי בר נתן
20843,,,רב אסי דהוצל
573,4,אמורא,רב אשי מאויריא
587,6,אמורא,רב בודיא
600,4,אמורא,רב ביבי
20854,,,רב ביבי בר גידל
2579,5,אמורא,רב בר שבא
784,2,אמורא,רב ברדלא בר טביומי
787,2,אמורא,רב ברונא
20859,,,רב גביהא דבי כתיל
802,6,אמורא,רב גביהא מארגיזא
20860,,,רב גביהה מבי כתיל
808,4,אמורא,רב גדא
20862,,,רב גזא
20865,,,רב גידל בר מנשה מבירי דנרש
823,2,אמורא,רב גידל בר מנשיא
827,6,אמורא,רב גמדא
868,3,אמורא,רב דימי אחוה דרב ספרא
871,3-4,אמורא,רב דימי בר חיננא
20867,,,רב דימי בר חנינא
873,2-3,אמורא,רב דימי בר יוסף
874,3,אמורא,רב דימי בר יצחק
875,4,אמורא,רב דימי בר ליואי
20870,,,רב דימי בר רב הונא מדמהריא
879,2,אמורא,רב דימי בר שישנא
20874,,,רב דימי בריה דרב הונא מדמהוריא
876,6,אמורא,רב דימי בריה דרב נחמיה בריה דרב יוסף
20875,,,רב דימי דמן חיפא
20877,,,רב דניאל בר קטינא
885,3,אמורא,רב דניאל בר רב קטינא
900,6,אמורא,רב הונא בר אויא
901,3,אמורא,רב הונא בר אחא
1206,2,אמורא,רב חנילאי בר אידי
904,4,אמורא,רב הונא בר אמי
905,2,אמורא,רב הונא בר אשי
907,1,אמורא,רב הונא בר ברכיה
911,2-3,אמורא,רב הונא בר חייא
913,4,אמורא,רב הונא בר חיננא
914,3,אמורא,רב הונא בר חלוב
20891,,,רב הונא בר חנינא
917,4,אמורא,רב הונא בר יהודה
922,5,אמורא,רב הונא בר מנוח
