sefaria_key,bonayich,bonayich_name,comments,Slug
Rabbi Yishmael b. Elisha,1979,ישמעאל (בן אלישע [ב]),,rabbi-yishmael-b-elisha
Rabbi Yishmael b. Yose,1986,ישמעאל ברבי יוסי,,rabbi-yishmael-b-yose
Rabbi Yishmael b. Yohanan b. Berokah,1985,ישמעאל בנו של רבי יוחנן בן ברוקה,,rabbi-yishmael-b-yohanan-b-berokah
Rabbi Kohen,2001,כהן,,rabbi-kohen
Rav Kahana (II),2004,כהנא [ב],,rav-kahana-(ii)
Rav Kahana (V),2007,כהנא [ה],,rav-kahana-(v)
Rav Kahana (III),2005,כהנא [ג],,rav-kahana-(iii)
Rav Kahana (I),2003,כהנא [א],,rav-kahana-(i)
Rav Kahana (IV),2006,כהנא [ד],,rav-kahana-(iv)
Rabbi Levi,2031,לוי,,rabbi-levi
Levi b. Sisi,2032,לוי (בר סיסי),,levi-b-sisi
Rabbi Meir,2068,מאיר,,rabbi-meir
Rabbi Mana (II),2096,מנא [א],,rabbi-mana-(ii)
Rabbi Mana (I),2097,מנא [ב],,rabbi-mana-(i)
Mar b. Rav Ashi,2156,מר בר רב אשי,,mar-b-rav-ashi
Mar Zutra,2161,מר זוטרא [א] (חסידא),unsure whether Sefaria's tagged Jewish Encyclopedia link gets the right one. Correspondence based on generation,mar-zutra
Mar Ukva,2423,עוקבא [א],,mar-ukva
Rav Mesharshiya,2206,משרשיא [א],,rav-mesharshiya
Rav Matenah,2224,מתנה [א],,rav-matenah
Nahum of Gamzo,2244,נחום איש גם זו,,nahum-of-gamzo
Rabbi Nehunya b. haKanah,2260,נחוניא בן הקנה,,rabbi-nehunya-b-hakanah
Rabbi Nehemyah,2266,נחמיה [א],,rabbi-nehemiyah
Rav Nahman b. Hisda,2296,נחמן בר רב חסדא,,rav-nahman-b-hisda
Rav Nahman b. Ya'akov,2285,נחמן (בר יעקב),,rav-nachman-b-yaakov
Rav Nahman b. Yitzhak,2298,נחמן בר יצחק,,rav-nahman-b-yitzhak
Nittai haArbeli,2318,ניתאי הארבלי,,nittai-haarbeli
Rabbi Natan haBavli,2330,נתן [א],,rabbi-natan-habavli
Summakhos,2361,סומכוס,,sumkhos
Ulla,2409,עולא (נחותא/ בר ישמעאל),,ulla
Azaryah,2435,עזרא/ עזריה,,azaryah
Rabbi Il'ai (II),368,אילעאי [ב],,rabbi-ilai-(ii)
