"_id",generated_by,source_text_oid,availableLangs.0.0,availableLangs.0.1,availableLangs.1.0,availableLangs.1.1,refs.0,refs.1,type,auto
5d075db5ecfd7d299fe2df72,Rosh_on_Nedarim,,he,en,he,,Nedarim 18a:4,Commentary of the Rosh on Nedarim 18a:2,commentary,true
5d075db5ecfd7d299fe2df74,Rosh_on_Nedarim,,he,en,he,,Nedarim 18a:5,Commentary of the Rosh on Nedarim 18a:3,commentary,true
5d075db5ecfd7d299fe2df76,Rosh_on_Nedarim,,he,en,he,,Nedarim 18a:6,Commentary of the Rosh on Nedarim 18a:4,commentary,true
5d075db5ecfd7d299fe2df78,Rosh_on_Nedarim,,he,en,he,,Nedarim 18a:9,Commentary of the Rosh on Nedarim 18a:6,commentary,true
5d075db5ecfd7d299fe2df7a,Rosh_on_Nedarim,,he,en,he,,Nedarim 18a:10,Commentary of the Rosh on Nedarim 18a:7,commentary,true
5d075db5ecfd7d299fe2df7c,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:1,Commentary of the Rosh on Nedarim 18b:1,commentary,true
5d075db5ecfd7d299fe2df7e,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:1,Commentary of the Rosh on Nedarim 18b:2,commentary,true
5d075db5ecfd7d299fe2df80,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:3,Commentary of the Rosh on Nedarim 18b:3,commentary,true
5d075db5ecfd7d299fe2df82,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:4,Commentary of the Rosh on Nedarim 18b:4,commentary,true
5d075db5ecfd7d299fe2df84,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:6,Commentary of the Rosh on Nedarim 18b:5,commentary,true
5d075db5ecfd7d299fe2df86,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:6,Commentary of the Rosh on Nedarim 18b:6,commentary,true
5d075db5ecfd7d299fe2df88,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:7,Commentary of the Rosh on Nedarim 18b:7,commentary,true
5d075db5ecfd7d299fe2df8a,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:8,Commentary of the Rosh on Nedarim 18b:8,commentary,true
5d075db5ecfd7d299fe2df8c,Rosh_on_Nedarim,,he,en,he,,Nedarim 18b:8,Commentary of the Rosh on Nedarim 18b:9,commentary,true
5d075db5ecfd7d299fe2df8e,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:2,Commentary of the Rosh on Nedarim 19a:1,commentary,true
5d075db5ecfd7d299fe2df90,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:4,Commentary of the Rosh on Nedarim 19a:2,commentary,true
5d075db5ecfd7d299fe2df92,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:5,Commentary of the Rosh on Nedarim 19a:3,commentary,true
5d075db5ecfd7d299fe2df94,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:5,Commentary of the Rosh on Nedarim 19a:4,commentary,true
5d075db5ecfd7d299fe2df96,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:7,Commentary of the Rosh on Nedarim 19a:5,commentary,true
5d075db5ecfd7d299fe2df98,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:7,Commentary of the Rosh on Nedarim 19a:6,commentary,true
5d075db5ecfd7d299fe2df9a,Rosh_on_Nedarim,,he,en,he,,Nedarim 19a:8,Commentary of the Rosh on Nedarim 19a:7,commentary,true
