old_ref,beeri_ref,other_ref,type,generated_by
Mekhilta DeRabbi Yishmael Old 21:37:5,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 12:22-24",Tosefta Bava Kamma 7:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:37:6,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 12:25-26",Sifrei Bamidbar 78:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:18-22",Rashi on Exodus 21:4:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:3:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:18-22",Rashi on Exodus 21:7:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:7:8,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:9-12","Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:18-22",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:4:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:1-3","Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:18-22",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 15:4","Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:18-22",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:18-22",Sifrei Bamidbar 153:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Rashi on Exodus 21:3:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Sifrei Bamidbar 112:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Sifrei Bamidbar 69:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Tosefta Shevuot 3:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1","Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Sifrei Bamidbar 107:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Zevachim 70a:18-19,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:23",Sifrei Bamidbar 4:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:3:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:24-25",Rashi on Exodus 21:3:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:3:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 1:24-25",Ramban on Exodus 21:3:1,,add_ramban_links
Mekhilta DeRabbi Yishmael Old 21:4:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:6","Sifra, Behar, Section 6 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:4:5,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:7-9",Sifrei Bamidbar 25:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:7,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:25","Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:7-9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:15-16",Rashi on Exodus 21:6:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:6:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:17",Rashi on Exodus 21:6:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:6:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:17",Tractate Avadim 3:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Rashi on Exodus 21:6:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Zevachim 70a:18-19,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 107:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 4:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:7:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 15:8","Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 69:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Zevachim 43b:7-8,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 77:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Yoma 36b:10-11,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 126:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Tosefta Shevuot 3:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12","Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Nazir 45a:13,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 112:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Yevamot 104a:12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:18-19",Sifrei Bamidbar 35:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:6:6,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:23-24",Rashi on Exodus 21:6:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:6:6,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:23-24",Rashi on Deuteronomy 15:17:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:6:6,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:23-24",Ramban on Exodus 21:6:2,,add_ramban_links
Mekhilta DeRabbi Yishmael Old 21:6:7,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 2:25",Mishnah Bava Batra 1:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Numbers 30:17,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Rashi on Exodus 21:7:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Zevachim 111a:9-10,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Nazir 45a:13,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Sifrei Bamidbar 4:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Tosefta Shevuot 3:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Zevachim 70a:18-19,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Sifrei Bamidbar 69:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Tamid 26b:3-4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Sifrei Bamidbar 35:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Sifrei Bamidbar 107:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:1",Sifrei Bamidbar 112:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:3","Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:2",Mishnah Sotah 3:8,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:4-6","Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:2",Sotah 23a:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:7:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:3",Sotah 23a:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:8:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:13",Rashi on Exodus 21:8:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:8:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:15",Ramban on Exodus 21:8:1,,add_ramban_links
Mekhilta DeRabbi Yishmael Old 21:8:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:16-18",Rashi on Exodus 21:8:5,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:9:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:19",Tractate Avadim 1:7,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:9:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:20-21",Rashi on Exodus 21:9:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 21:9:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:20-21",Sefer HaChinukh 46:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 23:12:3,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 3:33-35","Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:20-21",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 21:9:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 3:20-21","Sefer HaMitzvot, Negative Commandments 262:1",,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:10:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:7",Sifrei Bamidbar 15:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:10:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:7",Sifrei Bamidbar 14:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:7:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 15:9","Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:10:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:9",Sanhedrin 83a:10-11,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:7:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 15:8","Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:12,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15",Rashi on Exodus 22:12:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:12:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15-20","Sifra, Kedoshim, Chapter 12 7",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:12:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15-20",Nedarim 49a:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:9:5,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:3-5","Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15-20",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:12:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15-20",Seder Olam Rabbah 22:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:12:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15-20","Sifra, Kedoshim, Chapter 12 9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:12:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:15-20","Otzar Midrashim, The Ten Exiles, The Travails of R' Jacob 18",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 23:19:3,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 5:17-38","Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:22-23",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:30:1,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 2:1","Mekhilta DeRabbi Yishmael, Tractate Nezikin 16:22-23",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:5,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:8-10","Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:1-2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:3,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:5-6",Rashi on Exodus 22:15:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Sifrei Bamidbar 7:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Sotah 25a:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Sotah 4:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Sotah 23b:15-24a:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Yevamot 84a:11-12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Yevamot 2:4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Makkot 3:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Sotah 8:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Ketubot 11:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Sotah 44a:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Kiddushin 3:12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Yevamot 20a:8,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Gittin 9:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Yevamot 53b:9,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Sotah 43a:7,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Yevamot 9:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Yevamot 6:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:15:4,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:7",Mishnah Sotah 8:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",Rashi on Exodus 22:16:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",Yoma 24a:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",Shevuot 30a:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",Yevamot 104a:12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",Yoma 37a:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:16:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",Shevuot 35b:23,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:12",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:2:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 13:3-7","Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:13",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:17:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17","Sifra, Kedoshim, Chapter 10 1",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:17:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17",Yevamot 4a:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:17:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17","Sifra, Kedoshim, Section 4 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:17:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17",Sanhedrin 67a:20-22,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:17:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17",Sanhedrin 56b:2,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:17:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17",Sanhedrin 60a:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:14-17",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Rashi on Exodus 22:18:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Shevuot 30a:6,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Sanhedrin 54a:3,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Sifra, Kedoshim, Chapter 11 2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Shevuot 35b:23,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Sifrei Bamidbar 111:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Yevamot 104a:12,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Sifra, Kedoshim, Chapter 10 10",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Sifra, Kedoshim, Chapter 10 11",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Yoma 24a:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Sanhedrin 66a:11,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Yoma 37a:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Sifra, Kedoshim, Chapter 11 3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Sanhedrin 54a:31,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Sifra, Kedoshim, Chapter 11 1",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18","Sifra, Kedoshim, Chapter 12 10",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:18:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:18",Sanhedrin 52b:23,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:19,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:19-21","Shenei Luchot HaBerit, Torah Shebikhtav, Yitro, Torah Ohr 12",,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:19,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:19-21","Sefer HaMitzvot, Negative Commandments 5:1",,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:19:2,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 17:21-22",Shemot Rabbah 1:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 31:13:2,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 1:3-9","Mekhilta DeRabbi Yishmael, Tractate Nezikin 13:1-2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:20:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 18:1-9",Psalms 121:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:20:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 18:1-9",Psalms 119:19,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:20:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 18:1-9",Psalms 39:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:20,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 18:1",Rashi on Exodus 22:20:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:20,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 18:1",Rashi on Exodus 22:20:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 22:20:1,"Mekhilta DeRabbi Yishmael, Tractate Nezikin 18:1-9","Otzar Midrashim, Midrash on Psalms, Addendum to Psalm 118 12",mesorat hashas,mesorat_hashas.py All
