old_ref,beeri_ref,other_ref,type,generated_by
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sanhedrin 63a:20-21,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:9","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:6,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:20","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Pesachim 95a:9,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:5","Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sifrei Bamidbar 60:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:15:5,"Mekhilta DeRabbi Yishmael, Tractate Pischa 8:10-19",Sifrei Bamidbar 110:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:16:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3",Rashi on Exodus 12:16:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:16:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3","Sifra, Emor, Section 9 5-6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:16:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3",Sifrei Bamidbar 147:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:7-13","Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:16:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:1-3","Sifra, Emor, Section 12 4",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:16:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:4-6",Rashi on Exodus 12:16:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:16:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:4-6",Ramban on Exodus 12:16:1,,add_ramban_links
Mekhilta DeRabbi Yishmael Old 12:16:3-4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:7-8","Mekhilta DeRabbi Yishmael, Tractate Pischa 9:7",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:16:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:8-10",Rashi on Exodus 12:16:4,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:17:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:11-13",Rashi on Exodus 12:17:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:17,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:11-16",Mesilat Yesharim 7:6,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:17:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:11-13",Mishnah Pesachim 3:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:17:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 9:11-13",Pesachim 48b:11-13,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 31:13:1,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 1:2","Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 23:13:1,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 4:1-3","Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:6:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:7-13","Mekhilta DeRabbi Yishmael, Tractate Pischa 9:16",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:18,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:1",Rashi on Exodus 12:18:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 20:8:3,"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 7:10","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:1-2",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:7:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:17-18","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:3","Sifra, Emor, Chapter 7 11",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 22:27:2,"Mekhilta DeRabbi Yishmael, Tractate Kaspa 1:19-21","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:3",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4",Rashi on Exodus 12:19:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:19:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4","Sifra, Shemini, Section 2 10",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 13:7:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 17:17-18","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4","Sifra, Tzav, Chapter 15 7",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:4",Sifrei Bamidbar 129:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8",Rashi on Exodus 12:19:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:20:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:10","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8",Pesachim 28b:5,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8",Menachot 58a:15,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8","Sifra, Emor, Section 2 6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8",Pesachim 43a:22,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 20:3:1,"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 6:1-13","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:5-8",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:9",Rashi on Exodus 12:19:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 31:14:3,"Mekhilta DeRabbi Yishmael, Tractate Shabbata 1:19-20","Mekhilta DeRabbi Yishmael, Tractate Pischa 10:9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:19:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 10:9",Sifrei Bamidbar 70:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:1",Numbers 18:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:1",Numbers 18:8,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:1-20",Rashi on Exodus 6:26:1,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:1,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:1","Sifra, Vayikra Dibbura d'Nedavah, Chapter 2 4",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:2",Shemot Rabbah 15:3-4,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:2,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:2",Sotah 44a:9,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7","Otzar Midrashim, Aharon, And These are the Generations of Aharon and Moshe 6",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7",Vayikra Rabbah 36:1,mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7","Otzar Midrashim, Midrash on the Ten Kings 1:9",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 20:12:1,"Mekhilta DeRabbi Yishmael, Tractate Bachodesh 8:1-7","Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7","Otzar Midrashim, The Story of Daniel 1:17",mesorat hashas,mesorat_hashas.py All
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7",Numbers 14:6,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7",Numbers 32:12,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:3,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:3-7",Tosefta Keritot 4:7,,
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Ramban on Exodus 12:2:1,reference,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Numbers 18:19,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Zechariah 4:10,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Proverbs 15:3,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Numbers 11:15,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Numbers 25:13,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Rashi on Exodus 12:1:2,,add_links_from_text
Mekhilta DeRabbi Yishmael Old 12:1:4,"Mekhilta DeRabbi Yishmael, Tractate Pischa 1:8-19",Tosefta Zevachim 13:9,mesorat hashas,mesorat_hashas.py All
