book type,tractate,chapter,halakha,image start,image end,manuscript,im run,file name,library,description,extended description,manuscript id,library id
תוספתא,ברכות,ג,יח,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,יט,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כ,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כא,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כב,ברכות ג:ט,ברכות ג:כב ,Or. fol. 1220,8,..\MnuImages\N1484\w\0007.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כג,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כד,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כה,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ג,כו,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,א,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ב,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ג,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ד,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ה,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ו,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ז,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ח,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ט,ברכות ג:כג,ברכות ד:ט ,Or. fol. 1220,9,..\MnuImages\N1484\w\0008.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,ט,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,י,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יא,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יב,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יג,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יד,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,טו,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,טז,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
תוספתא,ברכות,ד,יז,ברכות ד:ט,ברכות ד:יז ,Or. fol. 1220,10,..\MnuImages\N1484\w\0009.jpg,"Berlin, Staatsbibliothek",כתב יד ארפורט,"כתיבה אשכנזית, המאה ה-11 או ה-12, 450 דפים.",1484,14
