Id,Relevance,Ref,Version,Lang,Content,Field,Score
54,--,"Tafsir Rasag, Genesis 5:23","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תלת מאיה סנה וכמס וסתין סנה ,infreq,44.425232
55,--,"Tafsir Rasag, Genesis 5:25","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש מתושלח מאיה וסבעה ותמאנין סנה אולד למך ,infreq,31.492392
56,--,"Tafsir Rasag, Genesis 5:27","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גימיע עמרה תסע מאיה סנה ותסע וסתין סנה תים מאת ,infreq,35.753433
57,--,"Tafsir Rasag, Genesis 5:20","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תסע מאיה ואתנתין וסתין סנה תם מאת ,infreq,31.413385
58,--,"Tafsir Rasag, Leviticus 27:17","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פאן אקדס ציעתה מן סנה אלאטלאק פאלקימה תאבתה בחאלהא ,infreq,31.463583
59,--,"Tafsir Rasag, Numbers 14:34","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, באחצא אלאיאם אלתי רמתם פי אלבלד ארבעין יומא לכל יום סנה תחמלון אוזארכם אלי תמאם ארבעין סנה פתערפון מוצע אענאתי ,aggresive-ngram,19.661469
60,--,Rashi on Sukkah 13a:2:1,Vilna Edition,he,היזמי והיגי - מיני סנה:,infreq,50.562992
61,--,"Tafsir Rasag, Genesis 5:21","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, ולמא עאש חנוך כמס וסתין סנה אולד מתושלח ,infreq,32.13737
62,--,"Tafsir Rasag, Deuteronomy 14:22","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, עשרא תעשר גמיע גלה זרעך מא תנבתה אלצחרא סנה סנה ,infreq,44.53697
63,--,"Tafsir Rasag, Genesis 5:11","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תסע מאיה סנה וכמס סנין תם מאת ,infreq,34.317497
64,--,Bartenura on Mishnah Maasrot 1:3:2,On Your Way,he,וכל השחורים. כגון ענבי הדס וענבי סנה:,infreq,37.696056
65,--,Rashi on Genesis 13:13:3,Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann,he,"וחטאים בממונם (סנה’ ק""ט):",infreq,56.357574
66,--,Rashi on Shabbat 67a:2:2,Vilna Edition,he,וורדיני - סנה:,infreq,62.984783
67,--,Rashi on Gittin 69b:18:1,Vilna Edition,he,אסיסנא יבישתא - על סנה יבש:,infreq,44.99232
68,--,"Tafsir Rasag, Genesis 9:29","Tafsir al-Torah bi-al-Arabiya, Paris, 1893",he, פצאר גמיע עמרה תסע מאיה וכמסין סנה תם מאת ,infreq,31.413385
