chinukh,smk,rambam,smg,mishneh,shulchanArukh
421,[153],"[u'Positive Commandments', 13]","[u'Positive Commandments', 21]",[],"[u'Shulchan Arukh, Orach Chayim 25']"
422,[153],"[u'Positive Commandments', 12]","[u'Positive Commandments', 22]",[],"[u'Shulchan Arukh, Orach Chayim 25']"
423,[154],"[u'Positive Commandments', 15]","[u'Positive Commandments', 23]","[u'Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll 5']","[u""Shulchan Arukh, Yoreh De'ah 285""]"
424,[18],"[u'Negative Commandments', 64]","[u'Negative Commandments', 4]","[u'Mishneh Torah, Foundations of the Torah 10:5']",[]
425,[],"[u'Positive Commandments', 187]","[u'Positive Commandments', 117]","[u'Mishneh Torah, Kings and Wars 5:4']",[]
426,[135],"[u'Negative Commandments', 50]","[u'Negative Commandments', 48]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 10']","[[u""Shulchan Arukh, Yoreh De'ah 151""], [u'Shulchan Arukh, Choshen Mishpat 249']]"
427,[290],"[u'Negative Commandments', 52]","[u'Negative Commandments', 112]","[u'Mishneh Torah, Forbidden Intercourse 12']","[[u'Shulchan Arukh, Even HaEzer 16'], [u'Shulchan Arukh, Choshen Mishpat 425']]"
428,[66],"[u'Negative Commandments', 22]","[u'Negative Commandments', 46]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 8:7']","[u""Shulchan Arukh, Yoreh De'ah 145""]"
429,[68],"[u'Negative Commandments', 25]","[u'Negative Commandments', 45]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 7']","[u""Shulchan Arukh, Yoreh De'ah 145""]"
430,[109],"[u'Positive Commandments', 19]","[u'Positive Commandments', 27]","[u'Mishneh Torah, Blessings 1-5']","[u'Shulchan Arukh, Orach Chayim']"
431,[],"[u'Positive Commandments', 207]","[u'Positive Commandments', 10]","[u'Mishneh Torah, Human Dispositions 6']",[]
432,[4],"[u'Positive Commandments', 4]","[u'Positive Commandments', 4]","[u'Mishneh Torah, Foundations of the Torah 2']",[]
433,[11],"[u'Positive Commandments', 5]","[u'Positive Commandments', 19]","[u'Mishneh Torah, Prayer and the Priestly Blessing 1']","[u'Shulchan Arukh, Orach Chayim 89']"
434,[45],"[u'Positive Commandments', 6]","[u'Positive Commandments', 8]","[u'Mishneh Torah, Human Dispositions 6']",[]
435,[108],"[u'Positive Commandments', 7]","[u'Positive Commandments', 123]","[u'Mishneh Torah, Oaths 11']","[u""Shulchan Arukh, Yoreh De'ah 237""]"
436,"[37, 38, 39, 40, 41, 42, 43]","[u'Positive Commandments', 185]","[u'Positive Commandments', 14]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 7:1']","[u""Shulchan Arukh, Yoreh De'ah 146""]"
437,[160],"[u'Negative Commandments', 65]","[u'Negative Commandments', 3]","[u'Mishneh Torah, Foundations of the Torah 6']",[]
438,[],"[u'Positive Commandments', 83]","[u'Positive Commandments', 187]","[u'Mishneh Torah, Sacrificial Procedure 14']",[]
439,[],"[u'Negative Commandments', 89]","[u'Negative Commandments', 332]","[u'Mishneh Torah, Sacrificial Procedure 18']",[]
440,[],"[u'Positive Commandments', 84]","[u'Positive Commandments', 188]","[u'Mishneh Torah, Sacrificial Procedure 18']",[]
441,[],"[u'Positive Commandments', 86]","[u'Positive Commandments', 177]","[u'Mishneh Torah, Things Forbidden on the Altar 1:10']",[]
442,[],"[u'Negative Commandments', 141]","[u'Negative Commandments', 259]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]",[]
443,[],"[u'Negative Commandments', 142]","[u'Negative Commandments', 260]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]",[]
444,[],"[u'Negative Commandments', 143]","[u'Negative Commandments', 261]","[u""Mishneh Torah, Second Tithes and Fourth Year's Fruit""]",[]
445,[],"[u'Negative Commandments', 144]","[u'Negative Commandments', 342]","[u'Mishneh Torah, Firstlings 1:16']",[]
446,[],"[u'Negative Commandments', 145]","[u'Negative Commandments', 325]","[u'Mishneh Torah, Sacrificial Procedure 11:5']",[]
447,[],"[u'Negative Commandments', 146]","[u'Negative Commandments', 321]","[u'Mishneh Torah, Sacrificial Procedure 11:1']",[]
448,[],"[u'Negative Commandments', 147]","[u'Negative Commandments', 324]","[u'Mishneh Torah, Sacrificial Procedure 11:4']",[]
