chinukh,smk,rambam,smg,mishneh,shulchanArukh
1,[284],[],"[u'Positive Commandments', 49]","[u'Mishneh Torah, Marriage 15']","[u'Shulchan Arukh, Even HaEzer 1']"
2,"[157, 158, 159, 289]","[u'Positive Commandments', 215]","[u'Positive Commandments', 28]","[[u'Mishneh Torah, Circumcision'], [u'Mishneh Torah, Forbidden Intercourse 13']]","[[u""Shulchan Arukh, Yoreh De'ah""], [u""Shulchan Arukh, Yoreh De'ah 268""]]"
3,"[[], [203]]","[u'Negative Commandments', 183]",[],[],"[u""Shulchan Arukh, Yoreh De'ah 100""]"
4,[103],"[u'Positive Commandments', 153]","[u'Positive Commandments', 46]","[u'Mishneh Torah, Sanctification of the New Month 1']",[]
5,[],"[u'Positive Commandments', 55]","[u'Positive Commandments', 223]","[u'Mishneh Torah, Paschal Offering 1']",[]
6,[],"[u'Positive Commandments', 56]","[u'Positive Commandments', 225]","[u'Mishneh Torah, Paschal Offering 8']",[]
7,[],"[u'Negative Commandments', 125]","[u'Negative Commandments', 350]","[u'Mishneh Torah, Paschal Offering 8']",[]
8,[],"[u'Negative Commandments', 117]","[u'Negative Commandments', 358]","[u'Mishneh Torah, Paschal Offering 10:11']",[]
9,"[94, 98]","[u'Positive Commandments', 156]","[u'Positive Commandments', 39]","[u'Mishneh Torah, Leavened and Unleavened Bread 2']","[u'Shulchan Arukh, Orach Chayim 431']"
10,[219],"[u'Positive Commandments', 158]","[u'Positive Commandments', 40]","[u'Mishneh Torah, Leavened and Unleavened Bread 6']","[u'Shulchan Arukh, Orach Chayim 471']"
11,[36],"[u'Negative Commandments', 201]","[u'Negative Commandments', 78]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 431']"
12,[],"[u'Negative Commandments', 198]","[u'Negative Commandments', 79]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 442']"
13,[],"[u'Negative Commandments', 126, 128]","[u'Negative Commandments', 353]","[u'Mishneh Torah, Paschal Offering 9']",[]
14,[],"[u'Negative Commandments', 126, 128]","[u'Negative Commandments', 353]","[u'Mishneh Torah, Paschal Offering 9']",[]
15,[],"[u'Negative Commandments', 123]","[u'Negative Commandments', 352]","[u'Mishneh Torah, Paschal Offering 9:1-5']",[]
16,[],"[u'Negative Commandments', 121]","[u'Negative Commandments', 356]","[u'Mishneh Torah, Paschal Offering 10']",[]
17,[],"[u'Negative Commandments', 127]","[u'Negative Commandments', 355]","[u'Mishneh Torah, Paschal Offering 5']",[]
18,[242],"[[u'Positive Commandments', 79], []]","[u'Positive Commandments', 211]","[u'Mishneh Torah, Firstlings 1']","[u""Shulchan Arukh, Yoreh De'ah 306""]"
19,[222],"[u'Negative Commandments', 197]","[u'Negative Commandments', 76]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 443']"
20,"[34, 35]","[u'Negative Commandments', 200]","[u'Negative Commandments', 77]","[u'Mishneh Torah, Leavened and Unleavened Bread 1']","[u'Shulchan Arukh, Orach Chayim 431']"
21,[144],"[u'Positive Commandments', 157]","[u'Positive Commandments', 41]","[u'Mishneh Torah, Leavened and Unleavened Bread 7:1-5']","[u'Shulchan Arukh, Orach Chayim 472']"
22,[242],"[u'Positive Commandments', 81]","[u'Positive Commandments', 145]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 12']","[u""Shulchan Arukh, Yoreh De'ah 321""]"
23,[243],"[u'Positive Commandments', 82]","[u'Positive Commandments', 146]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 12']","[u""Shulchan Arukh, Yoreh De'ah 321""]"
24,[],"[u'Negative Commandments', 321]","[u'Negative Commandments', 66]","[u'Mishneh Torah, Sabbath 27']","[u'Shulchan Arukh, Orach Chayim 60']"
25,[1],"[u'Positive Commandments', 1]","[u'Positive Commandments', 1]","[u'Mishneh Torah, Foundations of the Torah 1']","[u'Shulchan Arukh, Orach Chayim 61']"
26,[],"[u'Negative Commandments', 1]","[u'Negative Commandments', 1]","[u'Mishneh Torah, Foundations of the Torah 1']",[]
27,[161],"[u'Negative Commandments', 2]","[u'Negative Commandments', 20]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 3:9']",[]
28,[64],"[u'Negative Commandments', 5]","[u'Negative Commandments', 19]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 3']","[u""Shulchan Arukh, Yoreh De'ah 139""]"
29,[62],"[u'Negative Commandments', 6]","[[u'Negative Commandments', 18], []]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 3']",[]
30,[129],"[u'Negative Commandments', 62]","[u'Negative Commandments', 238]","[u'Mishneh Torah, Oaths 1']","[[u""Shulchan Arukh, Yoreh De'ah 236""], [u'Shulchan Arukh, Orach Chayim 215']]"
31,"[260, 281, 283]","[u'Positive Commandments', 155]","[u'Positive Commandments', 29]","[u'Mishneh Torah, Sabbath 29']","[u'Shulchan Arukh, Orach Chayim 262']"
32,"[281, 282]","[u'Negative Commandments', 320]","[u'Negative Commandments', 65]","[u'Mishneh Torah, Sabbath 1']","[u'Shulchan Arukh, Orach Chayim 301']"
33,[50],"[u'Positive Commandments', 210]","[u'Positive Commandments', 112]","[u'Mishneh Torah, Rebels 6']","[u""Shulchan Arukh, Yoreh De'ah 240""]"
34,[82],"[u'Negative Commandments', 289]","[u'Negative Commandments', 108]","[u'Mishneh Torah, Murderer and the Preservation of Life 1']","[[u'Shulchan Arukh, Choshen Mishpat 425'], [u""Shulchan Arukh, Yoreh De'ah 339""]]"
35,[304],"[u'Negative Commandments', 347]","[u'Negative Commandments', 96]","[u'Mishneh Torah, Forbidden Intercourse 1']","[u'Shulchan Arukh, Even HaEzer 17:20']"
36,[262],"[u'Negative Commandments', 243]","[u'Negative Commandments', 154]","[u'Mishneh Torah, Theft 9']",[]
37,[235],"[u'Negative Commandments', 285]","[u'Negative Commandments', 216]","[u'Mishneh Torah, Testimony 17']","[u'Shulchan Arukh, Choshen Mishpat 28']"
38,[19],"[u'Negative Commandments', 265]","[u'Negative Commandments', 158]","[u'Mishneh Torah, Robbery and Lost Property 1:9']","[u'Shulchan Arukh, Choshen Mishpat 359']"
39,[162],"[[u'Negative Commandments', 4], []]","[u'Negative Commandments', 22]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 3:10']","[u""Shulchan Arukh, Yoreh De'ah 141""]"
40,[],"[u'Negative Commandments', 79]","[u'Negative Commandments', 290]","[u'Mishneh Torah, The Chosen Temple 1:14-16']",[]
41,[],"[u'Negative Commandments', 80]","[u'Negative Commandments', 291]","[u'Mishneh Torah, The Chosen Temple 1:17']",[]
42,[],"[u'Positive Commandments', 232]","[u'Positive Commandments', 83]","[u'Mishneh Torah, Slaves 1']","[u""Shulchan Arukh, Yoreh De'ah 267""]"
43,[],"[u'Positive Commandments', 233]","[u'Positive Commandments', 86]","[u'Mishneh Torah, Slaves 4']",[]
44,[],[],"[u'Positive Commandments', 85]","[u'Mishneh Torah, Slaves 4']",[]
45,[],"[u'Negative Commandments', 261]","[u'Negative Commandments', 178]","[u'Mishneh Torah, Slaves 4:10']",[]
46,"[276, 277]","[u'Negative Commandments', 262]","[u'Negative Commandments', 81]","[u'Mishneh Torah, Marriage 12-14']","[[u'Shulchan Arukh, Even HaEzer'], [u'Shulchan Arukh, Orach Chayim 240']]"
47,[],"[u'Positive Commandments', 226]","[u'Positive Commandments', 100]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 14']",[]
48,[],"[u'Negative Commandments', 319]","[u'Negative Commandments', 219]","[u'Mishneh Torah, Rebels 5']","[u""Shulchan Arukh, Yoreh De'ah 241""]"
49,[],"[u'Positive Commandments', 236]","[u'Positive Commandments', 70]","[u'Mishneh Torah, One Who Injures a Person or Property 1']","[u'Shulchan Arukh, Choshen Mishpat 1']"
50,[],"[u'Positive Commandments', 226]",[],"[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 14']",[]
51,[],"[u'Positive Commandments', 237]","[u'Positive Commandments', 66]","[u'Mishneh Torah, Damages to Property 1']","[u'Shulchan Arukh, Choshen Mishpat 389']"
52,[],"[u'Negative Commandments', 188]","[u'Negative Commandments', 135]",[],[]
53,[],"[u'Positive Commandments', 238]","[u'Positive Commandments', 68]","[u'Mishneh Torah, Damages to Property 12']","[u'Shulchan Arukh, Choshen Mishpat 410']"
54,[],"[u'Positive Commandments', 239]","[u'Positive Commandments', 71]","[u'Mishneh Torah, Theft 1']","[u'Shulchan Arukh, Choshen Mishpat 348']"
55,[],"[u'Positive Commandments', 240]","[u'Positive Commandments', 67]","[u'Mishneh Torah, Damages to Property 1']","[u'Shulchan Arukh, Choshen Mishpat 390']"
56,[],"[u'Positive Commandments', 241]","[u'Positive Commandments', 69]","[u'Mishneh Torah, Damages to Property 14']","[u'Shulchan Arukh, Choshen Mishpat 418']"
57,[],"[u'Positive Commandments', 242]","[u'Positive Commandments', 88]",[],"[u'Shulchan Arukh, Choshen Mishpat 291']"
58,[],"[u'Positive Commandments', 246]","[u'Positive Commandments', 95]","[u'Mishneh Torah, Plaintiff and Defendant 1']","[u'Shulchan Arukh, Choshen Mishpat 87']"
59,[],"[u'Positive Commandments', 243]","[u'Positive Commandments', 89]","[u'Mishneh Torah, Hiring 1']","[u'Shulchan Arukh, Choshen Mishpat 303']"
60,[],"[u'Positive Commandments', 244]","[u'Positive Commandments', 92]","[u'Mishneh Torah, Borrowing and Deposit 1']","[u'Shulchan Arukh, Choshen Mishpat 340-346']"
61,[],"[u'Positive Commandments', 220]","[u'Positive Commandments', 53]","[u'Mishneh Torah, Virgin Maiden 1']","[u'Shulchan Arukh, Even HaEzer 177']"
62,[],"[u'Negative Commandments', 310]","[u'Negative Commandments', 198]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 14:3']","[u""Shulchan Arukh, Yoreh De'ah 179""]"
63,[],"[u'Negative Commandments', 152, 153]","[u'Negative Commandments', 172]","[u'Mishneh Torah, Sales 14:15']","[u'Shulchan Arukh, Choshen Mishpat 228']"
64,[88],"[u'Negative Commandments', 253]","[u'Negative Commandments', 172]","[u'Mishneh Torah, Sales 14']","[u'Shulchan Arukh, Choshen Mishpat 228']"
65,"[86, 87]","[u'Negative Commandments', 256]","[u'Negative Commandments', 8]","[u'Mishneh Torah, Human Dispositions 6:10']",[]
66,[248],"[u'Positive Commandments', 197]","[u'Positive Commandments', 93]","[u'Mishneh Torah, Creditor and Debtor 1']","[u'Shulchan Arukh, Choshen Mishpat 97']"
67,[],"[u'Negative Commandments', 234]","[u'Negative Commandments', 185]","[u'Mishneh Torah, Creditor and Debtor 1']","[u'Shulchan Arukh, Choshen Mishpat 97']"
68,[259],"[u'Negative Commandments', 237]","[u'Negative Commandments', 193]","[u'Mishneh Torah, Creditor and Debtor 4']","[u""Shulchan Arukh, Yoreh De'ah 160""]"
69,[125],"[u'Negative Commandments', 315]","[u'Negative Commandments', 16]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2']",[]
70,[125],"[u'Negative Commandments', 60]","[u'Negative Commandments', 16]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 2:6']",[]
71,[],"[u'Negative Commandments', 316]","[u'Negative Commandments', 210]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 26']","[u'Shulchan Arukh, Choshen Mishpat 27']"
72,[],"[u'Negative Commandments', 154]","[u'Negative Commandments', 253]","[u'Mishneh Torah, Heave Offerings 3:23']","[u""Shulchan Arukh, Yoreh De'ah 331""]"
73,[201],"[u'Negative Commandments', 181]","[u'Negative Commandments', 134]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 14""]"
74,[233],"[u'Negative Commandments', 281]","[u'Negative Commandments', 10]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 21:7']","[u'Shulchan Arukh, Choshen Mishpat 17']"
75,[236],"[u'Negative Commandments', 286]","[u'Negative Commandments', 214]","[u'Mishneh Torah, Testimony 10']","[u'Shulchan Arukh, Choshen Mishpat 34']"
76,[],"[u'Negative Commandments', 282]","[u'Negative Commandments', 195]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 8:1']",[]
77,[],"[u'Negative Commandments', 283]",[31],"[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 10']",[]
78,[225],"[u'Positive Commandments', 175]","[u'Positive Commandments', 98]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 8']","[u'Shulchan Arukh, Choshen Mishpat 18']"
79,[229],"[u'Negative Commandments', 277]","[u'Negative Commandments', 203]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:4']","[u'Shulchan Arukh, Choshen Mishpat 17']"
80,[54],"[u'Positive Commandments', 202]","[u'Positive Commandments', 80]","[u'Mishneh Torah, Murderer and the Preservation of Life 13']","[u'Shulchan Arukh, Choshen Mishpat 272']"
81,[],"[u'Negative Commandments', 278]",[],"[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:5']","[u'Shulchan Arukh, Choshen Mishpat 17']"
82,[],"[u'Negative Commandments', 290]","[u'Negative Commandments', 205]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 20:1']","[u'Shulchan Arukh, Choshen Mishpat']"
83,[230],"[u'Negative Commandments', 274]","[u'Negative Commandments', 208]","[u'Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction 23:1']","[u'Shulchan Arukh, Choshen Mishpat 9']"
84,[],"[u'Positive Commandments', 134]","[u'Positive Commandments', 148]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 4:24']",[]
85,[],"[u'Positive Commandments', 154]","[u'Positive Commandments', 30]","[u'Mishneh Torah, Sabbath 1']","[u'Shulchan Arukh, Orach Chayim']"
86,[],"[u'Negative Commandments', 14, u'Negative Commandments', 76]",[31],"[u'Mishneh Torah, Foreign Worship and Customs of the Nations 5:10']","[u""Shulchan Arukh, Yoreh De'ah 147""]"
87,[119],"[u'Negative Commandments', 15]","[u'Negative Commandments', 23]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 4']",[]
88,[],"[u'Positive Commandments', 52]","[u'Positive Commandments', 227]","[u'Mishneh Torah, Festival Offering 1']",[]
89,[],"[u'Negative Commandments', 115]","[u'Negative Commandments', 347]","[u'Mishneh Torah, Paschal Offering 1:5']",[]
90,[],"[u'Negative Commandments', 116]","[u'Negative Commandments', 348]","[u'Mishneh Torah, Paschal Offering 1:5']",[]
91,[],"[u'Positive Commandments', 125]","[u'Positive Commandments', 139]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 2']",[]
92,[176],"[u'Negative Commandments', 186]","[u'Negative Commandments', 140]","[u'Mishneh Torah, Forbidden Foods 9']","[u""Shulchan Arukh, Yoreh De'ah 87""]"
93,[],"[u'Negative Commandments', 48]","[u'Negative Commandments', 47]","[[u'Mishneh Torah, Foreign Worship and Customs of the Nations 10'], [u'Mishneh Torah, Kings and Wars 6']]",[]
94,[],"[u'Negative Commandments', 51]","[u'Negative Commandments', 49]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 10']","[u""Shulchan Arukh, Yoreh De'ah 151""]"
95,[],"[u'Positive Commandments', 20]","[u'Positive Commandments', 163]","[u'Mishneh Torah, The Chosen Temple 1']",[]
96,[],"[u'Negative Commandments', 86]","[u'Negative Commandments', 296]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 2:13']",[]
97,[],"[u'Positive Commandments', 27]","[u'Positive Commandments', 196]","[u'Mishneh Torah, Daily Offerings and Additional Offerings']",[]
98,[],"[u'Positive Commandments', 25]","[u'Positive Commandments', 193]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 3']",[]
99,[],"[u'Positive Commandments', 33]","[u'Positive Commandments', 173]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8-10']",[]
100,[],"[u'Negative Commandments', 87]","[u'Negative Commandments', 298]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 9:10']",[]
101,[],"[u'Negative Commandments', 87, 88]","[u'Negative Commandments', 298]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 9']",[]
102,[],[],[],[],[]
103,[],"[u'Positive Commandments', 28]","[u'Positive Commandments', 167]","[[u'Mishneh Torah, Daily Offerings and Additional Offerings 3'], [u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 2']]",[]
104,[],"[u'Negative Commandments', 82]","[u'Negative Commandments', 295]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 2:11']",[]
105,[],"[u'Positive Commandments', 171]","[u'Positive Commandments', 45]","[u'Mishneh Torah, Sheqel Dues 1']",[]
106,[],"[u'Positive Commandments', 24]","[u'Positive Commandments', 175]","[u'Mishneh Torah, Admission into the Sanctuary 5']",[]
107,[],"[u'Positive Commandments', 35]","[u'Positive Commandments', 166]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1']",[]
108,[293],"[u'Negative Commandments', 83]","[u'Negative Commandments', 292]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[]
109,[173],"[u'Negative Commandments', 84]","[u'Negative Commandments', 293]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[]
110,[173],"[u'Negative Commandments', 83]","[u'Negative Commandments', 294]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[]
111,[223],"[u'Negative Commandments', 194]","[u'Negative Commandments', 148]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 123""]"
112,[],"[u'Positive Commandments', 135]","[u'Positive Commandments', 147]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 1']",[]
113,[213],"[u'Negative Commandments', 187]","[u'Negative Commandments', 141]",[],"[u""Shulchan Arukh, Yoreh De'ah 87""]"
114,[],"[u'Negative Commandments', 322]","[u'Negative Commandments', 67]","[u'Mishneh Torah, Sabbath 24:7']","[[u'Shulchan Arukh, Orach Chayim 339'], [u'Shulchan Arukh, Choshen Mishpat 5']]"
115,[],"[u'Positive Commandments', 63]","[u'Positive Commandments', 180]","[u'Mishneh Torah, Sacrificial Procedure 6']",[]
116,[],"[u'Positive Commandments', 67]","[u'Positive Commandments', 186]","[u'Mishneh Torah, Sacrificial Procedure 12']",[]
117,[],"[u'Negative Commandments', 98]",[],"[u'Mishneh Torah, Things Forbidden on the Altar 5:1-5']",[]
118,[],"[u'Negative Commandments', 99]","[u'Negative Commandments', 320]","[u'Mishneh Torah, Things Forbidden on the Altar 5:11-13']",[]
119,[],"[u'Positive Commandments', 62]","[u'Positive Commandments', 179]","[u'Mishneh Torah, Things Forbidden on the Altar 5:11']",[]
120,[],"[u'Positive Commandments', 68]","[u'Positive Commandments', 217]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 12-14']",[]
121,[],[],"[u'Positive Commandments', 213]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 6']",[]
122,[238],"[u'Positive Commandments', 178]","[u'Positive Commandments', 108]","[u'Mishneh Torah, Testimony 1']","[u'Shulchan Arukh, Choshen Mishpat 28']"
123,[],"[u'Positive Commandments', 72]","[u'Positive Commandments', 216]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 10']",[]
124,[],"[u'Negative Commandments', 112]","[u'Negative Commandments', 327]","[u'Mishneh Torah, Sacrificial Procedure 7:6-9']",[]
125,[],"[u'Negative Commandments', 102]","[u'Negative Commandments', 328]","[u'Mishneh Torah, Sacrificial Procedure 12:7-8']",[]
126,[],"[u'Negative Commandments', 103]","[u'Negative Commandments', 329]","[u'Mishneh Torah, Sacrificial Procedure 12']",[]
127,[],"[u'Positive Commandments', 118]","[u'Positive Commandments', 210]","[u'Mishneh Torah, Trespass 1']",[]
128,[],"[u'Positive Commandments', 71]","[u'Positive Commandments', 215]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 8']",[]
129,[],"[u'Positive Commandments', 71]","[u'Positive Commandments', 266]",[],[]
130,[246],"[u'Positive Commandments', 194]","[u'Positive Commandments', 73]","[u'Mishneh Torah, Robbery and Lost Property 1-8']","[u'Shulchan Arukh, Choshen Mishpat 360']"
131,[],"[u'Positive Commandments', 30]","[u'Positive Commandments', 192]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 2:10-15']",[]
132,[],"[u'Positive Commandments', 29]","[u'Positive Commandments', 191]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 2:1-5']",[]
133,[],"[u'Negative Commandments', 81]","[u'Negative Commandments', 334]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 2:6']",[]
134,[],"[u'Positive Commandments', 88]","[u'Positive Commandments', 185]","[u'Mishneh Torah, Sacrificial Procedure 10']",[]
135,[],"[u'Negative Commandments', 124]","[u'Negative Commandments', 330]","[u'Mishneh Torah, Sacrificial Procedure 12:14-21']",[]
136,[],"[u'Positive Commandments', 40]","[u'Positive Commandments', 194]",[],[]
137,[],"[u'Negative Commandments', 138]","[u'Negative Commandments', 322]","[u'Mishneh Torah, Sacrificial Procedure 12:9']",[]
138,[],"[u'Positive Commandments', 64]","[u'Positive Commandments', 181]","[u'Mishneh Torah, Sacrificial Procedure 1']",[]
139,[],"[u'Negative Commandments', 139]","[u'Negative Commandments', 323]",[],[]
140,[],"[u'Positive Commandments', 65]","[u'Positive Commandments', 182]","[u'Mishneh Torah, Sacrificial Procedure 9:1-2']",[]
141,[],"[u'Positive Commandments', 66]","[u'Positive Commandments', 183]","[u'Mishneh Torah, Sacrificial Procedure 9']",[]
142,[],"[u'Negative Commandments', 120]","[u'Negative Commandments', 336]","[u'Mishneh Torah, Sacrifices Rendered Unfit 18:9']",[]
143,[],"[u'Positive Commandments', 91]","[u'Positive Commandments', 207]","[u'Mishneh Torah, Sacrifices Rendered Unfit 19']",[]
144,[],"[u'Negative Commandments', 132]","[u'Negative Commandments', 337]","[u'Mishneh Torah, Sacrifices Rendered Unfit']",[]
145,[],"[u'Negative Commandments', 130]","[u'Negative Commandments', 338]","[u'Mishneh Torah, Sacrifices Rendered Unfit 18:12-24']",[]
146,[],"[u'Positive Commandments', 90]","[u'Positive Commandments', 208]",[],[]
147,[204],"[u'Negative Commandments', 185]","[u'Negative Commandments', 138]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 64""]"
148,[205],"[u'Negative Commandments', 184]","[u'Negative Commandments', 137]","[u'Mishneh Torah, Forbidden Foods']",
149,[],"[u'Negative Commandments', 163]","[u'Negative Commandments', 301]","[u'Mishneh Torah, Admission into the Sanctuary 1:8-17']",[]
150,[],"[u'Negative Commandments', 164]","[u'Negative Commandments', 302]","[u'Mishneh Torah, Admission into the Sanctuary 1']",[]
151,[],"[u'Negative Commandments', 168]",[31],"[u'Mishneh Torah, Admission into the Sanctuary 2:5-9']",[]
152,[],"[u'Negative Commandments', 73]","[u'Negative Commandments', 300]","[u'Mishneh Torah, Admission into the Sanctuary 1:1-7']","[[u""Shulchan Arukh, Yoreh De'ah 242""], [u'Shulchan Arukh, Choshen Mishpat 7']]"
153,"[200, 210, 223]","[u'Positive Commandments', 149]",[],"[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 79""]"
154,[],"[u'Negative Commandments', 172]","[u'Negative Commandments', 127]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 79""]"
155,[211],"[u'Positive Commandments', 152]","[u'Positive Commandments', 62]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 83""]"
156,[211],"[u'Positive Commandments', 152]","[u'Positive Commandments', 62]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 83""]"
157,[207],"[u'Negative Commandments', 174]","[u'Negative Commandments', 128]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 82""]"
158,[8],"[u'Positive Commandments', 151]","[u'Positive Commandments', 61]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 85""]"
159,[],"[u'Positive Commandments', 97]","[u'Positive Commandments', 245]","[u'Mishneh Torah, Other Sources of Defilement 4']",[]
160,[],"[u'Positive Commandments', 98]","[u'Positive Commandments', 246]","[u'Mishneh Torah, Defilement of Foods 1']",[]
161,[],"[u'Positive Commandments', 96]","[u'Positive Commandments', 244]","[u'Mishneh Torah, Other Sources of Defilement 1-2']",[]
162,[210],"[u'Negative Commandments', 176]","[u'Negative Commandments', 131]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 84""]"
163,[212],"[u'Negative Commandments', 178]",[31],"[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 84""]"
164,[],"[u'Negative Commandments', 179]","[u'Negative Commandments', 132]","[u'Mishneh Torah, Forbidden Foods 2:12']","[u""Shulchan Arukh, Yoreh De'ah 180""]"
165,[212],"[u'Negative Commandments', 177]",[],"[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 180""]"
166,[],"[u'Positive Commandments', 100]","[u'Positive Commandments', 243]",[],"[u""Shulchan Arukh, Yoreh De'ah 194""]"
167,[],"[u'Negative Commandments', 129]","[u'Negative Commandments', 339]","[u'Mishneh Torah, Sacrifices Rendered Unfit 18:13-24']",[]
168,[],"[u'Positive Commandments', 76]","[u'Positive Commandments', 220]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1']",[]
169,[],"[u'Positive Commandments', 101]","[u'Positive Commandments', 234]","[u'Mishneh Torah, Defilement by Leprosy 1:1-3']",[]
170,[],"[u'Negative Commandments', 307]","[u'Negative Commandments', 362]","[u'Mishneh Torah, Defilement by Leprosy 8:3']",[]
171,[],"[u'Positive Commandments', 112]","[u'Positive Commandments', 235]","[u'Mishneh Torah, Defilement by Leprosy 10:6']",[]
172,[],"[u'Positive Commandments', 102]","[u'Positive Commandments', 238]","[u'Mishneh Torah, Defilement by Leprosy']",[]
173,[],"[u'Positive Commandments', 110]","[u'Positive Commandments', 236]","[u'Mishneh Torah, Defilement by Leprosy 11']",[]
174,[],"[u'Positive Commandments', 111]","[u'Positive Commandments', 237]","[u'Mishneh Torah, Defilement by Leprosy 11:3']",[]
175,[],"[u'Positive Commandments', 109]","[u'Positive Commandments', 248]","[u'Mishneh Torah, Immersion Pools 1']","[u""Shulchan Arukh, Yoreh De'ah 197""]"
176,[],"[u'Positive Commandments', 77]","[u'Positive Commandments', 221]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 2:3']",[]
177,[],"[u'Positive Commandments', 103]","[u'Positive Commandments', 239]","[u'Mishneh Torah, Defilement by Leprosy 14-15']",[]
178,[],"[u'Positive Commandments', 104]","[u'Positive Commandments', 240]",[],[]
179,[],"[u'Positive Commandments', 74]","[u'Positive Commandments', 218]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1:5']",[]
180,[],"[u'Positive Commandments', 105]","[u'Positive Commandments', 247]","[u'Mishneh Torah, Other Sources of Defilement 5:1']","[u'Shulchan Arukh, Orach Chayim 89']"
181,[293],"[u'Positive Commandments', 99]","[u'Positive Commandments', 241]","[u'Mishneh Torah, Those Who Defile Bed or Seat']","[u""Shulchan Arukh, Yoreh De'ah 183""]"
182,[],[],[],[],[]
183,[],"[u'Positive Commandments', 75]","[u'Positive Commandments', 219]","[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1:1-4']",[]
