chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
88,[]," מצוות עשה נ""ב"," עשין רכ""ז","רמב""ם הלכות חגיגה פרק א'",[],"שמות כג, יד."
88,[],"[u'Positive Commandments', 52]","[u'Positive Commandments', 227]","[u'Mishneh Torah, Festival Offering 1']",[],[u'Exodus 23:14']
89,[]," לא תעשה קט""ו"," לאוין שמ""ז","רמב""ם הלכות קרבן פסח פרק א' הלכה ה'",[],"שמות כג, יח."
89,[],"[u'Negative Commandments', 115]","[u'Negative Commandments', 347]","[u'Mishneh Torah, Paschal Offering 1:5']",[],[u'Exodus 23:18']
90,[]," לא תעשה קט""ז"," לאוין שמ""ח","רמב""ם הלכות קרבן פסח פרק א' הלכה ה'",[],"שמות כג, יח."
90,[],"[u'Negative Commandments', 116]","[u'Negative Commandments', 348]","[u'Mishneh Torah, Paschal Offering 1:5']",[],[u'Exodus 23:18']
91,[]," מצוות עשה קכ""ה"," עשין קל""ט","רמב""ם הלכות בכורים פרק ב'",[],"שמות כג, יט."
91,[],"[u'Positive Commandments', 125]","[u'Positive Commandments', 139]","[u'Mishneh Torah, First Fruits and other Gifts to Priests Outside the Sanctuary 2']",[],[u'Exodus 23:19']
92," סימן קע""ו."," לא תעשה קפ""ו"," לאוין ק""מ","רמב""ם הלכות מאכלות אסורות פרק ט'"," יורה דעה סימן פ""ז","שמות כג, יט"
92,[176],"[u'Negative Commandments', 186]","[u'Negative Commandments', 140]","[u'Mishneh Torah, Forbidden Foods 9']","[u""Shulchan Arukh, Yoreh De'ah 87""]",[u'Exodus 23:19']
93,[]," לא תעשה מ""ח כתב ז' אומות"," לאוין מ""ז כתב ז' אומות","רמב""ם הלכות עבודת כוכבים פרק י' כתב סתם עכו""ם |רמב""ם הלכות מלכים פרק ו' ובלחם משנה שם",[],"שמות כג, לב. "
93,[],"[u'Negative Commandments', 48]","[u'Negative Commandments', 47]","[[u'Mishneh Torah, Foreign Worship and Customs of the Nations 10'], [u'Mishneh Torah, Kings and Wars 6']]",[],[u'Exodus 23:32']
94,[]," לא תעשה נ""א"," לאוין מ""ט סובר דווקא ז' אומות","רמב""ם הלכות עבודת כוכבים פרק י'"," יורה דעה סימן קנ""א","שמות כג, לג.]."
94,[],"[u'Negative Commandments', 51]","[u'Negative Commandments', 49]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 10']","[u""Shulchan Arukh, Yoreh De'ah 151""]",[u'Exodus 23']
95,[], מצוות עשה כ'," עשין קס""ג","רמב""ם הלכות בית הבחירה פרק א'",[],"שמות כה, ח."
95,[],"[u'Positive Commandments', 20]","[u'Positive Commandments', 163]","[u'Mishneh Torah, The Chosen Temple 1']",[],[u'Exodus 25:8']
96,[]," לא תעשה פ""ו"," לאוין רצ""ו","רמב""ם הלכות כלי המקדש פרק ב' הלכה יג'",[],"שמות כה, טו."
96,[],"[u'Negative Commandments', 86]","[u'Negative Commandments', 296]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 2:13']",[],[u'Exodus 25:15']
97,[]," מצוות עשה כ""ז"," עשין קצ""ו","רמב""ם הלכות תמידין ומוספים פרק ד'",[],"שמות כה, ל."
97,[],"[u'Positive Commandments', 27]","[u'Positive Commandments', 196]","[u'Mishneh Torah, Daily Offerings and Additional Offerings']",[],[u'Exodus 25:30']
98,[]," מצוות עשה כ""ה"," עשין קצ""ג","רמב""ם הלכות תמידין ומוספין פרק ג'",[],"שמות כז, כא. "
98,[],"[u'Positive Commandments', 25]","[u'Positive Commandments', 193]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 3']",[],[u'Exodus 27:21']
99,[]," מצוות עשה ל""ג"," עשין קע""ג","רמב""ם הלכות כלי המקדש פרקים ח'-י'",[],"שמות כח, ד."
99,[],"[u'Positive Commandments', 33]","[u'Positive Commandments', 173]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 8-10']",[],[u'Exodus 28:4']
100,[]," לא תעשה פ""ז"," לאוין רצ""ח","רמב""ם הלכות כלי המקדש פרק ט' הלכה י'",[],"שמות כח, כח."
100,[],"[u'Negative Commandments', 87]","[u'Negative Commandments', 298]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 9:10']",[],[u'Exodus 28:28']
101,[]," לא תעשה פ""ז, פ""ח"," לאוין רצ""ח","רמב""ם הלכות כלי המקדש פרק ט",[],"שמות כח, לב."
101,[],"[u'Negative Commandments', 87, 88]","[u'Negative Commandments', 298]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 9']",[],[u'Exodus 28:32']
102,[],[],[],[],[],"שמות כט, לג). |ויקרא י, יז),  |במדבר יח, ז) - "
102,[],[],[],[],[],"[[u'Exodus 29'], [u'Leviticus 10'], [u'Numbers 18']]"
103,[]," מצוות עשה כ""ח"," עשין קס""ז","רמב""ם הלכות תמידין פרק ג' |רמב""ם הלכות כלי המקדש פרק ב'",[],"שמות ל, ז. בין הערבים יקטירנה"" שמות ל, ח."
103,[],"[u'Positive Commandments', 28]","[u'Positive Commandments', 167]","[[u'Mishneh Torah, Daily Offerings and Additional Offerings 3'], [u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 2']]",[],[u'Exodus 30:7']
104,[]," לא תעשה פ""ב"," לאוין רצ""ה","רמב""ם הלכות כלי המקדש פרק ב' הלכה יא'",[],"שמות ל, ט."
104,[],"[u'Negative Commandments', 82]","[u'Negative Commandments', 295]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 2:11']",[],[u'Exodus 30:9']
105,[]," מצוות עשה קע""א"," עשין מ""ה","רמב""ם הלכות שקלים פרק א' ואילך",[],"שמות ל, יג."
105,[],"[u'Positive Commandments', 171]","[u'Positive Commandments', 45]","[u'Mishneh Torah, Sheqel Dues 1']",[],[u'Exodus 30:13']
106,[]," מצוות עשה כ""ד"," עשין קע""ה","רמב""ם הלכות ביאת המקדש פרק ה'",[],"שמות ל, יט."
106,[],"[u'Positive Commandments', 24]","[u'Positive Commandments', 175]","[u'Mishneh Torah, Admission into the Sanctuary 5']",[],[u'Exodus 30:19']
107,[]," מצוות עשה ל""ה"," עשין קס""ו","רמב""ם הלכות כלי המקדש פרק א'",[],"שמות ל, כה."
107,[],"[u'Positive Commandments', 35]","[u'Positive Commandments', 166]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 1']",[],[u'Exodus 30:25']
108," סימן רצ""ג."," לא תעשה פ""ג"," לאוין רצ""ב","רמב""ם הלכות כלי המקדש והעובדים בו פרק א' הלכות ה'-י'",[],"שמות ל,לב."
108,[293],"[u'Negative Commandments', 83]","[u'Negative Commandments', 292]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[],[u'Exodus']
109," סימן קע""ג."," לא תעשה פ""ד"," לאוין רצ""ג","רמב""ם הלכות כלי המקדש והעובדים בו פרק א' הלכה ד'",[],"שמות ל, לב."
109,[173],"[u'Negative Commandments', 84]","[u'Negative Commandments', 293]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[],[u'Exodus 30:32']
110," סימן קע""ג."," לא תעשה פ""ג"," לאוין רצ""ד","רמב""ם הלכות כלי המקדש והעובדים בו פרק ב'",[],"שמות ל, לז-לח."
110,[173],"[u'Negative Commandments', 83]","[u'Negative Commandments', 294]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[],[u'Exodus 30:37-38']
111," סימן רכ""ג."," לא תעשה קצ""ד (ועיין שם בהשגות)"," לאוין קמ""ח","רמב""ם הלכות מאכלות אסורות אסורות פרק י""א"," יורה דעה סימנים קכ""ג, קל""ג","שמות לד, טו. "
111,[223],"[u'Negative Commandments', 194]","[u'Negative Commandments', 148]","[u'Mishneh Torah, Forbidden Foods']","[u""Shulchan Arukh, Yoreh De'ah 123""]",[u'Exodus 34:15']
112,[]," מצוות עשה קל""ה"," עשין קמ""ז","רמב""ם הלכות שמיטה פרק א'",[],"שמות לד, כא."
112,[],"[u'Positive Commandments', 135]","[u'Positive Commandments', 147]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 1']",[],[u'Exodus 34:21']
113," סימן רי""ג."," לא תעשה קפ""ז, "," לאוין קמ""א",[]," יורה דעה סימן פ""ז ואילך","שמות לד, כו."
113,[213],"[u'Negative Commandments', 187]","[u'Negative Commandments', 141]",[],"[u""Shulchan Arukh, Yoreh De'ah 87""]",[u'Exodus 34:26']
114,[]," לא תעשה, שכ""ב"," לאוין ס""ז","רמב""ם הלכות שבת פרק כ""ד הלכה ז'"," אורח חיים סימן של""ט וב | חושן משפט סימן ה'","שמות לה, ג."
114,[],"[u'Negative Commandments', 322]","[u'Negative Commandments', 67]","[u'Mishneh Torah, Sabbath 24:7']","[[u'Shulchan Arukh, Orach Chayim 339'], [u'Shulchan Arukh, Choshen Mishpat 5']]",[u'Exodus 35:3']
115,[]," מצוות עשה ס""ג "," עשין ק""פ","רמב""ם הלכות מעשה הקרבנות פ""ו",[],"ויקרא א, ג."
115,[],"[u'Positive Commandments', 63]","[u'Positive Commandments', 180]","[u'Mishneh Torah, Sacrificial Procedure 6']",[],[u'Leviticus 1:3']
116,[]," מצוות עשה ס""ז "," עשין קפ""ו","רמב""ם הלכות מעשה הקרבנות פרקים יב'",[],"ויקרא ב, ד."
116,[],"[u'Positive Commandments', 67]","[u'Positive Commandments', 186]","[u'Mishneh Torah, Sacrificial Procedure 12']",[],[u'Leviticus 2:4']
117,[]," לא תעשה צ""ח ע""ש ובשורש ט'",[],"רמב""ם הלכות איסורי המזבח פרק ה' הלכות א-ה",[],"ויקרא ב, יא."
117,[],"[u'Negative Commandments', 98]",[],"[u'Mishneh Torah, Things Forbidden on the Altar 5:1-5']",[],[u'Leviticus 2:11']
118,[]," לא תעשה צ""ט"," לאוין ש""כ","רמב""ם הלכות איסורי המזבח פרק ה' הלכות יא-יג",[],"ויקרא ב, יג."
118,[],"[u'Negative Commandments', 99]","[u'Negative Commandments', 320]","[u'Mishneh Torah, Things Forbidden on the Altar 5:11-13']",[],[u'Leviticus 2:13']
119,[]," עשה ס""ב"," עשין קע""ט","רמב""ם הלכות איסורי המזבח פרק ה' הלכה יא'",[],"ויקרא ב, יג."
119,[],"[u'Positive Commandments', 62]","[u'Positive Commandments', 179]","[u'Mishneh Torah, Things Forbidden on the Altar 5:11']",[],[u'Leviticus 2:13']
120,[]," מצוות עשה ס""ח"," עשין רי""ז","רמב""ם הלכות שגגות פרק י""ב - פרק י""ד",[],"ויקרא ד, יג-יד."
120,[],"[u'Positive Commandments', 68]","[u'Positive Commandments', 217]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 12-14']",[],[u'Leviticus 4:13-14']
121,[]," גדול מצוות עשה ס""ט"," עשין רי""ג","רמב""ם הלכות שגגות פרקים ו'",[],"ויקרא ד, כז."
121,[],[],"[u'Positive Commandments', 213]","[u'Mishneh Torah, Offerings for Unintentional Transgressions 6']",[],[u'Leviticus 4:27']
122," סימן רל""ח מנאו ללאו."," מצוות עשה קע""ח"," עשין ק""ח","רמב""ם הלכות עדות פרק א'"," חושן משפט סימן כ""ח","ויקרא ה, א."
122,[238],"[u'Positive Commandments', 178]","[u'Positive Commandments', 108]","[u'Mishneh Torah, Testimony 1']","[u'Shulchan Arukh, Choshen Mishpat 28']",[u'Leviticus 5:1']
