chinukh,smk,rambam,smg,mishneh,shulchanArukh,pasuk
301,[],"[u'Negative Commandments', 324]","[u'Negative Commandments', 71]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23']
302,[]," מצוות עשה מ""ד"," עשין קצ""ט","רמב""ם הלכות תמידין ומוספין פרק ז' הלכות ג'-כא'",[],"ויקרא כג, י."
302,[],"[u'Positive Commandments', 44]","[u'Positive Commandments', 199]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 7:3-21']",[],[u'Leviticus 23:10']
303," סימן רי""ז; ואין זה לאו שבכללות עיין כריתות דף ה' ובספר המצוות שורש ט'; רמב""ן משיג ומנה כל אלה לאוין ללאו א' ועיין כלל ח'."," לא תעשה קפ""ט"," לאוין קמ""ב",[]," אורח חיים סימן תפ""ט | יורה דעה סימן רצ""ג","ויקרא כג, יד."
303,[217],"[u'Negative Commandments', 189]","[u'Negative Commandments', 142]",[],"[[u'Shulchan Arukh, Orach Chayim 489'], [u""Shulchan Arukh, Yoreh De'ah 293""]]",[u'Leviticus 23:14']
304," סימן רי""ז; ואין זה לאו שבכללות עיין כריתות דף ה' וב"," לא תעשה ק""צ | שורש ט'"," לאוין קמ""ב","רמב""ם הלכות מאכלות אסורות אסורות פרק י' הלכה ג'"," אורח חיים סימן תפ""ט | יורה דעה סימן רצ""ג","ויקרא כג, יד."
304,[217],"[[u'Negative Commandments', 190], []]","[u'Negative Commandments', 142]","[u'Mishneh Torah, Forbidden Foods']","[[u'Shulchan Arukh, Orach Chayim 489'], [u""Shulchan Arukh, Yoreh De'ah 293""]]",[u'Leviticus 23:14']
305," סימן רי""ז; ואין זה לאו שבכללות עיין כריתות דף ה' וב"," לא תעשה קצ""א | שורש ט'"," לאוין קמ""ב","רמב""ם הלכות מאכלות אסורות אסורות פרק י' הלכה ג'"," אורח חיים סימן תפ""ט | יורה דעה סימן רצ""ו","ויקרא כג, יד."
305,[217],"[[u'Negative Commandments', 191], []]","[u'Negative Commandments', 142]","[u'Mishneh Torah, Forbidden Foods']","[[u'Shulchan Arukh, Orach Chayim 489'], [u""Shulchan Arukh, Yoreh De'ah 296""]]",[u'Leviticus 23:14']
306," סימן קמ""ה."," מצוות עשה קס""א", עשין ר',"רמב""ם הלכות תמידין ומוספין פרק ז' הלכות כב'-כה'"," אורח חיים סימן תפ""ט","ויקרא כג, טו."
306,[145],"[u'Positive Commandments', 161]","[u'Positive Commandments', 200]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 7:22-25']","[u'Shulchan Arukh, Orach Chayim 489']",[u'Leviticus 23:15']
307,[]," מצוות עשה מ""ו"," עשין ר""ב","רמב""ם הלכות תמידין ומוספין פרק ח'",[],"ויקרא כג, טז-יז."
307,[],"[u'Positive Commandments', 46]","[u'Positive Commandments', 202]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 8']",[],[u'Leviticus 23:16-17']
308,[]," מצוות עשה קס""ב"," עשין ל""ה","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, כא."
308,[],"[u'Positive Commandments', 162]","[u'Positive Commandments', 35]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:21']
309,[]," מצוות לא תעשה, שכ""ה"," לאוין ע""ב","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, כא."
309,[],"[u'Negative Commandments', 325]","[u'Negative Commandments', 72]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:21']
310,[]," מצוות עשה קס""ג"," עשין ל""ו","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, כד."
310,[],"[u'Positive Commandments', 163]","[u'Positive Commandments', 36]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:24']
311,[]," מצוות לא תעשה, שכ""ו"," לאוין ע""ג","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, כה."
311,[],"[u'Negative Commandments', 326]","[u'Negative Commandments', 73]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:25']
312,[]," מצוות עשה מ""ז"," עשין ר""ג","רמב""ם הלכות תמידין ומוספין פרק ט'הלכה א'",[],"ויקרא כג, כה."
312,[],"[u'Positive Commandments', 47]","[u'Positive Commandments', 203]","[u'Mishneh Torah, Daily Offerings and Additional Offerings']",[],[u'Leviticus 23:25']
313," סימן רכ""א."," מצוות עשה קס""ד"," עשין ל""ב","רמב""ם הלכות שביתת עשור פרק א'"," אורח חיים סימן תרי""א","ויקרא כג, כז."
313,[221],"[u'Positive Commandments', 164]","[u'Positive Commandments', 32]","[u'Mishneh Torah, Rest on the Tenth of Tishrei 1']","[u'Shulchan Arukh, Orach Chayim 611']",[u'Leviticus 23:27']
314,[]," מצוות עשה מ""ח"," עשין ר""ד","רמב""ם הלכות תמידין ומוספין פרק י'",[],"ויקרא כג, כז."
314,[],"[u'Positive Commandments', 48]","[u'Positive Commandments', 204]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 10']",[],[u'Leviticus 23:27']
315,[]," לא תעשה, שכ""ט"," לאוין ס""ח","רמב""ם הלכות שביתת עשור פרק א'"," אורח חיים סימן תרי""א","ויקרא כג, לא."
315,[],"[u'Negative Commandments', 329]","[u'Negative Commandments', 68]","[u'Mishneh Torah, Rest on the Tenth of Tishrei 1']","[u'Shulchan Arukh, Orach Chayim 611']",[u'Leviticus 23:31']
316,[],[],[],[],[],[]
316,[],[],[],[],[],[]
317,[]," מצוות עשה קס""ה"," עשין ל""א","רמב""ם הלכות שביתת עשור פרק א'"," אורח חיים סימן תרי""א","ויקרא כג, לב."
317,[],"[u'Positive Commandments', 165]","[u'Positive Commandments', 31]","[u'Mishneh Torah, Rest on the Tenth of Tishrei 1']","[u'Shulchan Arukh, Orach Chayim 611']",[u'Leviticus 23:32']
318,[]," מצוות עשה קס""ו"," עשין ל""ז","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, לה."
318,[],"[u'Positive Commandments', 166]","[u'Positive Commandments', 37]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:35']
319," סימן קצ""ד."," מצוות לא תעשה, שכ""ז"," לאוין ע""ד","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, לה."
319,[194],"[u'Negative Commandments', 327]","[u'Negative Commandments', 74]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:35']
320,[], מצוות עשה נ," עשין ר""ה","רמב""ם הלכות תמידין ומוספין פרק י' הלכות ג'-ד",[],"ויקרא כג, לו."
320,[],"[u'Positive Commandments', 50]","[u'Positive Commandments', 205]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 10:3-4']",[],[u'Leviticus 23:36']
321,[]," מצוות עשה קס""ז"," עשין ל""ח","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, לו."
321,[],"[u'Positive Commandments', 167]","[u'Positive Commandments', 38]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:36']
322,[]," מצוות עשה נ""א"," עשין ר""ו","רמב""ם הלכות תמידין ומוספין פרק י'",[],"ויקרא כג, לו."
322,[],"[u'Positive Commandments', 51]","[u'Positive Commandments', 206]","[u'Mishneh Torah, Daily Offerings and Additional Offerings 10']",[],[u'Leviticus 23:36']
323," סימן קצ""ד."," מצוות לא תעשה, שכ""ח"," לאוין ע""ה","רמב""ם הלכות שביתת יום טוב פרק א' הלכה א'"," אורח חיים סימן תצ""ה","ויקרא כג, לו."
323,[194],"[u'Negative Commandments', 328]","[u'Negative Commandments', 75]","[u'Mishneh Torah, Rest on a Holiday 1:1']","[u'Shulchan Arukh, Orach Chayim 495']",[u'Leviticus 23:36']
324," סימן קצ""ג."," מצוות עשה קס""ט"," עשין מ""ד","רמב""ם הלכות לולב פרקים ז'-ח'"," אורח חיים סימן תרנ""א","ויקרא כג, מ."
324,[193],"[u'Positive Commandments', 169]","[u'Positive Commandments', 44]","[u'Mishneh Torah, Shofar, Sukkah and Lulav 7-8']","[u'Shulchan Arukh, Orach Chayim 651']",[u'Leviticus 23:40']
325," סימן צ""ג."," מצוות עשה קס""ח"," עשין מ""ג","רמב""ם הלכות סוכה פרקים ד'-ו'"," אורח חיים סימנים תרל""ג, תרל""ד","ויקרא כג, מב."
325,[93],"[u'Positive Commandments', 168]","[u'Positive Commandments', 43]","[u'Mishneh Torah, Shofar, Sukkah and Lulav 4-6']","[u'Shulchan Arukh, Orach Chayim 633']",[u'Leviticus 23:42']
326,[]," לא תעשה ר""כ"," לאוין רס""ו","רמב""ם הלכות שמיטה ויובל פרק א' הלכה א'",[],"ויקרא כה, ד."
326,[],"[u'Negative Commandments', 220]","[u'Negative Commandments', 266]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 1:1']",[],[u'Leviticus 25:4']
327,[]," לא תעשה רכ""א"," לאוין רס""ז","רמב""ם הלכות שמיטה ויובל פרק א' הלכה ג'",[],"ויקרא כה, ד."
327,[],"[u'Negative Commandments', 221]","[u'Negative Commandments', 267]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 1:3']",[],[u'Leviticus 25:4']
328,[]," לא תעשה רכ""ב"," לאוין רס""ח","רמב""ם הלכות שמיטה ויובל פרק ד' הלכות א'-כב'",[],"ויקרא כה, ה."
328,[],"[u'Negative Commandments', 222]","[u'Negative Commandments', 268]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 4:1-22']",[],[u'Leviticus 25:5']
329,[]," לא תעשה רכ""ג"," לאוין רס""ט","רמב""ם הלכות שמיטה ויובל פרק ד' הלכות כב'-כד'",[],"ויקרא כה, ה."
329,[],"[u'Negative Commandments', 223]","[u'Negative Commandments', 269]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 4:22-24']",[],[u'Leviticus 25:5']
330,[]," מצוות עשה ק""מ"," עשין ק""נ","רמב""ם הלכות שמיטה ויובל פרק י' הלכות א'-ט'",[],"ויקרא כה, ח."
330,[],"[u'Positive Commandments', 140]","[u'Positive Commandments', 150]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:1-9']",[],[u'Leviticus 25:8']
331,[]," מצוות עשה קל""ז"," עשין קנ""ב","רמב""ם הלכות שמיטה ויובל פרק י' הלכה י'",[],"ויקרא כה, ט."
331,[],"[u'Positive Commandments', 137]","[u'Positive Commandments', 152]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:10']",[],[u'Leviticus 25:9']
332,[]," מצוות עשה קל""ו"," עשין קנ""א","רמב""ם הלכות שמיטה ויובל פרק י' הלכה א'",[],"ויקרא כה, י."
332,[],"[u'Positive Commandments', 136]","[u'Positive Commandments', 151]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:1']",[],[u'Leviticus 25:10']
333,[]," לא תעשה רכ""ד"," לאוין רע""ב","רמב""ם הלכות שמיטה ויובל פרק י' הלכה טו'",[],"ויקרא כה, יא."
333,[],"[u'Negative Commandments', 224]","[u'Negative Commandments', 272]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:15']",[],[u'Leviticus 25:11']
334,[]," לא תעשה רכ""ה"," לאוין רע""ג","רמב""ם הלכות שמיטה ויובל פרק י' הלכה טו'",[],"ויקרא כה, יא."
334,[],"[u'Negative Commandments', 225]","[u'Negative Commandments', 273]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:15']",[],[u'Leviticus 25:11']
335,[]," לא תעשה רכ""ו"," לאוין רע""ד","רמב""ם הלכות שמיטה ויובל פרק י' הלכה טו'",[],"ויקרא כה, יא'."
335,[],"[u'Negative Commandments', 226]","[u'Negative Commandments', 274]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 10:15']",[],[u'Leviticus 25:11']
336,[]," מצוות עשה רמ""ה"," עשין פ""ב","רמב""ם הלכות מכירה"," חושן משפט סימן wנ""ג עד רכ""ו, וסימן רמ""א עד רנ""ט","ויקרא כה, יד."
336,[],"[u'Positive Commandments', 245]","[u'Positive Commandments', 82]","[u'Mishneh Torah, Sales']","[u'Shulchan Arukh, Choshen Mishpat']",[u'Leviticus 25:14']
337," סימן רע""א."," לא תעשה ר""נ"," לאוין ק""ע","רמב""ם הלכות מכירה פרקים יב'- יד'"," חושן משפט סימן רכ""ז","ויקרא כה, יד."
337,[271],"[u'Negative Commandments', 250]","[u'Negative Commandments', 170]","[u'Mishneh Torah, Sales 12-14']","[u'Shulchan Arukh, Choshen Mishpat 227']",[u'Leviticus 25:14']
338," קכ""ב."," לא תעשה רנ""א"," לאוין קע""א","רמב""ם הלכות מכירה פרק יד' הלכות יב'-יד'"," חושן משפט סימן רכ""ח","דברים[לא תעשה רז] מצוות לא תעשה, שלא להונות את חברו בדברים. |ויקרא כה, יז."
338,[122],"[u'Negative Commandments', 251]","[u'Negative Commandments', 171]","[u'Mishneh Torah, Sales 14:12-14']","[u'Shulchan Arukh, Choshen Mishpat 228']","[None, [u'Leviticus 25:17']]"
339,[]," לא תעשה רכ""ז "," לאוין רע""ה","רמב""ם הלכות שמיטה ויובל פרק י""א",[],"ויקרא כה, נג."
339,[],"[u'Negative Commandments', 227]","[u'Negative Commandments', 275]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 11']",[],[u'Leviticus 25:53']
340,[]," מצוות עשה קל""ח"," עשין קנ""ג","רמב""ם הלכות שמיטה ויובל פרק י""ב",[],"ויקרא כה, כד."
340,[],"[u'Positive Commandments', 138]","[u'Positive Commandments', 153]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 12']",[],[u'Leviticus 25:24']
341,[]," מצוות עשה קל""ט"," עשין קנ""ד","רמב""ם הלכות שמיטה ויובל פרק י""ב",[],"ויקרא כה, כט."
341,[],"[u'Positive Commandments', 139]","[u'Positive Commandments', 154]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 12']",[],[u'Leviticus 25:29']
342,[]," לא תעשה רכ""ח"," לאוין רע""ח","רמב""ם הלכות שמיטה ויובל פרק י""ג",[],"ויקרא כה, לד."
342,[],"[u'Negative Commandments', 228]","[u'Negative Commandments', 278]","[u'Mishneh Torah, Sabbatical Year and the Jubilee 13']",[],[u'Leviticus 25:34']
343," רנ""ט."," לא תעשה רל""ה"," לאוין קצ""א","רמב""ם הלכות מלוה ולוה פרקים ד'-ו'"," יורה דעה סימנים קנ""ט-קע""ז","דברים. |ויקרא כה, לז."
343,[259],"[u'Negative Commandments', 235]","[u'Negative Commandments', 191]","[u'Mishneh Torah, Creditor and Debtor 4-6']","[u""Shulchan Arukh, Yoreh De'ah 159-177""]","[[u'Deuteronomy'], [u'Leviticus 25:37']]"
344,[]," לא תעשה רנ""ז"," לאוין קע""ו","רמב""ם הלכות עבדים פרק א' הלכות ז'",[],"דברים מיוחדים לעבד כנעני. |ויקרא כה, לט."
344,[],"[u'Negative Commandments', 257]","[u'Negative Commandments', 176]","[u'Mishneh Torah, Slaves 1:7']",[],"[[u'Deuteronomy'], [u'Leviticus 25:39']]"
345,[]," לא תעשה רנ""ח"," לאוין קע""ה","רמב""ם הלכות עבדים פרק א' הלכה ה'",", יורה דעה סימן רס""ז","ויקרא כה, מב."
345,[],"[u'Negative Commandments', 258]","[u'Negative Commandments', 175]","[u'Mishneh Torah, Slaves 1:5']","[u""Shulchan Arukh, Yoreh De'ah 267""]",[u'Leviticus 25:42']
346,[]," לא תעשה רנ""ט"," לאוין קע""ד","רמב""ם הלכות עבדים פרק א' הלכה ו'",[],"ויקרא כה, מב."
346,[],"[u'Negative Commandments', 259]","[u'Negative Commandments', 174]","[u'Mishneh Torah, Slaves 1:6']",[],[u'Leviticus 25:42']
347, סימן ס'.," מצוות עשה רל""ה"," עשין פ""ז","רמב""ם הלכות עבדים פרקים ה'-ט'"," יורה דעה סימן רס""ז | חושן משפט סימן קצ""ו","ויקרא כה, מו. "
347,[60],"[u'Positive Commandments', 235]","[u'Positive Commandments', 87]","[u'Mishneh Torah, Slaves 5-9']","[[u""Shulchan Arukh, Yoreh De'ah 267""], [u'Shulchan Arukh, Choshen Mishpat 196']]",[u'Leviticus 25:46']
348,[]," לא תעשה ר""ס"," לאוין קע""ז","רמב""ם הלכות עבדים פרק א' הלכה ו'",[],"ויקרא כה, נג."
348,[],"[u'Negative Commandments', 260]","[u'Negative Commandments', 177]","[u'Mishneh Torah, Slaves 1:6']",[],[u'Leviticus 25:53']
349," סימן ק""פ; "," לא תעשה י""ב"," לאוין מ""ג","רמב""ם הלכות עבודת כוכבים פרק ו' הלכה ו'"," אורח חיים סימן קל""א בהג""ה","ויקרא כו, א."
349,[180],"[u'Negative Commandments', 12]","[u'Negative Commandments', 43]","[u'Mishneh Torah, Foreign Worship and Customs of the Nations 6:6']","[u'Shulchan Arukh, Orach Chayim 131']",[u'Leviticus 26:1']
350,[]," מצוות עשה קי""ד"," עשין קכ""ח","רמב""ם הלכות ערכין פרקים א'-ה'",[],"ויקרא כז, ב."
350,[],"[u'Positive Commandments', 114]","[u'Positive Commandments', 128]","[u'Mishneh Torah, Appraisals and Devoted Property 1-5']",[],[u'Leviticus 27:2']
351,[]," לא תעשה ק""ו"," לאוין שמ""ה","רמב""ם הלכות תמורה",[],"ויקרא כז, י."
351,[],"[u'Negative Commandments', 106]","[u'Negative Commandments', 345]","[u'Mishneh Torah, Substitution']",[],[u'Leviticus 27:10']
352,[]," עשה פ""ז"," עשין רכ""ב","רמב""ם הלכות תמורה",[],"ויקרא כז, י."
352,[],"[u'Positive Commandments', 87]","[u'Positive Commandments', 222]","[u'Mishneh Torah, Substitution']",[],[u'Leviticus 27:10']
353,[]," מצוות עשה קט""ו"," עשין קכ""ט","רמב""ם הלכות ערכין פרק ה' הלכה ה'",[],"ויקרא כז, יא-יב."
353,[],"[u'Positive Commandments', 115]","[u'Positive Commandments', 129]","[u'Mishneh Torah, Appraisals and Devoted Property 5:5']",[],[u'Leviticus 27:11-12']
354,[]," מצוות עשה קט""ז",[],"רמב""ם הלכות ערכין פרק ה' הלכה ג'",[],"ויקרא כז, יד."
354,[],"[u'Positive Commandments', 116]",[],"[u'Mishneh Torah, Appraisals and Devoted Property 5:3']",[],[u'Leviticus 27:14']
355,[]," מצוות עשה קי""ז"," עשין קל""א","רמב""ם הלכות ערכין פרק ד'",[],"ויקרא כז, טז."
355,[],"[u'Positive Commandments', 117]","[u'Positive Commandments', 131]","[u'Mishneh Torah, Appraisals and Devoted Property 4']",[],[u'Leviticus 27:16']
356,[]," לא תעשה ק""ז"," לאוין שמ""ו","רמב""ם הלכות תמורה פרק ד' הלכה יא' |רמב""ם הלכות מתנות עניים פרק ח' "," אורח חיים סימן קנ""ג | יורה דעה סימן רנ""א, רנ""ב, רנ""ט","ויקרא כז, כו."
356,[],"[u'Negative Commandments', 107]","[u'Negative Commandments', 346]","[[u'Mishneh Torah, Substitution 4:11'], [u'Mishneh Torah, Gifts to the Poor 8']]","[[u'Shulchan Arukh, Orach Chayim 153'], [u""Shulchan Arukh, Yoreh De'ah 251""]]",[u'Leviticus 27:26']
357,[]," מצוות עשה קמ""ה"," עשין קל""ב","רמב""ם הלכות ערכין פרק ו' ופרק ח'",[],"ויקרא כז, כח."
357,[],"[u'Positive Commandments', 145]","[u'Positive Commandments', 132]","[u'Mishneh Torah, Appraisals and Devoted Property 6']",[],[u'Leviticus 27:28']
358,[]," לא תעשה ק""י"," לאוין רנ""א","רמב""ם הלכות ערכין פרק ו' הלכה ד'",[],"ויקרא כז, כח."
358,[],"[u'Negative Commandments', 110]","[u'Negative Commandments', 251]","[u'Mishneh Torah, Appraisals and Devoted Property 6:4']",[],[u'Leviticus 27:28']
359,[]," לא תעשה קי""א"," לאוין רנ""ב","רמב""ם הלכות ערכין פרק ו' הלכה ד'",[],"ויקרא כז, כח."
359,[],"[u'Negative Commandments', 111]","[u'Negative Commandments', 252]","[u'Mishneh Torah, Appraisals and Devoted Property 6:4']",[],[u'Leviticus 27:28']
360,[]," מצוות עשה ע""ח"," עשין רי""ב","רמב""ם הלכות בכורות פרקים ו'-ח'",[],"ויקרא כז, לב."
360,[],"[u'Positive Commandments', 78]","[u'Positive Commandments', 212]","[u'Mishneh Torah, Firstlings 6-8']",[],[u'Leviticus 27:32']
361,[]," לא תעשה ק""ט"," לאוין שמ""ד","רמב""ם הלכות בכורות פרק ו' הלכות ה'-ח'",[],"ויקרא כז, לג."
361,[],"[u'Negative Commandments', 109]","[u'Negative Commandments', 344]","[u'Mishneh Torah, Firstlings 6:5-8']",[],[u'Leviticus 27:33']
362,[], מצוות עשה," עשין קע""ד","רמב""ם הלכות ביאת המקדש פרק ג'",[],"במדבר ה, ב."
362,[],[u'Positive Commandments'],"[u'Positive Commandments', 174]","[u'Mishneh Torah, Admission into the Sanctuary 3']",[],[u'Numbers 5:2']
363,[]," מצוות לא תעשה ע""ז"," לאוין ש""ד","רמב""ם הלכות ביאת המקדש פרק ג'",[],"במדבר ה, ג.  |ויקרא יב, ד."
363,[],"[u'Negative Commandments', 77]","[u'Negative Commandments', 304]","[u'Mishneh Torah, Admission into the Sanctuary 3']",[],"[[u'Numbers 5:3'], [u'Leviticus 12:4']]"
364," סימן נ""ג."," מצוות עשה ע""ג"," עשין ט""ז","רמב""ם הלכות תשובה"," אורח חיים סימן תר""ו, תר""ז","במדבר ה, ו-ז."
364,[53],"[u'Positive Commandments', 73]","[u'Positive Commandments', 16]","[u'Mishneh Torah, Repentance']","[u'Shulchan Arukh, Orach Chayim 606']",[u'Numbers 5:6-7']
365,[]," מצוות עשה רכ""ג"," עשין כ""ו","רמב""ם הלכות סוטה"," אבן העזר סימן יא' וקע""ח","במדבר ה, יב-טו."
365,[],"[u'Positive Commandments', 223]","[u'Positive Commandments', 26]","[u'Mishneh Torah, Woman Suspected of Infidelity']","[u'Shulchan Arukh, Even HaEzer 11']",[u'Numbers 5:12-15']
366,[]," לא תעשה ק""ד"," לאוין פ""ז","רמב""ם הלכות סוטה פרק ג' הלכה יג'",[],"במדבר ה, טו."
366,[],"[u'Negative Commandments', 104]","[u'Negative Commandments', 87]","[u'Mishneh Torah, Woman Suspected of Infidelity 3:13']",[],[u'Numbers 5:15']
367,[]," לא תעשה ק""ה"," לאוין פ""ח","רמב""ם הלכות סוטה פרק ג'",[],"במדבר ה, טו."
367,[],"[u'Negative Commandments', 105]","[u'Negative Commandments', 88]","[u'Mishneh Torah, Woman Suspected of Infidelity 3']",[],[u'Numbers 5:15']
368,[]," לא תעשה ר""ב"," לאוין רמ""ג","רמב""ם הלכות נזירות פרק א' הלכות א'-ב'",[],"במדבר ו, ג."
368,[],"[u'Negative Commandments', 202]","[u'Negative Commandments', 243]","[u'Mishneh Torah, Nazariteship 1:1-2']",[],[u'Numbers 6:3']
369,[]," לא תעשה ר""ג"," לאוין רמ""ד","רמב""ם הלכות נזירות פרק א' הלכות א'-ב'",[],"במדבר ו, ג."
369,[],"[u'Negative Commandments', 203]","[u'Negative Commandments', 244]","[u'Mishneh Torah, Nazariteship 1:1-2']",[],[u'Numbers 6:3']
370,[]," לא תעשה ר""ד"," לאוין רמ""ה","רמב""ם הלכות נזירות פרק א' הלכות א-ב",[],"במדבר ו, ג."
370,[],"[u'Negative Commandments', 204]","[u'Negative Commandments', 245]","[u'Mishneh Torah, Nazariteship 1:1-2']",[],[u'Numbers 6:3']
371,[]," לא תעשה ר""ה"," לאוין רמ""ו","רמב""ם הלכות נזירות פרק א' הלכות א'-ב' ופרק ה' הלכות א'-ח'",[],"במדבר ו, ד."
371,[],"[u'Negative Commandments', 205]","[u'Negative Commandments', 246]","[u'Mishneh Torah, Nazariteship 1:1-5:461']",[],[u'Numbers 6:4']
372,[]," לא תעשה ר""ו"," לאוין רמ""ז","רמב""ם הלכות נזירות פרק א' הלכות א'-ב' ופרק ה' הלכות א'-ח'",[],"במדבר ו, ד."
372,[],"[u'Negative Commandments', 206]","[u'Negative Commandments', 247]","[u'Mishneh Torah, Nazariteship 1:1-5:461']",[],[u'Numbers 6:4']
373,[]," לא תעשה ר""ט"," לאוין ר""נ","רמב""ם הלכות נזירות פרק א' הלכות א'-ב'",[],"במדבר ו, ה."
373,[],"[u'Negative Commandments', 209]","[u'Negative Commandments', 250]","[u'Mishneh Torah, Nazariteship 1:1-2']",[],[u'Numbers 6:5']
374,[]," מצוות עשה, צ""ב"," עשין רכ""ו","רמב""ם הלכות נזירות פרק א' הלכות א'-ג'",[],"במדבר ו, ה."
374,[],"[u'Positive Commandments', 92]","[u'Positive Commandments', 226]","[u'Mishneh Torah, Nazariteship 1:1-3']",[],[u'Numbers 6:5']
375,[]," לא תעשה ר""ח"," לאוין רמ""ח","רמב""ם הלכות נזירות פרק ה' הלכה יח'",[],"במדבר ו, ו."
375,[],"[u'Negative Commandments', 208]","[u'Negative Commandments', 248]","[u'Mishneh Torah, Nazariteship 5:18']",[],[u'Numbers 6:6']
376,[]," לא תעשה ר""ז"," לאוין רמ""ט","רמב""ם הלכות נזירות פרק א' הלכות א'-ב'",[],"במדבר ו, ז."
376,[],"[u'Negative Commandments', 207]","[u'Negative Commandments', 249]","[u'Mishneh Torah, Nazariteship 1:1-2']",[],[u'Numbers 6:7']
377,[]," מצוות עשה צ""ג, "," עשין רל""ז","רמב""ם הלכות נזירות פרק ח' ואילך",[],"במדבר ו, ט-יח."
377,[],"[u'Positive Commandments', 93]","[u'Positive Commandments', 237]","[u'Mishneh Torah, Nazariteship 8']",[],[u'Numbers 6:9-18']
378," סימן קי""ג."," מצוות עשה כ""ו", עשין כ',"רמב""ם הלכות תפילה פרקים י""ד- ט""ו"," אורח חיים סימן קכ""ח","במדבר ו, כג-כו."
378,[113],"[u'Positive Commandments', 26]","[u'Positive Commandments', 20]","[u'Mishneh Torah, Prayer and the Priestly Blessing 14-15']","[u'Shulchan Arukh, Orach Chayim 128']",[u'Numbers 6:23-26']
379,[],[]," עשין קס""ח","רמב""ם הלכות כלי המקדש והעובדים בו פרק ב'",[],"במדבר ז, ט."
379,[],[],"[u'Positive Commandments', 168]","[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein']",[],[u'Numbers 7:9']
380,[]," מצוות עשה נ""ז"," עשין רכ""ד","רמב""ם הלכות קרבן פסח פרקים ה'-ז'",[],"במדבר ט, י-יא."
380,[],"[u'Positive Commandments', 57]","[u'Positive Commandments', 224]","[u'Mishneh Torah, Paschal Offering 5-7']",[],[u'Numbers 9:10-11']
381,[]," מצוות עשה נ""ח"," עשין רכ""ו","רמב""ם הלכות קרבן פסח פרק ח' הלכה ג'",[],"במדבר ט, יא."
381,[],"[u'Positive Commandments', 58]","[u'Positive Commandments', 226]","[u'Mishneh Torah, Paschal Offering 8:3']",[],[u'Numbers 9:11']
382,[]," מצוות לא תעשה קי""ט"," לאוין שנ""ח","רמב""ם הלכות קרבן פסח פרק י' הלכה טו'",[],"במדבר ט, יב."
382,[],"[u'Negative Commandments', 119]","[u'Negative Commandments', 358]","[u'Mishneh Torah, Paschal Offering 10:15']",[],[u'Numbers 9:12']
