Aderet Eliyahu Ref,Aderet Eliyah Text,Torah Ref
"Aderet Eliyahu, Achrei Mot 98",לה',
"Aderet Eliyahu, Achrei Mot 99",ואיש איש,Leviticus 17:10
"Aderet Eliyahu, Achrei Mot 100",כל דם,Leviticus 17:10
"Aderet Eliyahu, Achrei Mot 101",ונתתי פני,Leviticus 17:10
"Aderet Eliyahu, Achrei Mot 102",כי נפש,Leviticus 17:11
"Aderet Eliyahu, Achrei Mot 103",על המזבח לכפר,Leviticus 17:11
"Aderet Eliyahu, Achrei Mot 104",לכם,
"Aderet Eliyahu, Achrei Mot 105",בנפש יכפר,Leviticus 17:11
"Aderet Eliyahu, Achrei Mot 106","על כן כו' עיין רש""י ז""ל",
"Aderet Eliyahu, Achrei Mot 107","אשר יצוד עיין רש""י ז""ל",Leviticus 17:13
"Aderet Eliyahu, Achrei Mot 108",או עוף,Leviticus 17:13
"Aderet Eliyahu, Achrei Mot 109",חיה או עוף,Leviticus 17:13
"Aderet Eliyahu, Achrei Mot 110",דמו,Leviticus 17:13
"Aderet Eliyahu, Achrei Mot 111",בעפר,Leviticus 17:13
"Aderet Eliyahu, Achrei Mot 112",וכל נפש אשר תאכל,Leviticus 17:15
"Aderet Eliyahu, Achrei Mot 113",ונשא עונו,Leviticus 17:16
"Aderet Eliyahu, Achrei Mot 114",ובשרו לא ירחץ,
"Aderet Eliyahu, Achrei Mot 115",אני ה' אלהיכם,
"Aderet Eliyahu, Achrei Mot 116",כמעשה ארץ מצרים,Leviticus 18:3
"Aderet Eliyahu, Achrei Mot 117",את משפטי תעשו ואת חקתי תשמרו,Leviticus 18:4
"Aderet Eliyahu, Achrei Mot 118",ללכת בהם,Leviticus 18:4
"Aderet Eliyahu, Achrei Mot 119",וחי בהם,Leviticus 18:5
"Aderet Eliyahu, Achrei Mot 120",אל תטמאו בכל אלה,Leviticus 18:24
"Aderet Eliyahu, Achrei Mot 121",כי בכל אלה נטמאו הגוים,Leviticus 18:24
"Aderet Eliyahu, Achrei Mot 122",אשר אני משלח מפניכם,Leviticus 18:24
"Aderet Eliyahu, Achrei Mot 123",ותטמא הארץ את כו',Leviticus 18:25
"Aderet Eliyahu, Achrei Mot 124",ואפקד עונה עליה,Leviticus 18:25
"Aderet Eliyahu, Achrei Mot 125",ותקא הארץ את ישביה,Leviticus 18:25
"Aderet Eliyahu, Achrei Mot 126",ושמרתם אתם,Leviticus 18:26
"Aderet Eliyahu, Achrei Mot 127",ולא תעשו מכל התועבת,Leviticus 18:26
"Aderet Eliyahu, Achrei Mot 128",כי את כל התועבת האל,Leviticus 18:27
"Aderet Eliyahu, Achrei Mot 129",ולא תקיא הארץ כו',Leviticus 18:28
"Aderet Eliyahu, Achrei Mot 130",כי כל אשר יעשה,Leviticus 18:29
"Aderet Eliyahu, Achrei Mot 131",ונכרתו הנפשות,Leviticus 18:29
"Aderet Eliyahu, Achrei Mot 132",העשות,
"Aderet Eliyahu, Achrei Mot 133",מקרב עמם,Leviticus 18:29
"Aderet Eliyahu, Achrei Mot 134",ושמרתם,Leviticus 18:30
"Aderet Eliyahu, Achrei Mot 135",את משמרתי,Leviticus 18:30
"Aderet Eliyahu, Achrei Mot 136","ולא תטמאו בהם אני ה' וגו' עיין רש""י ז""ל",
