Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments	Talmud	Rambam	SMG	ShuA	Tur
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2b:8-9		נזקי ממון	2.2						0	http://www.sefaria.org/Bava_Kamma.2b:8-9	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2					Bava_Kamma.2b:8-9	Mishneh_Torah,_Damages_to_Property.2.2			
2b:20-21		נזקי ממון	1.10	עשין	67	ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.2b:20-21	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.2b:20-21	Mishneh_Torah,_Damages_to_Property.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
2b:37		נזקי ממון	2.2			ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.2b:37	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2		sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.2b:37	Mishneh_Torah,_Damages_to_Property.2.2		Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
2b:37						ח"מ	389.19	ח"מ	389	http://www.sefaria.org/Bava_Kamma.2b:37			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.19	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.2b:37			Shulchan_Arukh,_Choshen_Mishpat.389.19	Tur,_Choshen_Mishpat.389
2b:40						ח"מ	390.1	ח"מ	390	http://www.sefaria.org/Bava_Kamma.2b:40			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.390.1	sefaria.org/Tur,_Choshen_Mishpat.390		Bava_Kamma.2b:40			Shulchan_Arukh,_Choshen_Mishpat.390.1	Tur,_Choshen_Mishpat.390
2b:41						ח"מ	391.1	ח"מ	391	http://www.sefaria.org/Bava_Kamma.2b:41			sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.391.1	sefaria.org/Tur,_Choshen_Mishpat.391		Bava_Kamma.2b:41			Shulchan_Arukh,_Choshen_Mishpat.391.1	Tur,_Choshen_Mishpat.391
3a:11		נזקי ממון	3	עשין	67	ח"מ	391.1	ח"מ	391	http://www.sefaria.org/Bava_Kamma.3a:11	sefaria.org/Mishneh_Torah,_Damages_to_Property.3	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.391.1	sefaria.org/Tur,_Choshen_Mishpat.391		Bava_Kamma.3a:11	Mishneh_Torah,_Damages_to_Property.3	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.391.1	Tur,_Choshen_Mishpat.391
3a:30		נזקי ממון	1.10	עשין	67	ח"מ	391.1	ח"מ	391	http://www.sefaria.org/Bava_Kamma.3a:30	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.391.1	sefaria.org/Tur,_Choshen_Mishpat.391		Bava_Kamma.3a:30	Mishneh_Torah,_Damages_to_Property.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.391.1	Tur,_Choshen_Mishpat.391
3a:34		נזקי ממון	1.10	עשין	67	ח"מ	391.1	ח"מ	391	http://www.sefaria.org/Bava_Kamma.3a:34	sefaria.org/Mishneh_Torah,_Damages_to_Property.1.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.391.1	sefaria.org/Tur,_Choshen_Mishpat.391		Bava_Kamma.3a:34	Mishneh_Torah,_Damages_to_Property.1.10	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.391.1	Tur,_Choshen_Mishpat.391
3a:34		נזקי ממון	2.2	עשין	67	ח"מ	389.18	ח"מ	389	http://www.sefaria.org/Bava_Kamma.3a:34	sefaria.org/Mishneh_Torah,_Damages_to_Property.2.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.67	sefaria.org/Shulchan_Arukh,_Choshen_Mishpat.389.18	sefaria.org/Tur,_Choshen_Mishpat.389		Bava_Kamma.3a:34	Mishneh_Torah,_Damages_to_Property.2.2	Sefer_Mitzvot_Gadol,_Volume_Two.67	Shulchan_Arukh,_Choshen_Mishpat.389.18	Tur,_Choshen_Mishpat.389
