txt file line,Perek running counter,page running counter,Perek aprx,Page aprx,Rambam,Semag,Tur Shulchan Arukh,original,problem
27,,,0,26,"['Mishneh Torah, Shofar, Sukkah and Lulav 7']",,"['Tur, Orach Chaim 646', 'Tur, Orach Chaim 646', 'Tur, Orach Chaim 657']","@11ב מיי' שם טור א""ח סי' תרמו  \טור א""ח סי' תרנז",False
28,,,0,27,"['Mishneh Torah, Shofar, Sukkah and Lulav 8']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 647', 'Tur, Orach Chaim 649']","@11ב מיי' פ""ח שם סמג שם טור א""ח סי' תרמז תרמט",False
29,,,0,28,"['Mishneh Torah, Shofar, Sukkah and Lulav 6']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 647']","@11ג מיי' פ""ו מהלכות לולב סמג שם טור א""ח סי' תרמז",False
30,,,0,29,"['Mishneh Torah, Shofar, Sukkah and Lulav 7']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 649', 'Tur, Orach Chaim 651']","@11ד מיי' פ""ז שם סמג שם טור א""ח סי' תרמט תרנא",False
31,,,0,30,"['Mishneh Torah, Shofar, Sukkah and Lulav 8']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 649']","@11א מיי' פ""ח מהל' לולב סמג עשין מד טור א""ח סי' תרמט",False
32,,,0,31,"['Mishneh Torah, Shofar, Sukkah and Lulav 8']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 649']","@11ב מיי'  פ""ח מהלכות לולב סמג טור א""ח שם",False
33,,,0,32,"['Mishneh Torah, Shofar, Sukkah and Lulav 8']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 649']","@11א מיי' פ""ח מהלכות לולב סמג עשין מד טור א""ח סי' תרמט",False
34,,,0,33,"['Mishneh Torah, Shofar, Sukkah and Lulav 7']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 648', 'Tur, Orach Chaim 651']","@11א מיי' פ""ז מהלכות לולב סמג עשין מד טור א""ח סי' תרמח ותרנא",False
35,,,0,34,"['Mishneh Torah, Sabbath 21']","['Sefer Mitzvot Gadol, Negative Commandments 65']","['Tur, Orach Chaim 336']","@11ג מיי' פכ""א מהלכות שבת סמג לאוין סה טור א""ח סי' שלו",False
36,,,0,35,"['Mishneh Torah, Shofar, Sukkah and Lulav 7']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 651']","@11ד מיי' פ""ז מהל' לולב סמג עשין מד טור א""ח סי' תרנא",False
37,,,0,36,"['Mishneh Torah, Shofar, Sukkah and Lulav 7']","['Sefer Mitzvot Gadol, Positive Commandments 44']","['Tur, Orach Chaim 652']","@11א מיי' פ""ז מהלכות לולב סמג עשין מד טור א""ח סי' תרנב",False
