Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	siman.seif	siman.seif						comments
29b:5-7						א"ח	464.1	א"ח	464	Rosh_Hashanah.29b:5-7			Shulchan_Arukh,_Orach_Chayim.464.1	Tur,_Orach_Chaim.464	
29b:8						א"ח	167.19	א"ח	167	Rosh_Hashanah.29b:8			Shulchan_Arukh,_Orach_Chayim.167.19	Tur,_Orach_Chaim.167	
29b:9						א"ח	692.3	א"ח	692	Rosh_Hashanah.29b:9			Shulchan_Arukh,_Orach_Chayim.692.3	Tur,_Orach_Chaim.692	
29b:11		שופר וסוכה ולולב	2.6	עשין	45	א"ח	588.5	א"ח	588	Rosh_Hashanah.29b:11	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.6	Sefer_Mitzvot_Gadol,_Volume_Two.45	Shulchan_Arukh,_Orach_Chayim.588.5	Tur,_Orach_Chaim.588	
29b:12		שופר וסוכה ולולב	2.8						0	Rosh_Hashanah.29b:12	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.8				
29b:13		שופר וסוכה ולולב	2.8						0	Rosh_Hashanah.29b:13	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.8				
29b:13		שופר וסוכה ולולב	2.9						0	Rosh_Hashanah.29b:13	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.9				
29b:18		שופר וסוכה ולולב	2.8						0	Rosh_Hashanah.29b:18	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.8				
29b:18		שופר וסוכה ולולב	2.9						0	Rosh_Hashanah.29b:18	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.9				
29b:28		שבת	22.1						0	Rosh_Hashanah.29b:28	Mishneh_Torah,_Sabbath.22.1				
29b:32		שופר וסוכה ולולב	2.6						0	Rosh_Hashanah.29b:32	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.6				
30a:2		שופר וסוכה ולולב	2.9						0	Rosh_Hashanah.30a:2	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.9				
30a:2		שמיטה ויובל	10.12						0	Rosh_Hashanah.30a:2	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.12				
30a:15		שמיטה ויובל	10.10						0	Rosh_Hashanah.30a:15	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.10				
30a:18		שמיטה ויובל	10.11						0	Rosh_Hashanah.30a:18	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.11				
30a:22		שופר וסוכה ולולב	2.1			א"ח	589.3	א"ח	589	Rosh_Hashanah.30a:22	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.1		Shulchan_Arukh,_Orach_Chayim.589.3	Tur,_Orach_Chaim.589	
30a:23		עבודה זרה וחוקות הגויים	12.3			א"ח	589.3	א"ח	589	Rosh_Hashanah.30a:23	Mishneh_Torah,_Foreign_Worship_and_Customs_of_the_Nations.12.3		Shulchan_Arukh,_Orach_Chayim.589.3	Tur,_Orach_Chaim.589	
30a:23						א"ח	38.3	א"ח	38	Rosh_Hashanah.30a:23			Shulchan_Arukh,_Orach_Chayim.38.3	Tur,_Orach_Chaim.38	
30a:28		שמיטה ויובל	10.11						0	Rosh_Hashanah.30a:28	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.11				
30a:29		שמיטה ויובל	10.12						0	Rosh_Hashanah.30a:29	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.10.12				
30a:29		מעשר שני ונטע רבעי	2.9						0	Rosh_Hashanah.30a:29	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.2.9				
30a:43		שופר וסוכה ולולב	2.9						0	Rosh_Hashanah.30a:43	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.9				
30a:47		שופר וסוכה ולולב	7.13	עשין	44	א"ח	658.1	א"ח	658	Rosh_Hashanah.30a:47	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.7.13	Sefer_Mitzvot_Gadol,_Volume_Two.44	Shulchan_Arukh,_Orach_Chayim.658.1	Tur,_Orach_Chaim.658	
30a:47		שופר וסוכה ולולב	1.15						0	Rosh_Hashanah.30a:47	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.15				
30a:47		מאכלות אסורות	10.2	לאוין	142	י"ד	293.1	י"ד	293	Rosh_Hashanah.30a:47	Mishneh_Torah,_Forbidden_Foods.10.2	Sefer_Mitzvot_Gadol,_Volume_One.142	Shulchan_Arukh,_Yoreh_De'ah.293.1	Tur,_Yoreh_Deah.293	
30a:50		מאכלות אסורות	10.2						0	Rosh_Hashanah.30a:50	Mishneh_Torah,_Forbidden_Foods.10.2				
30b:12		מאכלות אסורות	10.2						0	Rosh_Hashanah.30b:12	Mishneh_Torah,_Forbidden_Foods.10.2				
30b:15-16		קידוש החודש	3.5						0	Rosh_Hashanah.30b:15-16	Mishneh_Torah,_Sanctification_of_the_New_Month.3.5				
30b:17		קידוש החודש	3.6						0	Rosh_Hashanah.30b:17	Mishneh_Torah,_Sanctification_of_the_New_Month.3.6				
30b:25		קידוש החודש	3.5						0	Rosh_Hashanah.30b:25	Mishneh_Torah,_Sanctification_of_the_New_Month.3.5				
30b:29		תמידים ומוספין	6.9						0	Rosh_Hashanah.30b:29	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
30b:30-31		תמידים ומוספין	6.9						0	Rosh_Hashanah.30b:30-31	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
30b:32		תמידים ומוספין	6.9						0	Rosh_Hashanah.30b:32	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
31a:3-8		תמידים ומוספין	6.9						0	Rosh_Hashanah.31a:3-8	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
31a:21		תמידים ומוספין	6.9			א"ח	428.5	א"ח	428	Rosh_Hashanah.31a:21	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9		Shulchan_Arukh,_Orach_Chayim.428.5	Tur,_Orach_Chaim.428	rif
31a:23		תפילה וברכת כהנים	13.5						0	Rosh_Hashanah.31a:23	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.13.5				
31a:23		תמידים ומוספין	6.9						0	Rosh_Hashanah.31a:23	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
31a:24-26		תמידים ומוספין	6.9						0	Rosh_Hashanah.31a:24-26	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
31a:30		תמידים ומוספין	6.9						0	Rosh_Hashanah.31a:30	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.9				
31a:46		סנהדרין והעונשין המסורין להם	14.12						0	Rosh_Hashanah.31a:46	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.14.12				
31b:10-11		סנהדרין והעונשין המסורין להם	6.6	עשין	74	ח"מ	14.1	ח"מ	14	Rosh_Hashanah.31b:10-11	Mishneh_Torah,_The_Sanhedrin_and_the_Penalties_within_their_Jurisdiction.6.6	Sefer_Mitzvot_Gadol,_Volume_Two.74	Shulchan_Arukh,_Choshen_Mishpat.14.1	Tur,_Choshen_Mishpat.14	
31b:19		תפילה וברכת כהנים	14.6	עשין	20	א"ח	128.5	א"ח	128	Rosh_Hashanah.31b:19	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.14.6	Sefer_Mitzvot_Gadol,_Volume_Two.20	Shulchan_Arukh,_Orach_Chayim.128.5	Tur,_Orach_Chaim.128	rif
31b:22		איסורי ביאה	13.5	לאוין	116				0	Rosh_Hashanah.31b:22	Mishneh_Torah,_Forbidden_Intercourse.13.5	Sefer_Mitzvot_Gadol,_Volume_One.116			
31b:24		איסורי ביאה	13.5	לאוין	116				0	Rosh_Hashanah.31b:24	Mishneh_Torah,_Forbidden_Intercourse.13.5	Sefer_Mitzvot_Gadol,_Volume_One.116			
31b:31-32		מעשר שני ונטע רבעי	9.5	עשין	137				0	Rosh_Hashanah.31b:31-32	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.5	Sefer_Mitzvot_Gadol,_Volume_Two.137			
31b:36		מעשר שני ונטע רבעי	9.5	עשין	137				0	Rosh_Hashanah.31b:36	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.5	Sefer_Mitzvot_Gadol,_Volume_Two.137			
31b:44		עבודת יום הכפורים	3.7						0	Rosh_Hashanah.31b:44	Mishneh_Torah,_Service_on_the_Day_of_Atonement.3.7				
32a:8		שופר וסוכה ולולב	3.7	עשין	42	א"ח	592.1	א"ח	592	Rosh_Hashanah.32a:8	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.7	Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.592.1	Tur,_Orach_Chaim.592	
32a:17-18								א"ח	113	Rosh_Hashanah.32a:17-18				Tur,_Orach_Chaim.113	
32a:55		שופר וסוכה ולולב	3.8			א"ח	591.4	א"ח	591	Rosh_Hashanah.32a:55	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8		Shulchan_Arukh,_Orach_Chayim.591.4	Tur,_Orach_Chaim.591	
32a:57		שופר וסוכה ולולב	3.8					א"ח	591	Rosh_Hashanah.32a:57	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8			Tur,_Orach_Chaim.591	
32a:83-84		שופר וסוכה ולולב	3.9			א"ח	591.5	א"ח	591	Rosh_Hashanah.32a:83-84	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.9		Shulchan_Arukh,_Orach_Chayim.591.5	Tur,_Orach_Chaim.591	
32b:7		שופר וסוכה ולולב	3.9			א"ח	591.5	א"ח	591	Rosh_Hashanah.32b:7	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.9		Shulchan_Arukh,_Orach_Chayim.591.5	Tur,_Orach_Chaim.591	
32b:9		שופר וסוכה ולולב	3.9			א"ח	591.5	א"ח	591	Rosh_Hashanah.32b:9	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.9		Shulchan_Arukh,_Orach_Chayim.591.5	Tur,_Orach_Chaim.591	
32b:12		שופר וסוכה ולולב	3.9					א"ח	591	Rosh_Hashanah.32b:12	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.9			Tur,_Orach_Chaim.591	
32b:18								א"ח	591	Rosh_Hashanah.32b:18				Tur,_Orach_Chaim.591	
32b:25								א"ח	591	Rosh_Hashanah.32b:25				Tur,_Orach_Chaim.591	
32b:28								א"ח	591	Rosh_Hashanah.32b:28				Tur,_Orach_Chaim.591	
32b:44		שופר וסוכה ולולב	3.8					א"ח	591	Rosh_Hashanah.32b:44	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8			Tur,_Orach_Chaim.591	
32b:50		שופר וסוכה ולולב	3.8					א"ח	591	Rosh_Hashanah.32b:50	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8			Tur,_Orach_Chaim.591	
32b:53		שופר וסוכה ולולב	3.8					א"ח	591	Rosh_Hashanah.32b:53	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8			Tur,_Orach_Chaim.591	
32b:56		שופר וסוכה ולולב	3.8					א"ח	591	Rosh_Hashanah.32b:56	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8			Tur,_Orach_Chaim.591	
32b:59		שופר וסוכה ולולב	3.10			א"ח	585	א"ח	585	Rosh_Hashanah.32b:59	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.10		Shulchan_Arukh,_Orach_Chayim.585	Tur,_Orach_Chaim.585	
32b:65		מגילה וחנוכה	3.6			א"ח	584.1	א"ח	584	Rosh_Hashanah.32b:65	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.3.6		Shulchan_Arukh,_Orach_Chayim.584.1	Tur,_Orach_Chaim.584	
32b:71		שופר וסוכה ולולב	1.4			א"ח	586.21	א"ח	586	Rosh_Hashanah.32b:71	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.4		Shulchan_Arukh,_Orach_Chayim.586.21	Tur,_Orach_Chaim.586	
32b:72		שופר וסוכה ולולב	1.4			א"ח	586.23	א"ח	586	Rosh_Hashanah.32b:72	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.4		Shulchan_Arukh,_Orach_Chayim.586.23	Tur,_Orach_Chaim.586	
32b:73		שופר וסוכה ולולב	2.7					א"ח	586	Rosh_Hashanah.32b:73	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.7			Tur,_Orach_Chaim.586	
32b:74		שופר וסוכה ולולב	2.4			א"ח	589.8	א"ח	589	Rosh_Hashanah.32b:74	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.4		Shulchan_Arukh,_Orach_Chayim.589.8	Tur,_Orach_Chaim.589	
33a:9		שופר וסוכה ולולב	1.4			א"ח	586.23	א"ח	586	Rosh_Hashanah.33a:9	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.1.4		Shulchan_Arukh,_Orach_Chayim.586.23	Tur,_Orach_Chaim.586	
33a:13		שופר וסוכה ולולב	2.7			א"ח	589.6	א"ח	589	Rosh_Hashanah.33a:13	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.7		Shulchan_Arukh,_Orach_Chayim.589.6	Tur,_Orach_Chaim.589	
33a:17		מעשה הקרבנות	3.8	עשין	183				0	Rosh_Hashanah.33a:17	Mishneh_Torah,_Sacrificial_Procedure.3.8	Sefer_Mitzvot_Gadol,_Volume_Two.183			
33a:22		שופר וסוכה ולולב	2.7					א"ח	588	Rosh_Hashanah.33a:22	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.7			Tur,_Orach_Chaim.588	
33b:1		שופר וסוכה ולולב	2.7					א"ח	588	Rosh_Hashanah.33b:1	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.2.7			Tur,_Orach_Chaim.588	
33b:6						א"ח	589.8	א"ח	589	Rosh_Hashanah.33b:6			Shulchan_Arukh,_Orach_Chayim.589.8	Tur,_Orach_Chaim.589	
33b:13-14		שופר וסוכה ולולב	3.1			א"ח	590.1	א"ח	590	Rosh_Hashanah.33b:13-14	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.1		Shulchan_Arukh,_Orach_Chayim.590.1	Tur,_Orach_Chaim.590	
33b:15		שופר וסוכה ולולב	3.4			א"ח	590.3	א"ח	590	Rosh_Hashanah.33b:15	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.4		Shulchan_Arukh,_Orach_Chayim.590.3	Tur,_Orach_Chaim.590	
33b:16		שופר וסוכה ולולב	3.4			א"ח	590.6	א"ח	590	Rosh_Hashanah.33b:16	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.4		Shulchan_Arukh,_Orach_Chayim.590.6	Tur,_Orach_Chaim.590	
33b:20		תפילה וברכת כהנים	8.9			א"ח	124.1	א"ח	124	Rosh_Hashanah.33b:20	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.9		Shulchan_Arukh,_Orach_Chayim.124.1	Tur,_Orach_Chaim.124	
33b:20								א"ח	591	Rosh_Hashanah.33b:20				Tur,_Orach_Chaim.591	
33b:39-40		שופר וסוכה ולולב	3.1			א"ח	590.1	א"ח	590	Rosh_Hashanah.33b:39-40	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.1		Shulchan_Arukh,_Orach_Chayim.590.1	Tur,_Orach_Chaim.590	
34a:31						א"ח	588.1	א"ח	588	Rosh_Hashanah.34a:31			Shulchan_Arukh,_Orach_Chayim.588.1	Tur,_Orach_Chaim.588	
34a:45		שופר וסוכה ולולב	3.2			א"ח	590.2	א"ח	590	Rosh_Hashanah.34a:45	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.2		Shulchan_Arukh,_Orach_Chayim.590.2	Tur,_Orach_Chaim.590	
34b:1		שופר וסוכה ולולב	3.6	עשין	42	א"ח	588.2	א"ח	588	Rosh_Hashanah.34b:1	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.6	Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.588.2	Tur,_Orach_Chaim.588	rif
34b:3		שופר וסוכה ולולב	3.6	עשין	42	א"ח	588.2	א"ח	588	Rosh_Hashanah.34b:3	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.6	Sefer_Mitzvot_Gadol,_Volume_Two.42	Shulchan_Arukh,_Orach_Chayim.588.2	Tur,_Orach_Chaim.588	rif
34b:12		קריאת שמע	2.12	עשין	19	א"ח	65.1	א"ח	65	Rosh_Hashanah.34b:12	Mishneh_Torah,_Reading_the_Shema.2.12	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.65.1	Tur,_Orach_Chaim.65	
34b:12						א"ח	78	א"ח	78	Rosh_Hashanah.34b:12			Shulchan_Arukh,_Orach_Chayim.78	Tur,_Orach_Chaim.78	
34b:12						א"ח	85.1	א"ח	85	Rosh_Hashanah.34b:12			Shulchan_Arukh,_Orach_Chayim.85.1	Tur,_Orach_Chaim.85	
34b:19		שופר וסוכה ולולב	3.6			א"ח	593.1	א"ח	593	Rosh_Hashanah.34b:19	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.6		Shulchan_Arukh,_Orach_Chayim.593.1	Tur,_Orach_Chaim.593	
34b:19		שופר וסוכה ולולב	3.17			א"ח	593.2			Rosh_Hashanah.34b:19	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.17		Shulchan_Arukh,_Orach_Chayim.593.2		
34b:29		שופר וסוכה ולולב	3.7			א"ח	592.1	א"ח	592	Rosh_Hashanah.34b:29	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.7		Shulchan_Arukh,_Orach_Chayim.592.1	Tur,_Orach_Chaim.592	
34b:31		שופר וסוכה ולולב	3.12			א"ח	592.2	א"ח	592	Rosh_Hashanah.34b:31	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.12		Shulchan_Arukh,_Orach_Chayim.592.2	Tur,_Orach_Chaim.592	
34b:32						א"ח	594	א"ח	594	Rosh_Hashanah.34b:32			Shulchan_Arukh,_Orach_Chayim.594	Tur,_Orach_Chaim.594	
34b:35		שופר וסוכה ולולב	3.13			א"ח	595	א"ח	595	Rosh_Hashanah.34b:35	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.13		Shulchan_Arukh,_Orach_Chayim.595	Tur,_Orach_Chaim.595	
35a:2		תפילה וברכת כהנים	8.10			א"ח	124.1	א"ח	124	Rosh_Hashanah.35a:2	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.8.10		Shulchan_Arukh,_Orach_Chayim.124.1	Tur,_Orach_Chaim.124	
35a:2								א"ח	591	Rosh_Hashanah.35a:2				Tur,_Orach_Chaim.591	
35a:14		שופר וסוכה ולולב	3.8			א"ח	591.4	א"ח	591	Rosh_Hashanah.35a:14	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.3.8		Shulchan_Arukh,_Orach_Chayim.591.4	Tur,_Orach_Chaim.591	
35a:25		תפילה וברכת כהנים	4.19			א"ח	100	א"ח	100	Rosh_Hashanah.35a:25	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.4.19		Shulchan_Arukh,_Orach_Chayim.100	Tur,_Orach_Chaim.100	
35a:33		תפילה וברכת כהנים	15.8			א"ח	128.28	א"ח	128	Rosh_Hashanah.35a:33	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.15.8		Shulchan_Arukh,_Orach_Chayim.128.28	Tur,_Orach_Chaim.128	
35a:36								א"ח	591	Rosh_Hashanah.35a:36				Tur,_Orach_Chaim.591	
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
									0						
