Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	siman.seif	siman.seif						comments
10b:27		מעשר שני ונטע רבעי	9.8			י"ד	294.4	י"ד	294	Rosh_Hashanah.10b:27	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.9.8		Shulchan_Arukh,_Yoreh_De'ah.294.4	Tur,_Yoreh_Deah.294	
11a:27-28		ברכות	10.13	עשין	27	א"ח	226	א"ח	226	Rosh_Hashanah.11a:27-28	Mishneh_Torah,_Blessings.10.13	Sefer_Mitzvot_Gadol,_Volume_Two.27	Shulchan_Arukh,_Orach_Chayim.226	Tur,_Orach_Chaim.226	
11b:11						א"ח	481.2	א"ח	487	Rosh_Hashanah.11b:11			Shulchan_Arukh,_Orach_Chayim.481.2	Tur,_Orach_Chaim.487	
12a:24		מעשרות	3.9						0	Rosh_Hashanah.12a:24	Mishneh_Torah,_Tithes.3.9				
12a:26		תרומות	5.11	עשין	136	י"ד	331.57	י"ד	331	Rosh_Hashanah.12a:26	Mishneh_Torah,_Heave_Offerings.5.11	Sefer_Mitzvot_Gadol,_Volume_Two.136	Shulchan_Arukh,_Yoreh_De'ah.331.57	Tur,_Yoreh_Deah.331	
12a:26		שמיטה ויובל	4.12						0	Rosh_Hashanah.12a:26	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.12				
12b:2		מעשר שני ונטע רבעי	1.4	עשין	136	י"ד	331.126	י"ד	331	Rosh_Hashanah.12b:2	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.4	Sefer_Mitzvot_Gadol,_Volume_Two.136	Shulchan_Arukh,_Yoreh_De'ah.331.126	Tur,_Yoreh_Deah.331	
12b:7		מתנות עניים	6.4	עשין	136	י"ד	331.19	י"ד	331	Rosh_Hashanah.12b:7	Mishneh_Torah,_Gifts_to_the_Poor.6.4	Sefer_Mitzvot_Gadol,_Volume_Two.136	Shulchan_Arukh,_Yoreh_De'ah.331.19	Tur,_Yoreh_Deah.331	
12b:7		מעשר שני ונטע רבעי	1.1	עשין	161				0	Rosh_Hashanah.12b:7	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.1	Sefer_Mitzvot_Gadol,_Volume_Two.161			
12b:17		נדרים	10.4	לאוין	261	י"ד	220.7	י"ד	220	Rosh_Hashanah.12b:17	Mishneh_Torah,_Vows.10.4	Sefer_Mitzvot_Gadol,_Volume_One.261	Shulchan_Arukh,_Yoreh_De'ah.220.7	Tur,_Yoreh_Deah.220	
12b:18		נדרים	10.4			י"ד	220.6	י"ד	220	Rosh_Hashanah.12b:18	Mishneh_Torah,_Vows.10.4		Shulchan_Arukh,_Yoreh_De'ah.220.6	Tur,_Yoreh_Deah.220	
12b:21		נדרים	9.1	לאוין	262	י"ד	217.1	י"ד	217	Rosh_Hashanah.12b:21	Mishneh_Torah,_Vows.9.1	Sefer_Mitzvot_Gadol,_Volume_One.262	Shulchan_Arukh,_Yoreh_De'ah.217.1	Tur,_Yoreh_Deah.217	
12b:21		נדרים	9.13						0	Rosh_Hashanah.12b:21	Mishneh_Torah,_Vows.9.13				
12b:23		מעשרות	2.5	עשין	136	י"ד	331.15	י"ד	331	Rosh_Hashanah.12b:23	Mishneh_Torah,_Tithes.2.5	Sefer_Mitzvot_Gadol,_Volume_Two.136	Shulchan_Arukh,_Yoreh_De'ah.331.15	Tur,_Yoreh_Deah.331	
12b:23		תרומות	2.8	לאוין	268				0	Rosh_Hashanah.12b:23	Mishneh_Torah,_Heave_Offerings.2.8	Sefer_Mitzvot_Gadol,_Volume_One.268			
12b:23		תרומות	2.10						0	Rosh_Hashanah.12b:23	Mishneh_Torah,_Heave_Offerings.2.10				
13a:12		מקואות	4.1	עשין	248	י"ד	201.1	י"ד	201	Rosh_Hashanah.13a:12	Mishneh_Torah,_Immersion_Pools.4.1	Sefer_Mitzvot_Gadol,_Volume_Two.248	Shulchan_Arukh,_Yoreh_De'ah.201.1	Tur,_Yoreh_Deah.201	
13a:13		טומאת אוכלים	4.1						0	Rosh_Hashanah.13a:13	Mishneh_Torah,_Defilement_of_Foods.4.1				
13a:14		כלים	22.1						0	Rosh_Hashanah.13a:14	Mishneh_Torah,_Vessels.22.1				
13b:6-7		שמיטה ויובל	4.11	עשין	136				0	Rosh_Hashanah.13b:6-7	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.11	Sefer_Mitzvot_Gadol,_Volume_Two.136			
13b:6-7		מעשר שני ונטע רבעי	1.8	לאוין	265				0	Rosh_Hashanah.13b:6-7	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.8	Sefer_Mitzvot_Gadol,_Volume_One.265			
13b:9		ביכורים ושאר מתנות כהונה שבגבולין	2.7	עשין	136	י"ד	294.4	י"ד	294	Rosh_Hashanah.13b:9	Mishneh_Torah,_First_Fruits_and_other_Gifts_to_Priests_Outside_the_Sanctuary.2.7	Sefer_Mitzvot_Gadol,_Volume_Two.136	Shulchan_Arukh,_Yoreh_De'ah.294.4	Tur,_Yoreh_Deah.294	
13b:9				עשין	137				0	Rosh_Hashanah.13b:9		Sefer_Mitzvot_Gadol,_Volume_Two.137			
13b:9		תרומות	2.10	עשין	133				0	Rosh_Hashanah.13b:9	Mishneh_Torah,_Heave_Offerings.2.10	Sefer_Mitzvot_Gadol,_Volume_Two.133			
13b:9		מעשרות	2.5	עשין	135				0	Rosh_Hashanah.13b:9	Mishneh_Torah,_Tithes.2.5	Sefer_Mitzvot_Gadol,_Volume_Two.135			
13b:9		תרומות	5.11	עשין	135				0	Rosh_Hashanah.13b:9	Mishneh_Torah,_Heave_Offerings.5.11	Sefer_Mitzvot_Gadol,_Volume_Two.135			
13b:9		מעשר שני ונטע רבעי	1.2						0	Rosh_Hashanah.13b:9	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.2				
13b:9		מעשר שני ונטע רבעי	1.4						0	Rosh_Hashanah.13b:9	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.4				
13b:9		שמיטה ויובל	4.12						0	Rosh_Hashanah.13b:9	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.12				
13b:15-17		מעשר שני ונטע רבעי	1.8						0	Rosh_Hashanah.13b:15-17	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.8				
13b:30		מעשר שני ונטע רבעי	1.8						0	Rosh_Hashanah.13b:30	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.8				
14a:21		שמיטה ויובל	4.17						0	Rosh_Hashanah.14a:21	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.17				
14a:21		מעשר שני ונטע רבעי	1.9						0	Rosh_Hashanah.14a:21	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.9				
14b:5-8		מעשר שני ונטע רבעי	1.5			י"ד	331.126	י"ד	331	Rosh_Hashanah.14b:5-8	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.5		Shulchan_Arukh,_Yoreh_De'ah.331.126	Tur,_Yoreh_Deah.331	
14b:5-8		שמיטה ויובל	4.12						0	Rosh_Hashanah.14b:5-8	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.12				
14b:29		תרומות	5.11			י"ד	331.57	י"ד	331	Rosh_Hashanah.14b:29	Mishneh_Torah,_Heave_Offerings.5.11		Shulchan_Arukh,_Yoreh_De'ah.331.57	Tur,_Yoreh_Deah.331	
14b:30		מעשר שני ונטע רבעי	1.2			י"ד	331.126	י"ד	331	Rosh_Hashanah.14b:30	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.2		Shulchan_Arukh,_Yoreh_De'ah.331.126	Tur,_Yoreh_Deah.331	
15a:25		מעשר שני ונטע רבעי	1.6						0	Rosh_Hashanah.15a:25	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.6				
15a:25		שמיטה ויובל	4.12						0	Rosh_Hashanah.15a:25	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.12				
15a:35		שמיטה ויובל	4.9						0	Rosh_Hashanah.15a:35	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.9				
15b:8		מעשר שני ונטע רבעי	1.6			י"ד	331.126	י"ד	331	Rosh_Hashanah.15b:8	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.6		Shulchan_Arukh,_Yoreh_De'ah.331.126	Tur,_Yoreh_Deah.331	
15b:8		שמיטה ויובל	4.12						0	Rosh_Hashanah.15b:8	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.12				
15b:10		מעשר שני ונטע רבעי	1.2			י"ד	331.125	י"ד	331	Rosh_Hashanah.15b:10	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.2		Shulchan_Arukh,_Yoreh_De'ah.331.125	Tur,_Yoreh_Deah.331	
15b:18		מעשר שני ונטע רבעי	1.3						0	Rosh_Hashanah.15b:18	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.1.3				
15b:20		שמיטה ויובל	4.16						0	Rosh_Hashanah.15b:20	Mishneh_Torah,_Sabbatical_Year_and_the_Jubilee.4.16				
16a:1		תשובה	3.3						0	Rosh_Hashanah.16a:1	Mishneh_Torah,_Repentance.3.3				
16a:69				עשין	42			א"ח	586	Rosh_Hashanah.16a:69		Sefer_Mitzvot_Gadol,_Volume_Two.42		Tur,_Orach_Chaim.586	
16a:78				עשין	42			א"ח	585	Rosh_Hashanah.16a:78		Sefer_Mitzvot_Gadol,_Volume_Two.42		Tur,_Orach_Chaim.585	
