Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
7a.1		חגיגה	1.2	עשין	229				0	http://www.sefaria.org/Chagigah.7a.1	sefaria.org/Mishneh_Torah,_Festival_Offering.1.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.7a.1	Mishneh_Torah,_Festival_Offering.1.2	Sefer_Mitzvot_Gadol,_Volume_Two.229		
7a.1		אבל	14.1						0	http://www.sefaria.org/Chagigah.7a.1	sefaria.org/Mishneh_Torah,_Mourning.14.1					Chagigah.7a.1	Mishneh_Torah,_Mourning.14.1			
7a.1		תלמוד תורה	1.10			י"ד	246.3	י"ד	246	http://www.sefaria.org/Chagigah.7a.1	sefaria.org/Mishneh_Torah,_Torah_Study.1.10		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.246.3	sefaria.org/Tur,_Yoreh_Deah.246		Chagigah.7a.1	Mishneh_Torah,_Torah_Study.1.10		Shulchan_Arukh,_Yoreh_De'ah.246.3	Tur,_Yoreh_Deah.246
7a.5		חגיגה	1.2						0	http://www.sefaria.org/Chagigah.7a.5	sefaria.org/Mishneh_Torah,_Festival_Offering.1.2					Chagigah.7a.5	Mishneh_Torah,_Festival_Offering.1.2			
7a.7		חגיגה	1.2						0	http://www.sefaria.org/Chagigah.7a.7	sefaria.org/Mishneh_Torah,_Festival_Offering.1.2					Chagigah.7a.7	Mishneh_Torah,_Festival_Offering.1.2			
7a.12		חגיגה	1.1						0	http://www.sefaria.org/Chagigah.7a.12	sefaria.org/Mishneh_Torah,_Festival_Offering.1.1					Chagigah.7a.12	Mishneh_Torah,_Festival_Offering.1.1			
7a.26		חגיגה	1.1						0	http://www.sefaria.org/Chagigah.7a.26	sefaria.org/Mishneh_Torah,_Festival_Offering.1.1					Chagigah.7a.26	Mishneh_Torah,_Festival_Offering.1.1			
7a.47		חגיגה	1.2						0	http://www.sefaria.org/Chagigah.7a.47	sefaria.org/Mishneh_Torah,_Festival_Offering.1.2					Chagigah.7a.47	Mishneh_Torah,_Festival_Offering.1.2			
7a.47		חגיגה	2.6						0	http://www.sefaria.org/Chagigah.7a.47	sefaria.org/Mishneh_Torah,_Festival_Offering.2.6					Chagigah.7a.47	Mishneh_Torah,_Festival_Offering.2.6			
7b.10		חגיגה	2.10						0	http://www.sefaria.org/Chagigah.7b.10	sefaria.org/Mishneh_Torah,_Festival_Offering.2.10					Chagigah.7b.10	Mishneh_Torah,_Festival_Offering.2.10			
7b.12		חגיגה	2.8	עשין	229				0	http://www.sefaria.org/Chagigah.7b.12	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.7b.12	Mishneh_Torah,_Festival_Offering.2.8	Sefer_Mitzvot_Gadol,_Volume_Two.229		
7b.19		חגיגה	1.8						0	http://www.sefaria.org/Chagigah.7b.19	sefaria.org/Mishneh_Torah,_Festival_Offering.1.8					Chagigah.7b.19	Mishneh_Torah,_Festival_Offering.1.8			
7b.19		חגיגה	1.9						0	http://www.sefaria.org/Chagigah.7b.19	sefaria.org/Mishneh_Torah,_Festival_Offering.1.9					Chagigah.7b.19	Mishneh_Torah,_Festival_Offering.1.9			
7b.21		חגיגה	1.10						0	http://www.sefaria.org/Chagigah.7b.21	sefaria.org/Mishneh_Torah,_Festival_Offering.1.10					Chagigah.7b.21	Mishneh_Torah,_Festival_Offering.1.10			
7b.21		חגיגה	1.8						0	http://www.sefaria.org/Chagigah.7b.21	sefaria.org/Mishneh_Torah,_Festival_Offering.1.8					Chagigah.7b.21	Mishneh_Torah,_Festival_Offering.1.8			
7b.22		חגיגה	2.8	עשין	229				0	http://www.sefaria.org/Chagigah.7b.22	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.229				Chagigah.7b.22	Mishneh_Torah,_Festival_Offering.2.8	Sefer_Mitzvot_Gadol,_Volume_Two.229		
7b.23		חגיגה	2.10						0	http://www.sefaria.org/Chagigah.7b.23	sefaria.org/Mishneh_Torah,_Festival_Offering.2.10					Chagigah.7b.23	Mishneh_Torah,_Festival_Offering.2.10			
7b.27		חגיגה	2.8						0	http://www.sefaria.org/Chagigah.7b.27	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8					Chagigah.7b.27	Mishneh_Torah,_Festival_Offering.2.8			
8a.2		קרבן פסח	10.13						0	http://www.sefaria.org/Chagigah.8a.2	sefaria.org/Mishneh_Torah,_Paschal_Offering.10.13					Chagigah.8a.2	Mishneh_Torah,_Paschal_Offering.10.13			
8a.2		חגיגה	2.10						0	http://www.sefaria.org/Chagigah.8a.2	sefaria.org/Mishneh_Torah,_Festival_Offering.2.10					Chagigah.8a.2	Mishneh_Torah,_Festival_Offering.2.10			
8a.7		חגיגה	2.8						0	http://www.sefaria.org/Chagigah.8a.7	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8					Chagigah.8a.7	Mishneh_Torah,_Festival_Offering.2.8			
8a.9		חגיגה	2.8						0	http://www.sefaria.org/Chagigah.8a.9	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8					Chagigah.8a.9	Mishneh_Torah,_Festival_Offering.2.8			
8a.13		חגיגה	2.8						0	http://www.sefaria.org/Chagigah.8a.13	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8					Chagigah.8a.13	Mishneh_Torah,_Festival_Offering.2.8			
8a.22		חגיגה	2.8						0	http://www.sefaria.org/Chagigah.8a.22	sefaria.org/Mishneh_Torah,_Festival_Offering.2.8					Chagigah.8a.22	Mishneh_Torah,_Festival_Offering.2.8			
8a.23		חגיגה	2.9						0	http://www.sefaria.org/Chagigah.8a.23	sefaria.org/Mishneh_Torah,_Festival_Offering.2.9					Chagigah.8a.23	Mishneh_Torah,_Festival_Offering.2.9			
8a.23		שבת	23.14						0	http://www.sefaria.org/Chagigah.8a.23	sefaria.org/Mishneh_Torah,_Sabbath.23.14					Chagigah.8a.23	Mishneh_Torah,_Sabbath.23.14			
8a.26		חגיגה	2.9						0	http://www.sefaria.org/Chagigah.8a.26	sefaria.org/Mishneh_Torah,_Festival_Offering.2.9					Chagigah.8a.26	Mishneh_Torah,_Festival_Offering.2.9			
8a.26		שבת	23.14						0	http://www.sefaria.org/Chagigah.8a.26	sefaria.org/Mishneh_Torah,_Sabbath.23.14					Chagigah.8a.26	Mishneh_Torah,_Sabbath.23.14			
8a.33		חגיגה	2.10						0	http://www.sefaria.org/Chagigah.8a.33	sefaria.org/Mishneh_Torah,_Festival_Offering.2.10					Chagigah.8a.33	Mishneh_Torah,_Festival_Offering.2.10			
8b.1		חגיגה	1.1						0	http://www.sefaria.org/Chagigah.8b.1	sefaria.org/Mishneh_Torah,_Festival_Offering.1.1					Chagigah.8b.1	Mishneh_Torah,_Festival_Offering.1.1			
