Reference	Ref in Sefaria	Pages in K&E	Hebrew in Sefaria	Other English in Sefaria	Text Placed	Notes	Adjusted Ref
Bava Batra 16b	yes	193	yes	no		reference	
Bava Batra 58a	yes	53, 91, 182	yes	no		reference	
Bava Batra 99a	yes	196	yes	no		reference	
Bava Batra 134a	yes	324	yes	no		reference	
Sanhedrin 38a	yes	99, 100, 248	yes	no		reference; nothing on 248	
Sanhedrin 45a	yes	165	yes	no		reference	
Sanhedrin 52b	yes	165	yes	no		reference	
Sanhedrin 57b	yes	156	yes	no		reference	
Sanhedrin 59b	yes	88, 158	yes	no		reference	
Sanhedrin 108a	yes	57, 154	yes	no	yes		
Sanhedrin 108b	yes	151, 346	yes	no	yes		
Avodah Zarah 5a	yes	260	yes	no		reference	
Avodah Zarah 8a	yes	158	yes	no		reference	
Avodah Zarah 27a	yes	89	yes	yes		phrase; already translated	
Menachot 43b	yes	216	yes	no		reference	
Chullin 7a	yes	324	yes	no		reference	
Chullin 7a-7b	yes	153	yes	no	yes	found part of the phrases quoted	
Chullin 89a	yes	216	yes	yes		reference	
Chullin 127a	yes	18	yes	no		reference	
Bekhorot 8a	yes	83, 85	yes	no		reference	
Bekhorot 8b	yes	84	yes	no		reference	
Niddah 13b	yes	260	yes	no		reference	
Niddah 22b-23a	yes	49	yes	no		reference	
Niddah 23a	yes	77	yes	no	yes		
Niddah 31a	yes	81, 89, 171	yes	no	yes		
Sefer Yetzirah 1:3	yes	190, 199	yes	yes	no		
Sefer Yetzirah 1:5	yes	199	yes	yes	no		
Sefer Yetzirah 1:13	yes	222	yes	yes	no		
Sefer Yetzirah 4:5-11	yes	187, 206	yes	yes	no		
Sefer Yetzirah 4:12	yes	234	yes	yes	no		
Sefer Yetzirah 5:2	yes	206	yes	yes	no		
Sefer Yetzirah 6:2	yes	206	yes	yes	no		
P'siqta d'Rav Kahana 1:1	no	336	no	no	no		
P'siqta d'Rav Kahana 1:2	no	203, 216, 303	no	no	no		
P'siqta d'Rav Kahana 4:4	no	53	no	no	no		
P'siqta d'Rav Kahana 12:1	no	53	no	no	no		
P'siqta Rabbati 153a	no	317	no	no	no		
Tanchuma B'rei'shit 7	no	107-8	no	no	no		
Tanchuma B'rei'shit 10	no	152	no	no	no		
Tanchuma B'rei'shit 11	no	91	no	no	no		
Tanchuma B'shalach 22	no	90	no	no	no		
Tanchuma Chuqat 6	no	64, 326	no	no	no		
Tanchuma Emor 6	no	125	no	no	no		
Tanchuma Ki Tisa' 27	no	168	no	no	no		
Tanchuma Noach 2	no	140	no	no	no		
Tanchuma Noach 5-6	no	149	no	no	no		
Tanchuma Noach 7	no	140	no	no	no		
Tanchuma Noach 11	no	87, 154	no	no	no		
Tanchuma P'qudey 3	no	121, 202, 245	no	no	no		
Tanchuma Q'doshim 8	no	106	no	no	no		
