Name,Match Name 1,Match Name 2,Match Name 3,Match URL 1,Match URL 2,Match URL 3
ירמיה,ירמיהו,,,https://www.wikidata.org/wiki/Q158825,,
אלישמע בן פיכאי,אלישמע בן עמיהוד,,,https://www.wikidata.org/wiki/Q10271944,,
אחיתופל,אחיתופל,,,https://www.wikidata.org/wiki/Q400294,,
חרבונה,,,,,,
גחזי,,,,,,
צפנת פענח,,,,,,
עתניאל,עתניאל בן קנז,,,https://www.wikidata.org/wiki/Q536485,,
בעשא,בעשא,,,https://www.wikidata.org/wiki/Q313224,,
הגה,,,,,,
הגר,הגר,,,https://www.wikidata.org/wiki/Q214617,,
מררי,,,,,,
צפניה,צפניה בן כושי,,,https://www.wikidata.org/wiki/Q1761359,,
שם בן נח,שם בן נח,,,https://www.wikidata.org/wiki/Q200902,,
מכיר,,,,,,
נתן הנביא,נתן הנביא,,,https://www.wikidata.org/wiki/Q319116,,
עמלק,עמלק,,,https://www.wikidata.org/wiki/Q372091,,
אבישג,אבישג השונמית,,,https://www.wikidata.org/wiki/Q321469,,
עפרון,עפרון החתי,,,https://www.wikidata.org/wiki/Q6775384,,
אבישי,,,,,,
נבוכדנאצר,,,,,,
תולע בן פואה,תולע בן פואה,תולע,,https://www.wikidata.org/wiki/Q1516117,https://www.wikidata.org/wiki/Q3992381,
אסף תהלים,אסף בן ברכיהו,,,https://www.wikidata.org/wiki/Q43280403,,
התך,,,,,,
שלמון,שלמון,,,https://www.wikidata.org/wiki/Q1771358,,
אליעזר,אליעזר,,אליעזר עבד אברהם,https://www.wikidata.org/wiki/Q1195680,,https://www.wikidata.org/wiki/Q14933103
אחאב,אחאב,,,https://www.wikidata.org/wiki/Q235901,,
יהושפט,יהושפט,,,https://www.wikidata.org/wiki/Q126689,,
נבות,נבות היזרעאלי,,,https://www.wikidata.org/wiki/Q44203,,
צדוק,צדוק,,,https://www.wikidata.org/wiki/Q140100,,
עירא היאירי,,,,,,
עדינו,,,,,,
מלכי צדק,מלכי-צדק,,,https://www.wikidata.org/wiki/Q219395,,
זרש,זרש,,,https://www.wikidata.org/wiki/Q939384,,
נפתלי,,,,,,
חור,חור,,,https://www.wikidata.org/wiki/Q492665,,
געל,געל בן עבד,,,https://www.wikidata.org/wiki/Q10287821,,
שמואל הנביא,שמואל,,,https://www.wikidata.org/wiki/Q6577515,,
אחיה השילוני,אחיה השילוני,,,https://www.wikidata.org/wiki/Q2590260,,
עשו,עשו,,,https://www.wikidata.org/wiki/Q220822,,
נבל אביגיל,נבל הכרמלי,,,https://www.wikidata.org/wiki/Q1709507,,
זלפה,זלפה,,,https://www.wikidata.org/wiki/Q221826,,
נעמן,נַעֲמָן,,,https://www.wikidata.org/wiki/Q126778,,
אבימלך בן ירובעל,אבימלך בן גדעון,אבימלך מלך גרר,,https://www.wikidata.org/wiki/Q480279,https://www.wikidata.org/wiki/Q1343803,
נעמה,נעמה,,נעמה העמונית,https://www.wikidata.org/wiki/Q1542154,,https://www.wikidata.org/wiki/Q865263
חולדה נביאה,חולדה הנביאה,,,https://www.wikidata.org/wiki/Q583207,,
יהודה,יהודה,,,https://www.wikidata.org/wiki/Q282220,,
ענר,,,,,,
נבח,,,,,,
נבט,נבט,,,https://www.wikidata.org/wiki/Q26835883,,
קטורה,קטורה,,,https://www.wikidata.org/wiki/Q908531,,
אוריה החתי,אוריה החתי,,,https://www.wikidata.org/wiki/Q71267,,
קין,קין,,,https://www.wikidata.org/wiki/Q205365,,
תבני,תבני,,,https://www.wikidata.org/wiki/Q887994,,
מתושלח,מתושלח,,,https://www.wikidata.org/wiki/Q156290,,
רבשקה,רבשקה,,,https://www.wikidata.org/wiki/Q2920137,,
רצפה בת איה,,,,,,
בתיה,,,,,,
עזרא,עזרא הסופר,,,https://www.wikidata.org/wiki/Q191787,,
יאשיה,,,,,,
פתואל,,,,,,
אסנת,אסנת,,,https://www.wikidata.org/wiki/Q723681,,
כושן רשעתים,,,,,,
אחימן,,,,,,
איוב,איוב,,,https://www.wikidata.org/wiki/Q179962,,
בועז,,,,,,
אכיש,אכיש,,,https://www.wikidata.org/wiki/Q167185,,
ירבעם בן נבט,ירבעם בן נבט,,,https://www.wikidata.org/wiki/Q313219,,
זכריה בית שני,,,,,,
נחש העמוני,,,,,,
חפצי בה,,,,,,
פשחור,,,,,,
אברהם,אברהם,,,https://www.wikidata.org/wiki/Q9181,,
זבולון,זבולון,,,https://www.wikidata.org/wiki/Q614575,,
עכסה,עכסה,,,https://www.wikidata.org/wiki/Q2829011,,
