item,itemLabel,present_in_work,present_in_workLabel
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131066,1 Kings
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131072,Ecclesiastes
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131489,Second Epistle to Timothy
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131590,Jeremiah
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131635,Ezra
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131640,Nehemiah
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q131737,Book of Tobit
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q155980,Sirach
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q161953,Books of Chronicles
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q174677,Book of Amos
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q178390,Ezekiel
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q179769,Zechariah
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q184030,Book of Hosea
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q209719,2 Samuel
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q209720,2 Chronicles
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q209746,2 Kings
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q1975029,1 Samuel
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q9813916,1 Chronicles
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q13472331,David and Goliath
http://www.wikidata.org/entity/Q41370,David,http://www.wikidata.org/entity/Q16159714,Isaiah 9
http://www.wikidata.org/entity/Q43399,Andrew,http://www.wikidata.org/entity/Q36766,Gospel of John
http://www.wikidata.org/entity/Q43399,Andrew,http://www.wikidata.org/entity/Q39939,Gospel of Luke
http://www.wikidata.org/entity/Q43399,Andrew,http://www.wikidata.org/entity/Q107388,Gospel of Mark
http://www.wikidata.org/entity/Q43399,Andrew,http://www.wikidata.org/entity/Q392302,Gospel of Matthew
http://www.wikidata.org/entity/Q43399,Andrew,http://www.wikidata.org/entity/Q667096,Acts of Andrew
http://www.wikidata.org/entity/Q43399,Andrew,http://www.wikidata.org/entity/Q3374647,Acta Andreae et Matthiae apud Anthropophagos
