Name,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
ר יהושע בן ר עקיבא,יהושע בן פרחיה‎,רבי יהושע בן חנניה,רבי יהושע בן קרחה,,,,,,,,,,,,,https://www.sefaria.org/person/Yehoshua%20b.%20Perachya,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Hananyah,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Korha,,,,,,,,,,,,
רבי שמעון בן יוחאי,רבי שמעון בר יוחאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,,,,,,,,,,,,,,
רבי יהודה בן בבא,רבי יהודה בן בבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Bava,,,,,,,,,,,,,,
נחום המדי,נחום המדי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Nahum%20haMedi,,,,,,,,,,,,,,
רבי נהוראי,רבי נהוראי,רבי נהוראי,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehorai,https://www.sefaria.org/person/Rabbi%20Nehorai,,,,,,,,,,,,,
רבי אלעזר בן צדוק,רבי אלעזר בן צדוק,רבי אלעזר בן צדוק,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),,,,,,,,,,,,,
רבי יוסי,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
רבי יצחק,רבי יצחק,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yitzhak,,,,,,,,,,,,,,
בן ננס,בן הא הא,בן בג בג,,,,,,,,,,,,,,https://www.sefaria.org/person/Ben%20He%20He,https://www.sefaria.org/person/Ben%20Bag%20Bag,,,,,,,,,,,,,
מרים בת בייתוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
קליאופטרא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יהושע בן גמלא,יהושע בן פרחיה‎,רבי יהושע בן חנניה,רבי יהושע בן קרחה,,,,,,,,,,,,,https://www.sefaria.org/person/Yehoshua%20b.%20Perachya,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Hananyah,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Korha,,,,,,,,,,,,
ר יוסי בר חנינא,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
רבי אלעזר בן שמוע,רבי אלעזר בן שמוע,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,,,,,,,,,,,,,,
רב הונא בריה דרב איקא,רב הונא,רב הונא בר אבין,רב הונא בר יהושע,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Huna,https://www.sefaria.org/person/Rav%20Huna%20b.%20Avin,https://www.sefaria.org/person/Rav%20Huna%20b.%20Yehoshua,,,,,,,,,,,,
רבי אבין,רבי אבין בן רבין,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Avin%20b.%20Ravin,,,,,,,,,,,,,,
רב עוירא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר יוסי בר נתן,רבי יוסי בר זבידא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Zevida,,,,,,,,,,,,,,
רבי יונתן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב המנונא סבא,רב המנונא,רב המנונא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Hamnuna%20(I),https://www.sefaria.org/person/Rav%20Hamnuna%20(II),,,,,,,,,,,,,
רב ביבי,רב ביבי בר אביי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Bivi%20b.%20Abaye,,,,,,,,,,,,,,
רב ענן בר תחליפא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב יהודה בר יחזקאל,רב יהודה בן יחזקאל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Yehudah%20b.%20Yehezkel,,,,,,,,,,,,,,
רבי יצחק נפחא,רבי יצחק נפחא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yitzhak%20Nappaha,,,,,,,,,,,,,,
רב אחא בר יוסף,רב אחא בר יעקב,רבי אחא,רב אחא בריה דרב איפא,רב אחא בר רבא,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Aha%20b.%20Ya'akov,https://www.sefaria.org/person/Rabbi%20Aha,https://www.sefaria.org/person/Rav%20Aha%20brei%20d'%20R'%20Iqa,https://www.sefaria.org/person/Rav%20Aha%20b.%20Rava,,,,,,,,,,,
רב אבא בר תחליפא,רבי אבא,רבי אבא בן הייא בן אבא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Abba,https://www.sefaria.org/person/Rabbi%20Abba%20b.%20Hiyya%20b.%20Abba,,,,,,,,,,,,,
רב חייא אריכא,רבי חייא בן אבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hiyya%20b.%20Abba,,,,,,,,,,,,,,
לוי בריה דרב הונא בר חייא,רבי לוי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Levi,,,,,,,,,,,,,,
רב חייא בר אשי,רבי חייא בן אבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hiyya%20b.%20Abba,,,,,,,,,,,,,,
רבי יהודה הנדואה,יהודה בן חייא,רבי יהודה נשיאה,רב יהודה בן יחזקאל,רבי יהודה נשיאה,רבי יהודה בן פזי,,,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Hiyya,https://www.sefaria.org/person/Rabbi%20Yehudah%20Nesi'a%20(I),https://www.sefaria.org/person/Rav%20Yehudah%20b.%20Yehezkel,https://www.sefaria.org/person/Rabbi%20Yehudah%20Nesi'a%20(II),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Pazi,,,,,,,,,,
רב אחא בר רב הונא,רב אחא בר יעקב,רבי אחא,רב אחא בריה דרב איפא,רב אחא בר רבא,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Aha%20b.%20Ya'akov,https://www.sefaria.org/person/Rabbi%20Aha,https://www.sefaria.org/person/Rav%20Aha%20brei%20d'%20R'%20Iqa,https://www.sefaria.org/person/Rav%20Aha%20b.%20Rava,,,,,,,,,,,
אילפא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב ייבא סבא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי יונה,רבי יונה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yonah,,,,,,,,,,,,,,
רב שמואל בר ביסנא,שמואל,רבי שמואל בן יצחק,רבי שמואל בן נחמן,רבי שמואל בר יוסי בר בון,,,,,,,,,,,,https://www.sefaria.org/person/Shmuel,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Yitzhak,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Nahmani,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Yose%20b.%20Boon,,,,,,,,,,,
פפא בר אבא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רמי בר חמא,רמי בר חמא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rami%20b.%20Hama,,,,,,,,,,,,,,
רב טובי בר מתנא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבה בר בר חנה,רבה בר בר חנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbah%20b.%20b.%20Hanah,,,,,,,,,,,,,,
רבי אמי ורבי אסי,רבי אמי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Ammi,,,,,,,,,,,,,,
רבי שילא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי ינאי בר ישמעאל,רבי ינאי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yannai,,,,,,,,,,,,,,
רב הונא בריה דרב יהושע,רב הונא,רב הונא בר אבין,רב הונא בר יהושע,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Huna,https://www.sefaria.org/person/Rav%20Huna%20b.%20Avin,https://www.sefaria.org/person/Rav%20Huna%20b.%20Yehoshua,,,,,,,,,,,,
ר אלעזר מהגרוניא,רבי אלעזר בן פדת,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Pedat,,,,,,,,,,,,,,
רבה בר רב חנן,רבה בר חנה,רבה בר אבוה,רבה בר בר חנה,רבה בר נחמני,רבה בר רב הונא,רבא,רבה תוספאה,,,,,,,,,https://www.sefaria.org/person/Rabbah%20b.%20Hanah,https://www.sefaria.org/person/Rabbah%20b.%20Avuha,https://www.sefaria.org/person/Rabbah%20b.%20b.%20Hanah,https://www.sefaria.org/person/Rabbah%20b.%20Nahmani,https://www.sefaria.org/person/Rabbah%20b.%20Rav%20Huna,https://www.sefaria.org/person/Rava,https://www.sefaria.org/person/Rabbah%20Tosafa'ah,,,,,,,,
אבא אומנא,רבי אבא,רבי אבא בן הייא בן אבא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Abba,https://www.sefaria.org/person/Rabbi%20Abba%20b.%20Hiyya%20b.%20Abba,,,,,,,,,,,,,
צפנית צפנת בת פניאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבין סבא,רבין,,,,,,,,,,,,,,,https://www.sefaria.org/person/Ravin,,,,,,,,,,,,,,
איפרא הורמיז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב אחא בר יעקב,רב אחא בר יעקב,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Aha%20b.%20Ya'akov,,,,,,,,,,,,,,
רחבה,רחבא דפומבדיתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rahava%20of%20Pumbedita,,,,,,,,,,,,,,
רבי אבינא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב עיליש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב אדא בר אהבה,רב אדא בר אהבה,רב אדא בר אהבה,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Adda%20b.%20Ahavah%20(I),https://www.sefaria.org/person/Rav%20Adda%20b.%20Ahavah%20(II),,,,,,,,,,,,,
רבי בון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חנינא בר חמא,רבי חנינא בר חמא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Hama,,,,,,,,,,,,,,
רבי אביתר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אגריפס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי תנחומא,רבי תנחומא בר אבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Tanhuma%20b.%20Abba,,,,,,,,,,,,,,
רבי לוי,רבי לוי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Levi,,,,,,,,,,,,,,
רב מרדכי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זעירי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אבא בר זוטרא,רבי אבא,רבי אבא בן הייא בן אבא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Abba,https://www.sefaria.org/person/Rabbi%20Abba%20b.%20Hiyya%20b.%20Abba,,,,,,,,,,,,,
ר יעקב בר אחא,רבי יעקב בר אידי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Ya'akov%20b.%20Idi,,,,,,,,,,,,,,
רב הונא,רב הונא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Huna,,,,,,,,,,,,,,
רב מלכיו,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חנינא בן גמליאל,רבי חנינא בר חמא,רבי חנינה בר פפא‎,רבי חנינא דציפורי,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Hama,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Pappa,https://www.sefaria.org/person/Rabbi%20Hanina%20of%20Tzipori,,,,,,,,,,,,
רב חמא בריה דרבה בר אבהו,רבי חמא בר ביסא,רב חמא בר גוריא,רבי חמא בר חנינא,רב חמא,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hama%20b.%20Bisa,https://www.sefaria.org/person/Rav%20Hama%20b.%20Gurya,https://www.sefaria.org/person/Rabbi%20Hama%20b.%20Hanina,https://www.sefaria.org/person/Rav%20Hama,,,,,,,,,,,
רב סמא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב,רב,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav,,,,,,,,,,,,,,
רב כהנא,רב כהנא,רב כהנא,רב כהנא,רב כהנא,רב כהנא,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Kahana%20(I),https://www.sefaria.org/person/Rav%20Kahana%20(II),https://www.sefaria.org/person/Rav%20Kahana%20(III),https://www.sefaria.org/person/Rav%20Kahana%20(IV),https://www.sefaria.org/person/Rav%20Kahana%20(V),,,,,,,,,,
רב חנן בר רבא,רב חנן בר רבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Hanan%20b.%20Rabbah,,,,,,,,,,,,,,
רב יהודה בר אישתתא,יהודה בן חייא,רבי יהודה נשיאה,רב יהודה בן יחזקאל,רבי יהודה נשיאה,רבי יהודה בן פזי,,,,,,,,,,,https://www.sefaria.org/person/Yehudah%20b.%20Hiyya,https://www.sefaria.org/person/Rabbi%20Yehudah%20Nesi'a%20(I),https://www.sefaria.org/person/Rav%20Yehudah%20b.%20Yehezkel,https://www.sefaria.org/person/Rabbi%20Yehudah%20Nesi'a%20(II),https://www.sefaria.org/person/Rabbi%20Yehudah%20b.%20Pazi,,,,,,,,,,
רב אידי בר אבין,רב אידי בר אבין,רב אידי בר אבין,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Idi%20b.%20Avin%20(I),https://www.sefaria.org/person/Rav%20Idi%20b.%20Avin%20(II),,,,,,,,,,,,,
רבי חייא בר זרנוקי,רבי חייא בן אבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hiyya%20b.%20Abba,,,,,,,,,,,,,,
רב סעורם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב שמואל בר שילת,שמואל,רבי שמואל בן יצחק,רבי שמואל בן נחמן,רבי שמואל בר יוסי בר בון,,,,,,,,,,,,https://www.sefaria.org/person/Shmuel,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Yitzhak,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Nahmani,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Yose%20b.%20Boon,,,,,,,,,,,
רב דימי בר יוסף,רב דימי,רב דימי מנהרדעא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Dimi,https://www.sefaria.org/person/Rav%20Dimi%20of%20Neharde'a,,,,,,,,,,,,,
מר זוטרא חסידא,מר עוקבא,מר זוטרא,מר בר רב אשי,,,,,,,,,,,,,https://www.sefaria.org/person/Mar%20Ukva,https://www.sefaria.org/person/Mar%20Zutra,https://www.sefaria.org/person/Mar%20b.%20Rav%20Ashi,,,,,,,,,,,,
רב חננאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב הונא ריש גלותא,רב הונא,רב הונא בר אבין,רב הונא בר יהושע,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Huna,https://www.sefaria.org/person/Rav%20Huna%20b.%20Avin,https://www.sefaria.org/person/Rav%20Huna%20b.%20Yehoshua,,,,,,,,,,,,
רבי תנחום בר איסבלוסטיקא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אבא בר פפא,רבי אבא,רבי אבא בן הייא בן אבא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Abba,https://www.sefaria.org/person/Rabbi%20Abba%20b.%20Hiyya%20b.%20Abba,,,,,,,,,,,,,
רבה בר חנה,רבה בר חנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbah%20b.%20Hanah,,,,,,,,,,,,,,
יוסף מוקיר שבת,רב יוסף בר הייא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Yosef%20b.%20Hiyya,,,,,,,,,,,,,,
רבי שמואל בן סוסרטיי,שמואל,רבי שמואל בן יצחק,רבי שמואל בן נחמן,רבי שמואל בר יוסי בר בון,,,,,,,,,,,,https://www.sefaria.org/person/Shmuel,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Yitzhak,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Nahmani,https://www.sefaria.org/person/Rabbi%20Shmuel%20b.%20Yose%20b.%20Boon,,,,,,,,,,,
רב אחא בריה דרב איקא,רב אחא בר יעקב,רבי אחא,רב אחא בריה דרב איפא,רב אחא בר רבא,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Aha%20b.%20Ya'akov,https://www.sefaria.org/person/Rabbi%20Aha,https://www.sefaria.org/person/Rav%20Aha%20brei%20d'%20R'%20Iqa,https://www.sefaria.org/person/Rav%20Aha%20b.%20Rava,,,,,,,,,,,
רב אחא דהוצל,רב אחא בר יעקב,רבי אחא,רב אחא בריה דרב איפא,רב אחא בר רבא,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Aha%20b.%20Ya'akov,https://www.sefaria.org/person/Rabbi%20Aha,https://www.sefaria.org/person/Rav%20Aha%20brei%20d'%20R'%20Iqa,https://www.sefaria.org/person/Rav%20Aha%20b.%20Rava,,,,,,,,,,,
רב יצחק ברבי,רבי יצחק נפחא,רבי יצחק בן נחמן,רב יצחק בר יוסף,רבי יצחק בן אליעזר,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yitzhak%20Nappaha,https://www.sefaria.org/person/Rabbi%20Yitzhak%20b.%20Nahman,https://www.sefaria.org/person/Rav%20Yitzhak%20b.%20Yosef,https://www.sefaria.org/person/Rabbi%20Yitzhak%20b.%20Elazar,,,,,,,,,,,
ר יהושע בריה דרב אידי,רבי יהושע בריה דרב אידי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Idi,,,,,,,,,,,,,,
רב אחאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבא בר שרשום,רבה בר חנה,רבה בר אבוה,רבה בר בר חנה,רבה בר נחמני,רבה בר רב הונא,רבא,רבה תוספאה,,,,,,,,,https://www.sefaria.org/person/Rabbah%20b.%20Hanah,https://www.sefaria.org/person/Rabbah%20b.%20Avuha,https://www.sefaria.org/person/Rabbah%20b.%20b.%20Hanah,https://www.sefaria.org/person/Rabbah%20b.%20Nahmani,https://www.sefaria.org/person/Rabbah%20b.%20Rav%20Huna,https://www.sefaria.org/person/Rava,https://www.sefaria.org/person/Rabbah%20Tosafa'ah,,,,,,,,
רב פנחס בן רב חסדא,רבי פנחס בר חמא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Pinehas%20b.%20Hama,,,,,,,,,,,,,,
רבי אבא בריה דרבי חייא,רבי אבא,רבי אבא בן הייא בן אבא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Abba,https://www.sefaria.org/person/Rabbi%20Abba%20b.%20Hiyya%20b.%20Abba,,,,,,,,,,,,,
רבי חייא בר גמדא,רבי חייא בן אבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hiyya%20b.%20Abba,,,,,,,,,,,,,,
רב נחמן בר יעקב,רב נחמן בר יעקב,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Nahman%20b.%20Ya'akov,,,,,,,,,,,,,,
רב יחזקאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חלבו,רבי חלבו,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Helbo,,,,,,,,,,,,,,
רב רחומי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב הונא בר חייא,רב הונא,רב הונא בר אבין,רב הונא בר יהושע,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Huna,https://www.sefaria.org/person/Rav%20Huna%20b.%20Avin,https://www.sefaria.org/person/Rav%20Huna%20b.%20Yehoshua,,,,,,,,,,,,
רבא,רבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rava,,,,,,,,,,,,,,
ר יוסי דמן יוקרת,רבי יוסי בר זבידא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Zevida,,,,,,,,,,,,,,
רבה בר רב הונא,רבה בר רב הונא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbah%20b.%20Rav%20Huna,,,,,,,,,,,,,,
רבינא,רבינא,רבינא,,,,,,,,,,,,,,https://www.sefaria.org/person/Ravina%20(I),https://www.sefaria.org/person/Ravina%20(II)%20b.%20Huna,,,,,,,,,,,,,
רבה,רבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rava,,,,,,,,,,,,,,
רב שימי בר אשי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב ענן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבין חסידא,רבין,,,,,,,,,,,,,,,https://www.sefaria.org/person/Ravin,,,,,,,,,,,,,,
רבי חנא בר ביזנא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שמואל,שמואל,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shmuel,,,,,,,,,,,,,,
רבה בר אבוה,רבה בר אבוה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbah%20b.%20Avuha,,,,,,,,,,,,,,
רב ירמיה בר אבא,רב ירמיה בר אבא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Yirmeyah%20b.%20Abba,,,,,,,,,,,,,,
רפרם בר פפא,רפרם,רפרם,,,,,,,,,,,,,,https://www.sefaria.org/person/Rafram%20(I),https://www.sefaria.org/person/Rafram%20(II),,,,,,,,,,,,,
רב אחא בריה דרבינא,רב אחא בר יעקב,רבי אחא,רב אחא בריה דרב איפא,רב אחא בר רבא,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Aha%20b.%20Ya'akov,https://www.sefaria.org/person/Rabbi%20Aha,https://www.sefaria.org/person/Rav%20Aha%20brei%20d'%20R'%20Iqa,https://www.sefaria.org/person/Rav%20Aha%20b.%20Rava,,,,,,,,,,,
רבי אחי בר יאשיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר אבון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי אלעזר,רבי אלעזר בן פדת,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Pedat,,,,,,,,,,,,,,
רבי אלכסנדרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב טבות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי חזקיה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב אדא בר מתנא,רב אדא בר אהבה,רב אדא בר אהבה,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Adda%20b.%20Ahavah%20(I),https://www.sefaria.org/person/Rav%20Adda%20b.%20Ahavah%20(II),,,,,,,,,,,,,
אבימי,אבימי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Avimi,,,,,,,,,,,,,,
רבי חנינא,רבי חנינא בר חמא,רבי חנינה בר פפא‎,רבי חנינא דציפורי,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Hama,https://www.sefaria.org/person/Rabbi%20Hanina%20b.%20Pappa,https://www.sefaria.org/person/Rabbi%20Hanina%20of%20Tzipori,,,,,,,,,,,,
בר דרומא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב גמדא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ילתא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ר אפס,רבי אפס,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Aphes,,,,,,,,,,,,,,
רב יוסף בריה דרבא,רב יוסף בר הייא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Yosef%20b.%20Hiyya,,,,,,,,,,,,,,
רבי יעקב בר אידי,רבי יעקב בר אידי,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Ya'akov%20b.%20Idi,,,,,,,,,,,,,,
רבי אלעאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב אחדבוי בר אמי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רב ששת,רב ששת,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rav%20Sheshet,,,,,,,,,,,,,,
קרנא,קרנא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Karna,,,,,,,,,,,,,,
אבא בר מרתא,רבי אבא,רבי אבא בן הייא בן אבא,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Abba,https://www.sefaria.org/person/Rabbi%20Abba%20b.%20Hiyya%20b.%20Abba,,,,,,,,,,,,,
רב עמרם חסידא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
