Name,Match Name 1,Match Name 2,Match Name 3,Match Name 4,Match Name 5,Match Name 6,Match Name 7,Match Name 8,Match Name 9,Match Name 10,Match Name 11,Match Name 12,Match Name 13,Match Name 14,Match Name 15,Match URL 1,Match URL 2,Match URL 3,Match URL 4,Match URL 5,Match URL 6,Match URL 7,Match URL 8,Match URL 9,Match URL 10,Match URL 11,Match URL 12,Match URL 13,Match URL 14,Match URL 15
ר יוסי דפקיעין,יוסי בן יועזר,יוסי בן יוחנן‎,רבי יוסי הכהן,רבי יוסי בן קסמא,רבי יוסי הגלילי,רבי יוסי בן דורמסקית,רבי יוסי בן חלפתא,רבי יוסי בר יהודה איש כפר הבב,רבי יוסי בן יסיאן,רבי יוסי בן יהודה,רבי יוסי בן המשולם,,,,,https://www.sefaria.org/person/Yose%20b.%20Yoezer,https://www.sefaria.org/person/Yose%20b.%20Yochanan,https://www.sefaria.org/person/Rabbi%20Yose%20haKohen,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Kisma,https://www.sefaria.org/person/Rabbi%20Yose%20haGelili,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Dormasqit,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah%20of%20Kefar%20haBavli,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yasyan,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20haMeshullam,,,,
שמעון התימני,שמעון התימני,,,,,,,,,,,,,,,https://www.sefaria.org/person/Shimon%20haTimni,,,,,,,,,,,,,,
ציצית הכסת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי יהושע בן פתר ראש,יהושע בן פרחיה‎,רבי יהושע בן חנניה,רבי יהושע בן קרחה,,,,,,,,,,,,,https://www.sefaria.org/person/Yehoshua%20b.%20Perachya,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Hananyah,https://www.sefaria.org/person/Rabbi%20Yehoshua%20b.%20Korha,,,,,,,,,,,,
שמעון העמסוני,שמעון בן שטח,רבן שמעון בן גמליאל,שמעון הפקולי,שמעון בן זומא,רבי שמעון בן ננס,שמעון בן עזאי,שמעון התימני,רבי שמעון השקמוני,רבן שמעון בן גמליאל,רבי שמעון בר יוחאי,שמעון בן חלפתא,רבי שמעון בן יהודה,רבי שמעון בן מנסיא,רבי שמעון ברבי יוסי בן לקוניא,רבי שמעון בן רבי,https://www.sefaria.org/person/Shimon%20b.%20Shetach,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),https://www.sefaria.org/person/Shimon%20haPaqoli,https://www.sefaria.org/person/Shimon%20b.%20Zoma,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Nannas,https://www.sefaria.org/person/Shimon%20b.%20Azzai,https://www.sefaria.org/person/Shimon%20haTimni,https://www.sefaria.org/person/Rabbi%20Shimon%20haShiqmoni,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(II),https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yohai,https://www.sefaria.org/person/Shimon%20b.%20Halafta,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Yehudah,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Menasya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20R'%20Yose%20b.%20Laqonya,https://www.sefaria.org/person/Rabbi%20Shimon%20b.%20Rabbi
אבא יודן,אבא שאול,אבא יוסי בן דוסתאי,אבא חנן,,,,,,,,,,,,,https://www.sefaria.org/person/Abba%20Shaul,https://www.sefaria.org/person/Abba%20Yose%20b.%20Dostai,https://www.sefaria.org/person/Abba%20Hanan,,,,,,,,,,,,
ר יוסי בר חלפתא,רבי יוסי בן חלפתא,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Yose%20b.%20Halafta,,,,,,,,,,,,,,
אחר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי זכריה בן הקצב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חנן בן אבישלום,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הורדוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבי נחוניא,רבי נחוניה בן הקנה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabbi%20Nehunya%20b.%20haKanah,,,,,,,,,,,,,,
לולינוס ופפוס,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
רבן שמעון בן גמליאל,רבן שמעון בן גמליאל,רבן שמעון בן גמליאל,,,,,,,,,,,,,,https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(I),https://www.sefaria.org/person/Rabban%20Shimon%20b.%20Gamliel%20(II),,,,,,,,,,,,,
גביעא בן פסיסא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בן עזאי,בן הא הא,בן בג בג,,,,,,,,,,,,,,https://www.sefaria.org/person/Ben%20He%20He,https://www.sefaria.org/person/Ben%20Bag%20Bag,,,,,,,,,,,,,
רבי אלעזר בר יוסי,רבי אלעזר בן ערך,רבי אלעזר בן צדוק,רבי אלעזר איש ברתותא,רבי אלעזר בן עזריה,רבי אלעזר המודעי,רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן צדוק,רבי אלעזר בן שמוע,רבי אלעזר בן שמעון,רבי אלעזר הקפר,,,,,,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Arakh,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(I),https://www.sefaria.org/person/Rabbi%20Eliezar%20of%20Bertota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Azaryah,https://www.sefaria.org/person/Rabbi%20Elazar%20haModa'i,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Yehudah%20of%20Bartota,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Tzadok%20(II),https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shamu'a,https://www.sefaria.org/person/Rabbi%20Elazar%20b.%20Shimon,https://www.sefaria.org/person/Rabbi%20Elazar%20haKappar,,,,,
אלישע בן אבויה,אלישע בן אבויה,,,,,,,,,,,,,,,https://www.sefaria.org/person/Elisha%20b.%20Avuyah,,,,,,,,,,,,,,
