he,en,category1,category2
ארונה,,biblical person,
אשר בן יעקב,,biblical person,
אתי הגתי,,biblical person,
בארה,,biblical person,
בגתן ותרש,,biblical person,
בועז,,biblical person,
בלדד,,biblical person,
בלהה,,biblical person,
בלעם,,biblical person,
בלק,,biblical person,
בלשאצר,,biblical person,
בן הדד,,biblical person,
בן סטדא,,mishnaic person,
בן סירא,,mishnaic person,
בן ציצית הכסת,,mishnaic person,
בן תמליון,,mishnaic person,
בניהו,,biblical person,
בנימין הצדיק,,mishnaic person,
בנימין,,biblical person,
בעשא,,biblical person,
בר דרומא,,talmudic person,
בר כוכבא,,mishnaic person,
ברוך בן נריה,,biblical person,
ברוריה,,mishnaic person,
ברזילי הגלעדי,,biblical person,
בת שבע,,biblical person,
בתואל,,biblical person,
בתיה,,biblical person,
גביעא בן פסיסא,,mishnaic person,
גד החוזה,,biblical person,
גד,,biblical person,
גדליה,,biblical person,
גדעון,,biblical person,
גחזי,,biblical person,
גלית,,biblical person,
געל,,biblical person,
גרשם,,biblical person,
דבורה מינקת רבקה,,biblical person,
דואג,,biblical person,
דוד,,biblical person,
דינה,,biblical person,
דן,,biblical person,
דניאל,,biblical person,
דריוש,,biblical person,
דתן ואבירם,,biblical person,
הבל,,biblical person,
הגה,,biblical person,
הגר,,biblical person,
הורדוס,,mishnaic person,
הורקנוס רבי אליעזר,,mishnaic person,
הורקנוס,,mishnaic person,
הושע המלך,,biblical person,
הושע הנביא,,biblical person,
הימן,,biblical person,
הלל,,mishnaic person,
המן,,biblical person,
הצללפוני,,biblical person,
הרן,,biblical person,
התך,,biblical person,
ושתי,,biblical person,
זבולון,,biblical person,
זכריה בית ראשון,,biblical person,
זכריה בית שני,,biblical person,
זלפה,,biblical person,
זמרי,,biblical person,
זרובבל,,biblical person,
זרש,,biblical person,
חבקוק,,biblical person,
חולדה נביאה,,biblical person,
חוני המעגל,,mishnaic person,
חור,,biblical person,
חושי,,biblical person,
חושים בן דן,,biblical person,
חזאל,,biblical person,
חזקיה,,biblical person,
חיאל,,biblical person,
חירם,,biblical person,
חלקיה,,biblical person,
חם,,biblical person,
חנה ושבעת בניה,,mishnaic person,
חנה,,biblical person,
חנוך בן ירד,,biblical person,
חנניה מישאל ועזריה,,biblical person,
חפני ופנחס,,group of people,biblical person
חפצי בה,,biblical person,
חרבונה,,biblical person,
טבי,,mishnaic person,
טוב,,biblical person,
טורנוס רופוס,,mishnaic person,
טיטוס,,mishnaic person,
יאיר,,biblical person,
יאשיה,,biblical person,
ידותון,,biblical person,
יהוא,,biblical person,
יהואחז,,biblical person,
יהודה בן גרים,,mishnaic person,
יהודה המכבי,,mishnaic person,
יהודה,,biblical person,
יהודית,,mishnaic person,
יהוידע,,biblical person,
יהויכין,,biblical person,
יהויקים,,biblical person,
יהונדב בן רכב,,biblical person,
יהונתן בן גרשם,,biblical person,
יהונתן בן שאול,,biblical person,
יהורם מלך יהודה,,biblical person,
יהורם מלך ישראל,,biblical person,
יהושע כהן גדול,,biblical person,
יהושע,,biblical person,
יהושפט,,biblical person,
יואב,,biblical person,
יואל,,biblical person,
יואש מלך יהודה,,biblical person,
יואש מלך ישראל,,biblical person,
יוחנן כהן גדול,,mishnaic person,
יוכבד,,biblical person,
יונדב בן רכב,,biblical person,
יונה הנביא,,biblical person,
יוסף בן סימאי,,mishnaic person,
יוסף הכהן,,mishnaic person,
יוסף מוקיר שבת,,talmudic person,
יוסף,,biblical person,
יותם,,biblical person,
יחזקאל,,biblical person,
ילתא,,talmudic person,
ינאי,,mishnaic person,
יעבץ,,biblical person,
יעל אשת חבר הקיני,,biblical person,
יעקב,,biblical person,
יפת,,biblical person,
יפתח,,biblical person,
יצחק,,biblical person,
יקום איש צרורות,,mishnaic person,
יקטן,,biblical person,
ירבעם בן יואש,,biblical person,
ירבעם בן נבט,,biblical person,
ירד משה,"Yered, name of Moshe",biblical person,
ירמיה,,biblical person,
ישבי,,biblical person,
ישי,,biblical person,
ישמעאל בן נתניה,,biblical person,
ישמעאל בן פיאבי,,mishnaic person,
ישמעאל,,biblical person,
ישעיה,,biblical person,
יששכר איש כפר ברקאי,,mishnaic person,
יששכר,,biblical person,
יתר הישמעאלי,,biblical person,
יתרו,,biblical person,
כורש,,biblical person,
כושן רשעתים,,biblical person,
כזבי,,biblical person,
כלאב,,biblical person,
כלב בן יפונה,,biblical person,
כלבא שבוע,,mishnaic person,
לאה,,biblical person,
לבן בן בתואל,,biblical person,
לבן,,biblical person,
לוט,,biblical person,
לולינוס ופפוס,,mishnaic person,
למואל,,biblical person,
למך,,biblical person,
מונבז,,mishnaic person,
מחלון וכליון,,group of people,biblical person
מיכה הנביא,,biblical person,
מיכיהו,,biblical person,
מיכל,,biblical person,
מירב,,biblical person,
מישאל ואלצפן,,group of people,biblical person
מישע,,biblical person,
מכיר,,biblical person,
מלאכי,,biblical person,
מלכי צדק,,biblical person,
ממוכן,,biblical person,
ממרא,,biblical person,
מנוח,,biblical person,
מנשה המלך,,biblical person,
מנשה,,biblical person,
מפיבושת,,biblical person,
מרדכי,,biblical person,
מרודך בלאדן,,biblical person,
מרי בר איסק,,talmudic person,
מרים בת בייתוס,,mishnaic person,
מרים בת בלגה,,mishnaic person,
מרים בת נקדימון,,mishnaic person,
מרים התרמודית,,mishnaic person,
מרים,,biblical person,
מררי,,biblical person,
מרתא בת בייתוס,,mishnaic person,
משה,,biblical person,
מתושלח,,biblical person,
מתתיהו,,mishnaic person,
נבוזראדן,,biblical person,
נבוכדנאצר,,biblical person,
נבות,,biblical person,
נבח,,biblical person,
נבט,,biblical person,
נבל אביגיל,,biblical person,
נון,,biblical person,
נח,,biblical person,
נחום איש גמזו,,mishnaic person,
נחום,,biblical person,
נחור,,biblical person,
נחמיה,,biblical person,
נחש העמוני,,biblical person,
נחש מלך בני עמון,,biblical person,
נחשון,,biblical person,
ניקנור,,mishnaic person,
נמרוד,,biblical person,
נעמה העמונית,,biblical person,
נעמה,,biblical person,
נעמי,,biblical person,
נעמן,,biblical person,
נפתלי,,biblical person,
נקדימון,,mishnaic person,
נר סבו של שאול,,biblical person,
נתן הנביא,,biblical person,
נתנאל,,biblical person,
סדום מלך,,biblical person,
סיחון,,biblical person,
סיסרא,,biblical person,
סנבלט,,biblical person,
סנחריב,,biblical person,
סרח,,biblical person,
עבד מלך הכושי,,biblical person,
עבר בנו של שם,,biblical person,
עגלון,,biblical person,
עדו,,biblical person,
עדינו,,biblical person,
עובד אדום,,biblical person,
עובד,,biblical person,
עובדיה,,biblical person,
עוג,,biblical person,
עוזא,,biblical person,
עוזיאל,,biblical person,
עוזיה,,biblical person,
עזרא,,biblical person,
עזריהו בן עודד,,biblical person,
עידית,,biblical person,
עירא היאירי,,biblical person,
עכן,,biblical person,
עכסה,,biblical person,
עלי,,biblical person,
עמוס,,biblical person,
עמלק,,biblical person,
עמרי,,biblical person,
עמרם,,biblical person,
עמשא,,biblical person,
ענר,,biblical person,
עפרון,,biblical person,
עקילס,,mishnaic person,
ער בכור יהודה,,biblical person,
ערפה,,biblical person,
עשהאל,,biblical person,
עשו,,biblical person,
עתליה,,biblical person,
עתניאל,,biblical person,
פוטיאל,,biblical person,
פוטיפר,,biblical person,
פיכול,,biblical person,
פלטי בן ליש,,biblical person,
פנחס,,biblical person,
פנינה,,biblical person,
פפא בר אבא,,talmudic person,
פרעה נכה,,biblical person,
פרעה,,biblical person,
פרץ,,biblical person,
פשחור,,biblical person,
פתואל,,biblical person,
פתחיה,,biblical person,
צדוק,,biblical person,
צדקיה בן כנענה,,biblical person,
צדקיה,,biblical person,
צופר,,biblical person,
צור חירם,,geographic site,biblical person
ציבא,,biblical person,
ציצית הכסת,,mishnaic person,
צלה,,biblical person,
צליה,,biblical person,
צללפונית,,biblical person,
צלפחד,,biblical person,
צפורה,,biblical person,
צפניה,,biblical person,
צפנית צפנת בת פניאל,,talmudic person,
צפנת פענח,"""decipherer of mysteries"", referrence to Yosef",biblical person,
צרפית,,biblical person,
קהלת,,source,biblical person
קהת,,biblical person,
קטורה,,biblical person,
קטיעה בר שלום,,mishnaic person,
קין,,biblical person,
קינן,,biblical person,
קליאופטרא,,mishnaic person,
קמואל,,biblical person,
קמחית,,mishnaic person,
קנז,,biblical person,
קרח,,biblical person,
אבא בנימין,,mishnaic person,
אבא בר מרתא,,talmudic person,
אבא חלפתא,,mishnaic person,
אבא חלקיה,,mishnaic person,
אבא יודן,,mishnaic person,
אבא שאול אבא שאול בן בטנית,,mishnaic person,
אבא תחנה,,mishnaic person,
אבוה בר איהי,,talmudic person,
אביי,,talmudic person,
אבימי בריה דרבי אבהו,,talmudic person,
אבימי,,talmudic person,
אדמון,,mishnaic person,
אילפא,,talmudic person,
איסי בר יהודה,,mishnaic person,
אליעזר זעירא,,talmudic person,
אמימר,,talmudic person,
בבא בן בוטא,,mishnaic person,
בטנית,,talmudic person,
בן זומא,,mishnaic person,
בן ננס,,mishnaic person,
בן עזאי,,mishnaic person,
בני בתירא,,mishnaic person,
בנימין הצדיק,,mishnaic person,
בר קפרא,,mishnaic person,
ברוריה,,mishnaic person,
הורקנוס,,mishnaic person,
הלל בן רבן גמליאל,,mishnaic person,
הלל,,mishnaic person,
זעירי,,talmudic person,
חוני המעגל,,mishnaic person,
חוצפית המתורגמן,,mishnaic person,
חנן בן אבישלום,,mishnaic person,
חנן המצרי,,mishnaic person,
חנן הנחבא,,mishnaic person,
יהודה בן דורתאי,,mishnaic person,
יהודה בר חייה,,talmudic person,
יהושע בן גמלא,,mishnaic person,
יוחנן בן בג בג,,mishnaic person,
יוחנן כהן גדול,,mishnaic person,
יונתן בן עוזיאל,,mishnaic person,
יונתן בן עמרם,,mishnaic person,
יוסי בן יועזר,,mishnaic person,
יוסי בן סימאי,,mishnaic person,
לוי בן סיסי,,mishnaic person,
לוי בריה דרב הונא בר חייא,,talmudic person,
מנימין בר איהי,,talmudic person,
מר בר רב אשי,,talmudic person,
מר בריה דרבינא,,talmudic person,
מר זוטרא בריה דרב נחמן,,talmudic person,
מר זוטרא חסידא,,talmudic person,
מר זוטרא,,talmudic person,
מר עוקבא בר חמא,,talmudic person,
מר עוקבא,,talmudic person,
נחום איש גם זו,,mishnaic person,
נחום איש קודש קדשים,,mishnaic person,
נחום המדי,,mishnaic person,
נחמיה איש בית דלי,,mishnaic person,
נתן צוציתא,,talmudic person,
סומכוס,,mishnaic person,
עולא,,talmudic person,
עוקבא,,talmudic person,
עיפא,,talmudic person,
עקביא בן מהללאל,,mishnaic person,
פלימו,,mishnaic person,
קרנא,,talmudic person,
ר אבא דמן חיפה,,talmudic person,
ר אבון,,talmudic person,
ר אושעיא בריבי,,talmudic person,
ר אלעזר בן פרטא,,mishnaic person,
ר אלעזר הקפר,,mishnaic person,
ר אלעזר חסמא,,mishnaic person,
ר אלעזר מהגרוניא,,talmudic person,
ר אפס,,talmudic person,
ר יאשיה דמן אושא,,talmudic person,
ר יאשיה,,talmudic person,
ר יהודה בן קנוסא,,mishnaic person,
ר יהודה,,mishnaic person,
ר יהושע בן ר עקיבא,,mishnaic person,
ר יהושע בריה דרב אידי,,talmudic person,
ר יהושע,,mishnaic person,
ר יוחנן בן מתיא,,mishnaic person,
ר יוחנן החורני,,mishnaic person,
ר יוחנן הסנדלר,,mishnaic person,
ר יוסי בן דורמסקית,,mishnaic person,
ר יוסי בר חלפתא,,mishnaic person,
ר יוסי בר חנינא,,mishnaic person,
ר יוסי בר נתן,,talmudic person,
ר יוסי דמן יוקרת,,talmudic person,
ר יוסי דפקיעין,,mishnaic person,
ר יוסי הגלילי,,mishnaic person,
ר יוסי קטנתא,,mishnaic person,
ר יסא,,talmudic person,
ר יעקב בן קרשי,,mishnaic person,
ר יעקב בר אחא,,talmudic person,
ר ישמעאל בן אלישע,,mishnaic person,
ר ישמעאל בן פיאבי,,mishnaic person,
ר ישמעאל בר יוסי,,mishnaic person,
ר פפייס,,mishnaic person,
ר צדוק,,mishnaic person,
ר שמעון בר ווא,,talmudic person,
ראובן,,biblical person,
רב אבא בר תחליפא,,talmudic person,
רב אדא בר אבא,,talmudic person,
רב אדא בר אהבה,,talmudic person,
רב אדא בר אחוה,,talmudic person,
רב אדא בר מתנא,,talmudic person,
רב אדא סבא,,talmudic person,
רב אויא סבא,,talmudic person,
רב אויא,,talmudic person,
רב אחא בר אבא,,talmudic person,
רב אחא בר יוסף,,talmudic person,
רב אחא בר יעקב,,talmudic person,
רב אחא בר רב הונא,,talmudic person,
רב אחא בריה דרב איקא,,talmudic person,
רב אחא בריה דרבינא,,talmudic person,
רב אחא דהוצל,,talmudic person,
רב אחא,,talmudic person,
רב אחאי,,talmudic person,
רב אחדבוי בר אמי,,talmudic person,
רב אידי בר אבין,,talmudic person,
רב אידית,,talmudic person,
רב אשי,,talmudic person,
רב ביבי בר אביי,,talmudic person,
רב ביבי,,talmudic person,
רב ברונא,,talmudic person,
רב גידל,,talmudic person,
רב גמדא,,talmudic person,
רב דימי אחוה דרב ספרא,,talmudic person,
רב דימי בר יוסף,,talmudic person,
רב דימי מנהרדעא,,talmudic person,
רב הונא בר חיון,,talmudic person,
רב הונא בר חייא,,talmudic person,
רב הונא בר חיננא,,talmudic person,
רב הונא בריה דרב איקא,,talmudic person,
רב הונא בריה דרב יהושע,,talmudic person,
רב הונא בריה דרב נתן,,talmudic person,
רב הונא ריש גלותא,,talmudic person,
רב הונא,,talmudic person,
רב המנונא סבא,,talmudic person,
רב המנונא,,talmudic person,
רב זביד,,talmudic person,
רב חייא אריכא,,talmudic person,
רב חייא בר אדא,,talmudic person,
רב חייא בר אשי,,talmudic person,
רב חמא בר טוביה,,talmudic person,
רב חמא בריה דרבה בר אבהו,,talmudic person,
רב חמא,,talmudic person,
רב חנא,,talmudic person,
רב חנינא בר שילא,,talmudic person,
רב חנן בר רבא,,talmudic person,
רב חנן,,talmudic person,
רב חננאל,,talmudic person,
רב חנניא בר שלמיא,,talmudic person,
רב חסדא,,talmudic person,
רב טבות,,talmudic person,
רב טובי בר מתנא,,talmudic person,
רב יהודה בר אישתתא,,talmudic person,
רב יהודה בר יחזקאל,,talmudic person,
רב יהודה,,talmudic person,
רב יוסף בר חמא,,talmudic person,
רב יוסף בריה דר יהושע,,talmudic person,
רב יוסף בריה דרבא,,talmudic person,
רב יוסף,,talmudic person,
רב יחזקאל,,talmudic person,
רב ייבא סבא,,talmudic person,
רב יצחק בר ביסנא,,talmudic person,
רב יצחק בר יוסף,,talmudic person,
רב יצחק ברבי,,talmudic person,
רב יצחק בריה דרב יהודה,,talmudic person,
רב ירמיה בר אבא,,talmudic person,
רב כהנא,,talmudic person,
רב מלכיו,,talmudic person,
רב מנשה,,talmudic person,
רב מרדכי,,talmudic person,
רב מרי בר רחל,,talmudic person,
רב מרי,,talmudic person,
רב משרשיא,,talmudic person,
רב מתנה,,talmudic person,
רב נחמן בר יעקב,,talmudic person,
רב נחמן בר יצחק,,talmudic person,
רב נחמן,,talmudic person,
רב נתן בר אסיא,,talmudic person,
רב סחורה,,talmudic person,
רב סמא,,talmudic person,
רב סעורם,,talmudic person,
רב ספרא,,talmudic person,
רב עוירא סבא,,talmudic person,
רב עוירא,,talmudic person,
רב עולא בר אבא,,talmudic person,
רב עולא בריה דרב עילאי,,talmudic person,
רב עוקבא בר חמא,,talmudic person,
רב עיליש,,talmudic person,
רב עמרם חסידא,,talmudic person,
רב עמרם,,talmudic person,
רב ענן בר תחליפא,,talmudic person,
רב ענן,,talmudic person,
רב פנחס בן רב חסדא,,talmudic person,
רב פפא בר שמואל,,talmudic person,
רב פפא,,talmudic person,
רב פפי,,talmudic person,
רב רחומי,,talmudic person,
רב שימי בר אשי,,talmudic person,
רב שמואל בר אבא,,talmudic person,
רב שמואל בר ביסנא,,talmudic person,
רב שמואל בר זוטרא,,talmudic person,
רב שמואל בר יהודה,,talmudic person,
רב שמואל בר יצחק,,talmudic person,
רב שמואל בר שילת,,talmudic person,
רב ששת,,talmudic person,
רב,,talmudic person,
רבא בר שרשום,,talmudic person,
רבא,,talmudic person,
רבה בר אבוה,,talmudic person,
רבה בר בר חנה,,talmudic person,
רבה בר חנה,,talmudic person,
רבה בר רב הונא,,talmudic person,
רבה בר רב חנן,,talmudic person,
רבה,,talmudic person,
רבי אבא בר זוטרא,,talmudic person,
רבי אבא בר פפא,,talmudic person,
רבי אבא בריה דרבי חייא,,talmudic person,
רבי אבא דמן עכו,,talmudic person,
רבי אבא,,talmudic person,
רבי אבוה,,talmudic person,
רבי אבין,,talmudic person,
רבי אבינא,,talmudic person,
רבי אביתר,,talmudic person,
רבי אושעיא,,talmudic person,
רבי אחא בר עולא,,talmudic person,
רבי אחא שר הבירה,,talmudic person,
רבי אחי בר יאשיה,,talmudic person,
רבי אליעזר בן יעקב,,mishnaic person,
רבי אליעזר בנו של ר יוסי הגלילי,,mishnaic person,
רבי אליעזר,,mishnaic person,
רבי אלכסנדרי,,talmudic person,
רבי אלעאי,,talmudic person,
רבי אלעזר בן דורדיא,,mishnaic person,
רבי אלעזר בן דמה,,mishnaic person,
רבי אלעזר בן חסמא,,mishnaic person,
רבי אלעזר בן חרסום,,mishnaic person,
רבי אלעזר בן עזריה,,mishnaic person,
רבי אלעזר בן ערך,,mishnaic person,
רבי אלעזר בן פדת,,talmudic person,
רבי אלעזר בן צדוק,,mishnaic person,
רבי אלעזר בן שמוע,,mishnaic person,
רבי אלעזר בן שמעון,,mishnaic person,
רבי אלעזר בר יוסי,,mishnaic person,
רבי אלעזר,,talmudic person,
רבי אמי ורבי אסי,,group of people,talmudic person
רבי בון,,talmudic person,
רבי בנאה,,talmudic person,
רבי דוסא בן הרכינס,,mishnaic person,
רבי דוסתאי בר ינאי,,talmudic person,
רבי הושעיא,,talmudic person,
רבי זירא,,talmudic person,
רבי זכאי,,mishnaic person,
רבי זכריה בן אבקולס,,mishnaic person,
רבי זכריה בן הקצב,,mishnaic person,
רבי זעירא,,talmudic person,
רבי חגי,,talmudic person,
רבי חזקיה,,talmudic person,
רבי חייא בר אבא,,talmudic person,
רבי חייא בר בא,,talmudic person,
רבי חייא בר גמדא,,talmudic person,
רבי חייא בר זרנוקי,,talmudic person,
רבי חייא בר יוסף,,talmudic person,
רבי חייא בר רב,,talmudic person,
רבי חייא פרוואה,,talmudic person,
רבי חייא,,mishnaic person,
רבי חלבו,,talmudic person,
רבי חמא בר ביסא,,mishnaic person,
רבי חמא בר רבי חנינא,,mishnaic person,
רבי חמי בר חנינה,,mishnaic person,
רבי חנא בר ביזנא,,talmudic person,
רבי חנא בר חנילאי,,talmudic person,
רבי חנא פתוראה,,talmudic person,
רבי חנינא בן אחי ר יהושע,,mishnaic person,
רבי חנינא בן אלעזר,,mishnaic person,
רבי חנינא בן אנטיגנוס,,mishnaic person,
רבי חנינא בן גמליאל,,talmudic person,
רבי חנינא בן דוסא,,mishnaic person,
רבי חנינא בר חמא,,talmudic person,
רבי חנינא בר יוסף,,talmudic person,
רבי חנינא בר פפא,,talmudic person,
רבי חנינא בר פפי,,talmudic person,
רבי חנינא,,talmudic person,
רבי חנינה בן תרדיון,,mishnaic person,
רבי חנניה בן חכינאי,,mishnaic person,
רבי חנניה,,mishnaic person,
רבי טבלא,,talmudic person,
רבי טרפון,,mishnaic person,
רבי יהודה בן בבא,,mishnaic person,
רבי יהודה בן בתירא,,mishnaic person,
רבי יהודה בן טבאי,,mishnaic person,
רבי יהודה בר נחמיה,,mishnaic person,
רבי יהודה הנדואה,,talmudic person,
רבי יהודה נשיאה,,mishnaic person,
רבי יהושע בן לוי,,talmudic person,
רבי יהושע בן פתר ראש,,mishnaic person,
רבי יהושע בן קרחה,,mishnaic person,
רבי יודן,,talmudic person,
רבי יוחנן בן גודגדא,,mishnaic person,
רבי יוחנן בן נורי,,mishnaic person,
רבי יוחנן בן תורתה,,mishnaic person,
רבי יוחנן,,talmudic person,
רבי יונה,,talmudic person,
רבי יונתן בן עכמאי,,talmudic person,
רבי יונתן,,talmudic person,
רבי יוסי בן קסמא,,mishnaic person,
רבי יוסי בר אסיין,,talmudic person,
רבי יוסי בר כיפר,,mishnaic person,
רבי יוסי בר ר יהודה,,mishnaic person,
רבי יוסי הכהן,,mishnaic person,
רבי יוסי,,mishnaic person,
רבי ינאי בר ישמעאל,,talmudic person,
רבי ינאי,,talmudic person,
רבי יעקב בר אידי,,talmudic person,
רבי יצחק נפחא,,talmudic person,
רבי יצחק,,mishnaic person,
רבי ירמיה,,talmudic person,
רבי ישבב,,mishnaic person,
רבי ישמעאל,,mishnaic person,
רבי כרוספדאי,,talmudic person,
רבי לוי,,talmudic person,
רבי מאיר,,mishnaic person,
רבי מיאשא בר בריה דר יהושע,,talmudic person,
רבי מנחם בר סימאי,,talmudic person,
רבי מתיא,,mishnaic person,
רבי נהוראי,,mishnaic person,
רבי נחוניא בן הקנה,,mishnaic person,
רבי נחוניא חופר שיחין,,mishnaic person,
רבי נחוניא,,mishnaic person,
רבי נחמיה,,mishnaic person,
רבי נתן,,mishnaic person,
רבי עזרא,,talmudic person,
רבי עקיבא,,mishnaic person,
רבי פדת,,mishnaic person,
רבי פנחס בן יאיר,,mishnaic person,
רבי פנחס בר ערובא,,mishnaic person,
רבי פנחס,,talmudic person,
רבי פרידא,,talmudic person,
רבי ראובן בן איסטרובלי,,mishnaic person,
רבי רומנוס,,talmudic person,
רבי שילא,,talmudic person,
רבי שמואל בן סוסרטיי,,talmudic person,
רבי שמואל בר רבי יוסי,,talmudic person,
רבי שמלאי,,talmudic person,
רבי שמעון בן איסי בן לקוניא,,mishnaic person,
רבי שמעון בן אליקים,,talmudic person,
רבי שמעון בן אלעזר,,mishnaic person,
רבי שמעון בן חלפתא,,mishnaic person,
רבי שמעון בן יהוצדק,,talmudic person,
רבי שמעון בן יוחאי,,mishnaic person,
רבי שמעון בן לקיש,,talmudic person,
רבי שמעון בן נתנאל,,mishnaic person,
רבי שמעון בר רבי,,talmudic person,
רבי תנחום ב,,talmudic person,
רבי תנחום בן חנילאי,,talmudic person,
רבי תנחום בר איסבלוסטיקא,,talmudic person,
רבי תנחום,,talmudic person,
רבי תנחומא,,talmudic person,
רבי,,mishnaic person,
רבין חסידא,,talmudic person,
רבין סבא,,talmudic person,
רבין,,talmudic person,
רבינא,,talmudic person,
רבן גמליאל,,mishnaic person,
רבן יוחנן בן זכאי,,mishnaic person,
רבן שמעון בן גמליאל,,mishnaic person,
רבקה,,biblical person,
רבשקה,,biblical person,
רות,,biblical person,
רחב,,biblical person,
רחבה,,talmudic person,
רחבעם,,biblical person,
רחל,,biblical person,
רמי בר חמא,,talmudic person,
רמי בר יחזקאל,,talmudic person,
רמי בר תמרי,,talmudic person,
רעואל,,biblical person,
רפרם בר פפא,,talmudic person,
רפרם,,talmudic person,
רצפה בת איה,,biblical person,
שילא בר אבינא,,talmudic person,
שמאי,,mishnaic person,
שמואל הקטן,,mishnaic person,
שמואל,,talmudic person,
שמעון בן שטח,,mishnaic person,
שמעון העמסוני,,mishnaic person,
שמעון הפקולי,,mishnaic person,
שמעון הצדיק,,mishnaic person,
שמעון התימני,,mishnaic person,
שמעיה ואבטליון,,mishnaic person,group of people
תודוס,,mishnaic person,
שאול מלך,,biblical person,
שבא מלכת,,biblical person,
שבואל,,biblical person,
שבור מלכא,,talmudic person,
שבנא,,biblical person,
שבע בן בכרי,,biblical person,
שגוב,,biblical person,
שונמית,,biblical person,
שישק,,biblical person,
שכם,,geographic site,biblical person
שלום בן תקוה,,biblical person,
שלומיאל,,biblical person,
שלומית,,biblical person,
שלומציון,,mishnaic person,
שלמה,,biblical person,
שלמון,,biblical person,
שלתיאל,,biblical person,
שם בן נח,,biblical person,
שמגר,,biblical person,
שמואל הנביא,,biblical person,
שמעון,,biblical person,
שמעי,,biblical person,
שמעיה,,biblical person,
שמשון,,biblical person,
שפן,,biblical person,
שפרה ופועה,,group of people,biblical person
שרח,,biblical person,
שת,,biblical person,
תבני,,biblical person,
תגלת פלאסר,,biblical person,
תובל קין,,biblical person,
תודוס,,mishnaic person,
תולע בן פואה,,biblical person,
תמנע,,biblical person,
תמר אבשלום,Tamar,biblical person,
תמר יהודה,Tamar,biblical person,
תרח,,biblical person,
