Hebrew Name,English Name,URL
גשם הערבי,Geshem the Arabian,https://www.wikidata.org/wiki/Q4290819
קציעה,Keziah,https://www.wikidata.org/wiki/Q1478110
ארם,Aram,https://www.wikidata.org/wiki/Q625667
אחיקם,Ahikam,https://www.wikidata.org/wiki/Q4695108
מדין,Midian,https://www.wikidata.org/wiki/Q755316
יאשיהו,Josiah,https://www.wikidata.org/wiki/Q313228
מש,Mash,https://www.wikidata.org/wiki/Q13418757
תירס,Tiras,https://www.wikidata.org/wiki/Q1481751
אם סיסרא,Sisera's mother,https://www.wikidata.org/wiki/Q7530790
אילון הזבולוני,Elon,https://www.wikidata.org/wiki/Q1333225
חמור,Hamor,https://www.wikidata.org/wiki/Q1573937
אביטל,Abital,https://www.wikidata.org/wiki/Q33026741
מחויאל,Mehujael,https://www.wikidata.org/wiki/Q10329365
מדי,Madai,https://www.wikidata.org/wiki/Q1790796
זמרן,Zimran,https://www.wikidata.org/wiki/Q786540
ימימה,Jemima,https://www.wikidata.org/wiki/Q3107413
כנען,Canaan,https://www.wikidata.org/wiki/Q204797
איפה (מידת נפח),Ephah,https://www.wikidata.org/wiki/Q5382125
רעו,Reu,https://www.wikidata.org/wiki/Q2040793
בן־עמי,Ben-Ammi,https://www.wikidata.org/wiki/Q9168580
נכו השני,Necho II,https://www.wikidata.org/wiki/Q125102
בצלאל בן אורי,Bezalel,https://www.wikidata.org/wiki/Q853439
צבעון החוי,Zibeon,https://www.wikidata.org/wiki/Q42532003
זבד בן נתן,Q19717479,https://www.wikidata.org/wiki/Q19717479
נביות,Nebaioth,https://www.wikidata.org/wiki/Q3773487
אוזל,Uzal,https://www.wikidata.org/wiki/Q7904500
אחינועם היזרעאלית,Ahinoam,https://www.wikidata.org/wiki/Q400266
שאר ישוב,Shearjashub,https://www.wikidata.org/wiki/Q18192190
שלמיהו,Shelemiah,https://www.wikidata.org/wiki/Q32979697
מגוג,Magog,https://www.wikidata.org/wiki/Q1964706
בן-הדד השני,Hadadezer,https://www.wikidata.org/wiki/Q717814
מילכה,Milcah,https://www.wikidata.org/wiki/Q1752707
אריוך,Arioch,https://www.wikidata.org/wiki/Q2712606
חגלה,Hoglah,https://www.wikidata.org/wiki/Q4498664
מעכה בת תלמי,Maacah,https://www.wikidata.org/wiki/Q11765188
פדיה,Pedaiah,https://www.wikidata.org/wiki/Q20101444
נעה,Noa,https://www.wikidata.org/wiki/Q27587326
קורח,Korah,https://www.wikidata.org/wiki/Q1337316
יטור,Jetur,https://www.wikidata.org/wiki/Q11927540
יובב,Jobab,https://www.wikidata.org/wiki/Q44123555
מהללאל,Mahalalel,https://www.wikidata.org/wiki/Q10297002
עדה,Ada,https://www.wikidata.org/wiki/Q1809123
צדקיהו,Zedekiah,https://www.wikidata.org/wiki/Q184273
איתן האזרחי,Ethan,https://www.wikidata.org/wiki/Q1370913
חברון,Hebron,https://www.wikidata.org/wiki/Q1800542
יכין,Jakin,https://www.wikidata.org/wiki/Q18088109
