masechet,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
,,Unnamed: 0,Unnamed: 1,"שמות כב, ט",איש אל,"גט' ה, ט )מז ע""ג (3,"
0,,,"מ' גט' ה, ז",,הפעוטות מקחן,"גט' ה, ט )מז ע""ג (5,"
1,,,"מ' ער' ז, ו",,אבל אינו,"גט' ה, ט )מז ע""ג (5,"
2,,"ע""ז לט ע""ג","ת' גט' ג, יג (77:259)",,עיר שיש,"גט' ה, ט )מז ע""ג (12,"
3,,,"ת' גט' ג, יד (80:259)",,ומנחמין אבילי,"גט' ה, ט )מז ע""ג (14,"
4,,"שבי' לו ע""א",,,רבי זעירא,"גט' ה, י )מז ע""ג (19,"
5,,"שבי' לו ע""א; ע""ז מד","מ' ע""ז ד, ט",,נחתום שהוא,"גט' ה, י )מז ע""ג (27,"
6,,"ע""ב",,,,
7,,,"מ' שבי' ה, ט",,אבל משתטיל,"גט' ה, י )מז ע""ג (31,"
8,,,"מ' גט' ה, י",,שואלין בשלומן,"גט' ה, י )מז ע""ג (33,"
9,,"שבי' לה ע""ב; מת""ה",,,דלמא רבי,"גט' ה, י )מז ע""ג (34,"
10,,"קכט, ב (514)",,,,
11,,,,"תהלים קכט, ח",ולא אמרו,"גט' ה, י )מז ע""ג (36,"
12,,,,"תהלים קכט, ח",ברכנו אתכם,"גט' ה, י )מז ע""ג (38,"
13,,,"מ' גט' ב, ז",,היא עצמה,"גט' ו, א )מז ע""ד (26,"
14,,,"מ' גט' ו, א",,האשה שאמרה,"גט' ו, א )מז ע""ד (30,"
15,,,"מ' גט' ו, ג",,קטנה שאמרה,"גט' ו, א )מז ע""ד (33,"
16,,"ער' יח ע""ד",,,שמואל שמעה,"גט' ו, א )מז ע""ד (36,"
17,,,"ת' גט' ד, ב (7:260)",,הרי זה,"גט' ו, א )מז ע""ד (38,"
18,,,,"דברים כד, א",ונתן בידה,"גט' ו, א )מז ע""ד (39,"
,,,,,,
,,,,,,
Shabbat,,,,,,
,Unnamed: 0,Unnamed: 1,"ה ש' ספ' כא ע""ד",,שנים  שע שו,"שבת א, א )ב ע""ד (30,"
0,"שבת ג ע""א",,,,נתן לו,"שבת א, א )ב ע""ד (30,"
1,,"שבת ב ע""ג ;(54)",,,דרבי עבד,"שבת א, א )ב ע""ד (33,"
2,,"שבת ב ע""ד ;(36)",,,,
3,,"שבת יב ע""ד",,,,
4,,"ה ש'  שבת יב ע""ד (48)",,,רבי פוטר,"שבת א, א )ב ע""ד (35,"
5,,"שבת ב ע""ג ;(54)",,,רבי עבד,"שבת א, א )ב ע""ד (36,"
6,,"שבת ב ע""ד ;(33)",,,,
7,,"שבת יב ע""ד",,,,
8,,"שבת ב ע""ג (30)",,,בן עזאי,"שבת א, א )ב ע""ד (37,"
9,,,"ה ש' מ'  שבת יא, א",,רבי עקיבה,"שבת א, א )ב ע""ד (37,"
10,"שבת ו ע""א",,"ת'  שבת א, א (1:1)",,ארבע ר שויות,"שבת א, א )ב ע""ד (38,"
11,,,"ה ש' מ'  שבת יא, א",,המו שיט,"שבת א, א )ב ע""ד (44,"
12,,,"ה ש' מ'  שבת יא, א",,הזורק,"שבת א, א )ב ע""ד (44,"
13,,,"מ'  שבת יא, ד",,הזורק בים,"שבת א, א )ב ע""ד (47,"
14,"שבת ו ע""ב",,,,הבקעה,"שבת א, א )ב ע""ד (48,"
15,"ב""ב קנג ע""ב",,"מ' טה' ו, ז",,הבקע' בימות,"שבת א, א )ב ע""ד (48,"
16,,,"מ' ער' א, ח",,הקיפוה כלי,"שבת א, א )ב ע""ד (51,"
17,,,"מ' ער' ט, ד",,וכן ג שרין,"שבת א, א )ב ע""ד (51,"
18,,,"מ'  שבת י, ב",,המוציא אוכלין,"שבת א, א )ב ע""ד (53,"
19,"שבת צא ע""ב",,,,בן עזאי,"שבת א, א )ב ע""ד (55,"
20,"שבת ז ע""א",,,,סימטיות  שבין,"שבת א, א )ב ע""ד (60,"
21,"ה ש'  שבת ז ע""א",,,,כל המעכב,"שבת א, א )ב ע""ד (62,"
22,"שבת ו ע""א","שבת יג ע""א",,,אין תימר,"שבת א, א )ב ע""ד (64,"
23,"ה ש'  שבת ה ע""א;","שבת ב ע""ג (64)",,,קנה  נעוץ,"שבת א, א )ג ע""א (2,"
24,"שבת קא ע""א; ער'",,,,,
25,"לג ע""ב",,,,,
26,"שבת ו ע""א;  שבת",,"ת'  שבת א, ו (13:2)",,איסקופה  שלפני,"שבת א, א )ג ע""א (4,"
27,"ט ע""א",,,,,
28,,,"מ'  שבת א, ג",,דתני נן דבתרה,"שבת א, ב )ג ע""א (19,"
29,,,"ה ש' מ' בר' ד, א",,כרבי יהודה,"שבת א, ב )ג ע""א (21,"
30,,,"ה ש' מ' בר' ד, א",,כרבנן,"שבת א, ב )ג ע""א (21,"
31,"שבת ט ע""ב",,,,התחלת הספר,"שבת א, ב )ג ע""א (22,"
32,,"שמ' ה, ח (19:127)",,,י שב לו,"שבת א, ב )ג ע""א (23,"
33,"שבת ט ע""ב",,,,התחלת המרחץ,"שבת א, ב )ג ע""א (24,"
34,,"קד' סא ע""א",,,כהדא רבי,"שבת א, ב )ג ע""א (26,"
35,"קד' ל ע""א",,,,קלה היא,"שבת א, ב )ג ע""א (31,"
,,,,,,
,,,,,,
,ה ש'  שבת יד,Unnamed: 0,Unnamed: 1,Unnamed: 2,,"שבת א, ד )ג ע""ג (32, שמו נה ע שר"
0,"ע""ב-טו ע""א",,,,,
1,,,"מ' זבים ה, יג",,,"שבת א, ד )ג ע""ג (35, אילו פוסלין"
2,"שבת יז ע""ב",,"מ'  שבת כד, א",,,"שבת א, ד )ג ע""ג (39, מי  שהח שיך"
3,,,"מ'  שבת א, ג",,,"שבת א, ד )ג ע""ג (39, כיוצא בו"
4,,,"מ' כלים יז, ח",,,"שבת א, ד )ג ע""ג (40, כל המיטלטלין"
5,,,"מ' אה' יח, א",,,"שבת א, ד )ג ע""ג (40, כיצד בוצרין"
6,,,"מ' מק' ד, א",,,"שבת א, ד )ג ע""ג (41, המניח כלים"
7,,,"מ' טה' ד, ה",,,"שבת א, ד )ג ע""ג (41, על  ש שה"
8,,,"מ' תר' ט, ד",,,"שבת א, ד )ג ע""ג (42, גידולי תרומ'"
9,"שבת קלז ע""א",,,,,28 אתיא דרבי
10,,"ה ש' ע""ז מא ע""ג",,,,"שבת א, ד )ג ע""ג (44, ועל מורייסן"
11,,"ה ש' ע""ז מב ע""א",,,,"שבת א, ד )ג ע""ג (44, ועל  שלוקיהן"
12,,"ה ש' ע""ז מב ע""א",,,,"שבת א, ד )ג ע""ג (44, ועל מלוחיהן"
13,,"שבי' לח ע""א; מע"" ש",,,,"שבת א, ד )ג ע""ג (46, פיתן רבי"
14,,"נד ע""א; ע""ז מא ע""ד",,,,
15,"ה ש' ע""ז לה ע""ב",,,,,"שבת א, ד )ג ע""ג (48, במקו'  שפת"
16,,"ה ש' מ""ק פג ע""א",,,,"שבת א, ד )ג ע""ג (55, ולא עבדין"
17,,"26)(; יב' יב ע""ג ;(20)",,,,
18,,"שבו' לו ע""א (42)",,,,
19,"ע""ז לז ע""ב",,,"דברים ב, ו",,"שבת א, ד )ג ע""ג (55, אוכל ת שברו"
20,"ע""ז לח ע""ב",,"ת' ע""ז ד, יא (11:467)",,,"שבת א, ד )ג ע""ג (57, מוטלייה ופנקריסים"
21,"ע""ז לח ע""א",,,,,"שבת א, ד )ג ע""ג (59, כל אוכל"
22,"ה ש' ע""ז לה ע""ב",,,,,"שבת א, ד )ג ע""ד (1, חלב הגוי"
23,"ע""ז לט ע""ב",,"ת' ע""ז ד, יא (15:467)",,,"שבת א, ד )ג ע""ד (2, עומד הוא"
24,,"תר' מה ע""ד; ע""ז מא",,,,"שבת א, ד )ג ע""ד (2, רבי בא"
25,,"ע""ד",,,,
26,"ע""ז ל ע""ב",,,,,"שבת א, ד )ג ע""ד (4, של שה אירסין"
27,"חו' מט ע""ב",,"ת' תר' ז, יב (43:145)",,,"שבת א, ד )ג ע""ד (8, ה שמן והחומץ"
28,"ע""ז ל ע""ב",,"ת' תר' ז, יז (73:148)",,,"שבת א, ד )ג ע""ד (10, אבטיח  שניקר"
29,"ע""ז לה ע""ב",,,,,"שבת א, ד )ג ע""ד (13, דניאל אסר"
30,,,,"דניאל א, ח",,"שבת א, ד )ג ע""ד (13, וי שם דניאל"
31,,"גט' מח ע""א; ע""ז מא",,,,"שבת א, ד )ג ע""ד (16, ב של שה מקומות"
32,,"ע""ד;  נדה  נ ע""ד",,,,
