masechet,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
2,,,,"תהלים קי, ג",לך טל,"תע'  א, א )סג ע""ד (12,"
,,,,,,
,,,,,,
,"תע'  יא ע""א",Unnamed: 0,,Unnamed: 1,בשעה שאת,"תע'  א, ו )סד ע""ד (13,"
0,,,,"בראשית מא, ז",וליוסף יולד,"תע'  א, ו )סד ע""ד (14,"
1,,,,"בראשית מא, ז",בטרם תבוא,"תע'  א, ו )סד ע""ד (15,"
2,"תע'  יד ע""ב",,,,על שם,"תע'  א, ו )סד ע""ד (16,"
3,,"תע'  סח ע""ב (21)",,,שאם היו,"תע'  א, ז )סד ע""ד (17,"
4,"תע'  יד ע""ב",,,,פותח אחד,"תע'  א, ז )סד ע""ד (21,"
5,"תע'  יד ע""ב",,,,מה פותח,"תע'  א, ז )סד ע""ד (22,"
6,"תע'  יד ע""ב","תע'  סט ע""ב (41)",,,אמר רבי,"תע'  א, ח )סד ע""ד (23,"
,,,,,,
,,,,,,
,Unnamed: 0,Unnamed: 1,,"תהלים יז, טז",אני בצדק,"תע'  ב, א )סה ע""ב (7,"
0,,,,"דה""ב ז, יד",וישובו מדרכיהם,"תע'  ב, א )סה ע""ב (8,"
1,,,,"דה""ב ז, יד",ואני אשמע,"תע'  ב, א )סה ע""ב (9,"
2,"ר""ה טז ע""ב",,,,כל שנה,"תע'  ב, א )סה ע""ב (11,"
3,,,,"ישעיה נח, ה",הכזה יהיו,"תע'  ב, א )סה ע""ב (14,"
4,,,,"ישעיה נח, ו",הלא זה,"תע'  ב, א )סה ע""ב (16,"
5,,,,"ישעיה נח, ז",הלא פרוש,"תע'  ב, א )סה ע""ב (17,"
6,,,,"ישעיה נח, ט",אז תקרא,"תע'  ב, א )סה ע""ב (17,"
7,,"ב""ר 123",,,אמר רבי,"תע'  ב, א )סה ע""ב (18,"
8,,,,"בראשית ב, ו",ואיד יעלה,"תע'  ב, א )סה ע""ב (18,"
9,,,,"דברים לב, ב",יערף כמטר,"תע'  ב, א )סה ע""ב (19,"
10,,,,"מיכה ז, ג",על הרע,"תע'  ב, א )סה ע""ב (22,"
11,,,,"מיכה ז, ג",השר שואל,"תע'  ב, א )סה ע""ב (23,"
12,,,,"מיכה ז, ג",והשופט בשילום,"תע'  ב, א )סה ע""ב (23,"
13,,,,"מיכה ז, ג",והגדול דובר,"תע'  ב, א )סה ע""ב (24,"
14,,,,"מיכה ז, ד",טובם כחדק,"תע'  ב, א )סה ע""ב (25,"
15,,,,"מיכה ז, ד",ישר ממסוכה,"תע'  ב, א )סה ע""ב (25,"
16,,,,"מיכה ז, ד",יום מצפיך,"תע'  ב, א )סה ע""ב (26,"
17,,,,"מיכה ז, ד",עתה תהיה,"תע'  ב, א )סה ע""ב (27,"
18,,"פד""כ 361",,,אמר רבי,"תע'  ב, א )סה ע""ב (28,"
19,"תע'  טז ע""א",,,,מה עשו,"תע'  ב, א )סה ע""ב (28,"
20,,,,"מיכה א, יח",מה נאנחה,"תע'  ב, א )סה ע""ב (32,"
21,,,,"יונה ג, ח",ויתכסו שקים,"תע'  ב, א )סה ע""ב (33,"
22,"הש'  סנ'  קה ע""א","פד""כ כד, יא ;(5:362)",,,מהו בחזקה,"תע'  ב, א )סה ע""ב (33,"
23,,"הש'  ו""ר, ז , ו )קסב;(5:",,,,
24,,"במ""ר, י, ב )לה ע""א,",,,,
25,,"38(; שהש""ר ב, טז, א,",,,,
26,,")יט ע""א 23,(;אס""ר ה,",,,,
27,,"ד )י ע""א 4,(; מת""ה, ב,",,,,
28,,א (14:24),,,,
29,,,,"יונה ג, ח",וישובו איש,"תע'  ב, א )סה ע""ב (35,"
30,"הש'  תע'  טז ע""א",,,,מה שהיה,"תע'  ב, א )סה ע""ב (35,"
31,,,,"יואל ב, יג",וקרעו לבבכם,"תע'  ב, א )סה ע""ב (37,"
32,,,,"יואל ב, יג",על ה',"תע'  ב, א )סה ע""ב (39,"
33,"ער'  כב ע""א; ב""ק נ","פד""כ כד 363)(; מת""ה",,,רבי שמואל,"תע'  ב, א )סה ע""ב (40,"
34,"ע""א","פז, ז (374)",,,,
35,,,,"יואל ב, יג",ארך אפים,"תע'  ב, א )סה ע""ב (41,"
36,,,,"יואל ב, יג",ארך אפי',"תע'  ב, א )סה ע""ב (42,"
,,,,,,
,,,,,,
,"סוטה לה ע""א",,,Unnamed: 0,אמר להן,"תע'  ד, ח )סח ע""ד (13,"
0,,,,"איכה א, ב",בכה תבכה,"תע'  ד, ח )סח ע""ד (14,"
1,,,,"במדבר יא, י",וישמע משה,"תע'  ד, ח )סח ע""ד (15,"
2,"יומא עה ע""א",,,,על שש,"תע'  ד, ח )סח ע""ד (15,"
3,"סוטה לה ע""א",,,,אמרון ליה,"תע'  ד, ח )סח ע""ד (16,"
4,,,,"במדבר יג, לב",ארץ אוכלת,"תע'  ד, ח )סח ע""ד (16,"
5,"סוטה לה ע""א",,,"במדבר יג, לג",ונהי בעינינו,"תע'  ד, ח )סח ע""ד (20,"
6,"סוטה לה ע""א",,,,דיברו דברים,"תע'  ד, ח )סח ע""ד (21,"
7,,,,"במדבר יג, לא",כי חזק,"תע'  ד, ח )סח ע""ד (22,"
8,,,,"ירמיה יא, טז",לקול המולה,"תע'  ד, ח )סח ע""ד (23,"
9,,,,"ירמיה יא, טז",הצית אש,"תע'  ד, ח )סח ע""ד (23,"
,,,,,,
,,,,,,
,Unnamed: 0,"איכ""ר ב 100,",,Unnamed: 1,רבי הוה,"תע'  ד, ח )סח ע""ד (38,"
0,,,,"איכה ב, ב",בבילע ה',"תע'  ד, ח )סח ע""ד (38,"
1,"הש'  גטין נז ע""ב","ב""ר 740; הש'  ב""ר,",,,תני אמר,"תע'  ד, ח )סח ע""ד (40,"
2,,"סה, כב ;(2:740)",,,,
3,,"שהש""ר, ב, יז א )יט",,,,
4,,"ע""ב 27,(; איכ""ר ב, ב",,,,
5,,"13:100)(; תנ""ב",,,,
6,,"תולדות, י )סו ע""א (24,",,,,
7,,,,"בראשית כז, כב",הקול קול,"תע'  ד, ח )סח ע""ד (41,"
8,,"הש'  ב""ר, סה, כב",,"במדבר כד, יז",דרך כוכב,"תע'  ד, ח )סח ע""ד (43,"
9,,"2:740)(; שהש""ר, ב, יז",,,,
10,,"א )יט ע""ב 27,(; איכ""ר",,,,
11,,"ב, ב 13:100)(; תנ""ב",,,,
12,,"תולדות, י )סו ע""א (24,",,,,
13,"גטין נז ע""א",,,,שמונים אלף,"תע'  ד, ח )סח ע""ד (46,"
14,,"הש'  תע'  סט ע""א (34)",,,לא תסעוד,"תע'  ד, ח )סח ע""ד (52,"
15,"הש'  סנ'  צג ע""ב","איכ""ר ב, ב ;(3:101)",,,והיה שם בן כוזבה,"תע'  ד, ח )סח ע""ד (52,"
,,,,,,
,,,,,,
Ketubot,,,,,,
,,"כת' ג, א )כז ע""ב ;(17,",Unnamed: 0,Unnamed: 1,כרבי מאיר,"כת' ג, א )כז ע""ב (47,"
0,,"כת' ג, א )כז ע""ב (19,",,,,
1,,,,"ויקרא כב, יד",איש כי,"כת' ג, א )כז ע""ב (49,"
2,,,"מ' תר' ו, א",,אינו משלם,"כת' ג, א )כז ע""ב (51,"
3,,"תר' מד ע""א","ת' תר' ז, ז ,18:143)",,אכל תרומ',"כת' ג, א )כז ע""ב (53,"
4,,,"כי""ע(",,,
5,,"מכות לא ע""א",,,הכל היה,"כת' ג, א )כז ע""ב (55,"
6,,,,"שמות כ, טז",לא תענה,"כת' ג, א )כז ע""ב (56,"
7,,,,"דברים יט, יט",ועשיתם לו,"כת' ג, א )כז ע""ב (56,"
8,,,,"ויקרא כב, י",וכל זר,"כת' ג, א )כז ע""ב (57,"
9,,,,"ויקרא כב, יד",ואיש כי,"כת' ג, א )כז ע""ב (57,"
10,,"כת' ג, א )כז ע""ב (17,",,,בגונב,"כת' ג, א )כז ע""ב (58,"
11,,"תר' מד ע""ב; ב""ק ג ע""א",,,רבי זעירא,"כת' ג, א )כז ע""ג (2,"
12,,"וש""נ",,,,
13,,,"הש' מ' ב""ק ג, י",,בשבת,"כת' ג, א )כז ע""ג (2,"
14,,,,"ויקרא יז, ד",דם יחשב,"כת' ג, א )כז ע""ג (6,"
15,,,"ספ' פג ע""ד",,ולא לשולחיו,"כת' ג, א )כז ע""ג (7,"
16,,"פס' כט ע""ב",,,ומזיד בחמץ,"כת' ג, א )כז ע""ג (7,"
17,,,"הש' ת' תר' ז, א",,ומזיד בנזיר,"כת' ג, א )כז ע""ג (7,"
18,,,-142,,,
19,,,"מ' מג' א, ח",,אין בין,"כת' ג, א )כז ע""ג (9,"
20,,"מג' א, ח )עא ע""א( וש""נ",,,הא בתשלומין,"כת' ג, א )כז ע""ג (10,"
21,,,"ת' כת' ג, ה (25:64)",,דרבי נחונייא,"כת' ג, א )כז ע""ג (11,"
22,,,"וש""נ",,,
23,,,,"שמות לא, יד",בשבת,"כת' ג, א )כז ע""ג (20,"
24,,,,"ויקרא לא, יד",ביום הכיפורים,"כת' ג, א )כז ע""ג (21,"
25,,"ע""ז מג ע""ג וש""נ",,,ואיתפלגון,"כת' ג, א )כז ע""ג (24,"
26,,"הש' כת' ג, א )כז ע""ב(",,,דרבי שמעון,"כת' ג, א )כז ע""ג (28,"
27,,,"ת' כת' ג, ד (20:64)",,רבי חייה,"כת' ג, ב )כז ע""ג (36,"
28,,,"מ' עד' ג, ו",,השבויה אוכלת,"כת' ג, ב )כז ע""ג (38,"
29,,"כת' ג, א )כז ע""ב (4,","הש' מ' כת' ג, ד",,כר' יוסי,"כת' ג, ג )כז ע""ג (41,"
30,,,,"שמות כא, כב",ולא יהיה,"כת' ג, ג )כז ע""ג (43,"
31,,,,"שמות כא, כג",אם יהיה,"כת' ג, ג )כז ע""ג (43,"
32,,"כת' ג, א )כז ע""ב (28,",,,עוד תני,"כת' ג, ג )כז ע""ג (46,"
33,,,"מדר""י 308",,מאי טעמא,"כת' ג, ד )כז ע""ג (48,"
34,,,,"דברים כב, כח",אשר לא,"כת' ג, ד )כז ע""ג (49,"
35,,,"הש' מדר""י 308",,מלמד הימינה,"כת' ג, ד )כז ע""ג (53,"
,,,,,,
,,,,,,
,,Unnamed: 0,"ת' כת' א, ה (39:58)",Unnamed: 1,זינתה,"כת' ד, ג )כח ע""ב (47,"
0,,"כת' ד, א )כח ע""ב ;(20,",,,משעה ראשונה,"כת' ד, ג )כח ע""ב (51,"
1,,"כת' ד, ד )כח ע""ג ;(2,",,,,
2,,"קד' נט ע""ב (41)",,,,
3,,,,"דברים כב, יט",כי הוציא,"כת' ד, ד )כח ע""ב (53,"
4,,,,"דברים כב, יט",כי הוציא,"כת' ד, ד )כח ע""ב (54,"
5,,,,"דברים כב, כא",וסקלוה,"כת' ד, ד )כח ע""ב (56,"
6,,,,"דברים כב, יג",כי יקח,"כת' ד, ד )כח ע""ב (58,"
7,,"כת' כח ע""ג (17)",,,לעולם אינו,"כת' ד, ד )כח ע""ב (59,"
8,,,,"דברים כב, יד",ושם לה,"כת' ד, ד )כח ע""ב (60,"
9,,,"ס""ד רלה (267)",,יכול אפילו,"כת' ד, ד )כח ע""ב (60,"
10,,,,"דברים כב, יז",עלילות דברים,"כת' ד, ד )כח ע""ב (61,"
11,,,,"דברים כב, יז",ואמר את,"כת' ד, ד )כח ע""ב (63,"
12,,"כת' ד, א )כח ע""ב ;(20,",,,משעה ראשונה,"כת' ד, ד )כח ע""ג (2,"
13,,"כת' ד, ג )כח ע""ב ;(51,",,,,
14,,"קד' נט ע""ב (41)",,,,
15,,,"מ' בכ' א, ז",,שמצות יבם,"כת' ד, ד )כח ע""ג (3,"
16,,,"מ' בכ' א, ז",,שמצות חליצה,"כת' ד, ד )כח ע""ג (4,"
17,,,,"דברים כב, יד",ואקרב אליה,"כת' ד, ד )כח ע""ג (4,"
18,,,"ס""ד רלה (268)",,שהביא הבעל,"כת' ד, ד )כח ע""ג (5,"
19,,,,"דברים כב, יז",ואלה בתולי,"כת' ד, ד )כח ע""ג (6,"
20,,,,"דברים כב, יז",ופרשו השמלה,"כת' ד, ד )כח ע""ג (10,"
21,,"הש' כת' ד, ד )כח ע""ג,","הש' מדר""י 5:293",,הכל משל,"כת' ד, ד )כח ע""ג (11,"
22,,(19,,,,
23,,"סנ' כו ע""ג","מדר""י 293",,רבי ישמעאל,"כת' ד, ד )כח ע""ג (11,"
24,,,,"שמות כא, יט",אם יקום,"כת' ד, ד )כח ע""ג (12,"
,,,,,,
,,,,,,
,Unnamed: 0,"ב""מ ח ע""א",Unnamed: 1,,הורי ר',"כת' ו, א )ל ע""ג (57,"
0,,,"ת' כת' יב, ד (43:98)",,הפוסק,"כת' ו, ב )ל ע""ג (61,"
1,,,"ת' כת' ו, ו (19:76)",,פסקה להכניס,"כת' ו, ד )ל ע""ד (9,"
2,,,"ת' כת' ו, ו (23:77)",,אם עשת,"כת' ו, ד )ל ע""ד (11,"
3,,,"ת' כת' ו, ו (17:76)",,וקופת בשמים,"כת' ו, ד )ל ע""ד (21,"
4,"הש' כת' סז ע""א","הש' כת' לג ע""ד",,,עשו הניית,"כת' ו, ד )ל ע""ד (22,"
5,,,"ת' כת' ו, ז (26:77)",,מניין אפילו,"כת' ו, ה )ל ע""ד (26,"
6,,,"ת' כת' ו, ג (7:75)",,אם השיאו,"כת' ו, ו )ל ע""ד (35,"
7,"כת' סח ע""א",,,,עישור נכסים,"כת' ו, ו )ל ע""ד (38,"
8,,,"ת' כת' ו, ג (6:75)",,אמר להן,"כת' ו, ו )ל ע""ד (41,"
9,,"כת' לג ע""ד",,,אין מן,"כת' ו, ו )ל ע""ד (49,"
10,,"גט' מו ע""ד",,,רבי זעירא,"כת' ו, ו )ל ע""ד (50,"
11,,"שק' מח ע""א",,,רבי יסא איתפקד,"כת' ו, ו )ל ע""ד (50,"
12,"תע' כא ע""א; כת'",,"ת' כת' ו, י (42:78)",,האומר תנו,"כת' ו, ז )ל ע""ד (60,"
13,"סט ע""ב; ב""ב קכט",,,,,
14,"ע""א",,,,,
15,,,"ת' כת' ו, י (46:78)",,רבן שמעון,"כת' ו, ז )ל ע""ד (62,"
16,"תע' כא ע""א; כת'","קד' נח ע""ד",,,שאילתא דחילפי,"כת' ו, ז )לא ע""א (2,"
17,"סט ע""ב",,,,,
18,,,"ת' כת' ו, י (44:78)",,מתו יירשו,"כת' ו, ז )לא ע""א (4,"
19,,"הש' ב""ב טז ע""ב",,,לית כאן,"כת' ו, ז )לא ע""א (5,"
20,"ב""ב קכט ע""א",,,,כתב כל,"כת' ו, ז )לא ע""א (6,"
21,,"ערלה סג ע""א",,,צמר הבכור,"כת' ו, ז )לא ע""א (12,"
22,,,"מ' ערלה ג, ג",,האורג,"כת' ו, ז )לא ע""א (13,"
23,,,"מ' ב""ב ח, ה",,כתב בין,"כת' ו, ז )לא ע""א (15,"
24,,,"מ' כת' ה, ו",,המדיר את,"כת' ז, א )לא ע""ב (1,"
25,,"מע' נ ע""ב; כת' לה ע""ד",,,כמאן דמר,"כת' ז, א )לא ע""ב (6,"
26,,,"ת' שבי' ה, כב",,אין בית דין,"כת' ז, א )לא ע""ב (7,"
27,,,(49:190),,,
28,,,"מ' נד' ד, ז",,איש פלוני,"כת' ז, א )לא ע""ב (9,"
29,,,"מ' כת' ה, ח",,המשרה,"כת' ז, א )לא ע""ב (11,"
30,,,"ת' כת' ז, א (1:79)",,בסוף שלושה,"כת' ז, א )לא ע""ב (20,"
31,"כת' עא ע""א",,,,וכמאן דמר,"כת' ז, ב )לא ע""ב (28,"
32,"כת' עא ע""א; נד' פא",,,,שאין שועל,"כת' ז, ג )לא ע""ב (33,"
33,"ע""א",,,,,
34,"פס' לז ע""א","פס' לה ע""ד",,,רבי יוחנן,"כת' ז, ד )לא ע""ב (37,"
35,,,"ת' כת' ז, ד (9:79)",,הדירה,"כת' ז, ה )לא ע""ב (40,"
,,,,,,
,,,,,,
,"כת' מח ע""א",,,,וכי עלת,"כת' יא, א )לד ע""ב (3,"
,,,,,,
,,,,,,
Sukkah,,,,,,
Orlah,,,,,,
Pesahim,,,,,,
,בבלי,מקבילות,ספ' תנאים,מקרא,תח' ציטוט,מקום בירו'
0,,,,"דברים טז, ז",וב שלת ואכלת,"פס' ד, א )ל ע""ג (38,"
1,,,,"דברים טז, ו",שם תזבח,"פס' ד, א )ל ע""ג (38,"
2,,"מג' ע ע""ג; חג' עח ע""א","מג""ת ה (76)",,להן כל,"פס' ד, א )ל ע""ג (40,"
3,,"תע' סז ע""ד",,,אמר רב,"פס' ד, א )ל ע""ג (42,"
4,,,,"דברים טז, טז",של ש פעמים,"פס' ד, א )ל ע""ג (43,"
5,,,,"דברים יא, יד",ואפסת דגנך,"פס' ד, א )ל ע""ג (44,"
6,"תע' כז ע""א",,"מ' תע' ד, ב",,שהתקי נו הנביאים,"פס' ד, א )ל ע""ג (45,"
7,,,,"ה ש' דה""א כג, ד",ע שרים וארבעה,"פס' ד, א )ל ע""ג (47,"
8,"ה ש' תע' כז ע""א",,,,אף יריחו,"פס' ד, א )ל ע""ג (47,"
9,,"ער' כו ע""ג","ת' תע' ד, ג",,רבן  שמעון,"פס' ד, א )ל ע""ג (50,"
10,,,,"דה""ב כט, כח",כל הקהל,"פס' ד, א )ל ע""ג (51,"
11,,,,"דה""ב כט, כח",וה שיר מ שורר,"פס' ד, א )ל ע""ג (52,"
12,,,,"דה""ב כט, כח",וחצצרות מחצצרים,"פס' ד, א )ל ע""ג (52,"
13,,,,"דה""ב כט, כח",הכל עד,"פס' ד, א )ל ע""ג (53,"
14,,,,"במדבר ח, יט",ואתנה את,"פס' ד, א )ל ע""ג (54,"
15,,,,"במדבר ח, יט",לעבוד את,"פס' ד, א )ל ע""ג (55,"
16,"ערכ' יא ע""א",,,"במדבר ח, יט",ולכפר על,"פס' ד, א )ל ע""ג (56,"
17,,,,"במדבר ח, יט",ולא יהיה,"פס' ד, א )ל ע""ג (56,"
18,"ערכ' יא ע""א",,,"במדבר ח, יט",ולכפר על,"פס' ד, א )ל ע""ג (58,"
19,"ערכ' יא ע""א",,,"במדבר ח, יט",ולכפר על,"פס' ד, א )ל ע""ג (59,"
20,,"פס' לז ע""א (9)",,,אמר רבי,"פס' ד, א )ל ע""ג (62,"
21,,"תע' סד ע""ג",,,נ שייא דנהגין,"פס' ד, א )ל ע""ג (64,"
22,,"ה ש' ב""ר 7:689",,,באפוקי  שובתא,"פס' ד, א )ל ע""ד (1,"
23,,,,"תהלים יא, ג",כי ה שתות,"פס' ד, א )ל ע""ד (4,"
24,,"תע' ד, ו )סד ע""ג ;(27,",,,אעין ד שיטין,"פס' ד, א )ל ע""ד (5,"
25,,"ב""ר )ו,( צד, ד )קעד",,,,
26,,"ע""ד 11,( וה ש' מה'",,,,
27,,"ת""א  1174;  שה ש""ר",,,,
28,,"א, יב, ב )יב ע""א (20,",,,,
29,"פס'  נא ע""א",,"ת' מ""ק ב, יד-טז",,יו שבין על,"פס' ד, א )ל ע""ד (9,"
30,,,"ה ש' ת'  שבת ז, יז",,בכפול,"פס' ד, א )ל ע""ד (13,"
31,,,(29:28),,,
32,,"ה ש'  שמ' יב, יב (199)",,,מותר כן,"פס' ד, א )ל ע""ד (14,"
33,,"מ""ק פא ע""ב","ה ש' מ' מ""ק ב, ה",,קיבלו עליהן,"פס' ד, א )ל ע""ד (17,"
34,"מ""ק יג ע""ב",,,,ד שו שי עכו,"פס' ד, א )ל ע""ד (18,"
,,,,,,
,,,,,,
,Unnamed: 0,,Unnamed: 1,"שמות כט, לח",וזה א שר,"פס' ה, א )לא ע""ג (57,"
0,,,,"במדבר כח, ד",את הכב ש,"פס' ה, א )לא ע""ג (59,"
1,,,"ה ש' ספ' ק ע""ב",,ו של בין,"פס' ה, א )לא ע""ג (60,"
2,,,,"במדבר כח, ד",בין הערבים (1),"פס' ה, א )לא ע""ג (61,"
3,,,,"במדבר כח, ד",בין הערבים (2),"פס' ה, א )לא ע""ג (61,"
4,,,,"שמות יב, ו",בין הערבים,"פס' ה, א )לא ע""ג (62,"
5,,,"ה ש' מדר""י 15:17",,מה בין,"פס' ה, א )לא ע""ג (62,"
6,,,"מדר""י 18:17; ספ' ק",,אף על,"פס' ה, א )לא ע""ג (64,"
7,,,"ע""ב",,,
8,,,,"ירמיה ו, ה",אוי לנו,"פס' ה, א )לא ע""ג (64,"
9,"פס'  נח ע""א",,,,רבי יו שוע,"פס' ה, א )לא ע""ד (2,"
10,,,,"במדבר כח, ד",בין הערבים,"פס' ה, א )לא ע""ד (3,"
11,,,"מדר שב""י 12",,חנ ניה בן,"פס' ה, א )לא ע""ד (6,"
12,"ה ש' זב' יא ע""ב",,,"שמות יב, ו",בין הערבים,"פס' ה, א )לא ע""ד (7,"
13,,,,"שמות יב, ו",יום,"פס' ה, א )לא ע""ד (8,"
14,,,"ה ש' ספ' ק ע""ב",,ב שתי  שעות,"פס' ה, א )לא ע""ד (9,"
15,,,,"דברים טז, ו",בערב,"פס' ה, א )לא ע""ד (9,"
16,,,,"שמות יב, ו",בין הערבים,"פס' ה, א )לא ע""ד,"
17,,,,,,(10
18,,,"מ' פס' ה, ג",,שחטו קודם,"פס' ה, א )לא ע""ד,"
19,,,,,,(13
20,,,,"שמות יב, ו",בין הערבים,"פס' ה, א )לא ע""ד,"
,,,,,,
,,,,,,
,Unnamed: 0,,Unnamed: 1,"שמות יב, לא",קומו צאו,"פס' ה, ה )לב ע""ג,"
0,,,,,,(32
1,,,,"תהלים קיג, א",הללויה הללו,"פס' ה, ה )לב ע""ג,"
2,,,,,,(33
3,"ה ש' פס' סד ע""ב",,,,מפני הרמאין,"פס' ה, ה )לב ע""ג,"
4,,,,,,(36
5,"ה ש' זב' לז ע""א",,,,כתוב אחד,"פס' ה, ו )לב ע""ג (38,"
6,,,,"במדבר יח, יז",אך בכור,"פס' ה, ו )לב ע""ג (38,"
7,,,,"דברים יב, כז",ודם זבחיך,"פס' ה, ו )לב ע""ג (40,"
8,,,"ספ' יח ע""ב","דברים יב, כז",י שפך,"פס' ה, ו )לב ע""ג (41,"
,,,,,,
,,,,,,
,Unnamed: 0,,Unnamed: 1,"שמות יב, מו",ולא תוציאו,"פס' ז, יב )לה ע""ב,"
0,,,,,,(49
1,"פס' פה ע""ב",,"ה ש' מדר""י ;4:55",,אין לי,"פס' ז, יב )לה ע""ב,"
2,,,"מדר שב""י 19:12",,,(50
3,,,,"שמות יב, מו",לא תוציא,"פס' ז, יב )לה ע""ב,"
4,,,,,,(50
5,,,,"שמות יב, מו",לא תוציא,"פס' ז, יב )לה ע""ב,"
6,,,,,,(52
7,,,,"שמות יב, מו",לא תוציא,"פס' ז, יב )לה ע""ב,"
8,,,,,,(53
9,,,,"שמות יב, מו",לא תוציא,"פס' ז, יב )לה ע""ב,"
,,,,,,
,,,,,,
Kilayim,,,,,,
Nazir,,,,,,
,,,Unnamed: 0,"במדבר ו, ח",לא יבוא,"נזיר ג, ה )נב ע""ד (1,"
0,,,,"במדבר ו, ט",ולא יטמא,"נזיר ג, ה )נב ע""ד (1,"
1,,,"מ' שבו' ב, ג",,השתחוה או,"נזיר ג, ה )נב ע""ד (3,"
2,,,"מ' שבו' ו, ד",,נזיר שהיה,"נזיר ג, ה )נב ע""ד (6,"
3,,,"מ' שבו' ו, ד",,היה מטמא,"נזיר ג, ה )נב ע""ד (7,"
4,,,,"ויקרא כא, ד",יטמ' בעל,"נזיר ג, ה )נב ע""ד (10,"
5,,,,"ויקרא כא, ד",להחלו,"נזיר ג, ה )נב ע""ד (13,"
6,,,,"במדבר ו, ז",במותן,"נזיר ג, ה )נב ע""ד (13,"
7,,,"מ' נזיר ג, ד",,ניטמא יום,"נזיר ג, ה )נב ע""ד (35,"
,,,,,,
,,,,,,
,,,"מ' נזיר ו, י",Unnamed: 0,רבי שמעון,"נזיר ו, יא )נה ע""ג (58,"
0,,,"הש' מ' נזיר ג, ג",,תמן הוא,"נזיר ו, יא )נה ע""ג (61,"
1,,,"ת' נזיר א, ו (25:125)",,נזיר ומירט,"נזיר ו, יא )נה ע""ד (1,"
2,,,,"ויקרא כא, יא",ועל כל,"נזיר ז, א )נה ע""ד (40,"
3,,,,"ויקרא כא, יא",ועל כל,"נזיר ז, א )נה ע""ד (43,"
,,,,,,
,,,,,,
Sanhedrin,,,,,,
,Unnamed: 0,,,"דה""א יא, יח",ויבקעו,"סנ' ב, ה )כ ע""ג (10,"
0,,,,"דה""א יא, יח",ולא אבה,"סנ' ב, ה )כ ע""ג (11,"
1,,,,"דה""א יא, יח",ויסך אותם,"סנ' ב, ה )כ ע""ג (12,"
2,,,,"דה""א יא, יח",וינסך,"סנ' ב, ה )כ ע""ג (14,"
3,,,,"שמ""ב כג, יב",ויסך,"סנ' ב, ה )כ ע""ג (15,"
4,"סנ' כא ע""א",,,,על שם,"סנ' ב, ו )כ ע""ג (18,"
5,,,,"שמ""ב ג, ה",הששי,"סנ' ב, ו )כ ע""ג (18,"
6,,,,"שמ""ב יב, ח",ואם מעט,"סנ' ב, ו )כ ע""ג (19,"
,,,,,,
,,,,,,
,,,,"שמות לא, יד",כי כל העושה,"סנ' ז, יד )כה ע""ג (44,"
0,,,,"שמות לא, יד",מחלליה,"סנ' ז, יד )כה ע""ג (44,"
1,,,,"ויקרא יט, ג",איש אמו,"סנ' ז, יד )כה ע""ג (47,"
2,,,,"שמות כא, יז",ומקלל אביו,"סנ' ז, יד )כה ע""ג (47,"
3,,,,"ויקרא יח, כז",כי כל אשר,"סנ' ז, יד )כה ע""ג (48,"
,,,,,,
,,,,,,
,,Unnamed: 0,,"במדבר טז, ל",ואם בריאה,"סנ' י, א )כח ע""א (3,"
0,,,,"במדבר טז, כט",אם כמות,"סנ' י, א )כח ע""א (5,"
1,,,,"מל""א יח, לז",עניני,"סנ' י, א )כח ע""א (5,"
2,,,,"מל""א יח, לז",ואתה הסיבות,"סנ' י, א )כח ע""א (6,"
3,,,,"מל""א כב, כח",אם שוב,"סנ' י, א )כח ע""א (7,"
4,,,,"במדבר טז, ל",וירדו הם,"סנ' י, א )כח ע""א (7,"
5,,"מד""ש ה, יב (62)",,,אף שמותיהם,"סנ' י, א )כח ע""א (8,"
6,,,,"במדבר טז, ל",וירדו הם,"סנ' י, א )כח ע""א (10,"
7,,"סנ' כט ע""ג",,,ומי נתפלל,"סנ' י, א )כח ע""א (10,"
8,,,,"בראשית לג, ו",יחי ראובן,"סנ' י, א )כח ע""א (11,"
9,,"ב""ר 1255; ב""ר צח,",,,רבי יהושע,"סנ' י, א )כח ע""א (12,"
,,,,,,
,,,,,,
Challah,,,,,,
Shevuot,,,,,,
,,Unnamed: 0,"ת' ר""ה ב, טז (320)",Unnamed: 1,העוב' לפני,"שבו' א, ד )לג ע""א (56,"
0,,,"ת' שבו' א, ב",,שני כבשי,"שבו' א, ד )לג ע""א (62,"
1,,,(29:445),,,
2,,,,"במדבר כט, ו",מלבד עולת,"שבו' א, ד )לג ע""ב (1,"
3,,,"ת' שבו' א, ב",,שנים עשר,"שבו' א, ד )לג ע""ב (1,"
4,,,(28:445),,,
5,,"הש' פס' לב ע""ג ;(55)",,,חד בר,"שבו' א, ד )לג ע""ב (2,"
6,,"תע' סז ע""א (61)",,,,
7,,"יומא מב ע""ב; שק' מח",,,רבי יוסי,"שבו' א, ו )לג ע""ב (8,"
8,,"ע""א",,,,
9,,,"ת' שבו' א, ב",,רבי שמעון,"שבו' א, ח )לג ע""ב (18,"
10,,,(26:445),,,
11,,,,"הש' ויקרא כב, יח-יט",הלחם,"שבו' א, ח )לג ע""ב (21,"
12,,,,"ויקרא טז, כא",והתודה,"שבו' א, ח )לג ע""ב (24,"
