refs_before,vectors,accurated,changed
"{'JTmock Avodah Zarah 3:1:14', 'Sukkah 28a'}","{'Sanhedrin 11a:6', 'Sanhedrin 11a:10', 'Sanhedrin 11a:12', 'Sanhedrin 11a:13', 'Sanhedrin 11a:4', 'Sanhedrin 11a:14', 'Sanhedrin 11a:8', 'Sanhedrin 11a:3', 'Sanhedrin 11a:5', 'Sanhedrin 11a:11', 'Sanhedrin 11a:9', 'Sanhedrin 11a:7', 'Sanhedrin 11a:1', 'Sanhedrin 11a:2'}",set(),True
"{'Sifrei Devarim 61', 'JTmock Avodah Zarah 4:4:10'}",{'Deuteronomy 12.3'},set(),True
"{'Sifrei Devarim 103', 'JTmock Avodah Zarah 5:12:5'}","{'Deuteronomy 14.11', 'Leviticus 14.4'}",set(),True
"{'Avodah Zarah 75a', 'JTmock Avodah Zarah 5:14:2-15:2'}",{'Tosefta Avodah Zarah 9:3'},set(),True
"{'Bava Batra 106a', 'JTmock Bava Batra 7:3:3'}",{'Tosefta Bava Batra (Lieberman) 6.26'},set(),True
"{'JTmock Bava Batra 8:3:2', 'Sifrei Devarim 217'}",{'Deuteronomy 21.17'},set(),True
"{'JTmock Bava Kamma 1:1:8', 'Sifrei Bamidbar 1'}",{'Numbers 5.1'},set(),True
"{'JTmock Bava Kamma 4:6:2', 'Bava Kamma 42b'}",{'Exodus 21.29'},set(),True
"{'JTmock Bava Metzia 2:5:7', 'Midrash Tanchuma Buber, Emor 9'}",{'Psalms 36.7'},set(),True
"{'Midrash Tanchuma, Emor 6', 'JTmock Bava Metzia 2:5:7'}",{'Psalms 36.7'},set(),True
"{'JTmock Bava Metzia 9:12:2', 'Bava Metzia 31b'}",{'Exodus 22.25'},set(),True
"{'Beitzah 3b', 'JTmock Beitzah 1:1:3'}",{'Tosefta Beitzah (Lieberman) 1.3'},set(),True
"{'Beitzah 4a', 'JTmock Beitzah 1:1:3'}",{'Tosefta Beitzah (Lieberman) 1.3'},set(),True
"{'JTmock Beitzah 1:1:4', 'Beitzah 4a'}",{'Tosefta Beitzah (Lieberman) 1.1'},set(),True
"{'Beitzah 6b', 'JTmock Beitzah 1:1:5'}",{'Tosefta Beitzah (Lieberman) 1.1'},set(),True
"{'Beitzah 4a', 'JTmock Beitzah 1:1:9'}",{'Tosefta Beitzah (Lieberman) 1.3'},set(),True
"{'JTmock Beitzah 1:1:10', 'Eruvin 38b'}","{'Beitzah 4a:14', 'Beitzah 4a:13'}",set(),True
"{'Beitzah 4a', 'JTmock Beitzah 1:1:10'}",{'Eruvin 38b.3'},set(),True
"{'Beitzah 8a', 'JTmock Beitzah 1:3:3'}",{'Tosefta Beitzah (Lieberman) 1.5'},set(),True
"{'JTmock Beitzah 1:3:4', 'Chullin 84b'}",{'Tosefta Beitzah (Lieberman) 1.5'},set(),True
"{'Beitzah 9b', 'JTmock Beitzah 1:4:2'}",{'Tosefta Beitzah (Lieberman) 1.8'},set(),True
"{'Beitzah 11a', 'JTmock Beitzah 1:6:3'}",{'Tosefta Beitzah (Lieberman) 1.11'},set(),True
"{'Berakhot 60a', 'JTmock Beitzah 1:7:2'}","{'Ketubot 62a:8', 'Ketubot 62a:10', 'Ketubot 62a:7', 'Ketubot 62a:3', 'Ketubot 62a:5', 'Ketubot 62a:1', 'Ketubot 62a:6', 'Ketubot 62a:2', 'Ketubot 62a:4', 'Ketubot 62a:9'}",set(),True
"{'Shabbat 74a', 'JTmock Beitzah 1:10:3'}",{'Tosefta Shabbat (Lieberman) 16.9'},set(),True
"{'JTmock Beitzah 2:1:2', 'Shir HaShirim Rabbah 5:2'}",{'Pesikta Rabbati 15.1'},set(),True
"{'JTmock Beitzah 2:1:2', 'Pesikta Rabbati 15'}","{'Shir HaShirim Rabbah 5:2:1', 'Shir HaShirim Rabbah 5:2:2'}",set(),True
"{'JTmock Beitzah 2:1:2', 'Shabbat 87b'}",{'Seder Olam Rabbah 5.2'},set(),True
"{'JTmock Beitzah 2:1:2', 'Sanhedrin 56b'}",{'Seder Olam Rabbah 5.2'},set(),True
"{'JTmock Beitzah 2:1:2', 'Seder Olam Rabbah 5'}","{'Sanhedrin 56b:4', 'Sanhedrin 56b:5', 'Shabbat 87b:5'}",set(),True
"{'JTmock Beitzah 2:1:2', 'Beitzah 15b'}",{'Exodus 16.23'},set(),True
"{'Beitzah 17b', 'JTmock Beitzah 2:1:6'}",{'Tosefta Beitzah (Lieberman) 2.4'},set(),True
"{'JTmock Beitzah 2:1:7', 'Beitzah 16b'}",{'Tosefta Beitzah (Lieberman) 2.1'},set(),True
"{'JTmock Beitzah 2:3:3', 'Beitzah 19a'}",{'Tosefta Beitzah (Lieberman) 2.7'},set(),True
"{'Beitzah 20b', 'JTmock Beitzah 2:4:3'}","{'Exodus 12.16', 'Tosefta Chagigah (Lieberman) 2.10'}","{('JTmock Beitzah 2:4:3', 'Beitzah 20b:7'), ('JTmock Beitzah 2:4:3', 'Beitzah 20b:5')}",False
"{'Beitzah 20a', 'JTmock Beitzah 2:4:5'}",{'Tosefta Chagigah (Lieberman) 2.11'},set(),True
"{'Shabbat 40a', 'JTmock Beitzah 2:5:4'}",{'JTmock Shabbat 3.3.12'},set(),True
"{'JTmock Beitzah 2:8:2', 'Shabbat 51b'}",{'Mishnah Shabbat 5.1'},set(),True
"{'Shabbat 55b', 'JTmock Beitzah 2:8:3'}",{'Shabbat 56b:16'},set(),True
"{'JTmock Beitzah 2:8:3', 'Shabbat 56b'}",{'Shabbat 55b.6'},set(),True
"{'Sanhedrin 27b', 'JTmock Beitzah 2:8:3'}",{'Shevuot 39b:1'},set(),True
"{'Shevuot 39b', 'JTmock Beitzah 2:8:3'}","{'Sanhedrin 27b:19', 'Sanhedrin 27b:20'}",set(),True
"{'Shabbat 22a', 'JTmock Beitzah 2:10:2'}","{'Beitzah 23b:7', 'Tosefta Beitzah (Lieberman) 2.18'}","{('JTmock Beitzah 2:10:2', 'Shabbat 22a:6'), ('JTmock Beitzah 2:10:2', 'Shabbat 22a:6-7')}",False
"{'Beitzah 23b', 'JTmock Beitzah 2:10:2'}","{'Shabbat 22a.6', 'Tosefta Beitzah (Lieberman) 2.18'}","{('JTmock Beitzah 2:10:2', 'Beitzah 23b:7'), ('JTmock Beitzah 2:10:2', 'Beitzah 23b:7-8')}",False
"{'Shabbat 106b', 'JTmock Beitzah 3:1:2'}","{'Mishnah Beitzah 3.1', 'Beitzah 24a:4', 'Mishnah Shabbat 13.5', 'Beitzah 24a:7', 'Beitzah 24a:9', 'Beitzah 24a:8', 'Beitzah 24a:6'}","{('JTmock Beitzah 3:1:2', 'Shabbat 106a:7-106b:1'), ('JTmock Beitzah 3:1:2', 'Shabbat 106b:4-6'), ('JTmock Beitzah 3:1:2', 'Shabbat 106b:1'), ('JTmock Beitzah 3:1:2', 'Shabbat 106b:7')}",False
"{'JTmock Beitzah 3:1:2', 'Beitzah 24a'}","{'Mishnah Beitzah 3.1', 'Shabbat 106b:1', 'Mishnah Shabbat 13.5', 'Shabbat 106b:4', 'Shabbat 106b:5', 'Shabbat 106b:6'}","{('JTmock Beitzah 3:1:2', 'Beitzah 24a:4'), ('JTmock Beitzah 3:1:2', 'Beitzah 24a:6-9'), ('JTmock Beitzah 3:1:2', 'Beitzah 23b:13-24a:1'), ('JTmock Beitzah 3:1:2', 'Beitzah 23b:11-24a:1')}",False
"{'JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b'}","{'Beitzah 6b:1', 'Beitzah 6b:2', 'Mishnah Shabbat 24.4'}","{('JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b:4-5'), ('JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b:4')}",False
"{'JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b'}","{'Pesachim 56b:4', 'Pesachim 56b:5', 'Beitzah 27b.5', 'Mishnah Shabbat 24.4'}","{('JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b:1-2'), ('JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b:1')}",False
"{'JTmock Beitzah 3:3:2-4:2', 'Beitzah 27b'}","{'Beitzah 6b:1', 'Chullin 14a:3', 'Mishnah Shabbat 24.4'}",set(),True
"{'JTmock Beitzah 3:3:2-4:2', 'Chullin 14a'}","{'Beitzah 27b.5', 'Mishnah Shabbat 24.4'}",set(),True
"{'JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b'}","{'Beitzah 6b:1', 'Beitzah 6b:2', 'Mishnah Shabbat 24.4'}","{('JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b:4-5'), ('JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b:4')}",False
"{'JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b'}","{'Pesachim 56b:4', 'Pesachim 56b:5', 'Beitzah 27b.5', 'Mishnah Shabbat 24.4'}","{('JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b:1-2'), ('JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b:1')}",False
"{'JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b'}","{'Beitzah 6b:1', 'Beitzah 6b:2', 'Mishnah Shabbat 24.4'}","{('JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b:4-5'), ('JTmock Beitzah 3:3:2-4:2', 'Pesachim 56b:4')}",False
"{'JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b'}","{'Pesachim 56b:4', 'Pesachim 56b:5', 'Beitzah 27b.5', 'Mishnah Shabbat 24.4'}","{('JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b:1-2'), ('JTmock Beitzah 3:3:2-4:2', 'Beitzah 6b:1')}",False
"{'JTmock Beitzah 3:4:3', 'Beitzah 37a'}",{'Tosefta Beitzah (Lieberman) 3.2'},set(),True
"{'Shabbat 156b', 'JTmock Beitzah 3:5:2'}",{'Beitzah 27b.5'},set(),True
"{'JTmock Beitzah 3:5:2', 'Beitzah 27b'}","{'Shabbat 156b.7', 'Mishnah Beitzah 3.5'}","{('JTmock Beitzah 3:5:2', 'Beitzah 27b:4'), ('JTmock Beitzah 3:5:2', 'Beitzah 27b:5')}",False
"{'JTmock Beitzah 3:6:3', 'Beitzah 27b'}","{'Tosefta Beitzah (Lieberman) 3.5', 'Mishnah Beitzah 3.6'}","{('JTmock Beitzah 3:6:3', 'Beitzah 27b:13'), ('JTmock Beitzah 3:6:3', 'Beitzah 27b:11')}",False
"{'Beitzah 28a', 'JTmock Beitzah 3:6:3'}",{'Mishnah Beitzah 3.6'},set(),True
"{'Bekhorot 33a', 'JTmock Beitzah 3:6:6'}",{'Tosefta Beitzah (Lieberman) 2.11'},set(),True
"{'JTmock Beitzah 3:8:4', 'Yevamot 121b'}","{'Psalms 89.8', 'Bava Kamma 50a:22', 'Bava Kamma 50a:20', 'Psalms 50.3', 'Bava Kamma 50a:21'}","{('JTmock Beitzah 3:8:4', 'Yevamot 121b:8'), ('JTmock Beitzah 3:8:4', 'Yevamot 121b:6-8')}",False
"{'Bava Kamma 50a', 'JTmock Beitzah 3:8:4'}","{'Psalms 89.8', 'Yevamot 121b:7', 'Yevamot 121b:6', 'Yevamot 121b:8', 'Psalms 50.3'}","{('JTmock Beitzah 3:8:4', 'Bava Kamma 50a:22'), ('JTmock Beitzah 3:8:4', 'Bava Kamma 50a:20-22')}",False
"{'Beitzah 31a', 'JTmock Beitzah 4:2:2-4'}",{'Tosefta Beitzah (Lieberman) 3.10'},set(),True
"{'JTmock Beitzah 4:3:4', 'Shabbat 124b'}","{'Beitzah 32a:5', 'Beitzah 32a:4'}",set(),True
"{'JTmock Beitzah 4:3:4', 'Beitzah 32a'}","{'Shabbat 124b:16', 'Shabbat 124b:17'}",set(),True
"{'Beitzah 32a', 'JTmock Beitzah 4:4:3'}",{'Mishnah Eduyot 2.5'},set(),True
"{'JTmock Beitzah 4:4:4', 'Beitzah 22a'}",{'Tosefta Beitzah (Lieberman) 3.13'},set(),True
"{'Beitzah 25b', 'JTmock Beitzah 4:5:5'}",{'Tosefta Beitzah (Lieberman) 3.17'},set(),True
"{'Shabbat 43a', 'JTmock Beitzah 5:1:7'}",{'Tosefta Shabbat (Lieberman) 3.9'},set(),True
"{'Shabbat 44a', 'JTmock Beitzah 5:1:7'}",{'Mishnah Shabbat 3.6'},set(),True
"{'JTmock Beitzah 5:1:8', 'Eruvin 46a'}",{'Tosefta Beitzah (Lieberman) 4.8'},set(),True
"{'Beitzah 37b', 'JTmock Beitzah 5:3:2'}",{'Tosefta Beitzah (Lieberman) 4.6'},set(),True
"{'Berakhot 53b', 'JTmock Beitzah 5:5:2'}",{'Tosefta Beitzah (Lieberman) 4.7'},set(),True
"{'JTmock Beitzah 5:7:2', 'Beitzah 40a'}","{'Mishnah Beitzah 5.7', 'Mishnah Beitzah 5.6'}","{('JTmock Beitzah 5:7:2', 'Beitzah 39b:11-40a:1'), ('JTmock Beitzah 5:7:2-8:2', 'Beitzah 40a:14')}",False
"{'JTmock Berakhot 1:1:2', 'Berakhot 2b'}",{'Tosefta Berakhot (Lieberman) 1.1'},set(),True
"{'JTmock Berakhot 1:1:4', 'Pesachim 54b'}",{'Berakhot 21a:13'},set(),True
"{'JTmock Berakhot 1:1:4', 'Berakhot 21a'}",{'Pesachim 54b:10'},set(),True
"{'JTmock Berakhot 1:1:5', 'Megillah 20b'}","{'Nehemiah 4.15', 'Nehemiah 4.16', 'Berakhot 2b:8'}","{('JTmock Berakhot 1:1:5', 'Megillah 20b:4-5'), ('JTmock Berakhot 1:1:5', 'Megillah 20b:4')}",False
"{'Berakhot 10b', 'JTmock Berakhot 1:1:18'}",{'Ezekiel 1:7'},set(),True
"{'Shir HaShirim Rabbah 6:9', 'JTmock Berakhot 1:1:23'}","{'Bereishit Rabbah 15.6', 'Taanit 10a:9'}",set(),True
"{'Pesachim 94a', 'JTmock Berakhot 1:1:23'}","{'Chagigah 13a:2', 'Taanit 10a:9', 'Chagigah 13a:3'}","{('JTmock Berakhot 1:1:23', 'Pesachim 94a:9'), ('JTmock Berakhot 1:1:23', 'Pesachim 94a:13-94b:1')}",False
"{'JTmock Berakhot 1:1:23', 'Taanit 10a'}","{'Shir HaShirim Rabbah 6:9:3', 'Pesachim 94a:9'}",set(),True
"{'Pesachim 94b', 'JTmock Berakhot 1:1:23'}","{'Bereishit Rabbah 6.6', 'Chagigah 13a:2', 'Chagigah 13a:3'}","{('JTmock Berakhot 1:1:23', 'Pesachim 94a:13-94b:1'), ('JTmock Berakhot 1:1:23', 'Pesachim 94b:2')}",False
"{'Chagigah 13a', 'JTmock Berakhot 1:1:23'}","{'Bereishit Rabbah 6.6', 'Pesachim 94b:1', 'Pesachim 94a:13'}","{('JTmock Berakhot 1:1:23', 'Chagigah 13a:3'), ('JTmock Berakhot 1:1:23', 'Chagigah 13a:2-3')}",False
"{'JTmock Berakhot 1:1:26', 'Berakhot 3b'}",{'Judges 7.19'},set(),True
"{'Berakhot 7a', 'JTmock Berakhot 1:1:26'}",{'Avodah Zarah 4a:19'},set(),True
"{'JTmock Berakhot 1:1:26', 'Avodah Zarah 4a'}","{'Berakhot 7a:7', 'Berakhot 7a:9', 'Berakhot 7a:8'}",set(),True
"{'JTmock Berakhot 1:1:29', 'Berakhot 4b'}",{'Psalms 4:5'},set(),True
"{'Berakhot 31a', 'JTmock Berakhot 1:1:30'}",{'Tosefta Berakhot (Lieberman) 3.6'},set(),True
"{'Berakhot 52b', 'JTmock Berakhot 1:1:30'}",{'Tosefta Berakhot (Lieberman) 5.26'},set(),True
"{'Berakhot 9b', 'JTmock Berakhot 1:1:30'}",{'Psalms 19.15'},set(),True
"{'JTmock Berakhot 1:1:31', ""Avot D'Rabbi Natan 2""}",{'Berakhot 8b:18'},set(),True
"{'Berakhot 8b', 'JTmock Berakhot 1:1:31'}","{'Tosefta Berakhot (Lieberman) 1.1', ""Avot D'Rabbi Natan 2.8""}",set(),True
"{'JTmock Berakhot 1:1:33', 'Shabbat 134a'}",{'Tosefta Shabbat (Lieberman) 12.12'},set(),True
"{'Nazir 52a', 'JTmock Berakhot 1:1:34'}","{'Mishnah Oholot 2.6', 'Tosefta Oholot 4:2'}","{('JTmock Berakhot 1:1:34', 'Nazir 52a:8'), ('JTmock Berakhot 1:1:34', 'Nazir 52a:6')}",False
"{'Kohelet Rabbah 10:8', 'JTmock Berakhot 1:1:35'}","{'Esther Rabbah 3.7', 'Bereishit Rabbah 79.6', 'Ecclesiastes 10.8', 'Mishnah Sheviit 9.1'}",set(),True
"{'Pesachim 120b', 'JTmock Berakhot 1:1:37'}","{'Exodus 12.12', 'Berakhot 9a:15', 'Berakhot 9a:14', 'Megillah 21a:8', 'Mishnah Pesachim 10.9', 'Berakhot 9a:16', 'Exodus 12.8'}","{('JTmock Berakhot 1:1:37', 'Pesachim 120a:15-120b:1'), ('JTmock Berakhot 1:1:37', 'Pesachim 120b:5-6'), ('JTmock Berakhot 1:1:37', 'Pesachim 120b:5-8'), ('JTmock Berakhot 1:1:37', 'Pesachim 120b:5')}",False
"{'Megillah 21a', 'JTmock Berakhot 1:1:37'}","{'Exodus 12.12', 'Zevachim 57b:8', 'Berakhot 9a:14', 'Pesachim 120b:6', 'Exodus 12.8', 'Pesachim 120b:5', 'Zevachim 57b:7'}",set(),True
"{'Zevachim 57b', 'JTmock Berakhot 1:1:37'}","{'Exodus 12.8', 'Exodus 12.12', 'Megillah 21a:8'}","{('JTmock Berakhot 1:1:37', 'Zevachim 57b:7-8'), ('JTmock Berakhot 1:1:37', 'Zevachim 57b:7')}",False
"{'Berakhot 9a', 'JTmock Berakhot 1:1:37'}","{'Exodus 12.12', 'Pesachim 120b:8', 'Megillah 21a:8', 'Exodus 12.8', 'Pesachim 120b:6', 'Pesachim 120b:5', 'Pesachim 120b:7'}","{('JTmock Berakhot 1:1:37', 'Berakhot 9a:14-16'), ('JTmock Berakhot 1:1:37', 'Berakhot 9a:14')}",False
"{'JTmock Berakhot 1:2:3', 'Menachot 43b'}","{'Chullin 89a.3', 'Numbers 15.39', 'Sotah 17a:23', 'Sotah 17a.24'}","{('JTmock Berakhot 1:2:3', 'Menachot 43b:13'), ('JTmock Berakhot 1:2:2-3', 'Menachot 43b:9')}",False
"{'JTmock Berakhot 1:2:3', 'Sotah 17a'}","{'Menachot 43b:13', 'Numbers 15.39'}","{('JTmock Berakhot 1:2:3', 'Sotah 17a:23-24'), ('JTmock Berakhot 1:2:2-3', 'Sotah 17a:21')}",False
"{'JTmock Berakhot 1:2:3', 'Chullin 89a'}",{'Menachot 43b:13'},set(),True
"{'Berakhot 9b', 'JTmock Berakhot 1:2:4'}",{'Tosefta Berakhot (Lieberman) 1.2'},set(),True
"{'JTmock Berakhot 1:2:5', 'Berakhot 26a'}","{'Tosefta Berakhot (Lieberman) 1.2', 'Berakhot 9b:14'}",set(),True
"{'Pesachim 54b', 'JTmock Berakhot 1:2:9'}",{'Berakhot 21a:13'},set(),True
"{'Sukkah 26a', 'JTmock Berakhot 1:2:9'}",{'Tosefta Berakhot (Lieberman) 2.6'},set(),True
"{'Berakhot 21a', 'JTmock Berakhot 1:2:9'}","{'Deuteronomy 6.7', 'Pesachim 54b:10'}","{('JTmock Berakhot 1:2:9-3:2', 'Berakhot 21a:8'), ('JTmock Berakhot 1:2:9', 'Berakhot 21a:13')}",False
"{'JTmock Berakhot 1:3:3', 'Berakhot 11a'}",{'Tosefta Berakhot (Lieberman) 1.4'},set(),True
"{'JTmock Berakhot 1:4:2', 'Shir HaShirim Rabbah 1:2'}","{'Bamidbar Rabbah 14.4', 'Song of Songs 1.2', 'Mishnah Berakhot 1.3'}","{('JTmock Berakhot 1:4:2', 'Shir HaShirim Rabbah 1:2:7'), ('JTmock Berakhot 1:4:2', 'Shir HaShirim Rabbah 1:2:8'), ('JTmock Berakhot 1:4:2', 'Shir HaShirim Rabbah 1:2:2')}",False
"{'JTmock Berakhot 1:4:2', 'Avodah Zarah 35a'}",{'Song of Songs 1.2'},set(),True
"{'Shir HaShirim Rabbah 1:2', 'JTmock Berakhot 1:4:3'}","{'Mishnah Sanhedrin 11.3', 'Deuteronomy 17.11', 'Micah 2.6', 'Deuteronomy 13.2'}","{('JTmock Berakhot 1:4:3', 'Shir HaShirim Rabbah 1:2:7'), ('JTmock Berakhot 1:4:3-4', 'Shir HaShirim Rabbah 1:2:7')}",False
"{'Rosh Hashanah 14b', 'JTmock Berakhot 1:4:4'}","{'Chullin 43b:15', 'Tosefta Sukkah (Lieberman) 2.3', 'Eruvin 6b:12'}",set(),True
"{'Eruvin 6b', 'JTmock Berakhot 1:4:4'}","{'Chullin 43b:15', 'Tosefta Sukkah (Lieberman) 2.3', 'Rosh Hashanah 14b:5'}","{('JTmock Berakhot 1:4:4', 'Eruvin 6b:12-7a:1'), ('JTmock Berakhot 1:4:4', 'Eruvin 6b:13-14'), ('JTmock Berakhot 1:4:4', 'Eruvin 6b:12')}",False
"{'JTmock Berakhot 1:4:4', 'Chullin 43b'}","{'Eruvin 6b:14', 'Eruvin 6b:13', 'Eruvin 6b:15', 'Eruvin 6b:12', 'Rosh Hashanah 14b:5'}","{('JTmock Berakhot 1:4:4', 'Chullin 43b:15-44a:4'), ('JTmock Berakhot 1:4:4', 'Chullin 43b:15-44a:1')}",False
"{""Midrash Tanchuma Buber, Sh'lach 31"", 'JTmock Berakhot 1:5:3'}","{'Numbers 15:40', 'Numbers 15.39'}","{('JTmock Berakhot 1:5:3', ""Midrash Tanchuma Buber, Sh'lach 31:2""), ('JTmock Berakhot 1:5:3', ""Midrash Tanchuma Buber, Sh'lach 31:1"")}",False
"{'Shir HaShirim Rabbah 1:9', 'JTmock Berakhot 1:5:3'}","{'Jeremiah 10.10', 'Vayikra Rabbah 6.6', 'Devarim Rabbah 1.10', 'Bereishit Rabbah 81:2', 'Exodus 20.2'}","{('JTmock Berakhot 1:5:3', 'Shir HaShirim Rabbah 1:9:1'), ('JTmock Berakhot 1:5:3', 'Shir HaShirim Rabbah 1:9:6')}",False
"{'Midrash Tanchuma Buber, Chukat 5', 'JTmock Berakhot 1:5:3'}",{'Jeremiah 10.10'},set(),True
"{'Bereishit Rabbah 81', 'JTmock Berakhot 1:5:3'}","{'Shir HaShirim Rabbah 1:9:1', 'Devarim Rabbah 1.10'}",set(),True
"{'JTmock Berakhot 1:5:8', 'Berakhot 11b'}","{'Berakhot 14b:22', 'Berakhot 14b:21'}","{('JTmock Berakhot 1:5:8', 'Berakhot 11b:12-13'), ('JTmock Berakhot 1:5:8', 'Berakhot 11b:15')}",False
"{'Berakhot 14b', 'JTmock Berakhot 1:5:8'}","{'Berakhot 11b:15', 'Berakhot 11b:13', 'Berakhot 11b:12'}","{('JTmock Berakhot 1:5:8', 'Berakhot 14b:21'), ('JTmock Berakhot 1:5:8', 'Berakhot 14b:22')}",False
"{'Berakhot 50a', 'JTmock Berakhot 1:5:10'}",{'Tosefta Berakhot (Lieberman) 1.6'},set(),True
"{'JTmock Berakhot 1:5:11', 'Berakhot 34a'}","{'Tosefta Berakhot (Lieberman) 1.8', 'Bereishit Rabbah 39.12'}",set(),True
"{'Sukkah 53a', 'JTmock Berakhot 1:5:12'}","{'Taanit 25a:15', 'Taanit 25a:14', 'Megillah 22b:17', 'Megillah 22b:18'}",set(),True
"{'JTmock Berakhot 1:5:12', 'Megillah 22b'}",{'Sukkah 53a:8'},set(),True
